dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
10_cover,500,IForest,0.0,0,random,True,knn,0.9725252525252526
10_cover,500,IForest,0.0,1,random,True,knn,0.8953535353535353
10_cover,500,IForest,0.0,2,random,True,knn,0.8901010101010102
10_cover,500,IForest,0.0,3,random,True,knn,0.8274747474747475
10_cover,500,IForest,0.0,4,random,True,knn,0.8080808080808081
10_cover,500,IForest,0.0,0,random,False,knn,0.9628282828282829
10_cover,500,IForest,0.0,1,random,False,knn,0.8771717171717172
10_cover,500,IForest,0.0,2,random,False,knn,0.8662626262626263
10_cover,500,IForest,0.0,3,random,False,knn,0.8161616161616162
10_cover,500,IForest,0.0,4,random,False,knn,0.861010101010101
10_cover,500,IForest,0.0,0,uncertainty,True,knn,0.9806060606060606
10_cover,500,IForest,0.0,1,uncertainty,True,knn,0.9131313131313131
10_cover,500,IForest,0.0,2,uncertainty,True,knn,0.9018181818181819
10_cover,500,IForest,0.0,3,uncertainty,True,knn,0.8593939393939394
10_cover,500,IForest,0.0,4,uncertainty,True,knn,0.8525252525252525
10_cover,500,IForest,0.0,0,uncertainty,False,knn,0.972929292929293
10_cover,500,IForest,0.0,1,uncertainty,False,knn,0.861010101010101
10_cover,500,IForest,0.0,2,uncertainty,False,knn,0.9284848484848485
10_cover,500,IForest,0.0,3,uncertainty,False,knn,0.8953535353535353
10_cover,500,IForest,0.0,4,uncertainty,False,knn,0.8686868686868686
10_cover,500,IForest,0.0,0,anomalous,True,knn,0.9644444444444444
10_cover,500,IForest,0.0,1,anomalous,True,knn,0.8812121212121212
10_cover,500,IForest,0.0,2,anomalous,True,knn,0.9183838383838384
10_cover,500,IForest,0.0,3,anomalous,True,knn,0.8452525252525251
10_cover,500,IForest,0.0,4,anomalous,True,knn,0.8703030303030302
10_cover,500,IForest,0.0,0,anomalous,False,knn,0.9587878787878787
10_cover,500,IForest,0.0,1,anomalous,False,knn,0.858989898989899
10_cover,500,IForest,0.0,2,anomalous,False,knn,0.9107070707070707
10_cover,500,IForest,0.0,3,anomalous,False,knn,0.8181818181818181
10_cover,500,IForest,0.0,4,anomalous,False,knn,0.8408080808080808
10_cover,500,IForest,0.0,0,clusters,True,knn,0.9523232323232323
10_cover,500,IForest,0.0,1,clusters,True,knn,0.8262626262626263
10_cover,500,IForest,0.0,2,clusters,True,knn,0.9268686868686868
10_cover,500,IForest,0.0,3,clusters,True,knn,0.8242424242424243
10_cover,500,IForest,0.0,4,clusters,True,knn,0.8254545454545454
10_cover,500,IForest,0.0,0,clusters,False,knn,0.9741414141414141
10_cover,500,IForest,0.0,1,clusters,False,knn,0.9103030303030304
10_cover,500,IForest,0.0,2,clusters,False,knn,0.9062626262626262
10_cover,500,IForest,0.0,3,clusters,False,knn,0.863030303030303
10_cover,500,IForest,0.0,4,clusters,False,knn,0.9127272727272728
10_cover,500,IForest,0.004,0,random,True,knn,0.9604040404040405
10_cover,500,IForest,0.004,1,random,True,knn,0.8698989898989898
10_cover,500,IForest,0.004,2,random,True,knn,0.9575757575757576
10_cover,500,IForest,0.004,3,random,True,knn,0.823030303030303
10_cover,500,IForest,0.004,4,random,True,knn,0.8258585858585858
10_cover,500,IForest,0.004,0,random,False,knn,0.9713131313131314
10_cover,500,IForest,0.004,1,random,False,knn,0.9086868686868687
10_cover,500,IForest,0.004,2,random,False,knn,0.9187878787878787
10_cover,500,IForest,0.004,3,random,False,knn,0.8577777777777779
10_cover,500,IForest,0.004,4,random,False,knn,0.9070707070707071
10_cover,500,IForest,0.004,0,uncertainty,True,knn,0.9696969696969697
10_cover,500,IForest,0.004,1,uncertainty,True,knn,0.9090909090909091
10_cover,500,IForest,0.004,2,uncertainty,True,knn,0.9507070707070707
10_cover,500,IForest,0.004,3,uncertainty,True,knn,0.854949494949495
10_cover,500,IForest,0.004,4,uncertainty,True,knn,0.7963636363636364
10_cover,499,IForest,0.004,0,uncertainty,False,knn,0.9535353535353536
10_cover,500,IForest,0.004,1,uncertainty,False,knn,0.905050505050505
10_cover,500,IForest,0.004,2,uncertainty,False,knn,0.943030303030303
10_cover,500,IForest,0.004,3,uncertainty,False,knn,0.8117171717171718
10_cover,500,IForest,0.004,4,uncertainty,False,knn,0.8206060606060607
10_cover,500,IForest,0.004,0,anomalous,True,knn,0.9559595959595959
10_cover,500,IForest,0.004,1,anomalous,True,knn,0.9111111111111111
10_cover,500,IForest,0.004,2,anomalous,True,knn,0.9191919191919191
10_cover,500,IForest,0.004,3,anomalous,True,knn,0.8545454545454545
10_cover,500,IForest,0.004,4,anomalous,True,knn,0.7357575757575758
10_cover,500,IForest,0.004,0,anomalous,False,knn,0.9664646464646465
10_cover,499,IForest,0.004,1,anomalous,False,knn,0.8484848484848484
10_cover,500,IForest,0.004,2,anomalous,False,knn,0.926868686868687
10_cover,499,IForest,0.004,3,anomalous,False,knn,0.8226262626262626
10_cover,500,IForest,0.004,4,anomalous,False,knn,0.8492929292929293
10_cover,500,IForest,0.004,0,clusters,True,knn,0.9494949494949495
10_cover,500,IForest,0.004,1,clusters,True,knn,0.8804040404040404
10_cover,500,IForest,0.004,2,clusters,True,knn,0.9022222222222223
10_cover,500,IForest,0.004,3,clusters,True,knn,0.8836363636363637
10_cover,500,IForest,0.004,4,clusters,True,knn,0.8674747474747474
10_cover,500,IForest,0.004,0,clusters,False,knn,0.9785858585858586
10_cover,500,IForest,0.004,1,clusters,False,knn,0.8985858585858586
10_cover,500,IForest,0.004,2,clusters,False,knn,0.8513131313131314
10_cover,500,IForest,0.004,3,clusters,False,knn,0.8375757575757576
10_cover,500,IForest,0.004,4,clusters,False,knn,0.8032323232323232
10_cover,500,IForest,0.006,0,random,True,knn,0.9725252525252526
10_cover,500,IForest,0.006,1,random,True,knn,0.8565656565656565
10_cover,500,IForest,0.006,2,random,True,knn,0.9357575757575758
10_cover,500,IForest,0.006,3,random,True,knn,0.8331313131313132
10_cover,500,IForest,0.006,4,random,True,knn,0.8654545454545455
10_cover,500,IForest,0.006,0,random,False,knn,0.9676767676767677
10_cover,500,IForest,0.006,1,random,False,knn,0.8670707070707071
10_cover,500,IForest,0.006,2,random,False,knn,0.9337373737373736
10_cover,500,IForest,0.006,3,random,False,knn,0.8840404040404041
10_cover,500,IForest,0.006,4,random,False,knn,0.8428282828282828
10_cover,500,IForest,0.006,0,uncertainty,True,knn,0.9688888888888889
10_cover,500,IForest,0.006,1,uncertainty,True,knn,0.871919191919192
10_cover,500,IForest,0.006,2,uncertainty,True,knn,0.9296969696969697
10_cover,500,IForest,0.006,3,uncertainty,True,knn,0.8032323232323232
10_cover,500,IForest,0.006,4,uncertainty,True,knn,0.8032323232323232
10_cover,500,IForest,0.006,0,uncertainty,False,knn,0.9624242424242424
10_cover,500,IForest,0.006,1,uncertainty,False,knn,0.9094949494949495
10_cover,500,IForest,0.006,2,uncertainty,False,knn,0.9094949494949495
10_cover,500,IForest,0.006,3,uncertainty,False,knn,0.8719191919191919
10_cover,499,IForest,0.006,4,uncertainty,False,knn,0.8872727272727272
10_cover,500,IForest,0.006,0,anomalous,True,knn,0.9741414141414142
10_cover,500,IForest,0.006,1,anomalous,True,knn,0.8492929292929293
10_cover,500,IForest,0.006,2,anomalous,True,knn,0.913939393939394
10_cover,500,IForest,0.006,3,anomalous,True,knn,0.8266666666666667
10_cover,297,IForest,0.006,4,anomalous,True,knn,0.8440404040404041
10_cover,500,IForest,0.006,0,anomalous,False,knn,0.9826262626262626
10_cover,499,IForest,0.006,1,anomalous,False,knn,0.9111111111111111
10_cover,500,IForest,0.006,2,anomalous,False,knn,0.9373737373737374
10_cover,499,IForest,0.006,3,anomalous,False,knn,0.8783838383838383
10_cover,499,IForest,0.006,4,anomalous,False,knn,0.8593939393939394
10_cover,500,IForest,0.006,0,clusters,True,knn,0.9604040404040404
10_cover,500,IForest,0.006,1,clusters,True,knn,0.8816161616161616
10_cover,500,IForest,0.006,2,clusters,True,knn,0.9256565656565656
10_cover,500,IForest,0.006,3,clusters,True,knn,0.8868686868686869
10_cover,500,IForest,0.006,4,clusters,True,knn,0.8472727272727273
10_cover,500,IForest,0.006,0,clusters,False,knn,0.972929292929293
10_cover,500,IForest,0.006,1,clusters,False,knn,0.8537373737373737
10_cover,500,IForest,0.006,2,clusters,False,knn,0.9002020202020202
10_cover,500,IForest,0.006,3,clusters,False,knn,0.8331313131313132
10_cover,500,IForest,0.006,4,clusters,False,knn,0.8581818181818183
10_cover,499,IForest,0.008,0,random,True,knn,0.9696969696969697
10_cover,500,IForest,0.008,1,random,True,knn,0.8816161616161616
10_cover,500,IForest,0.008,2,random,True,knn,0.9228282828282828
10_cover,500,IForest,0.008,3,random,True,knn,0.8868686868686869
10_cover,500,IForest,0.008,4,random,True,knn,0.804040404040404
10_cover,499,IForest,0.008,0,random,False,knn,0.9636363636363636
10_cover,500,IForest,0.008,1,random,False,knn,0.844040404040404
10_cover,500,IForest,0.008,2,random,False,knn,0.9006060606060606
10_cover,500,IForest,0.008,3,random,False,knn,0.8597979797979798
10_cover,500,IForest,0.008,4,random,False,knn,0.8711111111111111
10_cover,500,IForest,0.008,0,uncertainty,True,knn,0.9527272727272728
10_cover,500,IForest,0.008,1,uncertainty,True,knn,0.8771717171717172
10_cover,500,IForest,0.008,2,uncertainty,True,knn,0.8937373737373737
10_cover,500,IForest,0.008,3,uncertainty,True,knn,0.8537373737373738
10_cover,500,IForest,0.008,4,uncertainty,True,knn,0.8428282828282828
10_cover,499,IForest,0.008,0,uncertainty,False,knn,0.9850505050505051
10_cover,500,IForest,0.008,1,uncertainty,False,knn,0.90989898989899
10_cover,499,IForest,0.008,2,uncertainty,False,knn,0.9131313131313131
10_cover,500,IForest,0.008,3,uncertainty,False,knn,0.8113131313131312
10_cover,500,IForest,0.008,4,uncertainty,False,knn,0.8513131313131314
10_cover,500,IForest,0.008,0,anomalous,True,knn,0.9357575757575758
10_cover,500,IForest,0.008,1,anomalous,True,knn,0.8840404040404041
10_cover,500,IForest,0.008,2,anomalous,True,knn,0.9199999999999999
10_cover,116,IForest,0.008,3,anomalous,True,knn,0.9183838383838384
10_cover,500,IForest,0.008,4,anomalous,True,knn,0.8577777777777778
10_cover,500,IForest,0.008,0,anomalous,False,knn,0.953939393939394
10_cover,499,IForest,0.008,1,anomalous,False,knn,0.9026262626262627
10_cover,500,IForest,0.008,2,anomalous,False,knn,0.8670707070707071
10_cover,499,IForest,0.008,3,anomalous,False,knn,0.7834343434343434
10_cover,500,IForest,0.008,4,anomalous,False,knn,0.844848484848485
10_cover,500,IForest,0.008,0,clusters,True,knn,0.9377777777777777
10_cover,500,IForest,0.008,1,clusters,True,knn,0.863030303030303
10_cover,500,IForest,0.008,2,clusters,True,knn,0.8997979797979798
10_cover,500,IForest,0.008,3,clusters,True,knn,0.8945454545454545
10_cover,500,IForest,0.008,4,clusters,True,knn,0.886060606060606
10_cover,500,IForest,0.008,0,clusters,False,knn,0.9608080808080809
10_cover,500,IForest,0.008,1,clusters,False,knn,0.8816161616161617
10_cover,500,IForest,0.008,2,clusters,False,knn,0.9482828282828283
10_cover,500,IForest,0.008,3,clusters,False,knn,0.8303030303030302
10_cover,500,IForest,0.008,4,clusters,False,knn,0.8739393939393939
10_cover,499,IForest,0.01,0,random,True,knn,0.9741414141414141
10_cover,499,IForest,0.01,1,random,True,knn,0.8812121212121213
10_cover,500,IForest,0.01,2,random,True,knn,0.9466666666666667
10_cover,500,IForest,0.01,3,random,True,knn,0.8569696969696969
10_cover,500,IForest,0.01,4,random,True,knn,0.8731313131313132
10_cover,499,IForest,0.01,0,random,False,knn,0.9511111111111111
10_cover,499,IForest,0.01,1,random,False,knn,0.9224242424242425
10_cover,500,IForest,0.01,2,random,False,knn,0.9151515151515152
10_cover,500,IForest,0.01,3,random,False,knn,0.8016161616161617
10_cover,500,IForest,0.01,4,random,False,knn,0.8711111111111112
10_cover,500,IForest,0.01,0,uncertainty,True,knn,0.9660606060606061
10_cover,500,IForest,0.01,1,uncertainty,True,knn,0.8896969696969697
10_cover,500,IForest,0.01,2,uncertainty,True,knn,0.9107070707070707
10_cover,500,IForest,0.01,3,uncertainty,True,knn,0.8690909090909091
10_cover,460,IForest,0.01,4,uncertainty,True,knn,0.8210101010101011
10_cover,500,IForest,0.01,0,uncertainty,False,knn,0.9567676767676767
10_cover,500,IForest,0.01,1,uncertainty,False,knn,0.8985858585858586
10_cover,500,IForest,0.01,2,uncertainty,False,knn,0.8824242424242426
10_cover,500,IForest,0.01,3,uncertainty,False,knn,0.7890909090909092
10_cover,500,IForest,0.01,4,uncertainty,False,knn,0.8359595959595959
10_cover,500,IForest,0.01,0,anomalous,True,knn,0.9680808080808081
10_cover,500,IForest,0.01,1,anomalous,True,knn,0.898989898989899
10_cover,500,IForest,0.01,2,anomalous,True,knn,0.9094949494949495
10_cover,500,IForest,0.01,3,anomalous,True,knn,0.8395959595959596
10_cover,500,IForest,0.01,4,anomalous,True,knn,0.8448484848484847
10_cover,500,IForest,0.01,0,anomalous,False,knn,0.9822222222222223
10_cover,499,IForest,0.01,1,anomalous,False,knn,0.871919191919192
10_cover,500,IForest,0.01,2,anomalous,False,knn,0.8674747474747475
10_cover,499,IForest,0.01,3,anomalous,False,knn,0.8436363636363637
10_cover,499,IForest,0.01,4,anomalous,False,knn,0.8214141414141414
10_cover,500,IForest,0.01,0,clusters,True,knn,0.9709090909090908
10_cover,500,IForest,0.01,1,clusters,True,knn,0.8957575757575758
10_cover,500,IForest,0.01,2,clusters,True,knn,0.9074747474747474
10_cover,500,IForest,0.01,3,clusters,True,knn,0.8941414141414141
10_cover,500,IForest,0.01,4,clusters,True,knn,0.8303030303030303
10_cover,500,IForest,0.01,0,clusters,False,knn,0.9414141414141415
10_cover,500,IForest,0.01,1,clusters,False,knn,0.896969696969697
10_cover,500,IForest,0.01,2,clusters,False,knn,0.8565656565656565
10_cover,500,IForest,0.01,3,clusters,False,knn,0.8266666666666668
10_cover,500,IForest,0.01,4,clusters,False,knn,0.8250505050505051
10_cover,499,IForest,0.013,0,random,True,knn,0.9846464646464647
10_cover,499,IForest,0.013,1,random,True,knn,0.8965656565656566
10_cover,500,IForest,0.013,2,random,True,knn,0.9503030303030302
10_cover,500,IForest,0.013,3,random,True,knn,0.8488888888888889
10_cover,500,IForest,0.013,4,random,True,knn,0.8197979797979797
10_cover,499,IForest,0.013,0,random,False,knn,0.9664646464646465
10_cover,499,IForest,0.013,1,random,False,knn,0.8775757575757575
10_cover,500,IForest,0.013,2,random,False,knn,0.9353535353535353
10_cover,500,IForest,0.013,3,random,False,knn,0.8517171717171717
10_cover,500,IForest,0.013,4,random,False,knn,0.8432323232323233
10_cover,500,IForest,0.013,0,uncertainty,True,knn,0.9640404040404041
10_cover,500,IForest,0.013,1,uncertainty,True,knn,0.8840404040404041
10_cover,208,IForest,0.013,2,uncertainty,True,knn,0.9256565656565656
10_cover,500,IForest,0.013,3,uncertainty,True,knn,0.8367676767676768
10_cover,500,IForest,0.013,4,uncertainty,True,knn,0.8331313131313132
10_cover,499,IForest,0.013,0,uncertainty,False,knn,0.9757575757575758
10_cover,500,IForest,0.013,1,uncertainty,False,knn,0.8824242424242424
10_cover,500,IForest,0.013,2,uncertainty,False,knn,0.8808080808080809
10_cover,500,IForest,0.013,3,uncertainty,False,knn,0.8242424242424242
10_cover,500,IForest,0.013,4,uncertainty,False,knn,0.8456565656565657
10_cover,500,IForest,0.013,0,anomalous,True,knn,0.951111111111111
10_cover,500,IForest,0.013,1,anomalous,True,knn,0.884040404040404
10_cover,500,IForest,0.013,2,anomalous,True,knn,0.9058585858585859
10_cover,127,IForest,0.013,3,anomalous,True,knn,0.9066666666666667
10_cover,500,IForest,0.013,4,anomalous,True,knn,0.8787878787878788
10_cover,500,IForest,0.013,0,anomalous,False,knn,0.9414141414141415
10_cover,499,IForest,0.013,1,anomalous,False,knn,0.8945454545454545
10_cover,500,IForest,0.013,2,anomalous,False,knn,0.8658585858585859
10_cover,499,IForest,0.013,3,anomalous,False,knn,0.8408080808080808
10_cover,499,IForest,0.013,4,anomalous,False,knn,0.8282828282828283
10_cover,500,IForest,0.013,0,clusters,True,knn,0.9664646464646464
10_cover,500,IForest,0.013,1,clusters,True,knn,0.8840404040404041
10_cover,500,IForest,0.013,2,clusters,True,knn,0.936969696969697
10_cover,500,IForest,0.013,3,clusters,True,knn,0.8270707070707071
10_cover,500,IForest,0.013,4,clusters,True,knn,0.8921212121212121
10_cover,500,IForest,0.013,0,clusters,False,knn,0.9684848484848485
10_cover,500,IForest,0.013,1,clusters,False,knn,0.888080808080808
10_cover,500,IForest,0.013,2,clusters,False,knn,0.8868686868686869
10_cover,500,IForest,0.013,3,clusters,False,knn,0.8347474747474748
10_cover,500,IForest,0.013,4,clusters,False,knn,0.898989898989899
10_cover,499,IForest,0.02,0,random,True,knn,0.9745454545454546
10_cover,499,IForest,0.02,1,random,True,knn,0.8767676767676768
10_cover,500,IForest,0.02,2,random,True,knn,0.917979797979798
10_cover,500,IForest,0.02,3,random,True,knn,0.9224242424242424
10_cover,500,IForest,0.02,4,random,True,knn,0.8468686868686869
10_cover,499,IForest,0.02,0,random,False,knn,0.983030303030303
10_cover,499,IForest,0.02,1,random,False,knn,0.9058585858585858
10_cover,500,IForest,0.02,2,random,False,knn,0.9167676767676768
10_cover,500,IForest,0.02,3,random,False,knn,0.8565656565656565
10_cover,500,IForest,0.02,4,random,False,knn,0.8804040404040403
10_cover,499,IForest,0.02,0,uncertainty,True,knn,0.9648484848484848
10_cover,500,IForest,0.02,1,uncertainty,True,knn,0.9090909090909092
10_cover,149,IForest,0.02,2,uncertainty,True,knn,0.934949494949495
10_cover,500,IForest,0.02,3,uncertainty,True,knn,0.8800000000000001
10_cover,500,IForest,0.02,4,uncertainty,True,knn,0.8387878787878787
10_cover,500,IForest,0.02,0,uncertainty,False,knn,0.9519191919191919
10_cover,500,IForest,0.02,1,uncertainty,False,knn,0.8828282828282829
10_cover,499,IForest,0.02,2,uncertainty,False,knn,0.9486868686868687
10_cover,500,IForest,0.02,3,uncertainty,False,knn,0.8868686868686868
10_cover,498,IForest,0.02,4,uncertainty,False,knn,0.8868686868686868
10_cover,500,IForest,0.02,0,anomalous,True,knn,0.9555555555555555
10_cover,500,IForest,0.02,1,anomalous,True,knn,0.8133333333333332
10_cover,500,IForest,0.02,2,anomalous,True,knn,0.9090909090909091
10_cover,256,IForest,0.02,3,anomalous,True,knn,0.8408080808080809
10_cover,500,IForest,0.02,4,anomalous,True,knn,0.8238383838383839
10_cover,500,IForest,0.02,0,anomalous,False,knn,0.9806060606060606
10_cover,499,IForest,0.02,1,anomalous,False,knn,0.8658585858585859
10_cover,500,IForest,0.02,2,anomalous,False,knn,0.9373737373737374
10_cover,499,IForest,0.02,3,anomalous,False,knn,0.8541414141414141
10_cover,498,IForest,0.02,4,anomalous,False,knn,0.8367676767676767
10_cover,500,IForest,0.02,0,clusters,True,knn,0.9822222222222223
10_cover,500,IForest,0.02,1,clusters,True,knn,0.8767676767676768
10_cover,500,IForest,0.02,2,clusters,True,knn,0.9066666666666667
10_cover,500,IForest,0.02,3,clusters,True,knn,0.8016161616161617
10_cover,500,IForest,0.02,4,clusters,True,knn,0.8412121212121212
10_cover,500,IForest,0.02,0,clusters,False,knn,0.97010101010101
10_cover,500,IForest,0.02,1,clusters,False,knn,0.8428282828282827
10_cover,500,IForest,0.02,2,clusters,False,knn,0.9329292929292929
10_cover,500,IForest,0.02,3,clusters,False,knn,0.8884848484848484
10_cover,500,IForest,0.02,4,clusters,False,knn,0.8347474747474748
10_cover,499,IForest,0.03,0,random,True,knn,0.9721212121212122
10_cover,498,IForest,0.03,1,random,True,knn,0.8468686868686869
10_cover,500,IForest,0.03,2,random,True,knn,0.9208080808080809
10_cover,500,IForest,0.03,3,random,True,knn,0.8694949494949495
10_cover,500,IForest,0.03,4,random,True,knn,0.8468686868686869
10_cover,499,IForest,0.03,0,random,False,knn,0.9664646464646465
10_cover,498,IForest,0.03,1,random,False,knn,0.8484848484848485
10_cover,500,IForest,0.03,2,random,False,knn,0.9397979797979799
10_cover,500,IForest,0.03,3,random,False,knn,0.86989898989899
10_cover,500,IForest,0.03,4,random,False,knn,0.9010101010101009
10_cover,499,IForest,0.03,0,uncertainty,True,knn,0.9668686868686869
10_cover,500,IForest,0.03,1,uncertainty,True,knn,0.8105050505050506
10_cover,500,IForest,0.03,2,uncertainty,True,knn,0.9280808080808081
10_cover,500,IForest,0.03,3,uncertainty,True,knn,0.8529292929292929
10_cover,500,IForest,0.03,4,uncertainty,True,knn,0.8856565656565657
