dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
11_donors,500,IForest,0.0,0,random,True,knn,0.7851380042462845
11_donors,500,IForest,0.0,1,random,True,knn,0.7382873319179051
11_donors,500,IForest,0.0,2,random,True,knn,0.7899504600141543
11_donors,500,IForest,0.0,3,random,True,knn,0.7540693559801841
11_donors,500,IForest,0.0,4,random,True,knn,0.7651804670912952
11_donors,500,IForest,0.0,0,random,False,knn,0.7552724699221515
11_donors,500,IForest,0.0,1,random,False,knn,0.7433828733191791
11_donors,500,IForest,0.0,2,random,False,knn,0.7980891719745222
11_donors,500,IForest,0.0,3,random,False,knn,0.7371549893842887
11_donors,500,IForest,0.0,4,random,False,knn,0.7871196036801132
11_donors,500,IForest,0.0,0,uncertainty,True,knn,0.7884642604387827
11_donors,500,IForest,0.0,1,uncertainty,True,knn,0.7161358811040339
11_donors,500,IForest,0.0,2,uncertainty,True,knn,0.8046001415428167
11_donors,500,IForest,0.0,3,uncertainty,True,knn,0.7448690728945506
11_donors,500,IForest,0.0,4,uncertainty,True,knn,0.7639065817409767
11_donors,500,IForest,0.0,0,uncertainty,False,knn,0.7832979476291579
11_donors,500,IForest,0.0,1,uncertainty,False,knn,0.7438075017692852
11_donors,500,IForest,0.0,2,uncertainty,False,knn,0.7886765746638358
11_donors,500,IForest,0.0,3,uncertainty,False,knn,0.7765746638358103
11_donors,500,IForest,0.0,4,uncertainty,False,knn,0.7584571832979475
11_donors,500,IForest,0.0,0,anomalous,True,knn,0.7628450106157112
11_donors,500,IForest,0.0,1,anomalous,True,knn,0.7416135881104033
11_donors,500,IForest,0.0,2,anomalous,True,knn,0.8019108280254776
11_donors,500,IForest,0.0,3,anomalous,True,knn,0.7771408351026186
11_donors,500,IForest,0.0,4,anomalous,True,knn,0.75449398443029
11_donors,500,IForest,0.0,0,anomalous,False,knn,0.7449398443029016
11_donors,500,IForest,0.0,1,anomalous,False,knn,0.7044585987261147
11_donors,500,IForest,0.0,2,anomalous,False,knn,0.7778485491861288
11_donors,500,IForest,0.0,3,anomalous,False,knn,0.7141542816702052
11_donors,500,IForest,0.0,4,anomalous,False,knn,0.7576786978060863
11_donors,500,IForest,0.0,0,clusters,True,knn,0.7640481245576787
11_donors,500,IForest,0.0,1,clusters,True,knn,0.7331210191082803
11_donors,500,IForest,0.0,2,clusters,True,knn,0.8115357395612173
11_donors,500,IForest,0.0,3,clusters,True,knn,0.778485491861288
11_donors,500,IForest,0.0,4,clusters,True,knn,0.764897381457891
11_donors,500,IForest,0.0,0,clusters,False,knn,0.7362349610757255
11_donors,500,IForest,0.0,1,clusters,False,knn,0.7521585279547063
11_donors,500,IForest,0.0,2,clusters,False,knn,0.8280962491153574
11_donors,500,IForest,0.0,3,clusters,False,knn,0.7375088464260438
11_donors,500,IForest,0.0,4,clusters,False,knn,0.7507430997876858
11_donors,500,IForest,0.004,0,random,True,knn,0.7552724699221515
