dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
13_fraud,500,IForest,0.0,0,random,True,knn,0.992
13_fraud,500,IForest,0.0,1,random,True,knn,0.988
13_fraud,500,IForest,0.0,2,random,True,knn,0.19999999999999996
13_fraud,500,IForest,0.0,3,random,True,knn,0.988
13_fraud,500,IForest,0.0,4,random,True,knn,1.0
13_fraud,500,IForest,0.0,0,random,False,knn,0.996
13_fraud,500,IForest,0.0,1,random,False,knn,0.992
13_fraud,500,IForest,0.0,2,random,False,knn,0.31200000000000006
13_fraud,500,IForest,0.0,3,random,False,knn,0.992
13_fraud,500,IForest,0.0,4,random,False,knn,0.998
13_fraud,500,IForest,0.0,0,uncertainty,True,knn,0.996
13_fraud,500,IForest,0.0,1,uncertainty,True,knn,0.992
13_fraud,500,IForest,0.0,2,uncertainty,True,knn,0.15200000000000002
13_fraud,500,IForest,0.0,3,uncertainty,True,knn,0.992
13_fraud,500,IForest,0.0,4,uncertainty,True,knn,1.0
13_fraud,500,IForest,0.0,0,uncertainty,False,knn,0.992
13_fraud,500,IForest,0.0,1,uncertainty,False,knn,0.99
13_fraud,500,IForest,0.0,2,uncertainty,False,knn,0.10199999999999998
13_fraud,500,IForest,0.0,3,uncertainty,False,knn,0.988
13_fraud,500,IForest,0.0,4,uncertainty,False,knn,0.998
13_fraud,500,IForest,0.0,0,anomalous,True,knn,0.994
13_fraud,500,IForest,0.0,1,anomalous,True,knn,0.99
13_fraud,500,IForest,0.0,2,anomalous,True,knn,0.15200000000000002
13_fraud,500,IForest,0.0,3,anomalous,True,knn,0.992
13_fraud,500,IForest,0.0,4,anomalous,True,knn,0.996
13_fraud,500,IForest,0.0,0,anomalous,False,knn,0.992
13_fraud,500,IForest,0.0,1,anomalous,False,knn,0.992
13_fraud,500,IForest,0.0,2,anomalous,False,knn,0.15200000000000002
13_fraud,500,IForest,0.0,3,anomalous,False,knn,0.992
13_fraud,500,IForest,0.0,4,anomalous,False,knn,0.996
13_fraud,500,IForest,0.0,0,clusters,True,knn,0.99
13_fraud,500,IForest,0.0,1,clusters,True,knn,0.992
13_fraud,500,IForest,0.0,2,clusters,True,knn,0.24
13_fraud,500,IForest,0.0,3,clusters,True,knn,0.998
13_fraud,500,IForest,0.0,4,clusters,True,knn,1.0
13_fraud,500,IForest,0.0,0,clusters,False,knn,0.998
13_fraud,500,IForest,0.0,1,clusters,False,knn,0.986
