dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
15_Hepatitis,40,IForest,0.0,0,random,True,knn,0.5784313725490196
15_Hepatitis,40,IForest,0.0,1,random,True,knn,0.7619047619047619
15_Hepatitis,40,IForest,0.0,2,random,True,knn,0.5735294117647058
15_Hepatitis,40,IForest,0.0,3,random,True,knn,0.5392156862745098
15_Hepatitis,40,IForest,0.0,4,random,True,knn,0.8039215686274509
15_Hepatitis,40,IForest,0.0,0,random,False,knn,0.6715686274509804
15_Hepatitis,40,IForest,0.0,1,random,False,knn,0.7186147186147186
15_Hepatitis,40,IForest,0.0,2,random,False,knn,0.4852941176470588
15_Hepatitis,40,IForest,0.0,3,random,False,knn,0.642156862745098
15_Hepatitis,40,IForest,0.0,4,random,False,knn,0.7156862745098039
15_Hepatitis,40,IForest,0.0,0,uncertainty,True,knn,0.5931372549019608
15_Hepatitis,40,IForest,0.0,1,uncertainty,True,knn,0.7575757575757576
15_Hepatitis,40,IForest,0.0,2,uncertainty,True,knn,0.5441176470588235
15_Hepatitis,40,IForest,0.0,3,uncertainty,True,knn,0.6323529411764706
15_Hepatitis,40,IForest,0.0,4,uncertainty,True,knn,0.7205882352941176
15_Hepatitis,40,IForest,0.0,0,uncertainty,False,knn,0.6715686274509804
15_Hepatitis,40,IForest,0.0,1,uncertainty,False,knn,0.7099567099567099
15_Hepatitis,40,IForest,0.0,2,uncertainty,False,knn,0.5196078431372549
15_Hepatitis,40,IForest,0.0,3,uncertainty,False,knn,0.5882352941176471
15_Hepatitis,40,IForest,0.0,4,uncertainty,False,knn,0.7696078431372548
15_Hepatitis,40,IForest,0.0,0,anomalous,True,knn,0.6617647058823529
15_Hepatitis,40,IForest,0.0,1,anomalous,True,knn,0.7532467532467533
15_Hepatitis,40,IForest,0.0,2,anomalous,True,knn,0.48039215686274506
15_Hepatitis,40,IForest,0.0,3,anomalous,True,knn,0.6176470588235294
15_Hepatitis,40,IForest,0.0,4,anomalous,True,knn,0.7352941176470589
15_Hepatitis,40,IForest,0.0,0,anomalous,False,knn,0.6568627450980392
15_Hepatitis,40,IForest,0.0,1,anomalous,False,knn,0.7402597402597402
15_Hepatitis,40,IForest,0.0,2,anomalous,False,knn,0.5147058823529411
15_Hepatitis,40,IForest,0.0,3,anomalous,False,knn,0.6029411764705882
15_Hepatitis,40,IForest,0.0,4,anomalous,False,knn,0.696078431372549
15_Hepatitis,40,IForest,0.0,0,clusters,True,knn,0.5784313725490196
15_Hepatitis,40,IForest,0.0,1,clusters,True,knn,0.7445887445887446
15_Hepatitis,40,IForest,0.0,2,clusters,True,knn,0.5343137254901961
15_Hepatitis,40,IForest,0.0,3,clusters,True,knn,0.6470588235294117
