dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
16_http,500,IForest,0.0,0,random,True,knn,1.0
16_http,500,IForest,0.0,1,random,True,knn,1.0
16_http,500,IForest,0.0,2,random,True,knn,1.0
16_http,500,IForest,0.0,3,random,True,knn,1.0
16_http,500,IForest,0.0,4,random,True,knn,0.9969879518072289
16_http,500,IForest,0.0,0,random,False,knn,1.0
16_http,500,IForest,0.0,1,random,False,knn,1.0
16_http,500,IForest,0.0,2,random,False,knn,1.0
16_http,500,IForest,0.0,3,random,False,knn,1.0
16_http,500,IForest,0.0,4,random,False,knn,0.9969879518072289
16_http,500,IForest,0.0,0,uncertainty,True,knn,1.0
16_http,500,IForest,0.0,1,uncertainty,True,knn,1.0
16_http,500,IForest,0.0,2,uncertainty,True,knn,1.0
16_http,500,IForest,0.0,3,uncertainty,True,knn,1.0
16_http,500,IForest,0.0,4,uncertainty,True,knn,1.0
16_http,500,IForest,0.0,0,uncertainty,False,knn,1.0
16_http,500,IForest,0.0,1,uncertainty,False,knn,1.0
16_http,500,IForest,0.0,2,uncertainty,False,knn,1.0
16_http,500,IForest,0.0,3,uncertainty,False,knn,1.0
16_http,500,IForest,0.0,4,uncertainty,False,knn,0.9939759036144578
16_http,500,IForest,0.0,0,anomalous,True,knn,1.0
16_http,500,IForest,0.0,1,anomalous,True,knn,1.0
16_http,500,IForest,0.0,2,anomalous,True,knn,1.0
16_http,500,IForest,0.0,3,anomalous,True,knn,1.0
16_http,500,IForest,0.0,4,anomalous,True,knn,0.998995983935743
16_http,500,IForest,0.0,0,anomalous,False,knn,1.0
16_http,500,IForest,0.0,1,anomalous,False,knn,1.0
16_http,500,IForest,0.0,2,anomalous,False,knn,1.0
16_http,500,IForest,0.0,3,anomalous,False,knn,1.0
16_http,500,IForest,0.0,4,anomalous,False,knn,1.0
16_http,500,IForest,0.0,0,clusters,True,knn,1.0
16_http,500,IForest,0.0,1,clusters,True,knn,1.0
16_http,500,IForest,0.0,2,clusters,True,knn,1.0
16_http,500,IForest,0.0,3,clusters,True,knn,1.0
16_http,500,IForest,0.0,4,clusters,True,knn,0.9969879518072289
16_http,500,IForest,0.0,0,clusters,False,knn,1.0
16_http,500,IForest,0.0,1,clusters,False,knn,1.0
16_http,500,IForest,0.0,2,clusters,False,knn,1.0
16_http,500,IForest,0.0,3,clusters,False,knn,1.0
16_http,500,IForest,0.0,4,clusters,False,knn,0.9949799196787148
16_http,500,IForest,0.004,0,random,True,knn,1.0
16_http,500,IForest,0.004,1,random,True,knn,1.0
16_http,500,IForest,0.004,2,random,True,knn,1.0
16_http,500,IForest,0.004,3,random,True,knn,1.0
16_http,500,IForest,0.004,4,random,True,knn,0.995983935742972
16_http,500,IForest,0.004,0,random,False,knn,1.0
16_http,500,IForest,0.004,1,random,False,knn,1.0
16_http,500,IForest,0.004,2,random,False,knn,1.0
16_http,500,IForest,0.004,3,random,False,knn,1.0
16_http,500,IForest,0.004,4,random,False,knn,0.9949799196787149
16_http,500,IForest,0.004,0,uncertainty,True,knn,1.0
16_http,500,IForest,0.004,1,uncertainty,True,knn,1.0
16_http,500,IForest,0.004,2,uncertainty,True,knn,0.9999999999999999
16_http,500,IForest,0.004,3,uncertainty,True,knn,1.0
16_http,500,IForest,0.004,4,uncertainty,True,knn,0.998995983935743
16_http,500,IForest,0.004,0,uncertainty,False,knn,1.0
16_http,500,IForest,0.004,1,uncertainty,False,knn,1.0
16_http,500,IForest,0.004,2,uncertainty,False,knn,1.0
16_http,500,IForest,0.004,3,uncertainty,False,knn,1.0
16_http,500,IForest,0.004,4,uncertainty,False,knn,0.996987951807229
16_http,500,IForest,0.004,0,anomalous,True,knn,1.0
16_http,500,IForest,0.004,1,anomalous,True,knn,1.0
16_http,498,IForest,0.004,2,anomalous,True,knn,0.9899598393574297
16_http,500,IForest,0.004,3,anomalous,True,knn,1.0
16_http,500,IForest,0.004,4,anomalous,True,knn,0.9929718875502008
16_http,498,IForest,0.004,0,anomalous,False,knn,0.9879518072289156
16_http,498,IForest,0.004,1,anomalous,False,knn,0.995983935742972
16_http,499,IForest,0.004,2,anomalous,False,knn,1.0
16_http,498,IForest,0.004,3,anomalous,False,knn,0.9979919678714859
16_http,500,IForest,0.004,4,anomalous,False,knn,1.0
16_http,500,IForest,0.004,0,clusters,True,knn,1.0
16_http,500,IForest,0.004,1,clusters,True,knn,1.0
16_http,500,IForest,0.004,2,clusters,True,knn,1.0
16_http,500,IForest,0.004,3,clusters,True,knn,1.0
16_http,500,IForest,0.004,4,clusters,True,knn,0.995983935742972
16_http,500,IForest,0.004,0,clusters,False,knn,1.0
16_http,500,IForest,0.004,1,clusters,False,knn,1.0
16_http,500,IForest,0.004,2,clusters,False,knn,1.0
16_http,499,IForest,0.004,3,clusters,False,knn,1.0
16_http,500,IForest,0.004,4,clusters,False,knn,0.9979919678714859
16_http,500,IForest,0.006,0,random,True,knn,1.0
16_http,500,IForest,0.006,1,random,True,knn,1.0
16_http,500,IForest,0.006,2,random,True,knn,1.0
16_http,500,IForest,0.006,3,random,True,knn,1.0
16_http,500,IForest,0.006,4,random,True,knn,0.9949799196787147
16_http,500,IForest,0.006,0,random,False,knn,1.0
16_http,500,IForest,0.006,1,random,False,knn,0.9999999999999999
16_http,500,IForest,0.006,2,random,False,knn,1.0
16_http,500,IForest,0.006,3,random,False,knn,1.0
16_http,500,IForest,0.006,4,random,False,knn,0.9959839357429718
16_http,500,IForest,0.006,0,uncertainty,True,knn,1.0
16_http,500,IForest,0.006,1,uncertainty,True,knn,1.0
16_http,500,IForest,0.006,2,uncertainty,True,knn,1.0
16_http,500,IForest,0.006,3,uncertainty,True,knn,1.0
16_http,500,IForest,0.006,4,uncertainty,True,knn,0.997991967871486
16_http,500,IForest,0.006,0,uncertainty,False,knn,1.0
16_http,500,IForest,0.006,1,uncertainty,False,knn,1.0
16_http,500,IForest,0.006,2,uncertainty,False,knn,1.0
16_http,500,IForest,0.006,3,uncertainty,False,knn,1.0
16_http,500,IForest,0.006,4,uncertainty,False,knn,0.9969879518072289
16_http,500,IForest,0.006,0,anomalous,True,knn,1.0
16_http,500,IForest,0.006,1,anomalous,True,knn,1.0
16_http,498,IForest,0.006,2,anomalous,True,knn,0.9839357429718876
16_http,498,IForest,0.006,3,anomalous,True,knn,0.9899598393574297
16_http,498,IForest,0.006,4,anomalous,True,knn,0.930722891566265
16_http,498,IForest,0.006,0,anomalous,False,knn,0.9859437751004017
16_http,498,IForest,0.006,1,anomalous,False,knn,0.9979919678714859
16_http,498,IForest,0.006,2,anomalous,False,knn,0.9919678714859438
16_http,498,IForest,0.006,3,anomalous,False,knn,0.995983935742972
16_http,499,IForest,0.006,4,anomalous,False,knn,0.9939759036144578
16_http,499,IForest,0.006,0,clusters,True,knn,1.0
16_http,500,IForest,0.006,1,clusters,True,knn,1.0
16_http,500,IForest,0.006,2,clusters,True,knn,1.0
