dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
17_InternetAds,500,IForest,0.0,0,random,True,knn,0.6585289351246799
17_InternetAds,500,IForest,0.0,1,random,True,knn,0.6827330231585551
17_InternetAds,500,IForest,0.0,2,random,True,knn,0.7128705107428512
17_InternetAds,500,IForest,0.0,3,random,True,knn,0.6271368079878719
17_InternetAds,500,IForest,0.0,4,random,True,knn,0.6140676459825396
17_InternetAds,500,IForest,0.0,0,random,False,knn,0.6869543624862773
17_InternetAds,500,IForest,0.0,1,random,False,knn,0.6503999163573633
17_InternetAds,500,IForest,0.0,2,random,False,knn,0.6601495112133411
17_InternetAds,500,IForest,0.0,3,random,False,knn,0.6351874117831564
17_InternetAds,500,IForest,0.0,4,random,False,knn,0.632103089549898
17_InternetAds,500,IForest,0.0,0,uncertainty,True,knn,0.6617439489779915
17_InternetAds,500,IForest,0.0,1,uncertainty,True,knn,0.6543860107689896
17_InternetAds,500,IForest,0.0,2,uncertainty,True,knn,0.6353703800512311
17_InternetAds,500,IForest,0.0,3,uncertainty,True,knn,0.6320900203878927
17_InternetAds,500,IForest,0.0,4,uncertainty,True,knn,0.6803413665115793
17_InternetAds,500,IForest,0.0,0,uncertainty,False,knn,0.7133932772230644
17_InternetAds,500,IForest,0.0,1,uncertainty,False,knn,0.7193266767734854
17_InternetAds,500,IForest,0.0,2,uncertainty,False,knn,0.7274949030268179
17_InternetAds,500,IForest,0.0,3,uncertainty,False,knn,0.6469365884259501
17_InternetAds,500,IForest,0.0,4,uncertainty,False,knn,0.652517120602227
17_InternetAds,500,IForest,0.0,0,anomalous,True,knn,0.6772701134403263
17_InternetAds,500,IForest,0.0,1,anomalous,True,knn,0.6540592817188562
17_InternetAds,500,IForest,0.0,2,anomalous,True,knn,0.7017747922003242
17_InternetAds,500,IForest,0.0,3,anomalous,True,knn,0.6271106696638612
17_InternetAds,500,IForest,0.0,4,anomalous,True,knn,0.6365335354697057
17_InternetAds,500,IForest,0.0,0,anomalous,False,knn,0.6908359036018612
17_InternetAds,500,IForest,0.0,1,anomalous,False,knn,0.6601625803753464
17_InternetAds,500,IForest,0.0,2,anomalous,False,knn,0.6651157927753673
17_InternetAds,500,IForest,0.0,3,anomalous,False,knn,0.6631031418265461
17_InternetAds,500,IForest,0.0,4,anomalous,False,knn,0.6059647655392336
17_InternetAds,500,IForest,0.0,0,clusters,True,knn,0.6521511840660776
17_InternetAds,500,IForest,0.0,1,clusters,True,knn,0.6751137017094464
17_InternetAds,500,IForest,0.0,2,clusters,True,knn,0.6944691306393433
17_InternetAds,500,IForest,0.0,3,clusters,True,knn,0.6606853468555596
17_InternetAds,500,IForest,0.0,4,clusters,True,knn,0.6505698154634325
17_InternetAds,500,IForest,0.0,0,clusters,False,knn,0.6455512572533849
17_InternetAds,500,IForest,0.0,1,clusters,False,knn,0.6435647446285745
17_InternetAds,500,IForest,0.0,2,clusters,False,knn,0.7162946311882481
17_InternetAds,500,IForest,0.0,3,clusters,False,knn,0.6284306550263996
17_InternetAds,500,IForest,0.0,4,clusters,False,knn,0.6400622092111453
17_InternetAds,495,IForest,0.004,0,random,True,knn,0.6733362956767213
17_InternetAds,498,IForest,0.004,1,random,True,knn,0.6488446860787287
17_InternetAds,498,IForest,0.004,2,random,True,knn,0.7380678550891316
