dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
1_ALOI,500,IForest,0.0,0,random,True,knn,0.5208247422680412
1_ALOI,500,IForest,0.0,1,random,True,knn,0.5402061855670103
1_ALOI,500,IForest,0.0,2,random,True,knn,0.46082474226804127
1_ALOI,500,IForest,0.0,3,random,True,knn,0.4235051546391753
1_ALOI,500,IForest,0.0,4,random,True,knn,0.5260481099656357
1_ALOI,500,IForest,0.0,0,random,False,knn,0.5141580756013746
1_ALOI,500,IForest,0.0,1,random,False,knn,0.5426804123711341
1_ALOI,500,IForest,0.0,2,random,False,knn,0.4538144329896907
1_ALOI,500,IForest,0.0,3,random,False,knn,0.41553264604810997
1_ALOI,500,IForest,0.0,4,random,False,knn,0.49800687285223366
1_ALOI,500,IForest,0.0,0,uncertainty,True,knn,0.5487285223367697
1_ALOI,500,IForest,0.0,1,uncertainty,True,knn,0.5561512027491409
1_ALOI,500,IForest,0.0,2,uncertainty,True,knn,0.4345017182130584
1_ALOI,500,IForest,0.0,3,uncertainty,True,knn,0.4285223367697594
1_ALOI,500,IForest,0.0,4,uncertainty,True,knn,0.4819243986254296
1_ALOI,500,IForest,0.0,0,uncertainty,False,knn,0.5135395189003436
1_ALOI,500,IForest,0.0,1,uncertainty,False,knn,0.5342955326460481
1_ALOI,500,IForest,0.0,2,uncertainty,False,knn,0.4805498281786942
1_ALOI,500,IForest,0.0,3,uncertainty,False,knn,0.4153951890034364
1_ALOI,500,IForest,0.0,4,uncertainty,False,knn,0.4791752577319588
1_ALOI,500,IForest,0.0,0,anomalous,True,knn,0.543917525773196
1_ALOI,500,IForest,0.0,1,anomalous,True,knn,0.5542268041237113
1_ALOI,500,IForest,0.0,2,anomalous,True,knn,0.46762886597938147
1_ALOI,500,IForest,0.0,3,anomalous,True,knn,0.4640549828178694
1_ALOI,500,IForest,0.0,4,anomalous,True,knn,0.5091408934707904
1_ALOI,500,IForest,0.0,0,anomalous,False,knn,0.5773195876288659
1_ALOI,500,IForest,0.0,1,anomalous,False,knn,0.5359450171821306
1_ALOI,500,IForest,0.0,2,anomalous,False,knn,0.4404810996563574
1_ALOI,500,IForest,0.0,3,anomalous,False,knn,0.42439862542955326
1_ALOI,500,IForest,0.0,4,anomalous,False,knn,0.5259106529209622
1_ALOI,500,IForest,0.0,0,clusters,True,knn,0.5450171821305841
1_ALOI,500,IForest,0.0,1,clusters,True,knn,0.5359450171821306
1_ALOI,500,IForest,0.0,2,clusters,True,knn,0.4391752577319588
1_ALOI,500,IForest,0.0,3,clusters,True,knn,0.46171821305841926
1_ALOI,500,IForest,0.0,4,clusters,True,knn,0.5209621993127147
1_ALOI,500,IForest,0.0,0,clusters,False,knn,0.5595876288659793
1_ALOI,500,IForest,0.0,1,clusters,False,knn,0.5362199312714777
1_ALOI,500,IForest,0.0,2,clusters,False,knn,0.4543642611683849
1_ALOI,500,IForest,0.0,3,clusters,False,knn,0.4135395189003436
1_ALOI,500,IForest,0.0,4,clusters,False,knn,0.5069415807560138
1_ALOI,500,IForest,0.004,0,random,True,knn,0.5144329896907216
1_ALOI,500,IForest,0.004,1,random,True,knn,0.5477663230240549
1_ALOI,500,IForest,0.004,2,random,True,knn,0.4403436426116839
1_ALOI,500,IForest,0.004,3,random,True,knn,0.4284536082474227
1_ALOI,500,IForest,0.004,4,random,True,knn,0.5333333333333333
1_ALOI,500,IForest,0.004,0,random,False,knn,0.5657731958762886
1_ALOI,500,IForest,0.004,1,random,False,knn,0.5512027491408934
1_ALOI,500,IForest,0.004,2,random,False,knn,0.4274226804123711
1_ALOI,500,IForest,0.004,3,random,False,knn,0.406872852233677
1_ALOI,500,IForest,0.004,4,random,False,knn,0.49512027491408933
1_ALOI,500,IForest,0.004,0,uncertainty,True,knn,0.5139518900343643
1_ALOI,500,IForest,0.004,1,uncertainty,True,knn,0.5382817869415808
1_ALOI,500,IForest,0.004,2,uncertainty,True,knn,0.4621305841924398
1_ALOI,500,IForest,0.004,3,uncertainty,True,knn,0.45374570446735396
1_ALOI,500,IForest,0.004,4,uncertainty,True,knn,0.5068041237113402
1_ALOI,500,IForest,0.004,0,uncertainty,False,knn,0.5496907216494845
1_ALOI,500,IForest,0.004,1,uncertainty,False,knn,0.537319587628866
1_ALOI,500,IForest,0.004,2,uncertainty,False,knn,0.40652920962199307
1_ALOI,499,IForest,0.004,3,uncertainty,False,knn,0.4317525773195876
1_ALOI,500,IForest,0.004,4,uncertainty,False,knn,0.5101030927835052
1_ALOI,500,IForest,0.004,0,anomalous,True,knn,0.5336082474226804
1_ALOI,500,IForest,0.004,1,anomalous,True,knn,0.5261855670103093
1_ALOI,500,IForest,0.004,2,anomalous,True,knn,0.45429553264604816
1_ALOI,500,IForest,0.004,3,anomalous,True,knn,0.4476975945017182
1_ALOI,500,IForest,0.004,4,anomalous,True,knn,0.5169759450171821
1_ALOI,500,IForest,0.004,0,anomalous,False,knn,0.5366323024054983
1_ALOI,500,IForest,0.004,1,anomalous,False,knn,0.5319587628865979
1_ALOI,500,IForest,0.004,2,anomalous,False,knn,0.44151202749140894
1_ALOI,500,IForest,0.004,3,anomalous,False,knn,0.3905154639175258
1_ALOI,500,IForest,0.004,4,anomalous,False,knn,0.5069415807560137
1_ALOI,24,IForest,0.004,0,clusters,True,knn,0.49800687285223366
1_ALOI,500,IForest,0.004,1,clusters,True,knn,0.5545017182130585
1_ALOI,500,IForest,0.004,2,clusters,True,knn,0.4437800687285224
1_ALOI,500,IForest,0.004,3,clusters,True,knn,0.42604810996563575
1_ALOI,500,IForest,0.004,4,clusters,True,knn,0.5342955326460481
1_ALOI,499,IForest,0.004,0,clusters,False,knn,0.5586254295532646
1_ALOI,500,IForest,0.004,1,clusters,False,knn,0.56
1_ALOI,500,IForest,0.004,2,clusters,False,knn,0.47993127147766323
1_ALOI,500,IForest,0.004,3,clusters,False,knn,0.4221305841924399
1_ALOI,499,IForest,0.004,4,clusters,False,knn,0.5252233676975946
1_ALOI,500,IForest,0.006,0,random,True,knn,0.547766323024055
1_ALOI,500,IForest,0.006,1,random,True,knn,0.5556013745704468
1_ALOI,500,IForest,0.006,2,random,True,knn,0.4496219931271478
1_ALOI,500,IForest,0.006,3,random,True,knn,0.4226804123711341
1_ALOI,500,IForest,0.006,4,random,True,knn,0.5107903780068728
1_ALOI,500,IForest,0.006,0,random,False,knn,0.5397938144329898
1_ALOI,500,IForest,0.006,1,random,False,knn,0.5348453608247423
1_ALOI,500,IForest,0.006,2,random,False,knn,0.4067353951890034
1_ALOI,500,IForest,0.006,3,random,False,knn,0.4349140893470791
1_ALOI,500,IForest,0.006,4,random,False,knn,0.5169759450171821
1_ALOI,500,IForest,0.006,0,uncertainty,True,knn,0.5164261168384879
1_ALOI,500,IForest,0.006,1,uncertainty,True,knn,0.5536769759450172
1_ALOI,500,IForest,0.006,2,uncertainty,True,knn,0.4983505154639175
1_ALOI,500,IForest,0.006,3,uncertainty,True,knn,0.42309278350515467
1_ALOI,500,IForest,0.006,4,uncertainty,True,knn,0.5318213058419243
1_ALOI,500,IForest,0.006,0,uncertainty,False,knn,0.5099656357388316
1_ALOI,500,IForest,0.006,1,uncertainty,False,knn,0.5426804123711341
1_ALOI,500,IForest,0.006,2,uncertainty,False,knn,0.43058419243986257
1_ALOI,500,IForest,0.006,3,uncertainty,False,knn,0.44329896907216493
1_ALOI,500,IForest,0.006,4,uncertainty,False,knn,0.4952577319587629
1_ALOI,500,IForest,0.006,0,anomalous,True,knn,0.5257731958762886
1_ALOI,500,IForest,0.006,1,anomalous,True,knn,0.5299656357388317
1_ALOI,500,IForest,0.006,2,anomalous,True,knn,0.46474226804123714
1_ALOI,500,IForest,0.006,3,anomalous,True,knn,0.4310652920962199
1_ALOI,500,IForest,0.006,4,anomalous,True,knn,0.5167010309278349
1_ALOI,500,IForest,0.006,0,anomalous,False,knn,0.5345704467353951
1_ALOI,500,IForest,0.006,1,anomalous,False,knn,0.5336769759450172
1_ALOI,500,IForest,0.006,2,anomalous,False,knn,0.42982817869415807
1_ALOI,500,IForest,0.006,3,anomalous,False,knn,0.4240549828178694
1_ALOI,500,IForest,0.006,4,anomalous,False,knn,0.5094158075601374
1_ALOI,25,IForest,0.006,0,clusters,True,knn,0.43298969072164956
1_ALOI,500,IForest,0.006,1,clusters,True,knn,0.5501030927835051
1_ALOI,500,IForest,0.006,2,clusters,True,knn,0.42556701030927835
1_ALOI,500,IForest,0.006,3,clusters,True,knn,0.44879725085910654
1_ALOI,500,IForest,0.006,4,clusters,True,knn,0.5084536082474227
1_ALOI,499,IForest,0.006,0,clusters,False,knn,0.54213058419244
