dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
20_letter,500,IForest,0.0,0,random,True,knn,0.64894421899718
20_letter,500,IForest,0.0,1,random,True,knn,0.6465010683760684
20_letter,500,IForest,0.0,2,random,True,knn,0.6530710502785612
20_letter,500,IForest,0.0,3,random,True,knn,0.5652383245064998
20_letter,500,IForest,0.0,4,random,True,knn,0.6640759336955774
20_letter,500,IForest,0.0,0,random,False,knn,0.6332622601279319
20_letter,500,IForest,0.0,1,random,False,knn,0.6068376068376069
20_letter,500,IForest,0.0,2,random,False,knn,0.69626521769035
20_letter,500,IForest,0.0,3,random,False,knn,0.5665451544122705
20_letter,500,IForest,0.0,4,random,False,knn,0.6168924960451201
20_letter,500,IForest,0.0,0,uncertainty,True,knn,0.603961758030126
20_letter,500,IForest,0.0,1,uncertainty,True,knn,0.6509748931623932
20_letter,500,IForest,0.0,2,uncertainty,True,knn,0.6825091134190797
20_letter,500,IForest,0.0,3,uncertainty,True,knn,0.5871793108191761
20_letter,500,IForest,0.0,4,uncertainty,True,knn,0.5917188252286952
20_letter,500,IForest,0.0,0,uncertainty,False,knn,0.6468120228351331
20_letter,500,IForest,0.0,1,uncertainty,False,knn,0.6268696581196581
20_letter,500,IForest,0.0,2,uncertainty,False,knn,0.6662081298576243
20_letter,500,IForest,0.0,3,uncertainty,False,knn,0.5822271132815187
20_letter,500,IForest,0.0,4,uncertainty,False,knn,0.6153105440539239
20_letter,500,IForest,0.0,0,anomalous,True,knn,0.6465369007497077
20_letter,500,IForest,0.0,1,anomalous,True,knn,0.6597889957264957
20_letter,500,IForest,0.0,2,anomalous,True,knn,0.6966779008184882
20_letter,500,IForest,0.0,3,anomalous,True,knn,0.5654446660705688
20_letter,500,IForest,0.0,4,anomalous,True,knn,0.627622257376711
20_letter,500,IForest,0.0,0,anomalous,False,knn,0.5827085769310132
20_letter,500,IForest,0.0,1,anomalous,False,knn,0.6584535256410257
20_letter,500,IForest,0.0,2,anomalous,False,knn,0.6360822615035422
20_letter,500,IForest,0.0,3,anomalous,False,knn,0.5805763807689662
20_letter,500,IForest,0.0,4,anomalous,False,knn,0.6389710434005089
20_letter,500,IForest,0.0,0,clusters,True,knn,0.6400027512208541
20_letter,500,IForest,0.0,1,clusters,True,knn,0.6674011752136753
20_letter,500,IForest,0.0,2,clusters,True,knn,0.6261778664282276
20_letter,500,IForest,0.0,3,clusters,True,knn,0.5494188045945387
20_letter,500,IForest,0.0,4,clusters,True,knn,0.6113900543366119
20_letter,500,IForest,0.0,0,clusters,False,knn,0.6309237224018158
20_letter,500,IForest,0.0,1,clusters,False,knn,0.6184561965811967
20_letter,500,IForest,0.0,2,clusters,False,knn,0.6500447073388816
20_letter,500,IForest,0.0,3,clusters,False,knn,0.6028612696884242
20_letter,500,IForest,0.0,4,clusters,False,knn,0.5893802875025793
20_letter,500,IForest,0.004,0,random,True,knn,0.6462617786642822
20_letter,500,IForest,0.004,1,random,True,knn,0.6027644230769231
20_letter,500,IForest,0.004,2,random,True,knn,0.658160808858931
20_letter,500,IForest,0.004,3,random,True,knn,0.5831212600591512
20_letter,500,IForest,0.004,4,random,True,knn,0.652452025586354
20_letter,500,IForest,0.004,0,random,False,knn,0.6089139555677832
20_letter,500,IForest,0.004,1,random,False,knn,0.6334134615384616
20_letter,500,IForest,0.004,2,random,False,knn,0.626659330077722
20_letter,500,IForest,0.004,3,random,False,knn,0.5732168649838365
20_letter,500,IForest,0.004,4,random,False,knn,0.6278285989407799
20_letter,500,IForest,0.004,0,uncertainty,True,knn,0.6601554439782653
20_letter,500,IForest,0.004,1,uncertainty,True,knn,0.6601896367521367
20_letter,500,IForest,0.004,2,uncertainty,True,knn,0.6402090927849233
20_letter,500,IForest,0.004,3,uncertainty,True,knn,0.5770685741797923
20_letter,497,IForest,0.004,4,uncertainty,True,knn,0.627415915812642
20_letter,500,IForest,0.004,0,uncertainty,False,knn,0.6572666620812986
20_letter,500,IForest,0.004,1,uncertainty,False,knn,0.6559161324786325
20_letter,500,IForest,0.004,2,uncertainty,False,knn,0.674736914505812
20_letter,500,IForest,0.004,3,uncertainty,False,knn,0.5399958731687187
20_letter,499,IForest,0.004,4,uncertainty,False,knn,0.636632505674393
20_letter,500,IForest,0.004,0,anomalous,True,knn,0.6545154412270445
20_letter,500,IForest,0.004,1,anomalous,True,knn,0.5990918803418803
20_letter,500,IForest,0.004,2,anomalous,True,knn,0.696058876126281
20_letter,499,IForest,0.004,3,anomalous,True,knn,0.5480431941674118
20_letter,500,IForest,0.004,4,anomalous,True,knn,0.6216383520187083
20_letter,500,IForest,0.004,0,anomalous,False,knn,0.660086663456909
20_letter,500,IForest,0.004,1,anomalous,False,knn,0.6719417735042735
20_letter,500,IForest,0.004,2,anomalous,False,knn,0.6460554371002132
20_letter,500,IForest,0.004,3,anomalous,False,knn,0.5297475754866222
20_letter,500,IForest,0.004,4,anomalous,False,knn,0.5881422381181649
20_letter,500,IForest,0.004,0,clusters,True,knn,0.6580232478162185
20_letter,500,IForest,0.004,1,clusters,True,knn,0.6425614316239316
20_letter,500,IForest,0.004,2,clusters,True,knn,0.6944081436137286
20_letter,500,IForest,0.004,3,clusters,True,knn,0.5690212531810992
20_letter,500,IForest,0.004,4,clusters,True,knn,0.6581608088589311
20_letter,500,IForest,0.004,0,clusters,False,knn,0.6115276153793245
20_letter,500,IForest,0.004,1,clusters,False,knn,0.6179220085470085
20_letter,500,IForest,0.004,2,clusters,False,knn,0.65403397757755
20_letter,500,IForest,0.004,3,clusters,False,knn,0.6062315152348855
20_letter,500,IForest,0.004,4,clusters,False,knn,0.5891051654171539
20_letter,500,IForest,0.006,0,random,True,knn,0.647774950134122
20_letter,500,IForest,0.006,1,random,True,knn,0.6294738247863249
20_letter,500,IForest,0.006,2,random,True,knn,0.687048627828599
20_letter,500,IForest,0.006,3,random,True,knn,0.603205172295206
20_letter,320,IForest,0.006,4,random,True,knn,0.6009354150904465
20_letter,500,IForest,0.006,0,random,False,knn,0.6249398170438132
20_letter,500,IForest,0.006,1,random,False,knn,0.6551148504273504
20_letter,500,IForest,0.006,2,random,False,knn,0.6617373959694615
20_letter,500,IForest,0.006,3,random,False,knn,0.5936446798266731
20_letter,499,IForest,0.006,4,random,False,knn,0.6265217690350092
20_letter,500,IForest,0.006,0,uncertainty,True,knn,0.6265217690350092
20_letter,500,IForest,0.006,1,uncertainty,True,knn,0.6432959401709403
20_letter,500,IForest,0.006,2,uncertainty,True,knn,0.6545154412270445
20_letter,408,IForest,0.006,3,uncertainty,True,knn,0.5736295481119748
20_letter,499,IForest,0.006,4,uncertainty,True,knn,0.6186807896003852
20_letter,499,IForest,0.006,0,uncertainty,False,knn,0.6609808102345416
20_letter,499,IForest,0.006,1,uncertainty,False,knn,0.6149839743589743
20_letter,500,IForest,0.006,2,uncertainty,False,knn,0.6649012999518538
20_letter,500,IForest,0.006,3,uncertainty,False,knn,0.5714973519499278
20_letter,500,IForest,0.006,4,uncertainty,False,knn,0.6025861476029989
20_letter,500,IForest,0.006,0,anomalous,True,knn,0.5897929706307173
20_letter,500,IForest,0.006,1,anomalous,True,knn,0.6587873931623932
20_letter,500,IForest,0.006,2,anomalous,True,knn,0.6891808239906458
20_letter,499,IForest,0.006,3,anomalous,True,knn,0.5523075864915057
20_letter,500,IForest,0.006,4,anomalous,True,knn,0.6278285989407799
20_letter,500,IForest,0.006,0,anomalous,False,knn,0.6250773780865259
20_letter,500,IForest,0.006,1,anomalous,False,knn,0.6087072649572649
20_letter,500,IForest,0.006,2,anomalous,False,knn,0.6545154412270445
20_letter,500,IForest,0.006,3,anomalous,False,knn,0.5490061214664007
20_letter,500,IForest,0.006,4,anomalous,False,knn,0.5928193135703969
20_letter,500,IForest,0.006,0,clusters,True,knn,0.6742554508563176
20_letter,500,IForest,0.006,1,clusters,True,knn,0.625801282051282
20_letter,500,IForest,0.006,2,clusters,True,knn,0.6645573973450718
20_letter,500,IForest,0.006,3,clusters,True,knn,0.5665451544122704
20_letter,500,IForest,0.006,4,clusters,True,knn,0.6437168993740973
20_letter,500,IForest,0.006,0,clusters,False,knn,0.653621294449412
20_letter,500,IForest,0.006,1,clusters,False,knn,0.6515090811965811
20_letter,500,IForest,0.006,2,clusters,False,knn,0.7189627897379461
20_letter,500,IForest,0.006,3,clusters,False,knn,0.5464612421762157
20_letter,500,IForest,0.006,4,clusters,False,knn,0.597358827979916
20_letter,500,IForest,0.008,0,random,True,knn,0.6486690969117546
20_letter,500,IForest,0.008,1,random,True,knn,0.6495058760683761
20_letter,500,IForest,0.008,2,random,True,knn,0.6446110461517298
20_letter,500,IForest,0.008,3,random,True,knn,0.5888988238530848
20_letter,339,IForest,0.008,4,random,True,knn,0.5757617442740216
20_letter,500,IForest,0.008,0,random,False,knn,0.6347066510764152
20_letter,500,IForest,0.008,1,random,False,knn,0.6250667735042735
20_letter,500,IForest,0.008,2,random,False,knn,0.671779352087489
20_letter,500,IForest,0.008,3,random,False,knn,0.578375404085563
20_letter,499,IForest,0.008,4,random,False,knn,0.6525895866290666
20_letter,500,IForest,0.008,0,uncertainty,True,knn,0.6289290872824816
20_letter,491,IForest,0.008,1,uncertainty,True,knn,0.6291399572649573
20_letter,500,IForest,0.008,2,uncertainty,True,knn,0.722057913198982
20_letter,500,IForest,0.008,3,uncertainty,True,knn,0.5584290528922209
