dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
22_magic.gamma,500,IForest,0.0,0,random,True,knn,0.7180310044893379
22_magic.gamma,500,IForest,0.0,1,random,True,knn,0.7304643658810326
22_magic.gamma,500,IForest,0.0,2,random,True,knn,0.718206369248036
22_magic.gamma,500,IForest,0.0,3,random,True,knn,0.7685535914702581
22_magic.gamma,500,IForest,0.0,4,random,True,knn,0.7040544332211
22_magic.gamma,500,IForest,0.0,0,random,False,knn,0.7259574915824916
22_magic.gamma,500,IForest,0.0,1,random,False,knn,0.7115600448933782
22_magic.gamma,500,IForest,0.0,2,random,False,knn,0.7244668911335579
22_magic.gamma,500,IForest,0.0,3,random,False,knn,0.7557695005611672
22_magic.gamma,500,IForest,0.0,4,random,False,knn,0.7272902637485971
22_magic.gamma,500,IForest,0.0,0,uncertainty,True,knn,0.718837682379349
22_magic.gamma,500,IForest,0.0,1,uncertainty,True,knn,0.6975484006734007
22_magic.gamma,500,IForest,0.0,2,uncertainty,True,knn,0.7359532828282829
22_magic.gamma,500,IForest,0.0,3,uncertainty,True,knn,0.7646955667789002
22_magic.gamma,500,IForest,0.0,4,uncertainty,True,knn,0.7250280583613915
22_magic.gamma,500,IForest,0.0,0,uncertainty,False,knn,0.73162177328844
22_magic.gamma,500,IForest,0.0,1,uncertainty,False,knn,0.744581228956229
22_magic.gamma,500,IForest,0.0,2,uncertainty,False,knn,0.7480709876543209
22_magic.gamma,500,IForest,0.0,3,uncertainty,False,knn,0.7364443041526374
22_magic.gamma,500,IForest,0.0,4,uncertainty,False,knn,0.7229061447811448
22_magic.gamma,500,IForest,0.0,0,anomalous,True,knn,0.7091224747474747
22_magic.gamma,500,IForest,0.0,1,anomalous,True,knn,0.7256242985409651
22_magic.gamma,500,IForest,0.0,2,anomalous,True,knn,0.7356200897867564
22_magic.gamma,500,IForest,0.0,3,anomalous,True,knn,0.751367845117845
22_magic.gamma,500,IForest,0.0,4,anomalous,True,knn,0.7279917227833894
22_magic.gamma,500,IForest,0.0,0,anomalous,False,knn,0.7338839786756454
22_magic.gamma,500,IForest,0.0,1,anomalous,False,knn,0.7309203142536476
22_magic.gamma,500,IForest,0.0,2,anomalous,False,knn,0.7484217171717172
22_magic.gamma,500,IForest,0.0,3,anomalous,False,knn,0.7538930976430976
22_magic.gamma,500,IForest,0.0,4,anomalous,False,knn,0.7231165824915826
22_magic.gamma,500,IForest,0.0,0,clusters,True,knn,0.7156811167227835
22_magic.gamma,500,IForest,0.0,1,clusters,True,knn,0.7192234848484849
22_magic.gamma,500,IForest,0.0,2,clusters,True,knn,0.7364092312008979
22_magic.gamma,500,IForest,0.0,3,clusters,True,knn,0.7330246913580245
22_magic.gamma,500,IForest,0.0,4,clusters,True,knn,0.7090874017957352
22_magic.gamma,500,IForest,0.0,0,clusters,False,knn,0.7192234848484848
22_magic.gamma,500,IForest,0.0,1,clusters,False,knn,0.7377420033670034
22_magic.gamma,500,IForest,0.0,2,clusters,False,knn,0.7291666666666665
22_magic.gamma,500,IForest,0.0,3,clusters,False,knn,0.7627665544332211
22_magic.gamma,500,IForest,0.0,4,clusters,False,knn,0.7216610549943884
22_magic.gamma,500,IForest,0.004,0,random,True,knn,0.72702721661055
22_magic.gamma,500,IForest,0.004,1,random,True,knn,0.7396359427609428
22_magic.gamma,500,IForest,0.004,2,random,True,knn,0.7668525533108868
22_magic.gamma,500,IForest,0.004,3,random,True,knn,0.7455983445566778
22_magic.gamma,500,IForest,0.004,4,random,True,knn,0.7171366442199776
22_magic.gamma,500,IForest,0.004,0,random,False,knn,0.7184343434343434
22_magic.gamma,498,IForest,0.004,1,random,False,knn,0.7361987934904602
22_magic.gamma,498,IForest,0.004,2,random,False,knn,0.7446338383838385
22_magic.gamma,500,IForest,0.004,3,random,False,knn,0.7491933221099888
22_magic.gamma,500,IForest,0.004,4,random,False,knn,0.7289913019079687
22_magic.gamma,500,IForest,0.004,0,uncertainty,True,knn,0.7245896464646464
22_magic.gamma,500,IForest,0.004,1,uncertainty,True,knn,0.719118265993266
22_magic.gamma,500,IForest,0.004,2,uncertainty,True,knn,0.7351466049382716
22_magic.gamma,425,IForest,0.004,3,uncertainty,True,knn,0.7588734567901234
22_magic.gamma,500,IForest,0.004,4,uncertainty,True,knn,0.726378367003367
22_magic.gamma,499,IForest,0.004,0,uncertainty,False,knn,0.7329370089786756
22_magic.gamma,499,IForest,0.004,1,uncertainty,False,knn,0.7231165824915826
22_magic.gamma,499,IForest,0.004,2,uncertainty,False,knn,0.7186798540965206
22_magic.gamma,499,IForest,0.004,3,uncertainty,False,knn,0.747334455667789
22_magic.gamma,500,IForest,0.004,4,uncertainty,False,knn,0.7157512626262625
22_magic.gamma,500,IForest,0.004,0,anomalous,True,knn,0.7123316498316498
22_magic.gamma,500,IForest,0.004,1,anomalous,True,knn,0.739425505050505
22_magic.gamma,500,IForest,0.004,2,anomalous,True,knn,0.7211875701459035
22_magic.gamma,500,IForest,0.004,3,anomalous,True,knn,0.7502104377104377
22_magic.gamma,500,IForest,0.004,4,anomalous,True,knn,0.7196443602693602
22_magic.gamma,498,IForest,0.004,0,anomalous,False,knn,0.7348134118967453
22_magic.gamma,498,IForest,0.004,1,anomalous,False,knn,0.7221871492704826
22_magic.gamma,498,IForest,0.004,2,anomalous,False,knn,0.7438797699214366
22_magic.gamma,498,IForest,0.004,3,anomalous,False,knn,0.7487724466891134
22_magic.gamma,498,IForest,0.004,4,anomalous,False,knn,0.7109638047138047
22_magic.gamma,500,IForest,0.004,0,clusters,True,knn,0.721976711560045
22_magic.gamma,108,IForest,0.004,1,clusters,True,knn,0.7263432940516273
22_magic.gamma,500,IForest,0.004,2,clusters,True,knn,0.7566989337822672
22_magic.gamma,500,IForest,0.004,3,clusters,True,knn,0.7663439955106622
22_magic.gamma,59,IForest,0.004,4,clusters,True,knn,0.6918139730639731
22_magic.gamma,500,IForest,0.004,0,clusters,False,knn,0.726746632996633
22_magic.gamma,499,IForest,0.004,1,clusters,False,knn,0.7185395622895624
22_magic.gamma,500,IForest,0.004,2,clusters,False,knn,0.7333052749719415
22_magic.gamma,500,IForest,0.004,3,clusters,False,knn,0.7304643658810326
22_magic.gamma,499,IForest,0.004,4,clusters,False,knn,0.7452651515151515
22_magic.gamma,324,IForest,0.006,0,random,True,knn,0.7392326038159371
