dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
23_mammography,500,IForest,0.0,0,random,True,knn,0.8616843279419967
23_mammography,500,IForest,0.0,1,random,True,knn,0.9024931693989071
23_mammography,500,IForest,0.0,2,random,True,knn,0.8353783231083844
23_mammography,500,IForest,0.0,3,random,True,knn,0.8302658486707566
23_mammography,500,IForest,0.0,4,random,True,knn,0.9219185722253207
23_mammography,500,IForest,0.0,0,random,False,knn,0.86131251161926
23_mammography,500,IForest,0.0,1,random,False,knn,0.8975409836065573
23_mammography,500,IForest,0.0,2,random,False,knn,0.839654210819855
23_mammography,500,IForest,0.0,3,random,False,knn,0.8139059304703476
23_mammography,500,IForest,0.0,4,random,False,knn,0.927309908905001
23_mammography,500,IForest,0.0,0,uncertainty,True,knn,0.873024725785462
23_mammography,500,IForest,0.0,1,uncertainty,True,knn,0.90198087431694
23_mammography,500,IForest,0.0,2,uncertainty,True,knn,0.8245956497490239
23_mammography,500,IForest,0.0,3,uncertainty,True,knn,0.8217140732478155
23_mammography,500,IForest,0.0,4,uncertainty,True,knn,0.9185722253206916
23_mammography,500,IForest,0.0,0,uncertainty,False,knn,0.8689347462353597
23_mammography,500,IForest,0.0,1,uncertainty,False,knn,0.9055669398907105
23_mammography,500,IForest,0.0,2,uncertainty,False,knn,0.8162297824874511
23_mammography,500,IForest,0.0,3,uncertainty,False,knn,0.8293363078639152
23_mammography,500,IForest,0.0,4,uncertainty,False,knn,0.8975646030860756
23_mammography,500,IForest,0.0,0,anomalous,True,knn,0.8618702361033649
23_mammography,500,IForest,0.0,1,anomalous,True,knn,0.9216188524590163
23_mammography,500,IForest,0.0,2,anomalous,True,knn,0.8390964863357502
23_mammography,500,IForest,0.0,3,anomalous,True,knn,0.8087005019520357
23_mammography,500,IForest,0.0,4,anomalous,True,knn,0.9144822457705892
23_mammography,500,IForest,0.0,0,anomalous,False,knn,0.8771147053355642
23_mammography,500,IForest,0.0,1,anomalous,False,knn,0.9059084699453552
23_mammography,500,IForest,0.0,2,anomalous,False,knn,0.8238520171035508
23_mammography,500,IForest,0.0,3,anomalous,False,knn,0.801078267335936
23_mammography,500,IForest,0.0,4,anomalous,False,knn,0.9079754601226995
23_mammography,500,IForest,0.0,0,clusters,True,knn,0.8561070831009482
23_mammography,500,IForest,0.0,1,clusters,True,knn,0.9137636612021858
23_mammography,500,IForest,0.0,2,clusters,True,knn,0.7963376092210448
23_mammography,500,IForest,0.0,3,clusters,True,knn,0.827849042572969
23_mammography,500,IForest,0.0,4,clusters,True,knn,0.9027700316043874
23_mammography,500,IForest,0.0,0,clusters,False,knn,0.8505298382598996
23_mammography,500,IForest,0.0,1,clusters,False,knn,0.9042008196721312
23_mammography,500,IForest,0.0,2,clusters,False,knn,0.8128834355828221
23_mammography,500,IForest,0.0,3,clusters,False,knn,0.8302658486707566
