dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
24_mnist,500,IForest,0.0,0,random,True,knn,0.8306358935069911
24_mnist,500,IForest,0.0,1,random,True,knn,0.8388718636276575
24_mnist,500,IForest,0.0,2,random,True,knn,0.7138000383068378
24_mnist,500,IForest,0.0,3,random,True,knn,0.8265179084466577
24_mnist,500,IForest,0.0,4,random,True,knn,0.8132062823213944
24_mnist,500,IForest,0.0,0,random,False,knn,0.8365734533614251
24_mnist,500,IForest,0.0,1,random,False,knn,0.8229266424056694
24_mnist,500,IForest,0.0,2,random,False,knn,0.7313733001340739
24_mnist,500,IForest,0.0,3,random,False,knn,0.8407872055161847
24_mnist,500,IForest,0.0,4,random,False,knn,0.817946753495499
24_mnist,500,IForest,0.0,0,uncertainty,True,knn,0.8414096916299559
24_mnist,500,IForest,0.0,1,uncertainty,True,knn,0.8356636659643747
24_mnist,500,IForest,0.0,2,uncertainty,True,knn,0.749760582263934
24_mnist,500,IForest,0.0,3,uncertainty,True,knn,0.807699674391879
24_mnist,500,IForest,0.0,4,uncertainty,True,knn,0.793430377322352
24_mnist,500,IForest,0.0,0,uncertainty,False,knn,0.8464853476345527
24_mnist,500,IForest,0.0,1,uncertainty,False,knn,0.7873012832790653
24_mnist,500,IForest,0.0,2,uncertainty,False,knn,0.7638862286918215
24_mnist,500,IForest,0.0,3,uncertainty,False,knn,0.7997031220072783
24_mnist,500,IForest,0.0,4,uncertainty,False,knn,0.8079390921279448
24_mnist,500,IForest,0.0,0,anomalous,True,knn,0.8286247845240375
24_mnist,500,IForest,0.0,1,anomalous,True,knn,0.8083221605056503
24_mnist,500,IForest,0.0,2,anomalous,True,knn,0.7534476153993489
24_mnist,500,IForest,0.0,3,anomalous,True,knn,0.8159835280597586
24_mnist,500,IForest,0.0,4,anomalous,True,knn,0.8293909212794484
24_mnist,500,IForest,0.0,0,anomalous,False,knn,0.8438996360850411
24_mnist,500,IForest,0.0,1,anomalous,False,knn,0.810668454319096
24_mnist,500,IForest,0.0,2,anomalous,False,knn,0.7275426163570197
24_mnist,500,IForest,0.0,3,anomalous,False,knn,0.8425110132158591
24_mnist,500,IForest,0.0,4,anomalous,False,knn,0.7968301091744877
24_mnist,500,IForest,0.0,0,clusters,True,knn,0.8317372150928941
24_mnist,500,IForest,0.0,1,clusters,True,knn,0.8197184447423865
24_mnist,500,IForest,0.0,2,clusters,True,knn,0.7299367937176786
24_mnist,500,IForest,0.0,3,clusters,True,knn,0.8045872438230224
24_mnist,500,IForest,0.0,4,clusters,True,knn,0.798266615590883
24_mnist,500,IForest,0.0,0,clusters,False,knn,0.8461980463512737
24_mnist,500,IForest,0.0,1,clusters,False,knn,0.7978835472131776
24_mnist,500,IForest,0.0,2,clusters,False,knn,0.7240471174104578
24_mnist,500,IForest,0.0,3,clusters,False,knn,0.8395422332886421
24_mnist,500,IForest,0.0,4,clusters,False,knn,0.8556311051522697
24_mnist,500,IForest,0.004,0,random,True,knn,0.8132541658686075
24_mnist,500,IForest,0.004,1,random,True,knn,0.8281938325991189
24_mnist,500,IForest,0.004,2,random,True,knn,0.7076709442635509
24_mnist,500,IForest,0.004,3,random,True,knn,0.8059758666922046
24_mnist,500,IForest,0.004,4,random,True,knn,0.7857690097682437
24_mnist,500,IForest,0.004,0,random,False,knn,0.8315935644512547
24_mnist,500,IForest,0.004,1,random,False,knn,0.8261827236161655
24_mnist,500,IForest,0.004,2,random,False,knn,0.7373108599885079
24_mnist,500,IForest,0.004,3,random,False,knn,0.8201493966673051
24_mnist,500,IForest,0.004,4,random,False,knn,0.7808370044052864
24_mnist,500,IForest,0.004,0,uncertainty,True,knn,0.8320723999233863
24_mnist,496,IForest,0.004,1,uncertainty,True,knn,0.8064068186171232
24_mnist,498,IForest,0.004,2,uncertainty,True,knn,0.7512928557747558
24_mnist,500,IForest,0.004,3,uncertainty,True,knn,0.7784907105918407
24_mnist,193,IForest,0.004,4,uncertainty,True,knn,0.7540222179659068
24_mnist,499,IForest,0.004,0,uncertainty,False,knn,0.853045393602758
24_mnist,498,IForest,0.004,1,uncertainty,False,knn,0.8084179276000767
24_mnist,500,IForest,0.004,2,uncertainty,False,knn,0.6972323309710783
24_mnist,499,IForest,0.004,3,uncertainty,False,knn,0.8168454319095959
24_mnist,500,IForest,0.004,4,uncertainty,False,knn,0.8010438613292472
24_mnist,487,IForest,0.004,0,anomalous,True,knn,0.8155525761348401
24_mnist,499,IForest,0.004,1,anomalous,True,knn,0.8184734725148439
24_mnist,500,IForest,0.004,2,anomalous,True,knn,0.709777820340931
24_mnist,500,IForest,0.004,3,anomalous,True,knn,0.8074123731085999
24_mnist,500,IForest,0.004,4,anomalous,True,knn,0.813397816510247
24_mnist,499,IForest,0.004,0,anomalous,False,knn,0.8135893506990998
24_mnist,499,IForest,0.004,1,anomalous,False,knn,0.8110036391495883
24_mnist,499,IForest,0.004,2,anomalous,False,knn,0.742434399540318
24_mnist,500,IForest,0.004,3,anomalous,False,knn,0.7824171614633212
24_mnist,498,IForest,0.004,4,anomalous,False,knn,0.8082742769584371
24_mnist,500,IForest,0.004,0,clusters,True,knn,0.8281459490519057
24_mnist,500,IForest,0.004,1,clusters,True,knn,0.8385366787971653
24_mnist,499,IForest,0.004,2,clusters,True,knn,0.7452116452786822
24_mnist,500,IForest,0.004,3,clusters,True,knn,0.779927217008236
24_mnist,499,IForest,0.004,4,clusters,True,knn,0.8256081210496073
24_mnist,499,IForest,0.004,0,clusters,False,knn,0.8371959394751963
24_mnist,500,IForest,0.004,1,clusters,False,knn,0.8226872246696035
24_mnist,499,IForest,0.004,2,clusters,False,knn,0.745690480750814
24_mnist,500,IForest,0.004,3,clusters,False,knn,0.7906052480367746
24_mnist,499,IForest,0.004,4,clusters,False,knn,0.7611568665006704
24_mnist,500,IForest,0.006,0,random,True,knn,0.8242673817276384
24_mnist,500,IForest,0.006,1,random,True,knn,0.8732522505267191
24_mnist,500,IForest,0.006,2,random,True,knn,0.7693449530741238
24_mnist,500,IForest,0.006,3,random,True,knn,0.8208676498755028
24_mnist,500,IForest,0.006,4,random,True,knn,0.811530358168933
24_mnist,500,IForest,0.006,0,random,False,knn,0.819574794100747
24_mnist,500,IForest,0.006,1,random,False,knn,0.809327714997127
24_mnist,500,IForest,0.006,2,random,False,knn,0.7432963033901552
24_mnist,500,IForest,0.006,3,random,False,knn,0.800708676498755
24_mnist,500,IForest,0.006,4,random,False,knn,0.798027197854817
