dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
25_musk,500,IForest,0.0,0,random,True,knn,0.9985824742268041
25_musk,500,IForest,0.0,1,random,True,knn,1.0
25_musk,500,IForest,0.0,2,random,True,knn,1.0
25_musk,500,IForest,0.0,3,random,True,knn,1.0
25_musk,500,IForest,0.0,4,random,True,knn,1.0
25_musk,500,IForest,0.0,0,random,False,knn,1.0
25_musk,500,IForest,0.0,1,random,False,knn,1.0
25_musk,500,IForest,0.0,2,random,False,knn,1.0
25_musk,500,IForest,0.0,3,random,False,knn,1.0
25_musk,500,IForest,0.0,4,random,False,knn,1.0
25_musk,500,IForest,0.0,0,uncertainty,True,knn,0.996520618556701
25_musk,500,IForest,0.0,1,uncertainty,True,knn,1.0
25_musk,500,IForest,0.0,2,uncertainty,True,knn,1.0
25_musk,500,IForest,0.0,3,uncertainty,True,knn,1.0
25_musk,500,IForest,0.0,4,uncertainty,True,knn,1.0
25_musk,500,IForest,0.0,0,uncertainty,False,knn,1.0
25_musk,500,IForest,0.0,1,uncertainty,False,knn,1.0
25_musk,500,IForest,0.0,2,uncertainty,False,knn,1.0
25_musk,500,IForest,0.0,3,uncertainty,False,knn,1.0
25_musk,500,IForest,0.0,4,uncertainty,False,knn,1.0
25_musk,500,IForest,0.0,0,anomalous,True,knn,0.9975515463917526
25_musk,500,IForest,0.0,1,anomalous,True,knn,0.9997422680412371
25_musk,500,IForest,0.0,2,anomalous,True,knn,0.9997422680412371
25_musk,500,IForest,0.0,3,anomalous,True,knn,1.0
25_musk,500,IForest,0.0,4,anomalous,True,knn,0.9957474226804124
25_musk,500,IForest,0.0,0,anomalous,False,knn,0.9913659793814433
25_musk,500,IForest,0.0,1,anomalous,False,knn,1.0
25_musk,500,IForest,0.0,2,anomalous,False,knn,1.0
25_musk,500,IForest,0.0,3,anomalous,False,knn,1.0
25_musk,500,IForest,0.0,4,anomalous,False,knn,1.0
25_musk,500,IForest,0.0,0,clusters,True,knn,0.998840206185567
25_musk,500,IForest,0.0,1,clusters,True,knn,1.0
25_musk,500,IForest,0.0,2,clusters,True,knn,1.0
25_musk,500,IForest,0.0,3,clusters,True,knn,1.0
25_musk,500,IForest,0.0,4,clusters,True,knn,1.0
25_musk,500,IForest,0.0,0,clusters,False,knn,0.9997422680412371
25_musk,500,IForest,0.0,1,clusters,False,knn,1.0
25_musk,500,IForest,0.0,2,clusters,False,knn,1.0
25_musk,500,IForest,0.0,3,clusters,False,knn,1.0
25_musk,500,IForest,0.0,4,clusters,False,knn,0.9998711340206186
25_musk,500,IForest,0.004,0,random,True,knn,0.9997422680412371
25_musk,500,IForest,0.004,1,random,True,knn,1.0
25_musk,484,IForest,0.004,2,random,True,knn,0.9650773195876289
25_musk,498,IForest,0.004,3,random,True,knn,1.0
25_musk,500,IForest,0.004,4,random,True,knn,1.0
25_musk,500,IForest,0.004,0,random,False,knn,1.0
25_musk,500,IForest,0.004,1,random,False,knn,1.0
25_musk,499,IForest,0.004,2,random,False,knn,1.0
25_musk,499,IForest,0.004,3,random,False,knn,1.0
25_musk,500,IForest,0.004,4,random,False,knn,0.9994845360824742
25_musk,500,IForest,0.004,0,uncertainty,True,knn,1.0
25_musk,500,IForest,0.004,1,uncertainty,True,knn,1.0
25_musk,500,IForest,0.004,2,uncertainty,True,knn,0.9998711340206186
25_musk,500,IForest,0.004,3,uncertainty,True,knn,1.0
25_musk,500,IForest,0.004,4,uncertainty,True,knn,1.0
25_musk,500,IForest,0.004,0,uncertainty,False,knn,1.0
25_musk,500,IForest,0.004,1,uncertainty,False,knn,1.0
25_musk,500,IForest,0.004,2,uncertainty,False,knn,1.0
25_musk,500,IForest,0.004,3,uncertainty,False,knn,1.0
25_musk,500,IForest,0.004,4,uncertainty,False,knn,0.997680412371134
25_musk,500,IForest,0.004,0,anomalous,True,knn,0.9938144329896907
25_musk,500,IForest,0.004,1,anomalous,True,knn,1.0
25_musk,500,IForest,0.004,2,anomalous,True,knn,1.0
25_musk,500,IForest,0.004,3,anomalous,True,knn,1.0
25_musk,500,IForest,0.004,4,anomalous,True,knn,1.0
25_musk,498,IForest,0.004,0,anomalous,False,knn,1.0
25_musk,498,IForest,0.004,1,anomalous,False,knn,1.0
25_musk,498,IForest,0.004,2,anomalous,False,knn,1.0
25_musk,498,IForest,0.004,3,anomalous,False,knn,1.0
25_musk,498,IForest,0.004,4,anomalous,False,knn,1.0
25_musk,500,IForest,0.004,0,clusters,True,knn,0.9998711340206186
25_musk,500,IForest,0.004,1,clusters,True,knn,1.0
25_musk,500,IForest,0.004,2,clusters,True,knn,0.9994845360824742
25_musk,500,IForest,0.004,3,clusters,True,knn,1.0
25_musk,500,IForest,0.004,4,clusters,True,knn,1.0
25_musk,500,IForest,0.004,0,clusters,False,knn,1.0
25_musk,500,IForest,0.004,1,clusters,False,knn,1.0
25_musk,500,IForest,0.004,2,clusters,False,knn,1.0
25_musk,500,IForest,0.004,3,clusters,False,knn,0.9989690721649485
25_musk,500,IForest,0.004,4,clusters,False,knn,1.0
25_musk,500,IForest,0.006,0,random,True,knn,0.9845360824742269
25_musk,500,IForest,0.006,1,random,True,knn,1.0
25_musk,484,IForest,0.006,2,random,True,knn,0.9698453608247423
25_musk,498,IForest,0.006,3,random,True,knn,1.0
25_musk,500,IForest,0.006,4,random,True,knn,1.0
25_musk,500,IForest,0.006,0,random,False,knn,0.9996134020618557
25_musk,500,IForest,0.006,1,random,False,knn,1.0
25_musk,499,IForest,0.006,2,random,False,knn,1.0
25_musk,499,IForest,0.006,3,random,False,knn,1.0
25_musk,500,IForest,0.006,4,random,False,knn,1.0
25_musk,500,IForest,0.006,0,uncertainty,True,knn,0.9975515463917526
25_musk,500,IForest,0.006,1,uncertainty,True,knn,0.9990979381443299
25_musk,500,IForest,0.006,2,uncertainty,True,knn,1.0
25_musk,500,IForest,0.006,3,uncertainty,True,knn,1.0
25_musk,500,IForest,0.006,4,uncertainty,True,knn,1.0
25_musk,500,IForest,0.006,0,uncertainty,False,knn,1.0
25_musk,500,IForest,0.006,1,uncertainty,False,knn,1.0
25_musk,500,IForest,0.006,2,uncertainty,False,knn,0.996520618556701
25_musk,500,IForest,0.006,3,uncertainty,False,knn,1.0
25_musk,500,IForest,0.006,4,uncertainty,False,knn,0.9998711340206186
25_musk,500,IForest,0.006,0,anomalous,True,knn,0.9969072164948454
25_musk,500,IForest,0.006,1,anomalous,True,knn,0.9987113402061856
25_musk,500,IForest,0.006,2,anomalous,True,knn,1.0
