dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
26_optdigits,500,IForest,0.0,0,random,True,knn,0.6052322163433275
26_optdigits,500,IForest,0.0,1,random,True,knn,0.7447422680412372
26_optdigits,500,IForest,0.0,2,random,True,knn,0.6784244562022339
26_optdigits,500,IForest,0.0,3,random,True,knn,0.7101704879482658
26_optdigits,500,IForest,0.0,4,random,True,knn,0.7748383303938859
26_optdigits,500,IForest,0.0,0,random,False,knn,0.6324221046443268
26_optdigits,500,IForest,0.0,1,random,False,knn,0.7538144329896908
26_optdigits,500,IForest,0.0,2,random,False,knn,0.6346266901822457
26_optdigits,500,IForest,0.0,3,random,False,knn,0.76440329218107
26_optdigits,500,IForest,0.0,4,random,False,knn,0.718694885361552
26_optdigits,500,IForest,0.0,0,uncertainty,True,knn,0.7144326866549089
26_optdigits,500,IForest,0.0,1,uncertainty,True,knn,0.7990378006872851
26_optdigits,500,IForest,0.0,2,uncertainty,True,knn,0.6994415049970606
26_optdigits,500,IForest,0.0,3,uncertainty,True,knn,0.6775426219870664
26_optdigits,500,IForest,0.0,4,uncertainty,True,knn,0.6453556731334509
26_optdigits,500,IForest,0.0,0,uncertainty,False,knn,0.6574074074074074
26_optdigits,500,IForest,0.0,1,uncertainty,False,knn,0.8461855670103093
26_optdigits,500,IForest,0.0,2,uncertainty,False,knn,0.783803644914756
26_optdigits,500,IForest,0.0,3,uncertainty,False,knn,0.7682245737801293
26_optdigits,500,IForest,0.0,4,uncertainty,False,knn,0.7833627278071723
26_optdigits,500,IForest,0.0,0,anomalous,True,knn,0.6872427983539094
26_optdigits,500,IForest,0.0,1,anomalous,True,knn,0.7226116838487973
26_optdigits,500,IForest,0.0,2,anomalous,True,knn,0.7144326866549089
26_optdigits,500,IForest,0.0,3,anomalous,True,knn,0.7912992357436801
26_optdigits,500,IForest,0.0,4,anomalous,True,knn,0.7175191064079953
26_optdigits,500,IForest,0.0,0,anomalous,False,knn,0.6801881246325692
26_optdigits,500,IForest,0.0,1,anomalous,False,knn,0.6252920962199312
26_optdigits,500,IForest,0.0,2,anomalous,False,knn,0.6419753086419754
26_optdigits,500,IForest,0.0,3,anomalous,False,knn,0.7702821869488536
26_optdigits,500,IForest,0.0,4,anomalous,False,knn,0.8261316872427984
26_optdigits,500,IForest,0.0,0,clusters,True,knn,0.7013521457965902
