dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
27_PageBlocks,500,IForest,0.0,0,random,True,knn,0.8632285942416984
27_PageBlocks,500,IForest,0.0,1,random,True,knn,0.933259587020649
27_PageBlocks,500,IForest,0.0,2,random,True,knn,0.8995350147949839
27_PageBlocks,500,IForest,0.0,3,random,True,knn,0.8977971913014888
27_PageBlocks,500,IForest,0.0,4,random,True,knn,0.8592362970269128
27_PageBlocks,500,IForest,0.0,0,random,False,knn,0.8672208914564838
27_PageBlocks,500,IForest,0.0,1,random,False,knn,0.9244100294985251
27_PageBlocks,500,IForest,0.0,2,random,False,knn,0.9054060401108449
27_PageBlocks,500,IForest,0.0,3,random,False,knn,0.9004743788455216
27_PageBlocks,500,IForest,0.0,4,random,False,knn,0.8532243671034709
27_PageBlocks,500,IForest,0.0,0,uncertainty,True,knn,0.8605514066976656
27_PageBlocks,500,IForest,0.0,1,uncertainty,True,knn,0.9182337758112095
27_PageBlocks,500,IForest,0.0,2,uncertainty,True,knn,0.8948851627448217
27_PageBlocks,500,IForest,0.0,3,uncertainty,True,knn,0.8968108590484242
27_PageBlocks,500,IForest,0.0,4,uncertainty,True,knn,0.856183363862665
27_PageBlocks,500,IForest,0.0,0,uncertainty,False,knn,0.8623831665962144
27_PageBlocks,500,IForest,0.0,1,uncertainty,False,knn,0.9113200589970503
27_PageBlocks,500,IForest,0.0,2,uncertainty,False,knn,0.8980790005166502
27_PageBlocks,500,IForest,0.0,3,uncertainty,False,knn,0.8906110563148748
27_PageBlocks,500,IForest,0.0,4,uncertainty,False,knn,0.8493260062937391
27_PageBlocks,500,IForest,0.0,0,anomalous,True,knn,0.8743600582405711
27_PageBlocks,500,IForest,0.0,1,anomalous,True,knn,0.9190634218289085
27_PageBlocks,500,IForest,0.0,2,anomalous,True,knn,0.9076135456296088
27_PageBlocks,500,IForest,0.0,3,anomalous,True,knn,0.905828753933587
27_PageBlocks,500,IForest,0.0,4,anomalous,True,knn,0.868019350899441
27_PageBlocks,500,IForest,0.0,0,anomalous,False,knn,0.8776478324174535
27_PageBlocks,500,IForest,0.0,1,anomalous,False,knn,0.9102138643067846
27_PageBlocks,500,IForest,0.0,2,anomalous,False,knn,0.8930064346437461
27_PageBlocks,500,IForest,0.0,3,anomalous,False,knn,0.8955896857827251
27_PageBlocks,500,IForest,0.0,4,anomalous,False,knn,0.8708844112535813
27_PageBlocks,500,IForest,0.0,0,clusters,True,knn,0.8710722840636889
27_PageBlocks,500,IForest,0.0,1,clusters,True,knn,0.9209992625368731
27_PageBlocks,500,IForest,0.0,2,clusters,True,knn,0.8932412756563806
27_PageBlocks,500,IForest,0.0,3,clusters,True,knn,0.9030576299845006
27_PageBlocks,500,IForest,0.0,4,clusters,True,knn,0.85655910948288
27_PageBlocks,500,IForest,0.0,0,clusters,False,knn,0.8855384904419707
27_PageBlocks,500,IForest,0.0,1,clusters,False,knn,0.9206305309734514
27_PageBlocks,500,IForest,0.0,2,clusters,False,knn,0.8846460945939598
27_PageBlocks,500,IForest,0.0,3,clusters,False,knn,0.897750223098962
27_PageBlocks,500,IForest,0.0,4,clusters,False,knn,0.8809356065943357
27_PageBlocks,500,IForest,0.004,0,random,True,knn,0.8859612042647127
27_PageBlocks,497,IForest,0.004,1,random,True,knn,0.9224741887905605
27_PageBlocks,500,IForest,0.004,2,random,True,knn,0.9009910290733174
27_PageBlocks,500,IForest,0.004,3,random,True,knn,0.8955896857827251
27_PageBlocks,500,IForest,0.004,4,random,True,knn,0.8655300361655159
27_PageBlocks,500,IForest,0.004,0,random,False,knn,0.8686769057348176
27_PageBlocks,499,IForest,0.004,1,random,False,knn,0.9221054572271385
27_PageBlocks,500,IForest,0.004,2,random,False,knn,0.8876050913531538
27_PageBlocks,500,IForest,0.004,3,random,False,knn,0.9032924709971349
27_PageBlocks,500,IForest,0.004,4,random,False,knn,0.8564182048752994
27_PageBlocks,499,IForest,0.004,0,uncertainty,True,knn,0.8760509135315391
27_PageBlocks,500,IForest,0.004,1,uncertainty,True,knn,0.911688790560472
27_PageBlocks,500,IForest,0.004,2,uncertainty,True,knn,0.9005683152505753
27_PageBlocks,284,IForest,0.004,3,uncertainty,True,knn,0.9023531069465971
27_PageBlocks,500,IForest,0.004,4,uncertainty,True,knn,0.8560424592550844
27_PageBlocks,500,IForest,0.004,0,uncertainty,False,knn,0.8883096143910573
27_PageBlocks,500,IForest,0.004,1,uncertainty,False,knn,0.908969395280236
27_PageBlocks,499,IForest,0.004,2,uncertainty,False,knn,0.8882156779860035
27_PageBlocks,499,IForest,0.004,3,uncertainty,False,knn,0.8985486825419192
27_PageBlocks,499,IForest,0.004,4,uncertainty,False,knn,0.879103846695787
27_PageBlocks,500,IForest,0.004,0,anomalous,True,knn,0.8668921140387957
27_PageBlocks,500,IForest,0.004,1,anomalous,True,knn,0.9230733775811208
27_PageBlocks,500,IForest,0.004,2,anomalous,True,knn,0.8980320323141234
27_PageBlocks,500,IForest,0.004,3,anomalous,True,knn,0.9085529096801466
27_PageBlocks,490,IForest,0.004,4,anomalous,True,knn,0.851862289230191
27_PageBlocks,498,IForest,0.004,0,anomalous,False,knn,0.8745948992532055
27_PageBlocks,499,IForest,0.004,1,anomalous,False,knn,0.9210453539823009
27_PageBlocks,498,IForest,0.004,2,anomalous,False,knn,0.892677657226058
27_PageBlocks,498,IForest,0.004,3,anomalous,False,knn,0.9047015170729416
27_PageBlocks,499,IForest,0.004,4,anomalous,False,knn,0.8661406227983656
27_PageBlocks,500,IForest,0.004,0,clusters,True,knn,0.8780235780376685
27_PageBlocks,500,IForest,0.004,1,clusters,True,knn,0.9217828171091446
27_PageBlocks,500,IForest,0.004,2,clusters,True,knn,0.8898125968719177
27_PageBlocks,500,IForest,0.004,3,clusters,True,knn,0.9072378000093937
27_PageBlocks,500,IForest,0.004,4,clusters,True,knn,0.8651542905453009
27_PageBlocks,499,IForest,0.004,0,clusters,False,knn,0.8781644826452492
27_PageBlocks,500,IForest,0.004,1,clusters,False,knn,0.9243639380530972
27_PageBlocks,499,IForest,0.004,2,clusters,False,knn,0.9024000751491239
27_PageBlocks,500,IForest,0.004,3,clusters,False,knn,0.9014137428960594
27_PageBlocks,500,IForest,0.004,4,clusters,False,knn,0.8668921140387957
27_PageBlocks,500,IForest,0.006,0,random,True,knn,0.8857263632520783
27_PageBlocks,497,IForest,0.006,1,random,True,knn,0.9336283185840708
27_PageBlocks,500,IForest,0.006,2,random,True,knn,0.8910807383401437
27_PageBlocks,500,IForest,0.006,3,random,True,knn,0.903245502794608
27_PageBlocks,500,IForest,0.006,4,random,True,knn,0.8687708421398713
27_PageBlocks,500,IForest,0.006,0,random,False,knn,0.8734676623925602
27_PageBlocks,499,IForest,0.006,1,random,False,knn,0.9146847345132743
27_PageBlocks,500,IForest,0.006,2,random,False,knn,0.902024329528909
27_PageBlocks,500,IForest,0.006,3,random,False,knn,0.8971396364661125
27_PageBlocks,500,IForest,0.006,4,random,False,knn,0.8552909680146541
27_PageBlocks,498,IForest,0.006,0,uncertainty,True,knn,0.8918791977831009
27_PageBlocks,499,IForest,0.006,1,uncertainty,True,knn,0.9271294247787611
27_PageBlocks,490,IForest,0.006,2,uncertainty,True,knn,0.9010379972758442
27_PageBlocks,500,IForest,0.006,3,uncertainty,True,knn,0.9133436663378893
27_PageBlocks,324,IForest,0.006,4,uncertainty,True,knn,0.8644497675073974
27_PageBlocks,500,IForest,0.006,0,uncertainty,False,knn,0.8758160725189047
27_PageBlocks,498,IForest,0.006,1,uncertainty,False,knn,0.9307245575221239
27_PageBlocks,498,IForest,0.006,2,uncertainty,False,knn,0.9018834249213283
27_PageBlocks,500,IForest,0.006,3,uncertainty,False,knn,0.8927715936311117
27_PageBlocks,499,IForest,0.006,4,uncertainty,False,knn,0.8551030952045464
27_PageBlocks,500,IForest,0.006,0,anomalous,True,knn,0.8798553379362172
27_PageBlocks,500,IForest,0.006,1,anomalous,True,knn,0.9345962389380531
27_PageBlocks,500,IForest,0.006,2,anomalous,True,knn,0.9040909304400921
27_PageBlocks,499,IForest,0.006,3,anomalous,True,knn,0.8915034521628857
27_PageBlocks,497,IForest,0.006,4,anomalous,True,knn,0.8723404255319149
27_PageBlocks,497,IForest,0.006,0,anomalous,False,knn,0.8716828706965385
27_PageBlocks,498,IForest,0.006,1,anomalous,False,knn,0.9224280973451328
27_PageBlocks,497,IForest,0.006,2,anomalous,False,knn,0.896529049833263
27_PageBlocks,498,IForest,0.006,3,anomalous,False,knn,0.8968108590484243
27_PageBlocks,499,IForest,0.006,4,anomalous,False,knn,0.8826734300878306
27_PageBlocks,500,IForest,0.006,0,clusters,True,knn,0.8864308862899817
27_PageBlocks,500,IForest,0.006,1,clusters,True,knn,0.9242717551622418
27_PageBlocks,500,IForest,0.006,2,clusters,True,knn,0.8958714949978864
27_PageBlocks,500,IForest,0.006,3,clusters,True,knn,0.9046075806678879
27_PageBlocks,495,IForest,0.006,4,clusters,True,knn,0.8645906721149782
27_PageBlocks,499,IForest,0.006,0,clusters,False,knn,0.8785402282654642
27_PageBlocks,500,IForest,0.006,1,clusters,False,knn,0.9218289085545722
27_PageBlocks,499,IForest,0.006,2,clusters,False,knn,0.8949321309473487
27_PageBlocks,499,IForest,0.006,3,clusters,False,knn,0.8961533042130477
27_PageBlocks,499,IForest,0.006,4,clusters,False,knn,0.8448640270536847
27_PageBlocks,500,IForest,0.008,0,random,True,knn,0.8649194495326664
27_PageBlocks,497,IForest,0.008,1,random,True,knn,0.9101216814159292
27_PageBlocks,500,IForest,0.008,2,random,True,knn,0.8941806397069183
27_PageBlocks,490,IForest,0.008,3,random,True,knn,0.8931943074538536
27_PageBlocks,500,IForest,0.008,4,random,True,knn,0.8554788408247617
27_PageBlocks,500,IForest,0.008,0,random,False,knn,0.8787750692780987
27_PageBlocks,499,IForest,0.008,1,random,False,knn,0.9232577433628317
27_PageBlocks,500,IForest,0.008,2,random,False,knn,0.8991123009722417
27_PageBlocks,499,IForest,0.008,3,random,False,knn,0.9111361608191255
27_PageBlocks,500,IForest,0.008,4,random,False,knn,0.8609271523178808
27_PageBlocks,500,IForest,0.008,0,uncertainty,True,knn,0.887558123150627
27_PageBlocks,498,IForest,0.008,1,uncertainty,True,knn,0.9332595870206489
27_PageBlocks,500,IForest,0.008,2,uncertainty,True,knn,0.8979380959090696
27_PageBlocks,49,IForest,0.008,3,uncertainty,True,knn,0.9230660842609553
27_PageBlocks,249,IForest,0.008,4,uncertainty,True,knn,0.8547743177868583
27_PageBlocks,498,IForest,0.008,0,uncertainty,False,knn,0.889248978441595
27_PageBlocks,498,IForest,0.008,1,uncertainty,False,knn,0.9292957227138643
27_PageBlocks,498,IForest,0.008,2,uncertainty,False,knn,0.9007561880606829
27_PageBlocks,500,IForest,0.008,3,uncertainty,False,knn,0.9026818843642854
27_PageBlocks,499,IForest,0.008,4,uncertainty,False,knn,0.8621013573810531
27_PageBlocks,491,IForest,0.008,0,anomalous,True,knn,0.8839415715560566
27_PageBlocks,500,IForest,0.008,1,anomalous,True,knn,0.917127581120944
27_PageBlocks,500,IForest,0.008,2,anomalous,True,knn,0.8951669719599831
27_PageBlocks,499,IForest,0.008,3,anomalous,True,knn,0.910055892161007
27_PageBlocks,499,IForest,0.008,4,anomalous,True,knn,0.8504062749518576
27_PageBlocks,497,IForest,0.008,0,anomalous,False,knn,0.870179888215678
27_PageBlocks,498,IForest,0.008,1,anomalous,False,knn,0.9172197640117994
27_PageBlocks,496,IForest,0.008,2,anomalous,False,knn,0.8830961439105725
27_PageBlocks,498,IForest,0.008,3,anomalous,False,knn,0.9039030576299847
