dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
28_pendigits,500,IForest,0.0,0,random,True,knn,0.9702546941810746
28_pendigits,500,IForest,0.0,1,random,True,knn,0.9766051912568307
28_pendigits,500,IForest,0.0,2,random,True,knn,0.9630042758877115
28_pendigits,500,IForest,0.0,3,random,True,knn,0.9014686744748095
28_pendigits,500,IForest,0.0,4,random,True,knn,0.9269380925822643
28_pendigits,500,IForest,0.0,0,random,False,knn,0.9749023982152817
28_pendigits,500,IForest,0.0,1,random,False,knn,0.9723360655737705
28_pendigits,500,IForest,0.0,2,random,False,knn,0.9449711842349879
28_pendigits,500,IForest,0.0,3,random,False,knn,0.9323294292619446
28_pendigits,500,IForest,0.0,4,random,False,knn,0.9564974902398213
28_pendigits,500,IForest,0.0,0,uncertainty,True,knn,0.9812232757018032
28_pendigits,500,IForest,0.0,1,uncertainty,True,knn,0.9634562841530054
28_pendigits,500,IForest,0.0,2,uncertainty,True,knn,0.9527793270124559
28_pendigits,500,IForest,0.0,3,uncertainty,True,knn,0.9399516638780443
28_pendigits,500,IForest,0.0,4,uncertainty,True,knn,0.9737869492470719
28_pendigits,500,IForest,0.0,0,uncertainty,False,knn,0.973229224762967
28_pendigits,500,IForest,0.0,1,uncertainty,False,knn,0.958162568306011
28_pendigits,500,IForest,0.0,2,uncertainty,False,knn,0.9648633575013944
28_pendigits,500,IForest,0.0,3,uncertainty,False,knn,0.9124372559955383
28_pendigits,500,IForest,0.0,4,uncertainty,False,knn,0.9551961331102435
28_pendigits,500,IForest,0.0,0,anomalous,True,knn,0.9749023982152817
28_pendigits,500,IForest,0.0,1,anomalous,True,knn,0.9639685792349727
28_pendigits,500,IForest,0.0,2,anomalous,True,knn,0.9568693065625581
28_pendigits,500,IForest,0.0,3,anomalous,True,knn,0.9254508272913181
28_pendigits,500,IForest,0.0,4,anomalous,True,knn,0.9585424800148726
28_pendigits,500,IForest,0.0,0,anomalous,False,knn,0.9756460308607546
28_pendigits,500,IForest,0.0,1,anomalous,False,knn,0.9660177595628415
28_pendigits,500,IForest,0.0,2,anomalous,False,knn,0.947573898494144
28_pendigits,500,IForest,0.0,3,anomalous,False,knn,0.9038854805725971
28_pendigits,500,IForest,0.0,4,anomalous,False,knn,0.9637479085331846
28_pendigits,500,IForest,0.0,0,clusters,True,knn,0.9722996839561256
28_pendigits,500,IForest,0.0,1,clusters,True,knn,0.9726775956284153
28_pendigits,500,IForest,0.0,2,clusters,True,knn,0.9624465514036066
28_pendigits,500,IForest,0.0,3,clusters,True,knn,0.9040713887339654
28_pendigits,500,IForest,0.0,4,clusters,True,knn,0.9393939393939393
28_pendigits,500,IForest,0.0,0,clusters,False,knn,0.9609592861126602
28_pendigits,500,IForest,0.0,1,clusters,False,knn,0.9699453551912569
28_pendigits,500,IForest,0.0,2,clusters,False,knn,0.972485592117494
28_pendigits,500,IForest,0.0,3,clusters,False,knn,0.9453430005577245
28_pendigits,500,IForest,0.0,4,clusters,False,knn,0.9564974902398214
28_pendigits,500,IForest,0.004,0,random,True,knn,0.9788064696040156
28_pendigits,500,IForest,0.004,1,random,True,knn,0.9725068306010929
28_pendigits,500,IForest,0.004,2,random,True,knn,0.9628183677263431
28_pendigits,500,IForest,0.004,3,random,True,knn,0.9022123071202826
28_pendigits,500,IForest,0.004,4,random,True,knn,0.9583565718535044
28_pendigits,500,IForest,0.004,0,random,False,knn,0.9641197248559211
28_pendigits,500,IForest,0.004,1,random,False,knn,0.9608948087431693
28_pendigits,500,IForest,0.004,2,random,False,knn,0.9657928983082357
28_pendigits,500,IForest,0.004,3,random,False,knn,0.9224762967094255
28_pendigits,500,IForest,0.004,4,random,False,knn,0.9490611637850901
28_pendigits,431,IForest,0.004,0,uncertainty,True,knn,0.9165272355456404
28_pendigits,500,IForest,0.004,1,uncertainty,True,knn,0.9680669398907105
28_pendigits,500,IForest,0.004,2,uncertainty,True,knn,0.9669083472764454
28_pendigits,500,IForest,0.004,3,uncertainty,True,knn,0.9154117865774307
28_pendigits,500,IForest,0.004,4,uncertainty,True,knn,0.941067112846254
28_pendigits,500,IForest,0.004,0,uncertainty,False,knn,0.9836400817995911
28_pendigits,500,IForest,0.004,1,uncertainty,False,knn,0.9629439890710383
28_pendigits,499,IForest,0.004,2,uncertainty,False,knn,0.9687674288901282
28_pendigits,500,IForest,0.004,3,uncertainty,False,knn,0.9261944599367913
28_pendigits,500,IForest,0.004,4,uncertainty,False,knn,0.9669083472764454
28_pendigits,431,IForest,0.004,0,anomalous,True,knn,0.9327012455846811
28_pendigits,490,IForest,0.004,1,anomalous,True,knn,0.9786543715846995
28_pendigits,465,IForest,0.004,2,anomalous,True,knn,0.9713701431492842
28_pendigits,500,IForest,0.004,3,anomalous,True,knn,0.931957612939208
28_pendigits,487,IForest,0.004,4,anomalous,True,knn,0.971184234987916
28_pendigits,499,IForest,0.004,0,anomalous,False,knn,0.9851273470905373
28_pendigits,499,IForest,0.004,1,anomalous,False,knn,0.9494535519125683
28_pendigits,499,IForest,0.004,2,anomalous,False,knn,0.967280163599182
