dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
29_Pima,384,IForest,0.0,0,random,True,knn,0.6691044776119403
29_Pima,384,IForest,0.0,1,random,True,knn,0.6164179104477612
29_Pima,384,IForest,0.0,2,random,True,knn,0.6946865671641791
29_Pima,384,IForest,0.0,3,random,True,knn,0.6987164179104479
29_Pima,384,IForest,0.0,4,random,True,knn,0.6876417910447762
29_Pima,384,IForest,0.0,0,random,False,knn,0.6697611940298507
29_Pima,384,IForest,0.0,1,random,False,knn,0.6378507462686568
29_Pima,384,IForest,0.0,2,random,False,knn,0.6970746268656717
29_Pima,384,IForest,0.0,3,random,False,knn,0.7062985074626866
29_Pima,384,IForest,0.0,4,random,False,knn,0.6953432835820895
29_Pima,384,IForest,0.0,0,uncertainty,True,knn,0.6934626865671641
29_Pima,384,IForest,0.0,1,uncertainty,True,knn,0.6158507462686567
29_Pima,384,IForest,0.0,2,uncertainty,True,knn,0.6972537313432836
29_Pima,384,IForest,0.0,3,uncertainty,True,knn,0.7094925373134329
29_Pima,384,IForest,0.0,4,uncertainty,True,knn,0.6678507462686567
29_Pima,384,IForest,0.0,0,uncertainty,False,knn,0.6744179104477612
29_Pima,384,IForest,0.0,1,uncertainty,False,knn,0.6294925373134329
29_Pima,384,IForest,0.0,2,uncertainty,False,knn,0.6969253731343283
29_Pima,384,IForest,0.0,3,uncertainty,False,knn,0.7112537313432836
29_Pima,384,IForest,0.0,4,uncertainty,False,knn,0.6907164179104478
29_Pima,384,IForest,0.0,0,anomalous,True,knn,0.6546268656716417
29_Pima,384,IForest,0.0,1,anomalous,True,knn,0.6507761194029851
29_Pima,384,IForest,0.0,2,anomalous,True,knn,0.6777611940298508
29_Pima,384,IForest,0.0,3,anomalous,True,knn,0.7074029850746268
29_Pima,384,IForest,0.0,4,anomalous,True,knn,0.6771044776119403
29_Pima,384,IForest,0.0,0,anomalous,False,knn,0.6727462686567165
29_Pima,384,IForest,0.0,1,anomalous,False,knn,0.6411641791044776
29_Pima,384,IForest,0.0,2,anomalous,False,knn,0.7055223880597015
29_Pima,384,IForest,0.0,3,anomalous,False,knn,0.7001194029850747
29_Pima,384,IForest,0.0,4,anomalous,False,knn,0.6982686567164178
29_Pima,384,IForest,0.0,0,clusters,True,knn,0.6571641791044777
29_Pima,384,IForest,0.0,1,clusters,True,knn,0.6151044776119403
29_Pima,384,IForest,0.0,2,clusters,True,knn,0.6634925373134329
29_Pima,384,IForest,0.0,3,clusters,True,knn,0.6951641791044776
29_Pima,384,IForest,0.0,4,clusters,True,knn,0.6915522388059702
29_Pima,384,IForest,0.0,0,clusters,False,knn,0.6714029850746268
29_Pima,384,IForest,0.0,1,clusters,False,knn,0.6408358208955224
29_Pima,384,IForest,0.0,2,clusters,False,knn,0.6934328358208955
29_Pima,384,IForest,0.0,3,clusters,False,knn,0.727910447761194
29_Pima,384,IForest,0.0,4,clusters,False,knn,0.6842686567164178
29_Pima,384,IForest,0.004,0,random,True,knn,0.6462089552238806
29_Pima,384,IForest,0.004,1,random,True,knn,0.6530746268656715
29_Pima,384,IForest,0.004,2,random,True,knn,0.7159701492537314
29_Pima,384,IForest,0.004,3,random,True,knn,0.7137611940298507
29_Pima,384,IForest,0.004,4,random,True,knn,0.6961492537313432
29_Pima,384,IForest,0.004,0,random,False,knn,0.6673432835820896
29_Pima,384,IForest,0.004,1,random,False,knn,0.637223880597015
29_Pima,384,IForest,0.004,2,random,False,knn,0.7070447761194029
29_Pima,384,IForest,0.004,3,random,False,knn,0.7037313432835821
29_Pima,383,IForest,0.004,4,random,False,knn,0.7068358208955224
29_Pima,384,IForest,0.004,0,uncertainty,True,knn,0.6786567164179104
29_Pima,384,IForest,0.004,1,uncertainty,True,knn,0.6325074626865671
29_Pima,384,IForest,0.004,2,uncertainty,True,knn,0.6963880597014925
29_Pima,384,IForest,0.004,3,uncertainty,True,knn,0.7140298507462686
29_Pima,384,IForest,0.004,4,uncertainty,True,knn,0.6767164179104476
29_Pima,383,IForest,0.004,0,uncertainty,False,knn,0.665820895522388
29_Pima,384,IForest,0.004,1,uncertainty,False,knn,0.6109253731343284
29_Pima,384,IForest,0.004,2,uncertainty,False,knn,0.7319701492537313
29_Pima,384,IForest,0.004,3,uncertainty,False,knn,0.7132537313432836
29_Pima,384,IForest,0.004,4,uncertainty,False,knn,0.6867164179104478
29_Pima,384,IForest,0.004,0,anomalous,True,knn,0.702865671641791
29_Pima,384,IForest,0.004,1,anomalous,True,knn,0.6454328358208955
