dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
2_annthyroid,500,IForest,0.0,0,random,True,knn,0.798318837195727
2_annthyroid,500,IForest,0.0,1,random,True,knn,0.8454847936489406
2_annthyroid,500,IForest,0.0,2,random,True,knn,0.8320004669896679
2_annthyroid,500,IForest,0.0,3,random,True,knn,0.717237756114646
2_annthyroid,500,IForest,0.0,4,random,True,knn,0.7773626758507968
2_annthyroid,500,IForest,0.0,0,random,False,knn,0.845017803981087
2_annthyroid,500,IForest,0.0,1,random,False,knn,0.850855174829257
2_annthyroid,500,IForest,0.0,2,random,False,knn,0.8328760726168933
2_annthyroid,500,IForest,0.0,3,random,False,knn,0.7883369330453563
2_annthyroid,500,IForest,0.0,4,random,False,knn,0.7907302550931061
2_annthyroid,500,IForest,0.0,0,uncertainty,True,knn,0.83001576090129
2_annthyroid,500,IForest,0.0,1,uncertainty,True,knn,0.8435584612690444
2_annthyroid,500,IForest,0.0,2,uncertainty,True,knn,0.8607203315626643
2_annthyroid,500,IForest,0.0,3,uncertainty,True,knn,0.7630611172727804
2_annthyroid,500,IForest,0.0,4,uncertainty,True,knn,0.8169400502013893
2_annthyroid,500,IForest,0.0,0,uncertainty,False,knn,0.8223104313817058
2_annthyroid,500,IForest,0.0,1,uncertainty,False,knn,0.8545327184636039
2_annthyroid,500,IForest,0.0,2,uncertainty,False,knn,0.8401727861771059
2_annthyroid,500,IForest,0.0,3,uncertainty,False,knn,0.7653960656120483
2_annthyroid,500,IForest,0.0,4,uncertainty,False,knn,0.8261047224330162
2_annthyroid,500,IForest,0.0,0,anomalous,True,knn,0.8088844784309147
2_annthyroid,500,IForest,0.0,1,anomalous,True,knn,0.8548245870060125
2_annthyroid,500,IForest,0.0,2,anomalous,True,knn,0.8945187087735683
2_annthyroid,500,IForest,0.0,3,anomalous,True,knn,0.766038176405347
2_annthyroid,500,IForest,0.0,4,anomalous,True,knn,0.8326425777829666
2_annthyroid,500,IForest,0.0,0,anomalous,False,knn,0.8157142023232735
2_annthyroid,500,IForest,0.0,1,anomalous,False,knn,0.8421574922654836
2_annthyroid,500,IForest,0.0,2,anomalous,False,knn,0.7970346156091296
2_annthyroid,500,IForest,0.0,3,anomalous,False,knn,0.7485844375693188
2_annthyroid,500,IForest,0.0,4,anomalous,False,knn,0.8388301908820268
2_annthyroid,500,IForest,0.0,0,clusters,True,knn,0.804156208043897
2_annthyroid,500,IForest,0.0,1,clusters,True,knn,0.8491039635748059
2_annthyroid,500,IForest,0.0,2,clusters,True,knn,0.8547078395890492
2_annthyroid,500,IForest,0.0,3,clusters,True,knn,0.7438561671823011
2_annthyroid,500,IForest,0.0,4,clusters,True,knn,0.8594944836845484
2_annthyroid,500,IForest,0.0,0,clusters,False,knn,0.8364952425427588
2_annthyroid,500,IForest,0.0,1,clusters,False,knn,0.8520226489988909
2_annthyroid,500,IForest,0.0,2,clusters,False,knn,0.8196252407915474
2_annthyroid,500,IForest,0.0,3,clusters,False,knn,0.6971572003969413
2_annthyroid,500,IForest,0.0,4,clusters,False,knn,0.8147218492790846
2_annthyroid,500,IForest,0.004,0,random,True,knn,0.8168816764929075
2_annthyroid,7,IForest,0.004,1,random,True,knn,0.5368921837604343
2_annthyroid,500,IForest,0.004,2,random,True,knn,0.8196252407915475
2_annthyroid,500,IForest,0.004,3,random,True,knn,0.7665635397816823
2_annthyroid,500,IForest,0.004,4,random,True,knn,0.8581518883894694
2_annthyroid,500,IForest,0.004,0,random,False,knn,0.7813904617360341
2_annthyroid,499,IForest,0.004,1,random,False,knn,0.8313583561963692
2_annthyroid,500,IForest,0.004,2,random,False,knn,0.8097600840581402
2_annthyroid,500,IForest,0.004,3,random,False,knn,0.7330570311131867
2_annthyroid,500,IForest,0.004,4,random,False,knn,0.825345864222754
2_annthyroid,500,IForest,0.004,0,uncertainty,True,knn,0.7897379020489173
2_annthyroid,500,IForest,0.004,1,uncertainty,True,knn,0.8474694997373183
2_annthyroid,500,IForest,0.004,2,uncertainty,True,knn,0.8493958321172144
2_annthyroid,500,IForest,0.004,3,uncertainty,True,knn,0.7384857860019847
2_annthyroid,500,IForest,0.004,4,uncertainty,True,knn,0.8502130640359582
2_annthyroid,500,IForest,0.004,0,uncertainty,False,knn,0.8043897028778239
2_annthyroid,500,IForest,0.004,1,uncertainty,False,knn,0.8655653493666453
2_annthyroid,498,IForest,0.004,2,uncertainty,False,knn,0.8460685307337575
2_annthyroid,500,IForest,0.004,3,uncertainty,False,knn,0.7510361333255502
2_annthyroid,500,IForest,0.004,4,uncertainty,False,knn,0.7976183526939467
2_annthyroid,500,IForest,0.004,0,anomalous,True,knn,0.8254626116397175
2_annthyroid,500,IForest,0.004,1,anomalous,True,knn,0.8439087035199346
2_annthyroid,491,IForest,0.004,2,anomalous,True,knn,0.8667911972447608
2_annthyroid,500,IForest,0.004,3,anomalous,True,knn,0.7423384507617768
2_annthyroid,499,IForest,0.004,4,anomalous,True,knn,0.8389469382989903
2_annthyroid,498,IForest,0.004,0,anomalous,False,knn,0.8480532368221353
2_annthyroid,498,IForest,0.004,1,anomalous,False,knn,0.8645729963224562
2_annthyroid,499,IForest,0.004,2,anomalous,False,knn,0.8337516782441189
2_annthyroid,498,IForest,0.004,3,anomalous,False,knn,0.7599673107232503
2_annthyroid,500,IForest,0.004,4,anomalous,False,knn,0.8065495300916468
2_annthyroid,500,IForest,0.004,0,clusters,True,knn,0.7899713968828439
2_annthyroid,500,IForest,0.004,1,clusters,True,knn,0.8466522678185745
2_annthyroid,500,IForest,0.004,2,clusters,True,knn,0.8169400502013893
2_annthyroid,500,IForest,0.004,3,clusters,True,knn,0.727161286556535
2_annthyroid,500,IForest,0.004,4,clusters,True,knn,0.8252291168057907
2_annthyroid,499,IForest,0.004,0,clusters,False,knn,0.8327009514914482
2_annthyroid,500,IForest,0.004,1,clusters,False,knn,0.8628217850680053
2_annthyroid,500,IForest,0.004,2,clusters,False,knn,0.8547078395890491
2_annthyroid,500,IForest,0.004,3,clusters,False,knn,0.7432140563890024
2_annthyroid,500,IForest,0.004,4,clusters,False,knn,0.8587356254742864
2_annthyroid,500,IForest,0.006,0,random,True,knn,0.8290817815655829
2_annthyroid,485,IForest,0.006,1,random,True,knn,0.856283929718055
2_annthyroid,435,IForest,0.006,2,random,True,knn,0.8244702585955286
2_annthyroid,500,IForest,0.006,3,random,True,knn,0.7177047457824997
2_annthyroid,500,IForest,0.006,4,random,True,knn,0.8306578716945888
2_annthyroid,500,IForest,0.006,0,random,False,knn,0.8084174887630611
2_annthyroid,499,IForest,0.006,1,random,False,knn,0.8138462436518592
2_annthyroid,499,IForest,0.006,2,random,False,knn,0.8463603992761659
2_annthyroid,500,IForest,0.006,3,random,False,knn,0.752612223454556
2_annthyroid,500,IForest,0.006,4,random,False,knn,0.8078337516782441
2_annthyroid,496,IForest,0.006,0,uncertainty,True,knn,0.814254859611231
2_annthyroid,500,IForest,0.006,1,uncertainty,True,knn,0.8482283579475804
2_annthyroid,500,IForest,0.006,2,uncertainty,True,knn,0.8564590508435002
2_annthyroid,490,IForest,0.006,3,uncertainty,True,knn,0.8030471075827448
2_annthyroid,500,IForest,0.006,4,uncertainty,True,knn,0.8326425777829666
2_annthyroid,500,IForest,0.006,0,uncertainty,False,knn,0.8023466230809643
2_annthyroid,498,IForest,0.006,1,uncertainty,False,knn,0.8464187729846477
2_annthyroid,499,IForest,0.006,2,uncertainty,False,knn,0.8519642752904092
2_annthyroid,499,IForest,0.006,3,uncertainty,False,knn,0.7310723250248088
2_annthyroid,499,IForest,0.006,4,uncertainty,False,knn,0.8235362792598214
2_annthyroid,500,IForest,0.006,0,anomalous,True,knn,0.8199754830424377
2_annthyroid,499,IForest,0.006,1,anomalous,True,knn,0.8618294320238165
2_annthyroid,491,IForest,0.006,2,anomalous,True,knn,0.8297822660673633
2_annthyroid,477,IForest,0.006,3,anomalous,True,knn,0.8744965267643453
2_annthyroid,499,IForest,0.006,4,anomalous,True,knn,0.8558753137586831
2_annthyroid,498,IForest,0.006,0,anomalous,False,knn,0.8386550697565817
2_annthyroid,497,IForest,0.006,1,anomalous,False,knn,0.8750218901406807
2_annthyroid,499,IForest,0.006,2,anomalous,False,knn,0.8476446208627635
2_annthyroid,499,IForest,0.006,3,anomalous,False,knn,0.7340493841573755
2_annthyroid,499,IForest,0.006,4,anomalous,False,knn,0.8378378378378378
2_annthyroid,500,IForest,0.006,0,clusters,True,knn,0.8273889440196135
2_annthyroid,500,IForest,0.006,1,clusters,True,knn,0.8540657287957504
2_annthyroid,500,IForest,0.006,2,clusters,True,knn,0.8422158659739654
2_annthyroid,491,IForest,0.006,3,clusters,True,knn,0.8003035432841049
2_annthyroid,496,IForest,0.006,4,clusters,True,knn,0.8506216799953301
2_annthyroid,499,IForest,0.006,0,clusters,False,knn,0.8262214698499795
2_annthyroid,500,IForest,0.006,1,clusters,False,knn,0.8314167299048509
2_annthyroid,500,IForest,0.006,2,clusters,False,knn,0.8367871110851673
2_annthyroid,499,IForest,0.006,3,clusters,False,knn,0.7515031229934038
2_annthyroid,499,IForest,0.006,4,clusters,False,knn,0.8250539956803455
2_annthyroid,500,IForest,0.008,0,random,True,knn,0.809993578892067
2_annthyroid,488,IForest,0.008,1,random,True,knn,0.8473527523203549
2_annthyroid,445,IForest,0.008,2,random,True,knn,0.8386550697565817
2_annthyroid,500,IForest,0.008,3,random,True,knn,0.7177631194909813
2_annthyroid,500,IForest,0.008,4,random,True,knn,0.7989609479890257
2_annthyroid,500,IForest,0.008,0,random,False,knn,0.7843675208686007
2_annthyroid,499,IForest,0.008,1,random,False,knn,0.8482867316560622
2_annthyroid,499,IForest,0.008,2,random,False,knn,0.8318837195727045
2_annthyroid,500,IForest,0.008,3,random,False,knn,0.7893876597980269
2_annthyroid,500,IForest,0.008,4,random,False,knn,0.8242367637616018
2_annthyroid,500,IForest,0.008,0,uncertainty,True,knn,0.8015293911622206
2_annthyroid,497,IForest,0.008,1,uncertainty,True,knn,0.8599030996439203
2_annthyroid,500,IForest,0.008,2,uncertainty,True,knn,0.8409900180958497
2_annthyroid,204,IForest,0.008,3,uncertainty,True,knn,0.7708831942093282
2_annthyroid,127,IForest,0.008,4,uncertainty,True,knn,0.784717763119491
2_annthyroid,499,IForest,0.008,0,uncertainty,False,knn,0.8141381121942677
2_annthyroid,499,IForest,0.008,1,uncertainty,False,knn,0.8283229233553208
2_annthyroid,499,IForest,0.008,2,uncertainty,False,knn,0.80631603525772
2_annthyroid,500,IForest,0.008,3,uncertainty,False,knn,0.7833751678244119
2_annthyroid,500,IForest,0.008,4,uncertainty,False,knn,0.8568092930943904
2_annthyroid,493,IForest,0.008,0,anomalous,True,knn,0.8347440312883078
2_annthyroid,497,IForest,0.008,1,anomalous,True,knn,0.8683672873737668
2_annthyroid,491,IForest,0.008,2,anomalous,True,knn,0.8826104722433017
2_annthyroid,477,IForest,0.008,3,anomalous,True,knn,0.8474694997373184
2_annthyroid,492,IForest,0.008,4,anomalous,True,knn,0.8899655595119957
2_annthyroid,497,IForest,0.008,0,anomalous,False,knn,0.8228357947580409
2_annthyroid,497,IForest,0.008,1,anomalous,False,knn,0.8349191524137529
2_annthyroid,498,IForest,0.008,2,anomalous,False,knn,0.8000116747416963
2_annthyroid,497,IForest,0.008,3,anomalous,False,knn,0.7305469616484735
2_annthyroid,499,IForest,0.008,4,anomalous,False,knn,0.8444924406047516
2_annthyroid,500,IForest,0.008,0,clusters,True,knn,0.7504523962407331
2_annthyroid,500,IForest,0.008,1,clusters,True,knn,0.8155974549063102
2_annthyroid,500,IForest,0.008,2,clusters,True,knn,0.8648648648648649
2_annthyroid,491,IForest,0.008,3,clusters,True,knn,0.7789387659798027
2_annthyroid,496,IForest,0.008,4,clusters,True,knn,0.8227774210495593
2_annthyroid,499,IForest,0.008,0,clusters,False,knn,0.7868192166248322
2_annthyroid,500,IForest,0.008,1,clusters,False,knn,0.8320588406981495
2_annthyroid,500,IForest,0.008,2,clusters,False,knn,0.8421574922654836
2_annthyroid,499,IForest,0.008,3,clusters,False,knn,0.7280368921837604
2_annthyroid,499,IForest,0.008,4,clusters,False,knn,0.8071916408849454
2_annthyroid,500,IForest,0.01,0,random,True,knn,0.8054404296304944
2_annthyroid,488,IForest,0.01,1,random,True,knn,0.8636390169867492
2_annthyroid,475,IForest,0.01,2,random,True,knn,0.817173545035316
2_annthyroid,500,IForest,0.01,3,random,True,knn,0.7328819099877416
2_annthyroid,500,IForest,0.01,4,random,True,knn,0.8101103263090305
2_annthyroid,500,IForest,0.01,0,random,False,knn,0.7792306345222112
2_annthyroid,499,IForest,0.01,1,random,False,knn,0.8262214698499796
2_annthyroid,499,IForest,0.01,2,random,False,knn,0.8432665927266358
2_annthyroid,500,IForest,0.01,3,random,False,knn,0.7670889031580176
2_annthyroid,499,IForest,0.01,4,random,False,knn,0.8309497402369973
2_annthyroid,500,IForest,0.01,0,uncertainty,True,knn,0.8162979394080906
2_annthyroid,495,IForest,0.01,1,uncertainty,True,knn,0.8659739653260171
2_annthyroid,142,IForest,0.01,2,uncertainty,True,knn,0.8355028894985699
2_annthyroid,490,IForest,0.01,3,uncertainty,True,knn,0.7690152355379137
2_annthyroid,327,IForest,0.01,4,uncertainty,True,knn,0.7874613274181309
2_annthyroid,499,IForest,0.01,0,uncertainty,False,knn,0.8248788745549004
2_annthyroid,499,IForest,0.01,1,uncertainty,False,knn,0.8343354153289358
2_annthyroid,498,IForest,0.01,2,uncertainty,False,knn,0.8259296013075711
2_annthyroid,499,IForest,0.01,3,uncertainty,False,knn,0.7360340902457533
2_annthyroid,499,IForest,0.01,4,uncertainty,False,knn,0.8038643395014886
2_annthyroid,497,IForest,0.01,0,anomalous,True,knn,0.8523728912497811
2_annthyroid,497,IForest,0.01,1,anomalous,True,knn,0.8690093981670656
2_annthyroid,491,IForest,0.01,2,anomalous,True,knn,0.8683672873737669
2_annthyroid,477,IForest,0.01,3,anomalous,True,knn,0.8530150020430798
2_annthyroid,492,IForest,0.01,4,anomalous,True,knn,0.8831358356196369
2_annthyroid,496,IForest,0.01,0,anomalous,False,knn,0.8322923355320764
2_annthyroid,496,IForest,0.01,1,anomalous,False,knn,0.8747300215982721
2_annthyroid,497,IForest,0.01,2,anomalous,False,knn,0.8707022357130347
2_annthyroid,497,IForest,0.01,3,anomalous,False,knn,0.743097308972039
2_annthyroid,498,IForest,0.01,4,anomalous,False,knn,0.8540073550872687
2_annthyroid,500,IForest,0.01,0,clusters,True,knn,0.7856517424551982
2_annthyroid,500,IForest,0.01,1,clusters,True,knn,0.8370789796275757
2_annthyroid,500,IForest,0.01,2,clusters,True,knn,0.8258712275990894
2_annthyroid,491,IForest,0.01,3,clusters,True,knn,0.7546553032514155
2_annthyroid,496,IForest,0.01,4,clusters,True,knn,0.8467690152355379
2_annthyroid,499,IForest,0.01,0,clusters,False,knn,0.8282061759383574
2_annthyroid,500,IForest,0.01,1,clusters,False,knn,0.8441421983538614
2_annthyroid,500,IForest,0.01,2,clusters,False,knn,0.8223104313817057
2_annthyroid,499,IForest,0.01,3,clusters,False,knn,0.7153114237347499
2_annthyroid,499,IForest,0.01,4,clusters,False,knn,0.8250539956803455
2_annthyroid,500,IForest,0.013,0,random,True,knn,0.8025217442064094
2_annthyroid,488,IForest,0.013,1,random,True,knn,0.8666744498277975
2_annthyroid,475,IForest,0.013,2,random,True,knn,0.8397057965092523
2_annthyroid,497,IForest,0.013,3,random,True,knn,0.7780631603525772
2_annthyroid,500,IForest,0.013,4,random,True,knn,0.8252874905142723
2_annthyroid,500,IForest,0.013,0,random,False,knn,0.8158309497402371
2_annthyroid,499,IForest,0.013,1,random,False,knn,0.8436752086860079
2_annthyroid,499,IForest,0.013,2,random,False,knn,0.845192925106532
2_annthyroid,499,IForest,0.013,3,random,False,knn,0.7530792131224097
2_annthyroid,499,IForest,0.013,4,random,False,knn,0.8059074192983481
2_annthyroid,384,IForest,0.013,0,uncertainty,True,knn,0.7801062401494367
2_annthyroid,500,IForest,0.013,1,uncertainty,True,knn,0.8549997081314576
2_annthyroid,74,IForest,0.013,2,uncertainty,True,knn,0.8647481174479015
2_annthyroid,490,IForest,0.013,3,uncertainty,True,knn,0.7719922946704804
2_annthyroid,147,IForest,0.013,4,uncertainty,True,knn,0.7920728503881852
2_annthyroid,499,IForest,0.013,0,uncertainty,False,knn,0.8102854474344755
2_annthyroid,498,IForest,0.013,1,uncertainty,False,knn,0.8684840347907303
2_annthyroid,499,IForest,0.013,2,uncertainty,False,knn,0.8323507092405581
2_annthyroid,498,IForest,0.013,3,uncertainty,False,knn,0.7564648882143482
2_annthyroid,499,IForest,0.013,4,uncertainty,False,knn,0.8692428930009923
2_annthyroid,493,IForest,0.013,0,anomalous,True,knn,0.8838363201214173
2_annthyroid,497,IForest,0.013,1,anomalous,True,knn,0.8462436518592026
2_annthyroid,491,IForest,0.013,2,anomalous,True,knn,0.8765396065612048
2_annthyroid,477,IForest,0.013,3,anomalous,True,knn,0.874963516432199
2_annthyroid,492,IForest,0.013,4,anomalous,True,knn,0.8831942093281187
2_annthyroid,497,IForest,0.013,0,anomalous,False,knn,0.8320004669896679
2_annthyroid,497,IForest,0.013,1,anomalous,False,knn,0.8801587764870702
