dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
30_satellite,500,IForest,0.0,0,random,True,knn,0.6957768894810866
30_satellite,500,IForest,0.0,1,random,True,knn,0.7318824487378786
30_satellite,500,IForest,0.0,2,random,True,knn,0.6608372196313568
30_satellite,500,IForest,0.0,3,random,True,knn,0.7028462506477163
30_satellite,500,IForest,0.0,4,random,True,knn,0.6626508253756754
30_satellite,500,IForest,0.0,0,random,False,knn,0.729569176104819
30_satellite,500,IForest,0.0,1,random,False,knn,0.7246280257606041
30_satellite,500,IForest,0.0,2,random,False,knn,0.6952587164112813
30_satellite,500,IForest,0.0,3,random,False,knn,0.6898919239025834
30_satellite,500,IForest,0.0,4,random,False,knn,0.6559886001924643
30_satellite,500,IForest,0.0,0,uncertainty,True,knn,0.6828410689170182
30_satellite,500,IForest,0.0,1,uncertainty,True,knn,0.7201310237619365
30_satellite,500,IForest,0.0,2,uncertainty,True,knn,0.667295876822859
30_satellite,500,IForest,0.0,3,uncertainty,True,knn,0.6838218965134355
30_satellite,500,IForest,0.0,4,uncertainty,True,knn,0.6727181878747501
30_satellite,500,IForest,0.0,0,uncertainty,False,knn,0.7092864016581537
30_satellite,500,IForest,0.0,1,uncertainty,False,knn,0.7083981049670591
30_satellite,500,IForest,0.0,2,uncertainty,False,knn,0.7347509068028721
30_satellite,500,IForest,0.0,3,uncertainty,False,knn,0.7253497668221185
30_satellite,500,IForest,0.0,4,uncertainty,False,knn,0.6644644311199941
30_satellite,500,IForest,0.0,0,anomalous,True,knn,0.7272744096528241
30_satellite,500,IForest,0.0,1,anomalous,True,knn,0.7327707454289734
30_satellite,500,IForest,0.0,2,anomalous,True,knn,0.6944629506255089
30_satellite,500,IForest,0.0,3,anomalous,True,knn,0.7153749352283663
30_satellite,500,IForest,0.0,4,anomalous,True,knn,0.6662595306832483
30_satellite,500,IForest,0.0,0,anomalous,False,knn,0.6992005329780147
30_satellite,500,IForest,0.0,1,anomalous,False,knn,0.7318824487378786
30_satellite,500,IForest,0.0,2,anomalous,False,knn,0.6828225627359539
30_satellite,500,IForest,0.0,3,anomalous,False,knn,0.6986453475460803
30_satellite,500,IForest,0.0,4,anomalous,False,knn,0.6695351247316603
30_satellite,500,IForest,0.0,0,clusters,True,knn,0.7215745058849656
30_satellite,500,IForest,0.0,1,clusters,True,knn,0.6974794581390185
30_satellite,500,IForest,0.0,2,clusters,True,knn,0.6697201865423051
30_satellite,500,IForest,0.0,3,clusters,True,knn,0.6902065289806796
30_satellite,500,IForest,0.0,4,clusters,True,knn,0.670923088311496
30_satellite,500,IForest,0.0,0,clusters,False,knn,0.7207972462802577
30_satellite,500,IForest,0.0,1,clusters,False,knn,0.723961803242283
30_satellite,500,IForest,0.0,2,clusters,False,knn,0.6998112369531424
30_satellite,500,IForest,0.0,3,clusters,False,knn,0.6630949737212228
30_satellite,500,IForest,0.0,4,clusters,False,knn,0.6689984454807907
30_satellite,500,IForest,0.004,0,random,True,knn,0.6772336960544822
30_satellite,431,IForest,0.004,1,random,True,knn,0.7497964320082907
30_satellite,497,IForest,0.004,2,random,True,knn,0.6831371678140499
30_satellite,500,IForest,0.004,3,random,True,knn,0.6908542453179363
30_satellite,500,IForest,0.004,4,random,True,knn,0.6797875490413798
30_satellite,500,IForest,0.004,0,random,False,knn,0.6951846916870235
30_satellite,499,IForest,0.004,1,random,False,knn,0.7234806425346065
30_satellite,499,IForest,0.004,2,random,False,knn,0.6859316011547858
30_satellite,500,IForest,0.004,3,random,False,knn,0.6843955881264343
30_satellite,500,IForest,0.004,4,random,False,knn,0.6944814568065734
30_satellite,500,IForest,0.004,0,uncertainty,True,knn,0.7475571840994892
