dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
31_satimage-2,500,IForest,0.0,0,random,True,knn,0.9740215924426451
31_satimage-2,500,IForest,0.0,1,random,True,knn,1.0
31_satimage-2,500,IForest,0.0,2,random,True,knn,0.9962887989203778
31_satimage-2,500,IForest,0.0,3,random,True,knn,0.9996626180836707
31_satimage-2,500,IForest,0.0,4,random,True,knn,0.963225371120108
31_satimage-2,500,IForest,0.0,0,random,False,knn,0.9868421052631579
31_satimage-2,500,IForest,0.0,1,random,False,knn,1.0
31_satimage-2,500,IForest,0.0,2,random,False,knn,0.9956140350877193
31_satimage-2,500,IForest,0.0,3,random,False,knn,1.0
31_satimage-2,500,IForest,0.0,4,random,False,knn,0.9713225371120108
31_satimage-2,500,IForest,0.0,0,uncertainty,True,knn,0.9777327935222672
31_satimage-2,500,IForest,0.0,1,uncertainty,True,knn,1.0
31_satimage-2,500,IForest,0.0,2,uncertainty,True,knn,0.9919028340080972
31_satimage-2,500,IForest,0.0,3,uncertainty,True,knn,0.9996626180836707
31_satimage-2,500,IForest,0.0,4,uncertainty,True,knn,0.9669365721997301
31_satimage-2,500,IForest,0.0,0,uncertainty,False,knn,0.9679487179487178
31_satimage-2,500,IForest,0.0,1,uncertainty,False,knn,1.0
31_satimage-2,500,IForest,0.0,2,uncertainty,False,knn,0.9983130904183536
31_satimage-2,500,IForest,0.0,3,uncertainty,False,knn,1.0
31_satimage-2,500,IForest,0.0,4,uncertainty,False,knn,0.9854925775978408
31_satimage-2,500,IForest,0.0,0,anomalous,True,knn,0.9767206477732793
31_satimage-2,500,IForest,0.0,1,anomalous,True,knn,1.0
31_satimage-2,500,IForest,0.0,2,anomalous,True,knn,0.9962887989203778
31_satimage-2,500,IForest,0.0,3,anomalous,True,knn,0.9989878542510121
31_satimage-2,500,IForest,0.0,4,anomalous,True,knn,0.9780701754385965
31_satimage-2,500,IForest,0.0,0,anomalous,False,knn,0.9740215924426451
31_satimage-2,500,IForest,0.0,1,anomalous,False,knn,1.0
31_satimage-2,500,IForest,0.0,2,anomalous,False,knn,0.9956140350877193
31_satimage-2,500,IForest,0.0,3,anomalous,False,knn,1.0
31_satimage-2,500,IForest,0.0,4,anomalous,False,knn,0.951417004048583
31_satimage-2,500,IForest,0.0,0,clusters,True,knn,0.9875168690958165
31_satimage-2,500,IForest,0.0,1,clusters,True,knn,1.0
31_satimage-2,500,IForest,0.0,2,clusters,True,knn,0.9939271255060729
31_satimage-2,500,IForest,0.0,3,clusters,True,knn,0.9993252361673414
31_satimage-2,500,IForest,0.0,4,clusters,True,knn,0.9389338731443995
31_satimage-2,500,IForest,0.0,0,clusters,False,knn,0.9807692307692307
31_satimage-2,500,IForest,0.0,1,clusters,False,knn,1.0
31_satimage-2,500,IForest,0.0,2,clusters,False,knn,0.9956140350877193
31_satimage-2,500,IForest,0.0,3,clusters,False,knn,0.9989878542510121
31_satimage-2,500,IForest,0.0,4,clusters,False,knn,0.9733468286099864
31_satimage-2,500,IForest,0.004,0,random,True,knn,0.9811066126855601
31_satimage-2,500,IForest,0.004,1,random,True,knn,1.0
31_satimage-2,500,IForest,0.004,2,random,True,knn,0.99055330634278
31_satimage-2,500,IForest,0.004,3,random,True,knn,1.0
31_satimage-2,500,IForest,0.004,4,random,True,knn,0.9659244264507423
31_satimage-2,500,IForest,0.004,0,random,False,knn,0.986842105263158
31_satimage-2,500,IForest,0.004,1,random,False,knn,1.0
31_satimage-2,500,IForest,0.004,2,random,False,knn,0.9983130904183536
31_satimage-2,500,IForest,0.004,3,random,False,knn,1.0
31_satimage-2,500,IForest,0.004,4,random,False,knn,0.9760458839406208
31_satimage-2,500,IForest,0.004,0,uncertainty,True,knn,0.9777327935222673
31_satimage-2,500,IForest,0.004,1,uncertainty,True,knn,1.0
31_satimage-2,500,IForest,0.004,2,uncertainty,True,knn,0.9919028340080972
31_satimage-2,500,IForest,0.004,3,uncertainty,True,knn,0.9996626180836707
31_satimage-2,500,IForest,0.004,4,uncertainty,True,knn,0.9544534412955465
