dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
32_shuttle,500,IForest,0.0,0,random,True,knn,0.9988026819923372
32_shuttle,500,IForest,0.0,1,random,True,knn,0.9902418582375478
32_shuttle,500,IForest,0.0,2,random,True,knn,0.998263888888889
32_shuttle,500,IForest,0.0,3,random,True,knn,0.998742816091954
32_shuttle,500,IForest,0.0,4,random,True,knn,0.9904813218390804
32_shuttle,500,IForest,0.0,0,random,False,knn,0.9991020114942528
32_shuttle,500,IForest,0.0,1,random,False,knn,0.9883860153256705
32_shuttle,500,IForest,0.0,2,random,False,knn,0.9982040229885057
32_shuttle,500,IForest,0.0,3,random,False,knn,0.9974856321839081
32_shuttle,500,IForest,0.0,4,random,False,knn,0.9920977011494253
32_shuttle,500,IForest,0.0,0,uncertainty,True,knn,0.9994612068965517
32_shuttle,500,IForest,0.0,1,uncertainty,True,knn,0.9885057471264368
32_shuttle,500,IForest,0.0,2,uncertainty,True,knn,0.9992816091954022
32_shuttle,500,IForest,0.0,3,uncertainty,True,knn,0.999161877394636
32_shuttle,500,IForest,0.0,4,uncertainty,True,knn,0.9904214559386973
32_shuttle,500,IForest,0.0,0,uncertainty,False,knn,0.9985632183908046
32_shuttle,500,IForest,0.0,1,uncertainty,False,knn,0.9893438697318008
32_shuttle,500,IForest,0.0,2,uncertainty,False,knn,0.9983836206896551
32_shuttle,500,IForest,0.0,3,uncertainty,False,knn,0.9978448275862069
32_shuttle,500,IForest,0.0,4,uncertainty,False,knn,0.9849137931034483
32_shuttle,500,IForest,0.0,0,anomalous,True,knn,0.9989224137931034
32_shuttle,500,IForest,0.0,1,anomalous,True,knn,0.9913194444444444
32_shuttle,500,IForest,0.0,2,anomalous,True,knn,0.998742816091954
32_shuttle,500,IForest,0.0,3,anomalous,True,knn,0.99790469348659
32_shuttle,500,IForest,0.0,4,anomalous,True,knn,0.9933548850574712
32_shuttle,500,IForest,0.0,0,anomalous,False,knn,0.999580938697318
32_shuttle,500,IForest,0.0,1,anomalous,False,knn,0.9913793103448275
32_shuttle,500,IForest,0.0,2,anomalous,False,knn,0.9980244252873564
32_shuttle,500,IForest,0.0,3,anomalous,False,knn,0.9951508620689655
32_shuttle,500,IForest,0.0,4,anomalous,False,knn,0.9794659961685823
32_shuttle,500,IForest,0.0,0,clusters,True,knn,0.9978448275862069
32_shuttle,500,IForest,0.0,1,clusters,True,knn,0.990241858237548
32_shuttle,500,IForest,0.0,2,clusters,True,knn,0.9988026819923372
32_shuttle,500,IForest,0.0,3,clusters,True,knn,0.9989224137931034
32_shuttle,500,IForest,0.0,4,clusters,True,knn,0.9888649425287357
32_shuttle,500,IForest,0.0,0,clusters,False,knn,0.9968271072796935
32_shuttle,500,IForest,0.0,1,clusters,False,knn,0.9888050766283525
32_shuttle,500,IForest,0.0,2,clusters,False,knn,0.9988026819923371
32_shuttle,500,IForest,0.0,3,clusters,False,knn,0.9980842911877394
32_shuttle,500,IForest,0.0,4,clusters,False,knn,0.988625478927203
32_shuttle,500,IForest,0.004,0,random,True,knn,0.998742816091954
32_shuttle,473,IForest,0.004,1,random,True,knn,0.9904214559386973
32_shuttle,500,IForest,0.004,2,random,True,knn,0.9988026819923372
32_shuttle,500,IForest,0.004,3,random,True,knn,0.9980244252873564
32_shuttle,500,IForest,0.004,4,random,True,knn,0.9893438697318008
32_shuttle,500,IForest,0.004,0,random,False,knn,0.9963481800766284
32_shuttle,499,IForest,0.004,1,random,False,knn,0.9933548850574713
32_shuttle,500,IForest,0.004,2,random,False,knn,0.9953903256704981
32_shuttle,500,IForest,0.004,3,random,False,knn,0.9980842911877394
32_shuttle,500,IForest,0.004,4,random,False,knn,0.9887452107279693
32_shuttle,500,IForest,0.004,0,uncertainty,True,knn,0.9986829501915708
32_shuttle,500,IForest,0.004,1,uncertainty,True,knn,0.9920977011494253
32_shuttle,500,IForest,0.004,2,uncertainty,True,knn,0.998742816091954
32_shuttle,500,IForest,0.004,3,uncertainty,True,knn,0.9982040229885057
32_shuttle,500,IForest,0.004,4,uncertainty,True,knn,0.9871886973180077
32_shuttle,500,IForest,0.004,0,uncertainty,False,knn,1.0
32_shuttle,500,IForest,0.004,1,uncertainty,False,knn,0.9888649425287357
32_shuttle,500,IForest,0.004,2,uncertainty,False,knn,0.9988625478927202
32_shuttle,500,IForest,0.004,3,uncertainty,False,knn,0.9972461685823755
32_shuttle,500,IForest,0.004,4,uncertainty,False,knn,0.9874281609195401
32_shuttle,500,IForest,0.004,0,anomalous,True,knn,0.9983836206896551
32_shuttle,500,IForest,0.004,1,anomalous,True,knn,0.9909602490421456
32_shuttle,500,IForest,0.004,2,anomalous,True,knn,0.9949712643678161
32_shuttle,500,IForest,0.004,3,anomalous,True,knn,0.9974257662835249
32_shuttle,500,IForest,0.004,4,anomalous,True,knn,0.9896431992337164
32_shuttle,498,IForest,0.004,0,anomalous,False,knn,0.9995210727969349
32_shuttle,498,IForest,0.004,1,anomalous,False,knn,0.9892241379310345
32_shuttle,498,IForest,0.004,2,anomalous,False,knn,0.9973659003831418
32_shuttle,498,IForest,0.004,3,anomalous,False,knn,0.9994013409961686
32_shuttle,498,IForest,0.004,4,anomalous,False,knn,0.987368295019157
32_shuttle,486,IForest,0.004,0,clusters,True,knn,0.9993414750957854
32_shuttle,473,IForest,0.004,1,clusters,True,knn,0.9885656130268199
32_shuttle,483,IForest,0.004,2,clusters,True,knn,0.9997605363984674
32_shuttle,500,IForest,0.004,3,clusters,True,knn,0.9980244252873564
32_shuttle,484,IForest,0.004,4,clusters,True,knn,0.9847341954022987
32_shuttle,499,IForest,0.004,0,clusters,False,knn,0.9988625478927203
32_shuttle,499,IForest,0.004,1,clusters,False,knn,0.98647030651341
32_shuttle,499,IForest,0.004,2,clusters,False,knn,0.9992816091954022
32_shuttle,499,IForest,0.004,3,clusters,False,knn,0.9965277777777778
32_shuttle,499,IForest,0.004,4,clusters,False,knn,0.9863505747126436
32_shuttle,500,IForest,0.006,0,random,True,knn,0.9992217432950191
32_shuttle,473,IForest,0.006,1,random,True,knn,0.990720785440613
32_shuttle,500,IForest,0.006,2,random,True,knn,0.9982040229885057
32_shuttle,500,IForest,0.006,3,random,True,knn,0.9980244252873562
32_shuttle,500,IForest,0.006,4,random,True,knn,0.992397030651341
32_shuttle,500,IForest,0.006,0,random,False,knn,0.9993414750957854
32_shuttle,499,IForest,0.006,1,random,False,knn,0.9921575670498085
32_shuttle,500,IForest,0.006,2,random,False,knn,0.9984434865900382
32_shuttle,500,IForest,0.006,3,random,False,knn,0.9968271072796935
32_shuttle,500,IForest,0.006,4,random,False,knn,0.9882064176245211
32_shuttle,500,IForest,0.006,0,uncertainty,True,knn,0.9997605363984674
32_shuttle,500,IForest,0.006,1,uncertainty,True,knn,0.9923970306513411
32_shuttle,500,IForest,0.006,2,uncertainty,True,knn,0.9991020114942528
32_shuttle,500,IForest,0.006,3,uncertainty,True,knn,0.9972461685823755
32_shuttle,500,IForest,0.006,4,uncertainty,True,knn,0.9851532567049809
32_shuttle,500,IForest,0.006,0,uncertainty,False,knn,0.9981441570881225
32_shuttle,500,IForest,0.006,1,uncertainty,False,knn,0.9885057471264368
32_shuttle,499,IForest,0.006,2,uncertainty,False,knn,0.9973659003831418
32_shuttle,500,IForest,0.006,3,uncertainty,False,knn,0.9983836206896551
32_shuttle,500,IForest,0.006,4,uncertainty,False,knn,0.9886853448275862
32_shuttle,500,IForest,0.006,0,anomalous,True,knn,1.0
32_shuttle,500,IForest,0.006,1,anomalous,True,knn,0.9897629310344828
32_shuttle,500,IForest,0.006,2,anomalous,True,knn,0.998323754789272
32_shuttle,500,IForest,0.006,3,anomalous,True,knn,0.9976053639846743
32_shuttle,500,IForest,0.006,4,anomalous,True,knn,0.9933548850574713
32_shuttle,497,IForest,0.006,0,anomalous,False,knn,0.9997006704980844
32_shuttle,497,IForest,0.006,1,anomalous,False,knn,0.9891044061302681
32_shuttle,497,IForest,0.006,2,anomalous,False,knn,0.9989822796934865
32_shuttle,497,IForest,0.006,3,anomalous,False,knn,0.9997605363984674
32_shuttle,497,IForest,0.006,4,anomalous,False,knn,0.9877873563218391
32_shuttle,486,IForest,0.006,0,clusters,True,knn,0.9985632183908046
32_shuttle,473,IForest,0.006,1,clusters,True,knn,0.9901819923371648
32_shuttle,483,IForest,0.006,2,clusters,True,knn,0.9998802681992337
32_shuttle,483,IForest,0.006,3,clusters,True,knn,0.998742816091954
32_shuttle,484,IForest,0.006,4,clusters,True,knn,0.9893438697318008
32_shuttle,499,IForest,0.006,0,clusters,False,knn,0.998323754789272
32_shuttle,499,IForest,0.006,1,clusters,False,knn,0.9922772988505747
32_shuttle,499,IForest,0.006,2,clusters,False,knn,0.9987428160919539
32_shuttle,498,IForest,0.006,3,clusters,False,knn,0.9982040229885057
32_shuttle,499,IForest,0.006,4,clusters,False,knn,0.9912595785440613
32_shuttle,500,IForest,0.008,0,random,True,knn,0.9992217432950192
32_shuttle,473,IForest,0.008,1,random,True,knn,0.9917983716475095
32_shuttle,500,IForest,0.008,2,random,True,knn,0.9983836206896551
32_shuttle,500,IForest,0.008,3,random,True,knn,0.99790469348659
32_shuttle,500,IForest,0.008,4,random,True,knn,0.9888050766283525
32_shuttle,500,IForest,0.008,0,random,False,knn,0.996228448275862
32_shuttle,499,IForest,0.008,1,random,False,knn,0.9897629310344828
32_shuttle,500,IForest,0.008,2,random,False,knn,0.9985033524904214
32_shuttle,500,IForest,0.008,3,random,False,knn,0.9979645593869733
32_shuttle,500,IForest,0.008,4,random,False,knn,0.9920977011494253
32_shuttle,500,IForest,0.008,0,uncertainty,True,knn,0.998742816091954
32_shuttle,500,IForest,0.008,1,uncertainty,True,knn,0.9938936781609196
32_shuttle,500,IForest,0.008,2,uncertainty,True,knn,0.9980244252873564
32_shuttle,500,IForest,0.008,3,uncertainty,True,knn,0.9972461685823755
32_shuttle,500,IForest,0.008,4,uncertainty,True,knn,0.9850335249042146
32_shuttle,499,IForest,0.008,0,uncertainty,False,knn,0.9995210727969348
32_shuttle,500,IForest,0.008,1,uncertainty,False,knn,0.9891642720306514
32_shuttle,500,IForest,0.008,2,uncertainty,False,knn,0.9997605363984674
32_shuttle,500,IForest,0.008,3,uncertainty,False,knn,0.9968271072796935
32_shuttle,500,IForest,0.008,4,uncertainty,False,knn,0.9837763409961685
32_shuttle,500,IForest,0.008,0,anomalous,True,knn,0.9980842911877394
32_shuttle,500,IForest,0.008,1,anomalous,True,knn,0.9920977011494253
32_shuttle,500,IForest,0.008,2,anomalous,True,knn,0.9990421455938697
32_shuttle,500,IForest,0.008,3,anomalous,True,knn,0.9971863026819923
32_shuttle,500,IForest,0.008,4,anomalous,True,knn,0.9884458812260536
32_shuttle,496,IForest,0.008,0,anomalous,False,knn,0.997844827586207
32_shuttle,496,IForest,0.008,1,anomalous,False,knn,0.9931154214559388
32_shuttle,496,IForest,0.008,2,anomalous,False,knn,0.9986829501915709
32_shuttle,496,IForest,0.008,3,anomalous,False,knn,0.9992217432950192
32_shuttle,496,IForest,0.008,4,anomalous,False,knn,0.9864104406130269
32_shuttle,477,IForest,0.008,0,clusters,True,knn,1.0
32_shuttle,473,IForest,0.008,1,clusters,True,knn,0.9868893678160919
32_shuttle,474,IForest,0.008,2,clusters,True,knn,0.9992217432950191
32_shuttle,483,IForest,0.008,3,clusters,True,knn,0.9992816091954023
32_shuttle,484,IForest,0.008,4,clusters,True,knn,0.9876077586206897
32_shuttle,498,IForest,0.008,0,clusters,False,knn,0.9986829501915708
32_shuttle,499,IForest,0.008,1,clusters,False,knn,0.9904813218390806
32_shuttle,498,IForest,0.008,2,clusters,False,knn,0.9992217432950191
32_shuttle,498,IForest,0.008,3,clusters,False,knn,0.9992816091954022
32_shuttle,499,IForest,0.008,4,clusters,False,knn,0.9897030651340996
32_shuttle,500,IForest,0.01,0,random,True,knn,0.9991020114942529
32_shuttle,473,IForest,0.01,1,random,True,knn,0.9909602490421456
32_shuttle,500,IForest,0.01,2,random,True,knn,0.9982638888888888
32_shuttle,500,IForest,0.01,3,random,True,knn,0.9975454980842912
32_shuttle,500,IForest,0.01,4,random,True,knn,0.9889248084291189
32_shuttle,500,IForest,0.01,0,random,False,knn,0.9995210727969348
32_shuttle,499,IForest,0.01,1,random,False,knn,0.9914990421455938
32_shuttle,500,IForest,0.01,2,random,False,knn,0.99790469348659
32_shuttle,500,IForest,0.01,3,random,False,knn,0.9980244252873562
32_shuttle,500,IForest,0.01,4,random,False,knn,0.9933548850574713
32_shuttle,500,IForest,0.01,0,uncertainty,True,knn,0.9991020114942528
32_shuttle,500,IForest,0.01,1,uncertainty,True,knn,0.9901819923371648
32_shuttle,500,IForest,0.01,2,uncertainty,True,knn,0.9970665708812261
32_shuttle,483,IForest,0.01,3,uncertainty,True,knn,0.9997605363984675
32_shuttle,500,IForest,0.01,4,uncertainty,True,knn,0.9892241379310345
32_shuttle,499,IForest,0.01,0,uncertainty,False,knn,0.9982638888888888
32_shuttle,500,IForest,0.01,1,uncertainty,False,knn,0.9897629310344828
32_shuttle,500,IForest,0.01,2,uncertainty,False,knn,0.9988026819923371
32_shuttle,499,IForest,0.01,3,uncertainty,False,knn,0.9986829501915709
32_shuttle,500,IForest,0.01,4,uncertainty,False,knn,0.9929956896551724
32_shuttle,500,IForest,0.01,0,anomalous,True,knn,0.9982040229885056
32_shuttle,500,IForest,0.01,1,anomalous,True,knn,0.9917385057471265
32_shuttle,500,IForest,0.01,2,anomalous,True,knn,0.9991020114942528
32_shuttle,500,IForest,0.01,3,anomalous,True,knn,0.9988026819923371
32_shuttle,500,IForest,0.01,4,anomalous,True,knn,0.9847341954022989
32_shuttle,495,IForest,0.01,0,anomalous,False,knn,0.9980842911877394
32_shuttle,495,IForest,0.01,1,anomalous,False,knn,0.9897629310344827
32_shuttle,495,IForest,0.01,2,anomalous,False,knn,0.9986829501915709
32_shuttle,495,IForest,0.01,3,anomalous,False,knn,0.9993414750957854
32_shuttle,495,IForest,0.01,4,anomalous,False,knn,0.987787356321839
32_shuttle,477,IForest,0.01,0,clusters,True,knn,0.9997605363984674
32_shuttle,470,IForest,0.01,1,clusters,True,knn,0.990301724137931
32_shuttle,474,IForest,0.01,2,clusters,True,knn,0.9997605363984674
32_shuttle,483,IForest,0.01,3,clusters,True,knn,0.9984434865900383
32_shuttle,484,IForest,0.01,4,clusters,True,knn,0.983117816091954
32_shuttle,498,IForest,0.01,0,clusters,False,knn,0.9988625478927202
32_shuttle,498,IForest,0.01,1,clusters,False,knn,0.9916187739463601
32_shuttle,498,IForest,0.01,2,clusters,False,knn,0.9988026819923371
32_shuttle,498,IForest,0.01,3,clusters,False,knn,0.9992816091954023
32_shuttle,499,IForest,0.01,4,clusters,False,knn,0.9858716475095786
32_shuttle,500,IForest,0.013,0,random,True,knn,0.9983836206896551
32_shuttle,473,IForest,0.013,1,random,True,knn,0.9891044061302683
32_shuttle,500,IForest,0.013,2,random,True,knn,0.9986829501915708
