dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
33_skin,500,IForest,0.0,0,random,True,knn,0.6999854679325712
33_skin,500,IForest,0.0,1,random,True,knn,0.6913388878124395
33_skin,500,IForest,0.0,2,random,True,knn,0.6385390428211586
33_skin,500,IForest,0.0,3,random,True,knn,0.6646967641929857
33_skin,500,IForest,0.0,4,random,True,knn,0.6961344700639411
33_skin,500,IForest,0.0,0,random,False,knn,0.726797132338694
33_skin,500,IForest,0.0,1,random,False,knn,0.723551637279597
33_skin,500,IForest,0.0,2,random,False,knn,0.6444729703545825
33_skin,500,IForest,0.0,3,random,False,knn,0.7005909707421042
33_skin,500,IForest,0.0,4,random,False,knn,0.7081960860298392
33_skin,500,IForest,0.0,0,uncertainty,True,knn,0.7071546211974424
33_skin,500,IForest,0.0,1,uncertainty,True,knn,0.6491716721565588
33_skin,500,IForest,0.0,2,uncertainty,True,knn,0.6565830265452433
33_skin,500,IForest,0.0,3,uncertainty,True,knn,0.6758864561131563
33_skin,500,IForest,0.0,4,uncertainty,True,knn,0.6766614997093586
33_skin,500,IForest,0.0,0,uncertainty,False,knn,0.7112236000775043
33_skin,500,IForest,0.0,1,uncertainty,False,knn,0.7099883743460569
33_skin,500,IForest,0.0,2,uncertainty,False,knn,0.679398372408448
33_skin,500,IForest,0.0,3,uncertainty,False,knn,0.6492201123813214
33_skin,500,IForest,0.0,4,uncertainty,False,knn,0.6997674869211393
33_skin,500,IForest,0.0,0,anomalous,True,knn,0.6779209455531873
33_skin,500,IForest,0.0,1,anomalous,True,knn,0.6930827359038946
33_skin,500,IForest,0.0,2,anomalous,True,knn,0.6693228056578182
33_skin,500,IForest,0.0,3,anomalous,True,knn,0.664696764192986
33_skin,500,IForest,0.0,4,anomalous,True,knn,0.6930827359038946
33_skin,500,IForest,0.0,0,anomalous,False,knn,0.70509591164503
33_skin,500,IForest,0.0,1,anomalous,False,knn,0.703666925014532
33_skin,500,IForest,0.0,2,anomalous,False,knn,0.6667312536330169
33_skin,500,IForest,0.0,3,anomalous,False,knn,0.6485903894594071
33_skin,500,IForest,0.0,4,anomalous,False,knn,0.6626622747529549
33_skin,500,IForest,0.0,0,clusters,True,knn,0.7185380740166634
33_skin,500,IForest,0.0,1,clusters,True,knn,0.6980720790544468
33_skin,500,IForest,0.0,2,clusters,True,knn,0.6949476845572564
33_skin,500,IForest,0.0,3,clusters,True,knn,0.6531437705870956
33_skin,500,IForest,0.0,4,clusters,True,knn,0.6546211974423561
33_skin,500,IForest,0.0,0,clusters,False,knn,0.6595621003681458
33_skin,500,IForest,0.0,1,clusters,False,knn,0.7093586514241427
33_skin,500,IForest,0.0,2,clusters,False,knn,0.6715994962216624
33_skin,500,IForest,0.0,3,clusters,False,knn,0.6504311180003876
33_skin,500,IForest,0.0,4,clusters,False,knn,0.740360395272234
33_skin,343,IForest,0.004,0,random,True,knn,0.9275455338112769
33_skin,500,IForest,0.004,1,random,True,knn,0.6979267583801588
33_skin,500,IForest,0.004,2,random,True,knn,0.6559533036233288
33_skin,374,IForest,0.004,3,random,True,knn,0.879141639217206
33_skin,500,IForest,0.004,4,random,True,knn,0.6949476845572563
33_skin,499,IForest,0.004,0,random,False,knn,0.6690563844216237
33_skin,500,IForest,0.004,1,random,False,knn,0.7159707421042434
33_skin,500,IForest,0.004,2,random,False,knn,0.6548149583414067
33_skin,499,IForest,0.004,3,random,False,knn,0.6643819027320287
33_skin,500,IForest,0.004,4,random,False,knn,0.712773687269909
33_skin,500,IForest,0.004,0,uncertainty,True,knn,0.6967884130982368
33_skin,483,IForest,0.004,1,uncertainty,True,knn,0.6863737647742686
33_skin,500,IForest,0.004,2,uncertainty,True,knn,0.6321933733772525
33_skin,500,IForest,0.004,3,uncertainty,True,knn,0.6863253245495059
33_skin,500,IForest,0.004,4,uncertainty,True,knn,0.7078812245688819
33_skin,500,IForest,0.004,0,uncertainty,False,knn,0.6966915326487115
