dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
35_SpamBase,500,IForest,0.0,0,random,True,knn,0.6216380907861567
35_SpamBase,500,IForest,0.0,1,random,True,knn,0.6423833333333333
35_SpamBase,500,IForest,0.0,2,random,True,knn,0.5862869163091203
35_SpamBase,500,IForest,0.0,3,random,True,knn,0.5786156697106797
35_SpamBase,500,IForest,0.0,4,random,True,knn,0.6727407803135277
35_SpamBase,500,IForest,0.0,0,random,False,knn,0.6273560493497388
35_SpamBase,500,IForest,0.0,1,random,False,knn,0.6567333333333334
35_SpamBase,500,IForest,0.0,2,random,False,knn,0.6334496402277167
35_SpamBase,500,IForest,0.0,3,random,False,knn,0.566929331040585
35_SpamBase,500,IForest,0.0,4,random,False,knn,0.6415299086796107
35_SpamBase,500,IForest,0.0,0,uncertainty,True,knn,0.6685170036227649
35_SpamBase,500,IForest,0.0,1,uncertainty,True,knn,0.6621
35_SpamBase,500,IForest,0.0,2,uncertainty,True,knn,0.5969381792684352
35_SpamBase,500,IForest,0.0,3,uncertainty,True,knn,0.6024641479824371
35_SpamBase,500,IForest,0.0,4,uncertainty,True,knn,0.6669393479023022
35_SpamBase,500,IForest,0.0,0,uncertainty,False,knn,0.6514632965491911
35_SpamBase,500,IForest,0.0,1,uncertainty,False,knn,0.6017333333333332
35_SpamBase,500,IForest,0.0,2,uncertainty,False,knn,0.6539675119784971
35_SpamBase,500,IForest,0.0,3,uncertainty,False,knn,0.624384380373629
35_SpamBase,500,IForest,0.0,4,uncertainty,False,knn,0.6748693634284378
35_SpamBase,500,IForest,0.0,0,anomalous,True,knn,0.6567221489507337
35_SpamBase,500,IForest,0.0,1,anomalous,True,knn,0.6042666666666666
35_SpamBase,500,IForest,0.0,2,anomalous,True,knn,0.555351508372427
35_SpamBase,500,IForest,0.0,3,anomalous,True,knn,0.628449556753869
35_SpamBase,500,IForest,0.0,4,anomalous,True,knn,0.6460708859914189
35_SpamBase,500,IForest,0.0,0,anomalous,False,knn,0.5921634751832251
35_SpamBase,500,IForest,0.0,1,anomalous,False,knn,0.6392
35_SpamBase,500,IForest,0.0,2,anomalous,False,knn,0.6130820214026946
35_SpamBase,500,IForest,0.0,3,anomalous,False,knn,0.6282993038281106
35_SpamBase,500,IForest,0.0,4,anomalous,False,knn,0.5985241823736623
35_SpamBase,500,IForest,0.0,0,clusters,True,knn,0.6306616137164227
35_SpamBase,500,IForest,0.0,1,clusters,True,knn,0.6114166666666667
35_SpamBase,500,IForest,0.0,2,clusters,True,knn,0.5944172690696006
35_SpamBase,500,IForest,0.0,3,clusters,True,knn,0.6436501444097565
35_SpamBase,500,IForest,0.0,4,clusters,True,knn,0.619826708292292
35_SpamBase,500,IForest,0.0,0,clusters,False,knn,0.6251356450024207
35_SpamBase,500,IForest,0.0,1,clusters,False,knn,0.6221833333333333
35_SpamBase,500,IForest,0.0,2,clusters,False,knn,0.6066712299036712
35_SpamBase,500,IForest,0.0,3,clusters,False,knn,0.6269971118048715
35_SpamBase,500,IForest,0.0,4,clusters,False,knn,0.6542346282909565
35_SpamBase,500,IForest,0.004,0,random,True,knn,0.6502445783735956
35_SpamBase,499,IForest,0.004,1,random,True,knn,0.6669333333333333
35_SpamBase,500,IForest,0.004,2,random,True,knn,0.643332943788711
35_SpamBase,27,IForest,0.004,3,random,True,knn,0.7326916976911135
35_SpamBase,500,IForest,0.004,4,random,True,knn,0.6246348019165595
35_SpamBase,500,IForest,0.004,0,random,False,knn,0.6474315097080086
35_SpamBase,499,IForest,0.004,1,random,False,knn,0.6348499999999999
35_SpamBase,498,IForest,0.004,2,random,False,knn,0.6474982887861234
