dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
36_speech,500,IForest,0.0,0,random,True,knn,0.43038617886178865
36_speech,500,IForest,0.0,1,random,True,knn,0.5123331070377914
36_speech,500,IForest,0.0,2,random,True,knn,0.4921239837398374
36_speech,500,IForest,0.0,3,random,True,knn,0.5099085365853658
36_speech,500,IForest,0.0,4,random,True,knn,0.5607215447154472
36_speech,500,IForest,0.0,0,random,False,knn,0.45147357723577236
36_speech,500,IForest,0.0,1,random,False,knn,0.6526363430640416
36_speech,500,IForest,0.0,2,random,False,knn,0.5561483739837398
36_speech,500,IForest,0.0,3,random,False,knn,0.5416666666666666
36_speech,500,IForest,0.0,4,random,False,knn,0.5658028455284553
36_speech,500,IForest,0.0,0,uncertainty,True,knn,0.4773882113821138
36_speech,500,IForest,0.0,1,uncertainty,True,knn,0.6261597646526363
36_speech,500,IForest,0.0,2,uncertainty,True,knn,0.4761178861788618
36_speech,500,IForest,0.0,3,uncertainty,True,knn,0.5139735772357723
36_speech,500,IForest,0.0,4,uncertainty,True,knn,0.5873983739837398
36_speech,500,IForest,0.0,0,uncertainty,False,knn,0.524390243902439
36_speech,500,IForest,0.0,1,uncertainty,False,knn,0.5915365467300294
36_speech,500,IForest,0.0,2,uncertainty,False,knn,0.5444613821138211
36_speech,500,IForest,0.0,3,uncertainty,False,knn,0.5429369918699187
36_speech,500,IForest,0.0,4,uncertainty,False,knn,0.5807926829268293
36_speech,500,IForest,0.0,0,anomalous,True,knn,0.40701219512195125
36_speech,500,IForest,0.0,1,anomalous,True,knn,0.6069246435845214
36_speech,500,IForest,0.0,2,anomalous,True,knn,0.6697154471544716
36_speech,500,IForest,0.0,3,anomalous,True,knn,0.47027439024390244
36_speech,500,IForest,0.0,4,anomalous,True,knn,0.5078760162601627
36_speech,500,IForest,0.0,0,anomalous,False,knn,0.5109247967479674
36_speech,500,IForest,0.0,1,anomalous,False,knn,0.5431093007467752
36_speech,500,IForest,0.0,2,anomalous,False,knn,0.6379573170731707
36_speech,500,IForest,0.0,3,anomalous,False,knn,0.6021341463414633
36_speech,500,IForest,0.0,4,anomalous,False,knn,0.6016260162601627
