dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
37_Stamps,170,IForest,0.0,0,random,True,knn,0.884731182795699
37_Stamps,170,IForest,0.0,1,random,True,knn,0.8932629870129871
37_Stamps,170,IForest,0.0,2,random,True,knn,0.8976344086021505
37_Stamps,170,IForest,0.0,3,random,True,knn,0.8821505376344086
37_Stamps,170,IForest,0.0,4,random,True,knn,0.9023655913978494
37_Stamps,170,IForest,0.0,0,random,False,knn,0.8817204301075269
37_Stamps,170,IForest,0.0,1,random,False,knn,0.9318181818181819
37_Stamps,170,IForest,0.0,2,random,False,knn,0.9010752688172043
37_Stamps,170,IForest,0.0,3,random,False,knn,0.8916129032258064
37_Stamps,170,IForest,0.0,4,random,False,knn,0.9023655913978494
37_Stamps,170,IForest,0.0,0,uncertainty,True,knn,0.8769892473118279
37_Stamps,170,IForest,0.0,1,uncertainty,True,knn,0.9155844155844156
37_Stamps,170,IForest,0.0,2,uncertainty,True,knn,0.909247311827957
37_Stamps,170,IForest,0.0,3,uncertainty,True,knn,0.9032258064516129
37_Stamps,170,IForest,0.0,4,uncertainty,True,knn,0.9101075268817205
37_Stamps,170,IForest,0.0,0,uncertainty,False,knn,0.8877419354838709
37_Stamps,170,IForest,0.0,1,uncertainty,False,knn,0.9139610389610389
37_Stamps,170,IForest,0.0,2,uncertainty,False,knn,0.88
37_Stamps,170,IForest,0.0,3,uncertainty,False,knn,0.8877419354838709
37_Stamps,170,IForest,0.0,4,uncertainty,False,knn,0.9161290322580645
37_Stamps,170,IForest,0.0,0,anomalous,True,knn,0.8950537634408602
37_Stamps,170,IForest,0.0,1,anomalous,True,knn,0.9082792207792207
37_Stamps,170,IForest,0.0,2,anomalous,True,knn,0.8782795698924731
37_Stamps,170,IForest,0.0,3,anomalous,True,knn,0.8726881720430107
37_Stamps,170,IForest,0.0,4,anomalous,True,knn,0.853763440860215
37_Stamps,170,IForest,0.0,0,anomalous,False,knn,0.9002150537634408
37_Stamps,170,IForest,0.0,1,anomalous,False,knn,0.9188311688311688
37_Stamps,170,IForest,0.0,2,anomalous,False,knn,0.8950537634408602
37_Stamps,170,IForest,0.0,3,anomalous,False,knn,0.88
37_Stamps,170,IForest,0.0,4,anomalous,False,knn,0.8984946236559139
37_Stamps,170,IForest,0.0,0,clusters,True,knn,0.8933333333333334
37_Stamps,170,IForest,0.0,1,clusters,True,knn,0.8989448051948051
37_Stamps,170,IForest,0.0,2,clusters,True,knn,0.8860215053763442
37_Stamps,170,IForest,0.0,3,clusters,True,knn,0.9036559139784947
37_Stamps,170,IForest,0.0,4,clusters,True,knn,0.8821505376344086
37_Stamps,170,IForest,0.0,0,clusters,False,knn,0.8580645161290323
37_Stamps,170,IForest,0.0,1,clusters,False,knn,0.9070616883116882
37_Stamps,170,IForest,0.0,2,clusters,False,knn,0.8873118279569893
37_Stamps,170,IForest,0.0,3,clusters,False,knn,0.8963440860215054
37_Stamps,170,IForest,0.0,4,clusters,False,knn,0.8916129032258064
37_Stamps,170,IForest,0.004,0,random,True,knn,0.9221505376344087
37_Stamps,170,IForest,0.004,1,random,True,knn,0.9253246753246753
37_Stamps,170,IForest,0.004,2,random,True,knn,0.8881720430107527
37_Stamps,170,IForest,0.004,3,random,True,knn,0.9049462365591397
37_Stamps,170,IForest,0.004,4,random,True,knn,0.9002150537634409
37_Stamps,170,IForest,0.004,0,random,False,knn,0.8855913978494624
37_Stamps,170,IForest,0.004,1,random,False,knn,0.9111201298701299
37_Stamps,170,IForest,0.004,2,random,False,knn,0.9019354838709678
37_Stamps,170,IForest,0.004,3,random,False,knn,0.8791397849462366
37_Stamps,170,IForest,0.004,4,random,False,knn,0.898494623655914
37_Stamps,170,IForest,0.004,0,uncertainty,True,knn,0.895483870967742
37_Stamps,170,IForest,0.004,1,uncertainty,True,knn,0.9155844155844156
37_Stamps,170,IForest,0.004,2,uncertainty,True,knn,0.9053763440860215
37_Stamps,170,IForest,0.004,3,uncertainty,True,knn,0.886021505376344
37_Stamps,170,IForest,0.004,4,uncertainty,True,knn,0.8791397849462366
37_Stamps,170,IForest,0.004,0,uncertainty,False,knn,0.900215053763441
37_Stamps,170,IForest,0.004,1,uncertainty,False,knn,0.9131493506493507
37_Stamps,170,IForest,0.004,2,uncertainty,False,knn,0.8696774193548387
37_Stamps,170,IForest,0.004,3,uncertainty,False,knn,0.8881720430107527
37_Stamps,170,IForest,0.004,4,uncertainty,False,knn,0.9010752688172043
37_Stamps,170,IForest,0.004,0,anomalous,True,knn,0.9088172043010753
37_Stamps,170,IForest,0.004,1,anomalous,True,knn,0.9038149350649349
37_Stamps,170,IForest,0.004,2,anomalous,True,knn,0.8976344086021505
37_Stamps,170,IForest,0.004,3,anomalous,True,knn,0.8868817204301075
37_Stamps,170,IForest,0.004,4,anomalous,True,knn,0.9208602150537635
37_Stamps,170,IForest,0.004,0,anomalous,False,knn,0.8950537634408602
