dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
38_thyroid,500,IForest,0.0,0,random,True,knn,0.9800204918032787
38_thyroid,500,IForest,0.0,1,random,True,knn,0.9840467540672879
38_thyroid,500,IForest,0.0,2,random,True,knn,0.9844603825136613
38_thyroid,500,IForest,0.0,3,random,True,knn,0.9795081967213114
38_thyroid,500,IForest,0.0,4,random,True,knn,0.9760928961748634
38_thyroid,500,IForest,0.0,0,random,False,knn,0.9803620218579236
38_thyroid,500,IForest,0.0,1,random,False,knn,0.9830990364871268
38_thyroid,500,IForest,0.0,2,random,False,knn,0.9817281420765028
38_thyroid,500,IForest,0.0,3,random,False,knn,0.9812158469945355
38_thyroid,500,IForest,0.0,4,random,False,knn,0.9788251366120218
38_thyroid,500,IForest,0.0,0,uncertainty,True,knn,0.9871926229508197
38_thyroid,500,IForest,0.0,1,uncertainty,True,knn,0.9838888011372612
38_thyroid,500,IForest,0.0,2,uncertainty,True,knn,0.9778005464480874
38_thyroid,500,IForest,0.0,3,uncertainty,True,knn,0.9778005464480874
38_thyroid,500,IForest,0.0,4,uncertainty,True,knn,0.9709699453551912
38_thyroid,500,IForest,0.0,0,uncertainty,False,knn,0.985997267759563
38_thyroid,500,IForest,0.0,1,uncertainty,False,knn,0.9807297425367241
38_thyroid,500,IForest,0.0,2,uncertainty,False,knn,0.9798497267759563
38_thyroid,500,IForest,0.0,3,uncertainty,False,knn,0.9748975409836066
38_thyroid,500,IForest,0.0,4,uncertainty,False,knn,0.9789959016393442
38_thyroid,500,IForest,0.0,0,anomalous,True,knn,0.9861680327868853
38_thyroid,500,IForest,0.0,1,anomalous,True,knn,0.9788343073764019
38_thyroid,500,IForest,0.0,2,anomalous,True,knn,0.9812158469945355
38_thyroid,500,IForest,0.0,3,anomalous,True,knn,0.9853142076502731
38_thyroid,500,IForest,0.0,4,anomalous,True,knn,0.974214480874317
38_thyroid,500,IForest,0.0,0,anomalous,False,knn,0.9912909836065574
38_thyroid,500,IForest,0.0,1,anomalous,False,knn,0.9802558837466435
38_thyroid,500,IForest,0.0,2,anomalous,False,knn,0.9825819672131147
38_thyroid,500,IForest,0.0,3,anomalous,False,knn,0.977629781420765
38_thyroid,500,IForest,0.0,4,anomalous,False,knn,0.9740437158469945
38_thyroid,500,IForest,0.0,0,clusters,True,knn,0.9851434426229507
38_thyroid,500,IForest,0.0,1,clusters,True,knn,0.9774127310061602
38_thyroid,500,IForest,0.0,2,clusters,True,knn,0.9812158469945355
38_thyroid,500,IForest,0.0,3,clusters,True,knn,0.9779713114754098
38_thyroid,500,IForest,0.0,4,clusters,True,knn,0.9719945355191256
38_thyroid,500,IForest,0.0,0,clusters,False,knn,0.9842896174863388
38_thyroid,500,IForest,0.0,1,clusters,False,knn,0.9823092718369925
38_thyroid,500,IForest,0.0,2,clusters,False,knn,0.9798497267759563
38_thyroid,500,IForest,0.0,3,clusters,False,knn,0.9834357923497267
38_thyroid,500,IForest,0.0,4,clusters,False,knn,0.9747267759562842
38_thyroid,500,IForest,0.004,0,random,True,knn,0.9868510928961749
38_thyroid,500,IForest,0.004,1,random,True,knn,0.981835413046912
38_thyroid,500,IForest,0.004,2,random,True,knn,0.975922131147541
38_thyroid,500,IForest,0.004,3,random,True,knn,0.9827527322404372
38_thyroid,500,IForest,0.004,4,random,True,knn,0.9796789617486339
38_thyroid,500,IForest,0.004,0,random,False,knn,0.9868510928961749
38_thyroid,500,IForest,0.004,1,random,False,knn,0.9772547780761334
38_thyroid,500,IForest,0.004,2,random,False,knn,0.9854849726775957
38_thyroid,500,IForest,0.004,3,random,False,knn,0.9730191256830601
38_thyroid,500,IForest,0.004,4,random,False,knn,0.9772882513661203
38_thyroid,500,IForest,0.004,0,uncertainty,True,knn,0.98650956284153
38_thyroid,500,IForest,0.004,1,uncertainty,True,knn,0.984046754067288
38_thyroid,500,IForest,0.004,2,uncertainty,True,knn,0.9829234972677596
38_thyroid,500,IForest,0.004,3,uncertainty,True,knn,0.9764344262295083
38_thyroid,500,IForest,0.004,4,uncertainty,True,knn,0.9781420765027322
38_thyroid,500,IForest,0.004,0,uncertainty,False,knn,0.9844603825136613
38_thyroid,500,IForest,0.004,1,uncertainty,False,knn,0.9827831306270731
38_thyroid,500,IForest,0.004,2,uncertainty,False,knn,0.9837773224043715
38_thyroid,500,IForest,0.004,3,uncertainty,False,knn,0.974214480874317
38_thyroid,500,IForest,0.004,4,uncertainty,False,knn,0.9781420765027322
38_thyroid,500,IForest,0.004,0,anomalous,True,knn,0.987363387978142
38_thyroid,498,IForest,0.004,1,anomalous,True,knn,0.9851524245774759
38_thyroid,498,IForest,0.004,2,anomalous,True,knn,0.9868510928961749
38_thyroid,494,IForest,0.004,3,anomalous,True,knn,0.9943647540983607
38_thyroid,500,IForest,0.004,4,anomalous,True,knn,0.9706284153005464
38_thyroid,498,IForest,0.004,0,anomalous,False,knn,0.9904371584699453
38_thyroid,499,IForest,0.004,1,anomalous,False,knn,0.9868899068077713
38_thyroid,499,IForest,0.004,2,anomalous,False,knn,0.9841188524590164
38_thyroid,499,IForest,0.004,3,anomalous,False,knn,0.9796789617486339
38_thyroid,499,IForest,0.004,4,anomalous,False,knn,0.9774590163934426
38_thyroid,500,IForest,0.004,0,clusters,True,knn,0.9863387978142076
38_thyroid,500,IForest,0.004,1,clusters,True,knn,0.9826251776970463
38_thyroid,499,IForest,0.004,2,clusters,True,knn,0.9815573770491803
38_thyroid,499,IForest,0.004,3,clusters,True,knn,0.9786543715846995
38_thyroid,494,IForest,0.004,4,clusters,True,knn,0.9832650273224044
38_thyroid,499,IForest,0.004,0,clusters,False,knn,0.9904371584699454
38_thyroid,500,IForest,0.004,1,clusters,False,knn,0.9772547780761333
38_thyroid,499,IForest,0.004,2,clusters,False,knn,0.9875341530054645
38_thyroid,499,IForest,0.004,3,clusters,False,knn,0.9817281420765027
38_thyroid,499,IForest,0.004,4,clusters,False,knn,0.975068306010929
38_thyroid,500,IForest,0.006,0,random,True,knn,0.9878756830601093
38_thyroid,500,IForest,0.006,1,random,True,knn,0.986100142157637
38_thyroid,500,IForest,0.006,2,random,True,knn,0.978483606557377
38_thyroid,500,IForest,0.006,3,random,True,knn,0.989412568306011
38_thyroid,500,IForest,0.006,4,random,True,knn,0.9726775956284153
38_thyroid,500,IForest,0.006,0,random,False,knn,0.9849726775956285
38_thyroid,500,IForest,0.006,1,random,False,knn,0.9843626599273416
38_thyroid,500,IForest,0.006,2,random,False,knn,0.9769467213114754
38_thyroid,500,IForest,0.006,3,random,False,knn,0.9788251366120219
38_thyroid,500,IForest,0.006,4,random,False,knn,0.9733606557377049
38_thyroid,500,IForest,0.006,0,uncertainty,True,knn,0.9808743169398908
38_thyroid,500,IForest,0.006,1,uncertainty,True,knn,0.9845206128573685
38_thyroid,42,IForest,0.006,2,uncertainty,True,knn,0.9784836065573771
38_thyroid,96,IForest,0.006,3,uncertainty,True,knn,0.9960724043715847
38_thyroid,500,IForest,0.006,4,uncertainty,True,knn,0.976775956284153
38_thyroid,500,IForest,0.006,0,uncertainty,False,knn,0.9786543715846994
38_thyroid,500,IForest,0.006,1,uncertainty,False,knn,0.9791502132364555
38_thyroid,500,IForest,0.006,2,uncertainty,False,knn,0.975068306010929
38_thyroid,500,IForest,0.006,3,uncertainty,False,knn,0.9766051912568307
38_thyroid,500,IForest,0.006,4,uncertainty,False,knn,0.9805327868852458
38_thyroid,500,IForest,0.006,0,anomalous,True,knn,0.9848019125683058
38_thyroid,498,IForest,0.006,1,anomalous,True,knn,0.9840467540672879
38_thyroid,498,IForest,0.006,2,anomalous,True,knn,0.9818989071038251
38_thyroid,500,IForest,0.006,3,anomalous,True,knn,0.9863387978142076
38_thyroid,499,IForest,0.006,4,anomalous,True,knn,0.9704576502732241
38_thyroid,497,IForest,0.006,0,anomalous,False,knn,0.990266393442623
38_thyroid,498,IForest,0.006,1,anomalous,False,knn,0.9872058126678249
38_thyroid,498,IForest,0.006,2,anomalous,False,knn,0.9851434426229508
38_thyroid,497,IForest,0.006,3,anomalous,False,knn,0.9877049180327869
38_thyroid,498,IForest,0.006,4,anomalous,False,knn,0.9803620218579235
38_thyroid,500,IForest,0.006,0,clusters,True,knn,0.9887295081967213
38_thyroid,500,IForest,0.006,1,clusters,True,knn,0.9799399778865898
38_thyroid,499,IForest,0.006,2,clusters,True,knn,0.9800204918032787
38_thyroid,499,IForest,0.006,3,clusters,True,knn,0.9786543715846995
38_thyroid,494,IForest,0.006,4,clusters,True,knn,0.9779713114754097
38_thyroid,499,IForest,0.006,0,clusters,False,knn,0.9889002732240436
38_thyroid,500,IForest,0.006,1,clusters,False,knn,0.978676354446375
38_thyroid,499,IForest,0.006,2,clusters,False,knn,0.9834357923497268
