dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
39_vertebral,120,IForest,0.0,0,random,True,knn,0.37396825396825395
39_vertebral,120,IForest,0.0,1,random,True,knn,0.38603174603174606
39_vertebral,120,IForest,0.0,2,random,True,knn,0.3549206349206349
39_vertebral,120,IForest,0.0,3,random,True,knn,0.30095238095238097
39_vertebral,120,IForest,0.0,4,random,True,knn,0.4768253968253968
39_vertebral,120,IForest,0.0,0,random,False,knn,0.41333333333333333
39_vertebral,120,IForest,0.0,1,random,False,knn,0.34476190476190477
39_vertebral,120,IForest,0.0,2,random,False,knn,0.2946031746031746
39_vertebral,120,IForest,0.0,3,random,False,knn,0.3434920634920635
39_vertebral,120,IForest,0.0,4,random,False,knn,0.45714285714285713
39_vertebral,120,IForest,0.0,0,uncertainty,True,knn,0.35174603174603175
39_vertebral,120,IForest,0.0,1,uncertainty,True,knn,0.39809523809523806
39_vertebral,120,IForest,0.0,2,uncertainty,True,knn,0.37015873015873013
39_vertebral,120,IForest,0.0,3,uncertainty,True,knn,0.32
39_vertebral,120,IForest,0.0,4,uncertainty,True,knn,0.466031746031746
39_vertebral,120,IForest,0.0,0,uncertainty,False,knn,0.3453968253968254
39_vertebral,120,IForest,0.0,1,uncertainty,False,knn,0.3771428571428571
39_vertebral,120,IForest,0.0,2,uncertainty,False,knn,0.2933333333333334
39_vertebral,120,IForest,0.0,3,uncertainty,False,knn,0.2971428571428571
39_vertebral,120,IForest,0.0,4,uncertainty,False,knn,0.433015873015873
39_vertebral,120,IForest,0.0,0,anomalous,True,knn,0.36
39_vertebral,120,IForest,0.0,1,anomalous,True,knn,0.37015873015873013
39_vertebral,120,IForest,0.0,2,anomalous,True,knn,0.36952380952380953
39_vertebral,120,IForest,0.0,3,anomalous,True,knn,0.32253968253968257
39_vertebral,120,IForest,0.0,4,anomalous,True,knn,0.4006349206349206
39_vertebral,120,IForest,0.0,0,anomalous,False,knn,0.379047619047619
39_vertebral,120,IForest,0.0,1,anomalous,False,knn,0.4012698412698413
39_vertebral,120,IForest,0.0,2,anomalous,False,knn,0.34476190476190477
39_vertebral,120,IForest,0.0,3,anomalous,False,knn,0.36317460317460315
39_vertebral,120,IForest,0.0,4,anomalous,False,knn,0.4482539682539682
39_vertebral,120,IForest,0.0,0,clusters,True,knn,0.38031746031746033
39_vertebral,120,IForest,0.0,1,clusters,True,knn,0.3714285714285714
39_vertebral,120,IForest,0.0,2,clusters,True,knn,0.36698412698412697
39_vertebral,120,IForest,0.0,3,clusters,True,knn,0.33714285714285713
39_vertebral,120,IForest,0.0,4,clusters,True,knn,0.46095238095238095
39_vertebral,120,IForest,0.0,0,clusters,False,knn,0.3968253968253968
39_vertebral,120,IForest,0.0,1,clusters,False,knn,0.40444444444444444
39_vertebral,120,IForest,0.0,2,clusters,False,knn,0.3219047619047619
39_vertebral,120,IForest,0.0,3,clusters,False,knn,0.28444444444444444
39_vertebral,120,IForest,0.0,4,clusters,False,knn,0.4742857142857143
39_vertebral,120,IForest,0.004,0,random,True,knn,0.36
39_vertebral,120,IForest,0.004,1,random,True,knn,0.3695238095238095
39_vertebral,120,IForest,0.004,2,random,True,knn,0.29714285714285715
39_vertebral,120,IForest,0.004,3,random,True,knn,0.3314285714285714
39_vertebral,120,IForest,0.004,4,random,True,knn,0.4234920634920635
39_vertebral,120,IForest,0.004,0,random,False,knn,0.4057142857142857
39_vertebral,120,IForest,0.004,1,random,False,knn,0.39682539682539686
39_vertebral,120,IForest,0.004,2,random,False,knn,0.3555555555555555
39_vertebral,120,IForest,0.004,3,random,False,knn,0.32
39_vertebral,120,IForest,0.004,4,random,False,knn,0.4692063492063492
39_vertebral,120,IForest,0.004,0,uncertainty,True,knn,0.4203174603174603
39_vertebral,120,IForest,0.004,1,uncertainty,True,knn,0.3707936507936508
39_vertebral,120,IForest,0.004,2,uncertainty,True,knn,0.34285714285714286
39_vertebral,120,IForest,0.004,3,uncertainty,True,knn,0.3250793650793651
39_vertebral,120,IForest,0.004,4,uncertainty,True,knn,0.44825396825396824
39_vertebral,120,IForest,0.004,0,uncertainty,False,knn,0.43301587301587297
39_vertebral,120,IForest,0.004,1,uncertainty,False,knn,0.372063492063492
39_vertebral,120,IForest,0.004,2,uncertainty,False,knn,0.33460317460317457
39_vertebral,120,IForest,0.004,3,uncertainty,False,knn,0.3498412698412699
39_vertebral,120,IForest,0.004,4,uncertainty,False,knn,0.44825396825396824
39_vertebral,120,IForest,0.004,0,anomalous,True,knn,0.36000000000000004
39_vertebral,120,IForest,0.004,1,anomalous,True,knn,0.37587301587301586
39_vertebral,120,IForest,0.004,2,anomalous,True,knn,0.32317460317460317
39_vertebral,120,IForest,0.004,3,anomalous,True,knn,0.3104761904761905
39_vertebral,120,IForest,0.004,4,anomalous,True,knn,0.44825396825396835
39_vertebral,120,IForest,0.004,0,anomalous,False,knn,0.38857142857142857
39_vertebral,120,IForest,0.004,1,anomalous,False,knn,0.36
39_vertebral,120,IForest,0.004,2,anomalous,False,knn,0.3707936507936508
39_vertebral,120,IForest,0.004,3,anomalous,False,knn,0.31238095238095237
39_vertebral,120,IForest,0.004,4,anomalous,False,knn,0.406984126984127
39_vertebral,120,IForest,0.004,0,clusters,True,knn,0.3682539682539682
39_vertebral,120,IForest,0.004,1,clusters,True,knn,0.426031746031746
39_vertebral,120,IForest,0.004,2,clusters,True,knn,0.31936507936507935
39_vertebral,120,IForest,0.004,3,clusters,True,knn,0.35428571428571426
39_vertebral,120,IForest,0.004,4,clusters,True,knn,0.45777777777777773
39_vertebral,120,IForest,0.004,0,clusters,False,knn,0.3619047619047619
39_vertebral,120,IForest,0.004,1,clusters,False,knn,0.3701587301587302
39_vertebral,120,IForest,0.004,2,clusters,False,knn,0.3352380952380952
39_vertebral,120,IForest,0.004,3,clusters,False,knn,0.33777777777777773
39_vertebral,120,IForest,0.004,4,clusters,False,knn,0.3961904761904762
39_vertebral,120,IForest,0.006,0,random,True,knn,0.3580952380952381
39_vertebral,120,IForest,0.006,1,random,True,knn,0.358095238095238
39_vertebral,120,IForest,0.006,2,random,True,knn,0.3638095238095238
39_vertebral,120,IForest,0.006,3,random,True,knn,0.3244444444444444
39_vertebral,120,IForest,0.006,4,random,True,knn,0.4488888888888889
39_vertebral,120,IForest,0.006,0,random,False,knn,0.4107936507936508
39_vertebral,120,IForest,0.006,1,random,False,knn,0.3923809523809524
39_vertebral,120,IForest,0.006,2,random,False,knn,0.30666666666666664
39_vertebral,120,IForest,0.006,3,random,False,knn,0.35619047619047617
39_vertebral,120,IForest,0.006,4,random,False,knn,0.46095238095238095
39_vertebral,120,IForest,0.006,0,uncertainty,True,knn,0.34222222222222226
39_vertebral,120,IForest,0.006,1,uncertainty,True,knn,0.39174603174603173
39_vertebral,120,IForest,0.006,2,uncertainty,True,knn,0.31238095238095237
39_vertebral,120,IForest,0.006,3,uncertainty,True,knn,0.2946031746031746
39_vertebral,120,IForest,0.006,4,uncertainty,True,knn,0.44952380952380955
39_vertebral,120,IForest,0.006,0,uncertainty,False,knn,0.3974603174603175
39_vertebral,120,IForest,0.006,1,uncertainty,False,knn,0.3853968253968254
39_vertebral,120,IForest,0.006,2,uncertainty,False,knn,0.3053968253968254
39_vertebral,120,IForest,0.006,3,uncertainty,False,knn,0.3219047619047619
39_vertebral,120,IForest,0.006,4,uncertainty,False,knn,0.44571428571428573
39_vertebral,120,IForest,0.006,0,anomalous,True,knn,0.4
39_vertebral,120,IForest,0.006,1,anomalous,True,knn,0.3638095238095238
39_vertebral,120,IForest,0.006,2,anomalous,True,knn,0.34539682539682537
39_vertebral,120,IForest,0.006,3,anomalous,True,knn,0.3244444444444444
39_vertebral,120,IForest,0.006,4,anomalous,True,knn,0.47365079365079366
39_vertebral,120,IForest,0.006,0,anomalous,False,knn,0.39238095238095233
39_vertebral,120,IForest,0.006,1,anomalous,False,knn,0.36253968253968255
39_vertebral,120,IForest,0.006,2,anomalous,False,knn,0.3060317460317461
39_vertebral,120,IForest,0.006,3,anomalous,False,knn,0.3346031746031746
39_vertebral,120,IForest,0.006,4,anomalous,False,knn,0.4292063492063492
39_vertebral,120,IForest,0.006,0,clusters,True,knn,0.39999999999999997
39_vertebral,120,IForest,0.006,1,clusters,True,knn,0.3434920634920635
39_vertebral,120,IForest,0.006,2,clusters,True,knn,0.33714285714285713
39_vertebral,120,IForest,0.006,3,clusters,True,knn,0.353015873015873
