dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
3_backdoor,500,IForest,0.0,0,random,True,knn,0.6950136612021858
3_backdoor,500,IForest,0.0,1,random,True,knn,0.6340505464480874
3_backdoor,500,IForest,0.0,2,random,True,knn,0.7699795081967213
3_backdoor,500,IForest,0.0,3,random,True,knn,0.6038251366120219
3_backdoor,500,IForest,0.0,4,random,True,knn,0.6675204918032787
3_backdoor,500,IForest,0.0,0,random,False,knn,0.7339480874316939
3_backdoor,500,IForest,0.0,1,random,False,knn,0.6844262295081968
3_backdoor,500,IForest,0.0,2,random,False,knn,0.7377049180327869
3_backdoor,500,IForest,0.0,3,random,False,knn,0.6217554644808743
3_backdoor,500,IForest,0.0,4,random,False,knn,0.6555669398907104
3_backdoor,500,IForest,0.0,0,uncertainty,True,knn,0.6434426229508197
3_backdoor,500,IForest,0.0,1,uncertainty,True,knn,0.673155737704918
3_backdoor,500,IForest,0.0,2,uncertainty,True,knn,0.8307718579234973
3_backdoor,500,IForest,0.0,3,uncertainty,True,knn,0.5758196721311476
3_backdoor,500,IForest,0.0,4,uncertainty,True,knn,0.6480532786885247
3_backdoor,500,IForest,0.0,0,uncertainty,False,knn,0.7382172131147541
3_backdoor,500,IForest,0.0,1,uncertainty,False,knn,0.7108948087431693
3_backdoor,500,IForest,0.0,2,uncertainty,False,knn,0.7800546448087431
3_backdoor,500,IForest,0.0,3,uncertainty,False,knn,0.6342213114754098
3_backdoor,500,IForest,0.0,4,uncertainty,False,knn,0.6229508196721311
3_backdoor,500,IForest,0.0,0,anomalous,True,knn,0.6709357923497268
3_backdoor,500,IForest,0.0,1,anomalous,True,knn,0.6002390710382514
3_backdoor,500,IForest,0.0,2,anomalous,True,knn,0.7612704918032787
3_backdoor,500,IForest,0.0,3,anomalous,True,knn,0.6366120218579235
3_backdoor,500,IForest,0.0,4,anomalous,True,knn,0.6243169398907102
3_backdoor,500,IForest,0.0,0,anomalous,False,knn,0.6758879781420766
3_backdoor,500,IForest,0.0,1,anomalous,False,knn,0.6442964480874317
3_backdoor,500,IForest,0.0,2,anomalous,False,knn,0.7161885245901639
3_backdoor,500,IForest,0.0,3,anomalous,False,knn,0.6128756830601093
3_backdoor,500,IForest,0.0,4,anomalous,False,knn,0.6825478142076502
3_backdoor,500,IForest,0.0,0,clusters,True,knn,0.6787909836065574
3_backdoor,500,IForest,0.0,1,clusters,True,knn,0.6738387978142076
3_backdoor,500,IForest,0.0,2,clusters,True,knn,0.7943989071038251
3_backdoor,500,IForest,0.0,3,clusters,True,knn,0.6772540983606558
3_backdoor,500,IForest,0.0,4,clusters,True,knn,0.6502732240437159
3_backdoor,500,IForest,0.0,0,clusters,False,knn,0.6572745901639344
3_backdoor,500,IForest,0.0,1,clusters,False,knn,0.6535177595628415
3_backdoor,500,IForest,0.0,2,clusters,False,knn,0.6960382513661203
3_backdoor,500,IForest,0.0,3,clusters,False,knn,0.5787226775956285
3_backdoor,500,IForest,0.0,4,clusters,False,knn,0.6265368852459016
3_backdoor,500,IForest,0.004,0,random,True,knn,0.6511270491803278
3_backdoor,500,IForest,0.004,1,random,True,knn,0.6782786885245902
3_backdoor,500,IForest,0.004,2,random,True,knn,0.7711748633879781
3_backdoor,500,IForest,0.004,3,random,True,knn,0.6060450819672132
3_backdoor,500,IForest,0.004,4,random,True,knn,0.6272199453551912
