dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
40_vowels,500,IForest,0.0,0,random,True,knn,0.8012422360248448
40_vowels,500,IForest,0.0,1,random,True,knn,0.8269394714407502
40_vowels,500,IForest,0.0,2,random,True,knn,0.8321763488003897
40_vowels,500,IForest,0.0,3,random,True,knn,0.6919985385458531
40_vowels,500,IForest,0.0,4,random,True,knn,0.7735963950797711
40_vowels,500,IForest,0.0,0,random,False,knn,0.7284131043721837
40_vowels,500,IForest,0.0,1,random,False,knn,0.8055048106199002
40_vowels,500,IForest,0.0,2,random,False,knn,0.8307148946535136
40_vowels,500,IForest,0.0,3,random,False,knn,0.6479113384484229
40_vowels,500,IForest,0.0,4,random,False,knn,0.7338935574229691
40_vowels,500,IForest,0.0,0,uncertainty,True,knn,0.7481427353550115
40_vowels,500,IForest,0.0,1,uncertainty,True,knn,0.814638899037876
40_vowels,500,IForest,0.0,2,uncertainty,True,knn,0.7679941541834125
40_vowels,500,IForest,0.0,3,uncertainty,True,knn,0.650347095359883
40_vowels,500,IForest,0.0,4,uncertainty,True,knn,0.7701863354037267
40_vowels,500,IForest,0.0,0,uncertainty,False,knn,0.7404701010839119
40_vowels,500,IForest,0.0,1,uncertainty,False,knn,0.8053830227743272
40_vowels,500,IForest,0.0,2,uncertainty,False,knn,0.8165875045670442
40_vowels,500,IForest,0.0,3,uncertainty,False,knn,0.6818901473632931
40_vowels,500,IForest,0.0,4,uncertainty,False,knn,0.8175618073316283
40_vowels,500,IForest,0.0,0,anomalous,True,knn,0.7008890512726831
40_vowels,500,IForest,0.0,1,anomalous,True,knn,0.8164657167214713
40_vowels,500,IForest,0.0,2,anomalous,True,knn,0.8279137742053343
40_vowels,500,IForest,0.0,3,anomalous,True,knn,0.6982097186700768
40_vowels,500,IForest,0.0,4,anomalous,True,knn,0.7854098161003532
40_vowels,500,IForest,0.0,0,anomalous,False,knn,0.7633662160516381
40_vowels,500,IForest,0.0,1,anomalous,False,knn,0.8337595907928388
40_vowels,500,IForest,0.0,2,anomalous,False,knn,0.8461819510412861
40_vowels,500,IForest,0.0,3,anomalous,False,knn,0.7436365850688101
40_vowels,500,IForest,0.0,4,anomalous,False,knn,0.7067348678601876
40_vowels,500,IForest,0.0,0,clusters,True,knn,0.7309706491292169
40_vowels,500,IForest,0.0,1,clusters,True,knn,0.7988064791133845
40_vowels,500,IForest,0.0,2,clusters,True,knn,0.8117159907441237
40_vowels,500,IForest,0.0,3,clusters,True,knn,0.6876141761052247
40_vowels,500,IForest,0.0,4,clusters,True,knn,0.7704299110948727
40_vowels,500,IForest,0.0,0,clusters,False,knn,0.763122640360492
40_vowels,500,IForest,0.0,1,clusters,False,knn,0.8074534161490683
40_vowels,500,IForest,0.0,2,clusters,False,knn,0.8493484350261844
40_vowels,500,IForest,0.0,3,clusters,False,knn,0.6676409694312507
40_vowels,500,IForest,0.0,4,clusters,False,knn,0.743027645840945
40_vowels,500,IForest,0.004,0,random,True,knn,0.8106199001339667
40_vowels,500,IForest,0.004,1,random,True,knn,0.8095238095238095
40_vowels,500,IForest,0.004,2,random,True,knn,0.8682255510900011
40_vowels,500,IForest,0.004,3,random,True,knn,0.6497381561320181
40_vowels,500,IForest,0.004,4,random,True,knn,0.7882109365485324
40_vowels,500,IForest,0.004,0,random,False,knn,0.7355985872609914
40_vowels,500,IForest,0.004,1,random,False,knn,0.8129338691998539
40_vowels,500,IForest,0.004,2,random,False,knn,0.8489830714894654
40_vowels,500,IForest,0.004,3,random,False,knn,0.6917549628547071
40_vowels,500,IForest,0.004,4,random,False,knn,0.6817683595177202
40_vowels,500,IForest,0.004,0,uncertainty,True,knn,0.7896723906954086
40_vowels,500,IForest,0.004,1,uncertainty,True,knn,0.8291316526610644
40_vowels,500,IForest,0.004,2,uncertainty,True,knn,0.8677383997077092
40_vowels,500,IForest,0.004,3,uncertainty,True,knn,0.6870052368773596
40_vowels,500,IForest,0.004,4,uncertainty,True,knn,0.6859091462672025
40_vowels,500,IForest,0.004,0,uncertainty,False,knn,0.7357203751065644
40_vowels,500,IForest,0.004,1,uncertainty,False,knn,0.8348556814029959
40_vowels,500,IForest,0.004,2,uncertainty,False,knn,0.8593350383631714
40_vowels,500,IForest,0.004,3,uncertainty,False,knn,0.6262331019364267
40_vowels,500,IForest,0.004,4,uncertainty,False,knn,0.7416879795396419
40_vowels,42,IForest,0.004,0,anomalous,True,knn,0.536840823285836
40_vowels,499,IForest,0.004,1,anomalous,True,knn,0.8210936548532456
40_vowels,500,IForest,0.004,2,anomalous,True,knn,0.8184143222506395
40_vowels,500,IForest,0.004,3,anomalous,True,knn,0.6846912678114724
40_vowels,500,IForest,0.004,4,anomalous,True,knn,0.7237851662404092
40_vowels,498,IForest,0.004,0,anomalous,False,knn,0.7692120326391426
40_vowels,500,IForest,0.004,1,anomalous,False,knn,0.7914992083790038
40_vowels,499,IForest,0.004,2,anomalous,False,knn,0.8832054560954816
40_vowels,499,IForest,0.004,3,anomalous,False,knn,0.7133114115211302
40_vowels,499,IForest,0.004,4,anomalous,False,knn,0.7884545122396784
40_vowels,500,IForest,0.004,0,clusters,True,knn,0.7315795883570819
40_vowels,500,IForest,0.004,1,clusters,True,knn,0.834246742175131
40_vowels,500,IForest,0.004,2,clusters,True,knn,0.8338813786384119
40_vowels,500,IForest,0.004,3,clusters,True,knn,0.6519303373523322
40_vowels,500,IForest,0.004,4,clusters,True,knn,0.7895506028498356
40_vowels,500,IForest,0.004,0,clusters,False,knn,0.7584947022287175
40_vowels,500,IForest,0.004,1,clusters,False,knn,0.794665692363902
40_vowels,500,IForest,0.004,2,clusters,False,knn,0.7953964194373402
40_vowels,500,IForest,0.004,3,clusters,False,knn,0.6559493362562416
40_vowels,500,IForest,0.004,4,clusters,False,knn,0.7642187309706491
40_vowels,500,IForest,0.006,0,random,True,knn,0.7152600170502984
40_vowels,500,IForest,0.006,1,random,True,knn,0.7796857873584216
40_vowels,441,IForest,0.006,2,random,True,knn,0.8271830471318962
40_vowels,500,IForest,0.006,3,random,True,knn,0.6085738643283402
40_vowels,488,IForest,0.006,4,random,True,knn,0.7805383022774327
40_vowels,500,IForest,0.006,0,random,False,knn,0.7582511265375715
40_vowels,500,IForest,0.006,1,random,False,knn,0.8523931311655097
40_vowels,499,IForest,0.006,2,random,False,knn,0.8644501278772379
40_vowels,500,IForest,0.006,3,random,False,knn,0.6323224942150774
40_vowels,499,IForest,0.006,4,random,False,knn,0.7544757033248082
40_vowels,500,IForest,0.006,0,uncertainty,True,knn,0.7718913652417488
40_vowels,500,IForest,0.006,1,uncertainty,True,knn,0.8291316526610644
40_vowels,500,IForest,0.006,2,uncertainty,True,knn,0.825112653757155
40_vowels,500,IForest,0.006,3,uncertainty,True,knn,0.7128242601388382
40_vowels,500,IForest,0.006,4,uncertainty,True,knn,0.804530507855316
40_vowels,500,IForest,0.006,0,uncertainty,False,knn,0.732188527584947
40_vowels,500,IForest,0.006,1,uncertainty,False,knn,0.8175618073316283
40_vowels,500,IForest,0.006,2,uncertainty,False,knn,0.752161734258921
40_vowels,500,IForest,0.006,3,uncertainty,False,knn,0.6828644501278772
40_vowels,500,IForest,0.006,4,uncertainty,False,knn,0.7442455242966751
40_vowels,500,IForest,0.006,0,anomalous,True,knn,0.8153696261113141
40_vowels,500,IForest,0.006,1,anomalous,True,knn,0.7894288150042625
40_vowels,500,IForest,0.006,2,anomalous,True,knn,0.8078187796857874
40_vowels,492,IForest,0.006,3,anomalous,True,knn,0.691389599317988
40_vowels,499,IForest,0.006,4,anomalous,True,knn,0.7589818536110097
40_vowels,498,IForest,0.006,0,anomalous,False,knn,0.7376689806357326
40_vowels,500,IForest,0.006,1,anomalous,False,knn,0.7785896967482645
40_vowels,500,IForest,0.006,2,anomalous,False,knn,0.8433808305931068
40_vowels,498,IForest,0.006,3,anomalous,False,knn,0.6712946047984412
40_vowels,497,IForest,0.006,4,anomalous,False,knn,0.7410790403117768
40_vowels,500,IForest,0.006,0,clusters,True,knn,0.7078309584703446
40_vowels,500,IForest,0.006,1,clusters,True,knn,0.7715260017050298
40_vowels,500,IForest,0.006,2,clusters,True,knn,0.8179271708683473
40_vowels,500,IForest,0.006,3,clusters,True,knn,0.6460845207648277
40_vowels,500,IForest,0.006,4,clusters,True,knn,0.7749360613810742
40_vowels,500,IForest,0.006,0,clusters,False,knn,0.8024601144805749
40_vowels,500,IForest,0.006,1,clusters,False,knn,0.7811472415052978
40_vowels,500,IForest,0.006,2,clusters,False,knn,0.8187796857873584
40_vowels,500,IForest,0.006,3,clusters,False,knn,0.6940689319205943
40_vowels,500,IForest,0.006,4,clusters,False,knn,0.742053343076361
40_vowels,500,IForest,0.008,0,random,True,knn,0.7997807818779686
40_vowels,500,IForest,0.008,1,random,True,knn,0.7716477895506029
40_vowels,453,IForest,0.008,2,random,True,knn,0.7679941541834125
40_vowels,403,IForest,0.008,3,random,True,knn,0.6480331262939958
40_vowels,488,IForest,0.008,4,random,True,knn,0.7795639995128487
40_vowels,500,IForest,0.008,0,random,False,knn,0.7703081232492998
40_vowels,500,IForest,0.008,1,random,False,knn,0.7961271465107782
40_vowels,499,IForest,0.008,2,random,False,knn,0.7644623066617952
40_vowels,499,IForest,0.008,3,random,False,knn,0.6471806113749848
40_vowels,499,IForest,0.008,4,random,False,knn,0.7483863110461576
40_vowels,500,IForest,0.008,0,uncertainty,True,knn,0.7004018998903909
40_vowels,500,IForest,0.008,1,uncertainty,True,knn,0.8238947753014249
40_vowels,499,IForest,0.008,2,uncertainty,True,knn,0.8500791620996224
40_vowels,499,IForest,0.008,3,uncertainty,True,knn,0.6994275971258068
40_vowels,500,IForest,0.008,4,uncertainty,True,knn,0.7355985872609913
40_vowels,500,IForest,0.008,0,uncertainty,False,knn,0.7798075752039946
40_vowels,500,IForest,0.008,1,uncertainty,False,knn,0.8259651686761661
40_vowels,500,IForest,0.008,2,uncertainty,False,knn,0.8424065278285228
40_vowels,500,IForest,0.008,3,uncertainty,False,knn,0.6624040920716112
40_vowels,499,IForest,0.008,4,uncertainty,False,knn,0.7413226160029229
40_vowels,143,IForest,0.008,0,anomalous,True,knn,0.6434051881622214
40_vowels,500,IForest,0.008,1,anomalous,True,knn,0.814760686883449
40_vowels,500,IForest,0.008,2,anomalous,True,knn,0.8221897454634027
40_vowels,0,IForest,0.008,3,anomalous,True,knn,
40_vowels,500,IForest,0.008,4,anomalous,True,knn,0.7813908171964439
40_vowels,498,IForest,0.008,0,anomalous,False,knn,0.773474607234198
40_vowels,499,IForest,0.008,1,anomalous,False,knn,0.8019729630982828
40_vowels,499,IForest,0.008,2,anomalous,False,knn,0.8655462184873949
40_vowels,498,IForest,0.008,3,anomalous,False,knn,0.6734867860187553
40_vowels,498,IForest,0.008,4,anomalous,False,knn,0.793691389599318
40_vowels,500,IForest,0.008,0,clusters,True,knn,0.7789550602849835
40_vowels,500,IForest,0.008,1,clusters,True,knn,0.8189014736329314
40_vowels,500,IForest,0.008,2,clusters,True,knn,0.8456947996589941
40_vowels,500,IForest,0.008,3,clusters,True,knn,0.6459627329192547
40_vowels,500,IForest,0.008,4,clusters,True,knn,0.7850444525636341
40_vowels,500,IForest,0.008,0,clusters,False,knn,0.7784679089026915
40_vowels,500,IForest,0.008,1,clusters,False,knn,0.8091584459870905
40_vowels,500,IForest,0.008,2,clusters,False,knn,0.8397271952259164
40_vowels,500,IForest,0.008,3,clusters,False,knn,0.6208744367312142
40_vowels,500,IForest,0.008,4,clusters,False,knn,0.8380221653878943
40_vowels,500,IForest,0.01,0,random,True,knn,0.7184265010351967
40_vowels,500,IForest,0.01,1,random,True,knn,0.835099257094142
40_vowels,464,IForest,0.01,2,random,True,knn,0.8241383509925709
40_vowels,489,IForest,0.01,3,random,True,knn,0.6005358665205212
40_vowels,490,IForest,0.01,4,random,True,knn,0.7531360370235051
40_vowels,500,IForest,0.01,0,random,False,knn,0.7383997077091706
40_vowels,500,IForest,0.01,1,random,False,knn,0.825356229448301
40_vowels,499,IForest,0.01,2,random,False,knn,0.8593350383631714
