dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
41_Waveform,500,IForest,0.0,0,random,True,knn,0.7197236919459141
41_Waveform,500,IForest,0.0,1,random,True,knn,0.7259106529209622
41_Waveform,500,IForest,0.0,2,random,True,knn,0.75
41_Waveform,500,IForest,0.0,3,random,True,knn,0.7297178130511464
41_Waveform,500,IForest,0.0,4,random,True,knn,0.7350088183421517
41_Waveform,500,IForest,0.0,0,random,False,knn,0.7433862433862434
41_Waveform,500,IForest,0.0,1,random,False,knn,0.7562886597938144
41_Waveform,500,IForest,0.0,2,random,False,knn,0.7993827160493827
41_Waveform,500,IForest,0.0,3,random,False,knn,0.7342739564961787
41_Waveform,500,IForest,0.0,4,random,False,knn,0.8051146384479718
41_Waveform,500,IForest,0.0,0,uncertainty,True,knn,0.7632275132275133
41_Waveform,500,IForest,0.0,1,uncertainty,True,knn,0.6804123711340206
41_Waveform,500,IForest,0.0,2,uncertainty,True,knn,0.833480305702528
41_Waveform,500,IForest,0.0,3,uncertainty,True,knn,0.6882716049382717
41_Waveform,500,IForest,0.0,4,uncertainty,True,knn,0.733098177542622
41_Waveform,500,IForest,0.0,0,uncertainty,False,knn,0.7247207524985302
41_Waveform,500,IForest,0.0,1,uncertainty,False,knn,0.7371821305841925
41_Waveform,500,IForest,0.0,2,uncertainty,False,knn,0.8120223398001176
41_Waveform,500,IForest,0.0,3,uncertainty,False,knn,0.7339800117577895
41_Waveform,500,IForest,0.0,4,uncertainty,False,knn,0.7598471487360376
41_Waveform,500,IForest,0.0,0,anomalous,True,knn,0.736331569664903
41_Waveform,500,IForest,0.0,1,anomalous,True,knn,0.7326460481099656
41_Waveform,500,IForest,0.0,2,anomalous,True,knn,0.8418577307466196
41_Waveform,500,IForest,0.0,3,anomalous,True,knn,0.7858612580834803
41_Waveform,500,IForest,0.0,4,anomalous,True,knn,0.7569077013521459
41_Waveform,500,IForest,0.0,0,anomalous,False,knn,0.7350088183421517
41_Waveform,500,IForest,0.0,1,anomalous,False,knn,0.7799312714776633
41_Waveform,500,IForest,0.0,2,anomalous,False,knn,0.8102586713697825
41_Waveform,500,IForest,0.0,3,anomalous,False,knn,0.7263374485596708
41_Waveform,500,IForest,0.0,4,anomalous,False,knn,0.7649911816578483
41_Waveform,500,IForest,0.0,0,clusters,True,knn,0.6734273956496178
41_Waveform,500,IForest,0.0,1,clusters,True,knn,0.7318213058419244
41_Waveform,500,IForest,0.0,2,clusters,True,knn,0.7755731922398589
41_Waveform,500,IForest,0.0,3,clusters,True,knn,0.6837154614932393
41_Waveform,500,IForest,0.0,4,clusters,True,knn,0.7404467960023515
41_Waveform,500,IForest,0.0,0,clusters,False,knn,0.7848324514991182
41_Waveform,500,IForest,0.0,1,clusters,False,knn,0.6956701030927835
41_Waveform,500,IForest,0.0,2,clusters,False,knn,0.8428865373309818
41_Waveform,500,IForest,0.0,3,clusters,False,knn,0.7357436801881246
41_Waveform,500,IForest,0.0,4,clusters,False,knn,0.7674897119341564
41_Waveform,500,IForest,0.004,0,random,True,knn,0.6599059376837155
41_Waveform,500,IForest,0.004,1,random,True,knn,0.7084536082474227
41_Waveform,500,IForest,0.004,2,random,True,knn,0.7952674897119342
41_Waveform,500,IForest,0.004,3,random,True,knn,0.7048794826572604
41_Waveform,500,IForest,0.004,4,random,True,knn,0.7142857142857143
41_Waveform,500,IForest,0.004,0,random,False,knn,0.7430922986478542
41_Waveform,500,IForest,0.004,1,random,False,knn,0.6613058419243986
41_Waveform,500,IForest,0.004,2,random,False,knn,0.7908583186360965
41_Waveform,500,IForest,0.004,3,random,False,knn,0.8124632569077014
41_Waveform,500,IForest,0.004,4,random,False,knn,0.7310405643738976
41_Waveform,500,IForest,0.004,0,uncertainty,True,knn,0.7392710170487948
41_Waveform,500,IForest,0.004,1,uncertainty,True,knn,0.7186254295532646
41_Waveform,500,IForest,0.004,2,uncertainty,True,knn,0.7874779541446209
41_Waveform,500,IForest,0.004,3,uncertainty,True,knn,0.6748971193415638
41_Waveform,500,IForest,0.004,4,uncertainty,True,knn,0.7423574368018813
41_Waveform,499,IForest,0.004,0,uncertainty,False,knn,0.7172251616696061
41_Waveform,500,IForest,0.004,1,uncertainty,False,knn,0.6560824742268041
41_Waveform,500,IForest,0.004,2,uncertainty,False,knn,0.8134920634920635
41_Waveform,500,IForest,0.004,3,uncertainty,False,knn,0.734861845972957
41_Waveform,500,IForest,0.004,4,uncertainty,False,knn,0.772633744855967
41_Waveform,500,IForest,0.004,0,anomalous,True,knn,0.7079659024103468
41_Waveform,500,IForest,0.004,1,anomalous,True,knn,0.7422680412371133
41_Waveform,500,IForest,0.004,2,anomalous,True,knn,0.759700176366843
41_Waveform,500,IForest,0.004,3,anomalous,True,knn,0.7749853027630805
41_Waveform,500,IForest,0.004,4,anomalous,True,knn,0.7798353909465021
41_Waveform,500,IForest,0.004,0,anomalous,False,knn,0.7889476778365667
41_Waveform,500,IForest,0.004,1,anomalous,False,knn,0.7565635738831615
41_Waveform,500,IForest,0.004,2,anomalous,False,knn,0.835243974132863
