dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
44_Wilt,500,IForest,0.0,0,random,True,knn,0.44246997728010384
44_Wilt,500,IForest,0.0,1,random,True,knn,0.35478819199749434
44_Wilt,500,IForest,0.0,2,random,True,knn,0.40449529373580007
44_Wilt,500,IForest,0.0,3,random,True,knn,0.4149626744563454
44_Wilt,500,IForest,0.0,4,random,True,knn,0.46665043816942553
44_Wilt,500,IForest,0.0,0,random,False,knn,0.4380882830249919
44_Wilt,500,IForest,0.0,1,random,False,knn,0.3514994910343747
44_Wilt,500,IForest,0.0,2,random,False,knn,0.4534242129178838
44_Wilt,500,IForest,0.0,3,random,False,knn,0.4680298604349238
44_Wilt,500,IForest,0.0,4,random,False,knn,0.43354430379746833
44_Wilt,500,IForest,0.0,0,uncertainty,True,knn,0.46137617656604996
44_Wilt,500,IForest,0.0,1,uncertainty,True,knn,0.4154725550074387
44_Wilt,500,IForest,0.0,2,uncertainty,True,knn,0.44896137617656606
44_Wilt,500,IForest,0.0,3,uncertainty,True,knn,0.40327815644271336
44_Wilt,500,IForest,0.0,4,uncertainty,True,knn,0.3920804933463162
44_Wilt,500,IForest,0.0,0,uncertainty,False,knn,0.4502596559558585
44_Wilt,500,IForest,0.0,1,uncertainty,False,knn,0.4272179155900086
44_Wilt,500,IForest,0.0,2,uncertainty,False,knn,0.4721681272314184
44_Wilt,500,IForest,0.0,3,uncertainty,False,knn,0.42624148003894835
44_Wilt,500,IForest,0.0,4,uncertainty,False,knn,0.37666342096721844
44_Wilt,500,IForest,0.0,0,anomalous,True,knn,0.46729957805907174
44_Wilt,500,IForest,0.0,1,anomalous,True,knn,0.35118628141883956
44_Wilt,500,IForest,0.0,2,anomalous,True,knn,0.44733852645245054
44_Wilt,500,IForest,0.0,3,anomalous,True,knn,0.4356540084388186
44_Wilt,500,IForest,0.0,4,anomalous,True,knn,0.4101752677702045
44_Wilt,500,IForest,0.0,0,anomalous,False,knn,0.46137617656604996
44_Wilt,500,IForest,0.0,1,anomalous,False,knn,0.3795317516247748
44_Wilt,500,IForest,0.0,2,anomalous,False,knn,0.4501785134696527
44_Wilt,500,IForest,0.0,3,anomalous,False,knn,0.4230769230769231
44_Wilt,500,IForest,0.0,4,anomalous,False,knn,0.4021421616358325
44_Wilt,500,IForest,0.0,0,clusters,True,knn,0.48085037325543656
44_Wilt,500,IForest,0.0,1,clusters,True,knn,0.40740740740740744
44_Wilt,500,IForest,0.0,2,clusters,True,knn,0.46543330087633883
44_Wilt,500,IForest,0.0,3,clusters,True,knn,0.42940603700097374
44_Wilt,500,IForest,0.0,4,clusters,True,knn,0.3601914962674456
44_Wilt,500,IForest,0.0,0,clusters,False,knn,0.4392242778318728
44_Wilt,500,IForest,0.0,1,clusters,False,knn,0.34116357372171324
44_Wilt,500,IForest,0.0,2,clusters,False,knn,0.449691658552418
44_Wilt,500,IForest,0.0,3,clusters,False,knn,0.41423239208049334
44_Wilt,500,IForest,0.0,4,clusters,False,knn,0.36976630963972734
44_Wilt,500,IForest,0.004,0,random,True,knn,0.43321973385264523
44_Wilt,500,IForest,0.004,1,random,True,knn,0.3298880275624462
