dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
45_wine,64,IForest,0.0,0,random,True,knn,0.72
45_wine,64,IForest,0.0,1,random,True,knn,0.78
45_wine,64,IForest,0.0,2,random,True,knn,0.7133333333333334
45_wine,64,IForest,0.0,3,random,True,knn,0.69
45_wine,64,IForest,0.0,4,random,True,knn,0.76
45_wine,64,IForest,0.0,0,random,False,knn,0.69
45_wine,64,IForest,0.0,1,random,False,knn,0.8533333333333334
45_wine,64,IForest,0.0,2,random,False,knn,0.8033333333333333
45_wine,64,IForest,0.0,3,random,False,knn,0.77
45_wine,64,IForest,0.0,4,random,False,knn,0.7566666666666666
45_wine,64,IForest,0.0,0,uncertainty,True,knn,0.7233333333333334
45_wine,64,IForest,0.0,1,uncertainty,True,knn,0.8233333333333334
45_wine,64,IForest,0.0,2,uncertainty,True,knn,0.7233333333333333
45_wine,64,IForest,0.0,3,uncertainty,True,knn,0.77
45_wine,64,IForest,0.0,4,uncertainty,True,knn,0.7733333333333333
45_wine,64,IForest,0.0,0,uncertainty,False,knn,0.6833333333333333
45_wine,64,IForest,0.0,1,uncertainty,False,knn,0.8900000000000001
45_wine,64,IForest,0.0,2,uncertainty,False,knn,0.8
45_wine,64,IForest,0.0,3,uncertainty,False,knn,0.7166666666666668
45_wine,64,IForest,0.0,4,uncertainty,False,knn,0.8300000000000001
45_wine,64,IForest,0.0,0,anomalous,True,knn,0.6866666666666666
45_wine,64,IForest,0.0,1,anomalous,True,knn,0.8733333333333333
45_wine,64,IForest,0.0,2,anomalous,True,knn,0.7933333333333333
45_wine,64,IForest,0.0,3,anomalous,True,knn,0.7233333333333334
45_wine,64,IForest,0.0,4,anomalous,True,knn,0.74
45_wine,64,IForest,0.0,0,anomalous,False,knn,0.78
45_wine,64,IForest,0.0,1,anomalous,False,knn,0.9333333333333333
45_wine,64,IForest,0.0,2,anomalous,False,knn,0.8200000000000001
45_wine,64,IForest,0.0,3,anomalous,False,knn,0.7766666666666666
45_wine,64,IForest,0.0,4,anomalous,False,knn,0.81
