dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
46_WPBC,99,IForest,0.0,0,random,True,knn,0.49141876430205955
46_WPBC,99,IForest,0.0,1,random,True,knn,0.5244444444444445
46_WPBC,99,IForest,0.0,2,random,True,knn,0.5680778032036613
46_WPBC,99,IForest,0.0,3,random,True,knn,0.46109839816933645
46_WPBC,99,IForest,0.0,4,random,True,knn,0.46167048054919907
46_WPBC,99,IForest,0.0,0,random,False,knn,0.513157894736842
46_WPBC,99,IForest,0.0,1,random,False,knn,0.48777777777777775
46_WPBC,99,IForest,0.0,2,random,False,knn,0.5280320366132722
46_WPBC,99,IForest,0.0,3,random,False,knn,0.465675057208238
46_WPBC,99,IForest,0.0,4,random,False,knn,0.42620137299771166
46_WPBC,99,IForest,0.0,0,uncertainty,True,knn,0.5005720823798627
46_WPBC,99,IForest,0.0,1,uncertainty,True,knn,0.5183333333333333
46_WPBC,99,IForest,0.0,2,uncertainty,True,knn,0.5434782608695652
46_WPBC,99,IForest,0.0,3,uncertainty,True,knn,0.42334096109839814
46_WPBC,99,IForest,0.0,4,uncertainty,True,knn,0.46224256292906174
46_WPBC,99,IForest,0.0,0,uncertainty,False,knn,0.49027459954233404
46_WPBC,99,IForest,0.0,1,uncertainty,False,knn,0.5177777777777778
46_WPBC,99,IForest,0.0,2,uncertainty,False,knn,0.5526315789473684
46_WPBC,99,IForest,0.0,3,uncertainty,False,knn,0.42334096109839814
46_WPBC,99,IForest,0.0,4,uncertainty,False,knn,0.47196796338672764
46_WPBC,99,IForest,0.0,0,anomalous,True,knn,0.49084668192219677
46_WPBC,99,IForest,0.0,1,anomalous,True,knn,0.5338888888888889
46_WPBC,99,IForest,0.0,2,anomalous,True,knn,0.5194508009153318
46_WPBC,99,IForest,0.0,3,anomalous,True,knn,0.41876430205949655
46_WPBC,99,IForest,0.0,4,anomalous,True,knn,0.44336384439359267
46_WPBC,99,IForest,0.0,0,anomalous,False,knn,0.4799771167048055
46_WPBC,99,IForest,0.0,1,anomalous,False,knn,0.5327777777777778
46_WPBC,99,IForest,0.0,2,anomalous,False,knn,0.5852402745995423
46_WPBC,99,IForest,0.0,3,anomalous,False,knn,0.437070938215103
46_WPBC,99,IForest,0.0,4,anomalous,False,knn,0.4513729977116705
46_WPBC,99,IForest,0.0,0,clusters,True,knn,0.4765446224256292
46_WPBC,99,IForest,0.0,1,clusters,True,knn,0.53
46_WPBC,99,IForest,0.0,2,clusters,True,knn,0.5898169336384439
46_WPBC,99,IForest,0.0,3,clusters,True,knn,0.44508009153318073
46_WPBC,99,IForest,0.0,4,clusters,True,knn,0.4393592677345538
46_WPBC,99,IForest,0.0,0,clusters,False,knn,0.48112128146453087
46_WPBC,99,IForest,0.0,1,clusters,False,knn,0.5333333333333333
46_WPBC,99,IForest,0.0,2,clusters,False,knn,0.5474828375286042
46_WPBC,99,IForest,0.0,3,clusters,False,knn,0.4416475972540046
46_WPBC,99,IForest,0.0,4,clusters,False,knn,0.4633867276887872
46_WPBC,99,IForest,0.004,0,random,True,knn,0.4897025171624714
46_WPBC,99,IForest,0.004,1,random,True,knn,0.5205555555555555
46_WPBC,99,IForest,0.004,2,random,True,knn,0.5783752860411899
46_WPBC,99,IForest,0.004,3,random,True,knn,0.4862700228832952
46_WPBC,99,IForest,0.004,4,random,True,knn,0.43249427917620137
46_WPBC,99,IForest,0.004,0,random,False,knn,0.47254004576659037
46_WPBC,99,IForest,0.004,1,random,False,knn,0.5266666666666666
