dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
47_yeast,500,IForest,0.0,0,random,True,knn,0.45015019819051166
47_yeast,500,IForest,0.0,1,random,True,knn,0.3948168293073109
47_yeast,500,IForest,0.0,2,random,True,knn,0.35766721768961407
47_yeast,500,IForest,0.0,3,random,True,knn,0.40185570308750596
47_yeast,500,IForest,0.0,4,random,True,knn,0.4194528875379939
47_yeast,500,IForest,0.0,0,random,False,knn,0.4356814020867772
47_yeast,500,IForest,0.0,1,random,False,knn,0.39963383636395955
47_yeast,500,IForest,0.0,2,random,False,knn,0.3585915142466094
47_yeast,500,IForest,0.0,3,random,False,knn,0.39104854334417605
47_yeast,500,IForest,0.0,4,random,False,knn,0.4121829396185499
47_yeast,500,IForest,0.0,0,uncertainty,True,knn,0.42745160774276114
47_yeast,500,IForest,0.0,1,uncertainty,True,knn,0.39535007732096195
47_yeast,500,IForest,0.0,2,uncertainty,True,knn,0.3511260420554933
47_yeast,500,IForest,0.0,3,uncertainty,True,knn,0.3802947084022112
47_yeast,500,IForest,0.0,4,uncertainty,True,knn,0.4123073641550685
47_yeast,500,IForest,0.0,0,uncertainty,False,knn,0.4416182299720933
47_yeast,500,IForest,0.0,1,uncertainty,False,knn,0.4064949608062709
47_yeast,500,IForest,0.0,2,uncertainty,False,knn,0.3584493147763025
47_yeast,500,IForest,0.0,3,uncertainty,False,knn,0.3978918928526991
47_yeast,500,IForest,0.0,4,uncertainty,False,knn,0.4214614550560799
47_yeast,500,IForest,0.0,0,anomalous,True,knn,0.43482820526493543
47_yeast,500,IForest,0.0,1,anomalous,True,knn,0.39392808261789225
47_yeast,500,IForest,0.0,2,anomalous,True,knn,0.3606534065660605
47_yeast,500,IForest,0.0,3,anomalous,True,knn,0.40715263335644075
47_yeast,500,IForest,0.0,4,anomalous,True,knn,0.42336337297143567
47_yeast,500,IForest,0.0,0,anomalous,False,knn,0.4294424003270588
47_yeast,500,IForest,0.0,1,anomalous,False,knn,0.4099432979612151
47_yeast,500,IForest,0.0,2,anomalous,False,knn,0.3532057093087328
47_yeast,500,IForest,0.0,3,anomalous,False,knn,0.39312821059741543
47_yeast,500,IForest,0.0,4,anomalous,False,knn,0.4204482838301427
47_yeast,500,IForest,0.0,0,clusters,True,knn,0.43043779661920756
47_yeast,500,IForest,0.0,1,clusters,True,knn,0.376988570717574
47_yeast,500,IForest,0.0,2,clusters,True,knn,0.345900211521712
47_yeast,500,IForest,0.0,3,clusters,True,knn,0.38536056453189704
47_yeast,500,IForest,0.0,4,clusters,True,knn,0.414191507136636
47_yeast,500,IForest,0.0,0,clusters,False,knn,0.42012833502195207
47_yeast,500,IForest,0.0,1,clusters,False,knn,0.41417373220284753
47_yeast,500,IForest,0.0,2,clusters,False,knn,0.3657725874971115
47_yeast,500,IForest,0.0,3,clusters,False,knn,0.3937325583462201
47_yeast,500,IForest,0.0,4,clusters,False,knn,0.4073303826943244
47_yeast,15,IForest,0.004,0,random,True,knn,0.4301000728772285
47_yeast,471,IForest,0.004,1,random,True,knn,0.39479905437352236
47_yeast,500,IForest,0.004,2,random,True,knn,0.35857373931282105
47_yeast,500,IForest,0.004,3,random,True,knn,0.3936436836772783
47_yeast,500,IForest,0.004,4,random,True,knn,0.4133916351161592
47_yeast,499,IForest,0.004,0,random,False,knn,0.4377077445386516
47_yeast,499,IForest,0.004,1,random,False,knn,0.395065678380348
