dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
4_breastw,341,IForest,0.0,0,random,True,knn,0.9881381381381382
4_breastw,341,IForest,0.0,1,random,True,knn,0.9897522522522523
4_breastw,341,IForest,0.0,2,random,True,knn,0.9908033033033032
4_breastw,341,IForest,0.0,3,random,True,knn,0.9877252252252251
4_breastw,341,IForest,0.0,4,random,True,knn,0.9791666666666666
4_breastw,341,IForest,0.0,0,random,False,knn,0.9842342342342342
4_breastw,341,IForest,0.0,1,random,False,knn,0.988963963963964
4_breastw,341,IForest,0.0,2,random,False,knn,0.9909534534534534
4_breastw,341,IForest,0.0,3,random,False,knn,0.983108108108108
4_breastw,341,IForest,0.0,4,random,False,knn,0.9826576576576577
4_breastw,341,IForest,0.0,0,uncertainty,True,knn,0.9885885885885886
4_breastw,341,IForest,0.0,1,uncertainty,True,knn,0.9904279279279279
4_breastw,341,IForest,0.0,2,uncertainty,True,knn,0.990578078078078
4_breastw,341,IForest,0.0,3,uncertainty,True,knn,0.9888513513513513
4_breastw,341,IForest,0.0,4,uncertainty,True,knn,0.9806306306306306
4_breastw,341,IForest,0.0,0,uncertainty,False,knn,0.9855855855855855
4_breastw,341,IForest,0.0,1,uncertainty,False,knn,0.9898648648648648
4_breastw,341,IForest,0.0,2,uncertainty,False,knn,0.9882882882882883
4_breastw,341,IForest,0.0,3,uncertainty,False,knn,0.9876876876876877
4_breastw,341,IForest,0.0,4,uncertainty,False,knn,0.9828078078078079
4_breastw,341,IForest,0.0,0,anomalous,True,knn,0.9858483483483483
4_breastw,341,IForest,0.0,1,anomalous,True,knn,0.9885885885885886
4_breastw,341,IForest,0.0,2,anomalous,True,knn,0.9896021021021021
4_breastw,341,IForest,0.0,3,anomalous,True,knn,0.9869369369369368
4_breastw,341,IForest,0.0,4,anomalous,True,knn,0.9834084084084084
4_breastw,341,IForest,0.0,0,anomalous,False,knn,0.9834084084084085
4_breastw,341,IForest,0.0,1,anomalous,False,knn,0.9873873873873874
4_breastw,341,IForest,0.0,2,anomalous,False,knn,0.9903528528528528
4_breastw,341,IForest,0.0,3,anomalous,False,knn,0.9896396396396396
4_breastw,341,IForest,0.0,4,anomalous,False,knn,0.9805930930930932
4_breastw,341,IForest,0.0,0,clusters,True,knn,0.9851351351351351
4_breastw,341,IForest,0.0,1,clusters,True,knn,0.9875375375375376
4_breastw,341,IForest,0.0,2,clusters,True,knn,0.9898273273273274
4_breastw,341,IForest,0.0,3,clusters,True,knn,0.9846471471471471
4_breastw,341,IForest,0.0,4,clusters,True,knn,0.9796546546546546
4_breastw,341,IForest,0.0,0,clusters,False,knn,0.9861861861861861
4_breastw,341,IForest,0.0,1,clusters,False,knn,0.9875375375375376
4_breastw,341,IForest,0.0,2,clusters,False,knn,0.9884759759759759
4_breastw,341,IForest,0.0,3,clusters,False,knn,0.9878378378378379
4_breastw,341,IForest,0.0,4,clusters,False,knn,0.9786786786786786
4_breastw,341,IForest,0.004,0,random,True,knn,0.9841216216216218
4_breastw,341,IForest,0.004,1,random,True,knn,0.9876501501501502
4_breastw,341,IForest,0.004,2,random,True,knn,0.991629129129129
4_breastw,341,IForest,0.004,3,random,True,knn,0.9865615615615616
4_breastw,341,IForest,0.004,4,random,True,knn,0.9766516516516517
4_breastw,340,IForest,0.004,0,random,False,knn,0.9873873873873874
4_breastw,341,IForest,0.004,1,random,False,knn,0.9881006006006006
4_breastw,340,IForest,0.004,2,random,False,knn,0.9891141141141141
4_breastw,340,IForest,0.004,3,random,False,knn,0.9871621621621621
4_breastw,340,IForest,0.004,4,random,False,knn,0.9823573573573573
4_breastw,341,IForest,0.004,0,uncertainty,True,knn,0.9873498498498499
4_breastw,341,IForest,0.004,1,uncertainty,True,knn,0.9890015015015016
4_breastw,341,IForest,0.004,2,uncertainty,True,knn,0.9917042042042042
4_breastw,341,IForest,0.004,3,uncertainty,True,knn,0.9843468468468469
4_breastw,341,IForest,0.004,4,uncertainty,True,knn,0.9792042042042043
4_breastw,340,IForest,0.004,0,uncertainty,False,knn,0.983521021021021
4_breastw,340,IForest,0.004,1,uncertainty,False,knn,0.9885135135135136
4_breastw,340,IForest,0.004,2,uncertainty,False,knn,0.9889264264264265
4_breastw,340,IForest,0.004,3,uncertainty,False,knn,0.9875375375375375
4_breastw,340,IForest,0.004,4,uncertainty,False,knn,0.9843093093093093
4_breastw,341,IForest,0.004,0,anomalous,True,knn,0.9873873873873874
4_breastw,341,IForest,0.004,1,anomalous,True,knn,0.9879504504504505
4_breastw,341,IForest,0.004,2,anomalous,True,knn,0.9890015015015015
4_breastw,341,IForest,0.004,3,anomalous,True,knn,0.9868243243243242
4_breastw,341,IForest,0.004,4,anomalous,True,knn,0.9833708708708708
4_breastw,340,IForest,0.004,0,anomalous,False,knn,0.9887762762762762
4_breastw,340,IForest,0.004,1,anomalous,False,knn,0.9867867867867869
4_breastw,340,IForest,0.004,2,anomalous,False,knn,0.9902402402402402
4_breastw,340,IForest,0.004,3,anomalous,False,knn,0.9859234234234234
4_breastw,340,IForest,0.004,4,anomalous,False,knn,0.9805930930930932
4_breastw,341,IForest,0.004,0,clusters,True,knn,0.9862612612612612
4_breastw,341,IForest,0.004,1,clusters,True,knn,0.9862237237237237
4_breastw,341,IForest,0.004,2,clusters,True,knn,0.9893768768768769
4_breastw,341,IForest,0.004,3,clusters,True,knn,0.9885510510510509
4_breastw,341,IForest,0.004,4,clusters,True,knn,0.9796546546546547
4_breastw,341,IForest,0.004,0,clusters,False,knn,0.9891141141141141
4_breastw,341,IForest,0.004,1,clusters,False,knn,0.9904279279279279
4_breastw,341,IForest,0.004,2,clusters,False,knn,0.9889264264264265
4_breastw,341,IForest,0.004,3,clusters,False,knn,0.9899024024024023
4_breastw,341,IForest,0.004,4,clusters,False,knn,0.9788288288288288
4_breastw,341,IForest,0.006,0,random,True,knn,0.9865990990990992
4_breastw,337,IForest,0.006,1,random,True,knn,0.9864864864864865
4_breastw,239,IForest,0.006,2,random,True,knn,0.9941066066066067
4_breastw,319,IForest,0.006,3,random,True,knn,0.9892642642642642
4_breastw,341,IForest,0.006,4,random,True,knn,0.9782657657657657
4_breastw,339,IForest,0.006,0,random,False,knn,0.9887387387387387
4_breastw,340,IForest,0.006,1,random,False,knn,0.9909534534534535
4_breastw,340,IForest,0.006,2,random,False,knn,0.991478978978979
4_breastw,340,IForest,0.006,3,random,False,knn,0.9843843843843844
4_breastw,339,IForest,0.006,4,random,False,knn,0.979542042042042
4_breastw,211,IForest,0.006,0,uncertainty,True,knn,0.9905593093093092
4_breastw,341,IForest,0.006,1,uncertainty,True,knn,0.9871621621621621
4_breastw,341,IForest,0.006,2,uncertainty,True,knn,0.9899774774774774
4_breastw,341,IForest,0.006,3,uncertainty,True,knn,0.9842717717717717
4_breastw,341,IForest,0.006,4,uncertainty,True,knn,0.9818693693693693
4_breastw,339,IForest,0.006,0,uncertainty,False,knn,0.9878003003003003
4_breastw,339,IForest,0.006,1,uncertainty,False,knn,0.9893768768768769
4_breastw,339,IForest,0.006,2,uncertainty,False,knn,0.9891891891891892
4_breastw,339,IForest,0.006,3,uncertainty,False,knn,0.9853603603603605
4_breastw,339,IForest,0.006,4,uncertainty,False,knn,0.9822072072072072
4_breastw,341,IForest,0.006,0,anomalous,True,knn,0.9893393393393394
4_breastw,341,IForest,0.006,1,anomalous,True,knn,0.988551051051051
4_breastw,341,IForest,0.006,2,anomalous,True,knn,0.9883258258258257
4_breastw,341,IForest,0.006,3,anomalous,True,knn,0.9843843843843844
4_breastw,341,IForest,0.006,4,anomalous,True,knn,0.9843468468468468
4_breastw,339,IForest,0.006,0,anomalous,False,knn,0.9893768768768769
4_breastw,339,IForest,0.006,1,anomalous,False,knn,0.9890015015015013
4_breastw,339,IForest,0.006,2,anomalous,False,knn,0.9922297297297298
4_breastw,339,IForest,0.006,3,anomalous,False,knn,0.9869744744744746
4_breastw,339,IForest,0.006,4,anomalous,False,knn,0.9819444444444445
4_breastw,264,IForest,0.006,0,clusters,True,knn,0.9907657657657658
4_breastw,248,IForest,0.006,1,clusters,True,knn,0.9949324324324323
4_breastw,255,IForest,0.006,2,clusters,True,knn,0.9953453453453454
4_breastw,252,IForest,0.006,3,clusters,True,knn,0.994481981981982
4_breastw,243,IForest,0.006,4,clusters,True,knn,0.990653153153153
4_breastw,340,IForest,0.006,0,clusters,False,knn,0.9837837837837838
4_breastw,340,IForest,0.006,1,clusters,False,knn,0.9893768768768769
4_breastw,340,IForest,0.006,2,clusters,False,knn,0.9899399399399399
4_breastw,340,IForest,0.006,3,clusters,False,knn,0.9885885885885887
4_breastw,340,IForest,0.006,4,clusters,False,knn,0.9803678678678678
4_breastw,341,IForest,0.008,0,random,True,knn,0.9881756756756757
4_breastw,337,IForest,0.008,1,random,True,knn,0.988475975975976
4_breastw,239,IForest,0.008,2,random,True,knn,0.9950450450450451
4_breastw,319,IForest,0.008,3,random,True,knn,0.9875375375375376
4_breastw,341,IForest,0.008,4,random,True,knn,0.9771771771771772
4_breastw,339,IForest,0.008,0,random,False,knn,0.9858108108108108
4_breastw,340,IForest,0.008,1,random,False,knn,0.9879504504504505
4_breastw,340,IForest,0.008,2,random,False,knn,0.9902777777777778
4_breastw,340,IForest,0.008,3,random,False,knn,0.9883258258258258
4_breastw,339,IForest,0.008,4,random,False,knn,0.9809684684684685
4_breastw,341,IForest,0.008,0,uncertainty,True,knn,0.9879504504504504
4_breastw,341,IForest,0.008,1,uncertainty,True,knn,0.9871246246246246
4_breastw,341,IForest,0.008,2,uncertainty,True,knn,0.9902027027027026
4_breastw,341,IForest,0.008,3,uncertainty,True,knn,0.9893018018018018
4_breastw,341,IForest,0.008,4,uncertainty,True,knn,0.9849474474474474
4_breastw,339,IForest,0.008,0,uncertainty,False,knn,0.9858858858858858
4_breastw,339,IForest,0.008,1,uncertainty,False,knn,0.9866366366366366
4_breastw,339,IForest,0.008,2,uncertainty,False,knn,0.990427927927928
4_breastw,339,IForest,0.008,3,uncertainty,False,knn,0.9884384384384385
4_breastw,339,IForest,0.008,4,uncertainty,False,knn,0.9826201201201201
4_breastw,341,IForest,0.008,0,anomalous,True,knn,0.9870495495495496
4_breastw,341,IForest,0.008,1,anomalous,True,knn,0.9900525525525525
4_breastw,341,IForest,0.008,2,anomalous,True,knn,0.990015015015015
4_breastw,341,IForest,0.008,3,anomalous,True,knn,0.9901276276276276
4_breastw,341,IForest,0.008,4,anomalous,True,knn,0.9805555555555555
4_breastw,339,IForest,0.008,0,anomalous,False,knn,0.9810435435435436
4_breastw,339,IForest,0.008,1,anomalous,False,knn,0.9896021021021021
4_breastw,339,IForest,0.008,2,anomalous,False,knn,0.9904279279279279
4_breastw,339,IForest,0.008,3,anomalous,False,knn,0.9885885885885887
4_breastw,339,IForest,0.008,4,anomalous,False,knn,0.9783033033033033
4_breastw,264,IForest,0.008,0,clusters,True,knn,0.9910660660660661
4_breastw,248,IForest,0.008,1,clusters,True,knn,0.993993993993994
4_breastw,255,IForest,0.008,2,clusters,True,knn,0.9957957957957959
4_breastw,252,IForest,0.008,3,clusters,True,knn,0.9943693693693694
4_breastw,243,IForest,0.008,4,clusters,True,knn,0.992117117117117
4_breastw,340,IForest,0.008,0,clusters,False,knn,0.9886261261261261
4_breastw,340,IForest,0.008,1,clusters,False,knn,0.9876126126126126
4_breastw,340,IForest,0.008,2,clusters,False,knn,0.9876876876876877
4_breastw,340,IForest,0.008,3,clusters,False,knn,0.9885135135135136
4_breastw,340,IForest,0.008,4,clusters,False,knn,0.97759009009009
4_breastw,309,IForest,0.01,0,random,True,knn,0.9906906906906907
4_breastw,337,IForest,0.01,1,random,True,knn,0.9867867867867868
4_breastw,228,IForest,0.01,2,random,True,knn,0.9948573573573574
4_breastw,281,IForest,0.01,3,random,True,knn,0.9934684684684685
4_breastw,243,IForest,0.01,4,random,True,knn,0.9926051051051051
4_breastw,339,IForest,0.01,0,random,False,knn,0.9878753753753754
4_breastw,340,IForest,0.01,1,random,False,knn,0.9889264264264265
4_breastw,339,IForest,0.01,2,random,False,knn,0.9907282282282283
4_breastw,339,IForest,0.01,3,random,False,knn,0.9859234234234234
4_breastw,339,IForest,0.01,4,random,False,knn,0.9813063063063063
4_breastw,341,IForest,0.01,0,uncertainty,True,knn,0.9847972972972973
4_breastw,341,IForest,0.01,1,uncertainty,True,knn,0.9887012012012012
4_breastw,341,IForest,0.01,2,uncertainty,True,knn,0.9888513513513514
