dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
5_campaign,500,IForest,0.0,0,random,True,knn,0.7129987129987131
5_campaign,500,IForest,0.0,1,random,True,knn,0.6967248821828839
5_campaign,500,IForest,0.0,2,random,True,knn,0.7519707207207208
5_campaign,500,IForest,0.0,3,random,True,knn,0.632279601029601
5_campaign,500,IForest,0.0,4,random,True,knn,0.6613175675675674
5_campaign,500,IForest,0.0,0,random,False,knn,0.6693211068211068
5_campaign,500,IForest,0.0,1,random,False,knn,0.6765276622708011
5_campaign,500,IForest,0.0,2,random,False,knn,0.7444095881595881
5_campaign,500,IForest,0.0,3,random,False,knn,0.6356177606177607
5_campaign,500,IForest,0.0,4,random,False,knn,0.6779681467181468
5_campaign,500,IForest,0.0,0,uncertainty,True,knn,0.7136824324324325
5_campaign,500,IForest,0.0,1,uncertainty,True,knn,0.6901904875054452
5_campaign,500,IForest,0.0,2,uncertainty,True,knn,0.7629102316602316
5_campaign,500,IForest,0.0,3,uncertainty,True,knn,0.6433397683397684
5_campaign,500,IForest,0.0,4,uncertainty,True,knn,0.6671090733590733
5_campaign,500,IForest,0.0,0,uncertainty,False,knn,0.6962274774774775
5_campaign,500,IForest,0.0,1,uncertainty,False,knn,0.6663894499227753
5_campaign,500,IForest,0.0,2,uncertainty,False,knn,0.7208413770913771
5_campaign,500,IForest,0.0,3,uncertainty,False,knn,0.6284588159588159
5_campaign,500,IForest,0.0,4,uncertainty,False,knn,0.6622425997425998
5_campaign,500,IForest,0.0,0,anomalous,True,knn,0.689229407979408
5_campaign,500,IForest,0.0,1,anomalous,True,knn,0.662785632252188
5_campaign,500,IForest,0.0,2,anomalous,True,knn,0.7589687902187903
5_campaign,500,IForest,0.0,3,anomalous,True,knn,0.6340492277992278
5_campaign,500,IForest,0.0,4,anomalous,True,knn,0.648568211068211
5_campaign,500,IForest,0.0,0,anomalous,False,knn,0.7084539897039895
5_campaign,500,IForest,0.0,1,anomalous,False,knn,0.6553403825591065
5_campaign,500,IForest,0.0,2,anomalous,False,knn,0.7609797297297297
5_campaign,500,IForest,0.0,3,anomalous,False,knn,0.6208172458172458
5_campaign,500,IForest,0.0,4,anomalous,False,knn,0.6638513513513513
5_campaign,500,IForest,0.0,0,clusters,True,knn,0.7132802445302446
5_campaign,500,IForest,0.0,1,clusters,True,knn,0.6703892915132074
5_campaign,500,IForest,0.0,2,clusters,True,knn,0.7406290218790219
5_campaign,500,IForest,0.0,3,clusters,True,knn,0.6570543758043759
5_campaign,500,IForest,0.0,4,clusters,True,knn,0.6850868725868725
5_campaign,500,IForest,0.0,0,clusters,False,knn,0.7039092664092664
5_campaign,500,IForest,0.0,1,clusters,False,knn,0.6778741435982734
5_campaign,500,IForest,0.0,2,clusters,False,knn,0.7664494851994851
5_campaign,500,IForest,0.0,3,clusters,False,knn,0.6356177606177607
5_campaign,500,IForest,0.0,4,clusters,False,knn,0.7081724581724581
5_campaign,500,IForest,0.004,0,random,True,knn,0.6770028957528959
5_campaign,500,IForest,0.004,1,random,True,knn,0.655538394519029
5_campaign,496,IForest,0.004,2,random,True,knn,0.7258285070785071
5_campaign,500,IForest,0.004,3,random,True,knn,0.6343307593307593
5_campaign,500,IForest,0.004,4,random,True,knn,0.6661036036036035
5_campaign,500,IForest,0.004,0,random,False,knn,0.6920447232947232
5_campaign,500,IForest,0.004,1,random,False,knn,0.6789830105738387
5_campaign,499,IForest,0.004,2,random,False,knn,0.7512467824967826
5_campaign,500,IForest,0.004,3,random,False,knn,0.602759009009009
5_campaign,500,IForest,0.004,4,random,False,knn,0.6877010939510939
5_campaign,500,IForest,0.004,0,uncertainty,True,knn,0.690757722007722
5_campaign,500,IForest,0.004,1,uncertainty,True,knn,0.6614787533167004
5_campaign,13,IForest,0.004,2,uncertainty,True,knn,0.5415057915057916
5_campaign,500,IForest,0.004,3,uncertainty,True,knn,0.6407657657657657
5_campaign,500,IForest,0.004,4,uncertainty,True,knn,0.6677123552123552
5_campaign,499,IForest,0.004,0,uncertainty,False,knn,0.6959861647361647
5_campaign,499,IForest,0.004,1,uncertainty,False,knn,0.6572808997663458
5_campaign,499,IForest,0.004,2,uncertainty,False,knn,0.7866795366795366
5_campaign,500,IForest,0.004,3,uncertainty,False,knn,0.6226270913770913
5_campaign,500,IForest,0.004,4,uncertainty,False,knn,0.6521074646074646
5_campaign,500,IForest,0.004,0,anomalous,True,knn,0.6973133848133848
5_campaign,500,IForest,0.004,1,anomalous,True,knn,0.6959724367351788
5_campaign,500,IForest,0.004,2,anomalous,True,knn,0.7594916344916345
5_campaign,476,IForest,0.004,3,anomalous,True,knn,0.6692406692406693
5_campaign,500,IForest,0.004,4,anomalous,True,knn,0.6904761904761904
