dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
6_cardio,500,IForest,0.0,0,random,True,knn,0.9043141592920354
6_cardio,500,IForest,0.0,1,random,True,knn,0.9217367256637168
6_cardio,500,IForest,0.0,2,random,True,knn,0.9528484513274336
6_cardio,500,IForest,0.0,3,random,True,knn,0.949391592920354
6_cardio,500,IForest,0.0,4,random,True,knn,0.9235342920353983
6_cardio,500,IForest,0.0,0,random,False,knn,0.9335822271386431
6_cardio,500,IForest,0.0,1,random,False,knn,0.8807153392330382
6_cardio,500,IForest,0.0,2,random,False,knn,0.9492994100294985
6_cardio,500,IForest,0.0,3,random,False,knn,0.9506821533923304
6_cardio,500,IForest,0.0,4,random,False,knn,0.9233499262536873
6_cardio,500,IForest,0.0,0,uncertainty,True,knn,0.8966168879056047
6_cardio,500,IForest,0.0,1,uncertainty,True,knn,0.9243178466076696
6_cardio,500,IForest,0.0,2,uncertainty,True,knn,0.9483314896755162
6_cardio,500,IForest,0.0,3,uncertainty,True,knn,0.9409568584070795
6_cardio,500,IForest,0.0,4,uncertainty,True,knn,0.9148691002949852
6_cardio,500,IForest,0.0,0,uncertainty,False,knn,0.9125184365781711
6_cardio,500,IForest,0.0,1,uncertainty,False,knn,0.9109052359882006
6_cardio,500,IForest,0.0,2,uncertainty,False,knn,0.9356563421828908
6_cardio,500,IForest,0.0,3,uncertainty,False,knn,0.9386983775811208
6_cardio,500,IForest,0.0,4,uncertainty,False,knn,0.9036688790560472
6_cardio,500,IForest,0.0,0,anomalous,True,knn,0.9386522861356932
6_cardio,500,IForest,0.0,1,anomalous,True,knn,0.9162518436578171
6_cardio,500,IForest,0.0,2,anomalous,True,knn,0.9450589970501475
6_cardio,500,IForest,0.0,3,anomalous,True,knn,0.9323377581120944
6_cardio,500,IForest,0.0,4,anomalous,True,knn,0.9126567109144543
6_cardio,500,IForest,0.0,0,anomalous,False,knn,0.921367994100295
6_cardio,500,IForest,0.0,1,anomalous,False,knn,0.9170814896755162
6_cardio,500,IForest,0.0,2,anomalous,False,knn,0.949898598820059
6_cardio,500,IForest,0.0,3,anomalous,False,knn,0.9170353982300885
6_cardio,500,IForest,0.0,4,anomalous,False,knn,0.9327064896755162
6_cardio,500,IForest,0.0,0,clusters,True,knn,0.9309550147492625
6_cardio,500,IForest,0.0,1,clusters,True,knn,0.905742994100295
6_cardio,500,IForest,0.0,2,clusters,True,knn,0.9237186578171092
6_cardio,500,IForest,0.0,3,clusters,True,knn,0.9392053834808258
6_cardio,500,IForest,0.0,4,clusters,True,knn,0.894358407079646
6_cardio,500,IForest,0.0,0,clusters,False,knn,0.9376843657817109
6_cardio,500,IForest,0.0,1,clusters,False,knn,0.9262075958702065
6_cardio,500,IForest,0.0,2,clusters,False,knn,0.949898598820059
6_cardio,500,IForest,0.0,3,clusters,False,knn,0.9458886430678467
6_cardio,500,IForest,0.0,4,clusters,False,knn,0.935656342182891
6_cardio,500,IForest,0.004,0,random,True,knn,0.9244100294985251
6_cardio,492,IForest,0.004,1,random,True,knn,0.9056047197640118
6_cardio,469,IForest,0.004,2,random,True,knn,0.9386522861356932
6_cardio,500,IForest,0.004,3,random,True,knn,0.9445519911504424
6_cardio,500,IForest,0.004,4,random,True,knn,0.9103060471976401
6_cardio,500,IForest,0.004,0,random,False,knn,0.9292496312684366
6_cardio,499,IForest,0.004,1,random,False,knn,0.9267146017699115
6_cardio,499,IForest,0.004,2,random,False,knn,0.9415099557522124
6_cardio,500,IForest,0.004,3,random,False,knn,0.9427083333333334
6_cardio,500,IForest,0.004,4,random,False,knn,0.9205844395280236
6_cardio,497,IForest,0.004,0,uncertainty,True,knn,0.9404037610619469
6_cardio,500,IForest,0.004,1,uncertainty,True,knn,0.9205844395280236
6_cardio,3,IForest,0.004,2,uncertainty,True,knn,0.5214786135693216
6_cardio,500,IForest,0.004,3,uncertainty,True,knn,0.9356563421828907
6_cardio,500,IForest,0.004,4,uncertainty,True,knn,0.9123340707964601
6_cardio,498,IForest,0.004,0,uncertainty,False,knn,0.9312315634218289
6_cardio,499,IForest,0.004,1,uncertainty,False,knn,0.9045907079646018
6_cardio,499,IForest,0.004,2,uncertainty,False,knn,0.9503595132743363
6_cardio,500,IForest,0.004,3,uncertainty,False,knn,0.9396662979351034
6_cardio,499,IForest,0.004,4,uncertainty,False,knn,0.9120575221238938
6_cardio,500,IForest,0.004,0,anomalous,True,knn,0.9336744100294985
6_cardio,500,IForest,0.004,1,anomalous,True,knn,0.9080014749262537
6_cardio,500,IForest,0.004,2,anomalous,True,knn,0.9418786873156342
6_cardio,500,IForest,0.004,3,anomalous,True,knn,0.9014103982300885
6_cardio,500,IForest,0.004,4,anomalous,True,knn,0.9121497050147491
6_cardio,498,IForest,0.004,0,anomalous,False,knn,0.9216906342182891
6_cardio,498,IForest,0.004,1,anomalous,False,knn,0.9195243362831859
6_cardio,498,IForest,0.004,2,anomalous,False,knn,0.9491150442477876
6_cardio,498,IForest,0.004,3,anomalous,False,knn,0.9363477138643067
6_cardio,498,IForest,0.004,4,anomalous,False,knn,0.9257466814159292
6_cardio,500,IForest,0.004,0,clusters,True,knn,0.8903484513274336
6_cardio,500,IForest,0.004,1,clusters,True,knn,0.928327802359882
6_cardio,500,IForest,0.004,2,clusters,True,knn,0.9557983038348082
6_cardio,500,IForest,0.004,3,clusters,True,knn,0.9428005162241888
6_cardio,500,IForest,0.004,4,clusters,True,knn,0.9188329646017699
6_cardio,500,IForest,0.004,0,clusters,False,knn,0.9097529498525073
6_cardio,500,IForest,0.004,1,clusters,False,knn,0.903023598820059
6_cardio,500,IForest,0.004,2,clusters,False,knn,0.9358407079646017
6_cardio,500,IForest,0.004,3,clusters,False,knn,0.9413255899705015
6_cardio,500,IForest,0.004,4,clusters,False,knn,0.9299870943952803
6_cardio,500,IForest,0.006,0,random,True,knn,0.9190173303834808
6_cardio,492,IForest,0.006,1,random,True,knn,0.9143620943952803
6_cardio,436,IForest,0.006,2,random,True,knn,0.957549778761062
6_cardio,500,IForest,0.006,3,random,True,knn,0.917265855457227
6_cardio,500,IForest,0.006,4,random,True,knn,0.9207688053097345
6_cardio,500,IForest,0.006,0,random,False,knn,0.925608407079646
6_cardio,499,IForest,0.006,1,random,False,knn,0.9167127581120944
6_cardio,498,IForest,0.006,2,random,False,knn,0.9511891592920354
6_cardio,500,IForest,0.006,3,random,False,knn,0.9394358407079646
6_cardio,500,IForest,0.006,4,random,False,knn,0.9205383480825959
6_cardio,0,IForest,0.006,0,uncertainty,True,knn,
6_cardio,500,IForest,0.006,1,uncertainty,True,knn,0.9036688790560472
6_cardio,403,IForest,0.006,2,uncertainty,True,knn,0.9499446902654867
6_cardio,478,IForest,0.006,3,uncertainty,True,knn,0.9203539823008849
6_cardio,500,IForest,0.006,4,uncertainty,True,knn,0.9212297197640118
6_cardio,500,IForest,0.006,0,uncertainty,False,knn,0.9369008112094396
6_cardio,499,IForest,0.006,1,uncertainty,False,knn,0.9014103982300885
6_cardio,500,IForest,0.006,2,uncertainty,False,knn,0.9548764749262536
6_cardio,499,IForest,0.006,3,uncertainty,False,knn,0.9409107669616519
6_cardio,498,IForest,0.006,4,uncertainty,False,knn,0.8959716076696165
6_cardio,500,IForest,0.006,0,anomalous,True,knn,0.9073561946902655
6_cardio,0,IForest,0.006,1,anomalous,True,knn,
6_cardio,500,IForest,0.006,2,anomalous,True,knn,0.9412794985250736
6_cardio,500,IForest,0.006,3,anomalous,True,knn,0.9408185840707963
6_cardio,500,IForest,0.006,4,anomalous,True,knn,0.9192016961651918
6_cardio,497,IForest,0.006,0,anomalous,False,knn,0.931047197640118
6_cardio,497,IForest,0.006,1,anomalous,False,knn,0.8907171828908554
6_cardio,497,IForest,0.006,2,anomalous,False,knn,0.951926622418879
6_cardio,497,IForest,0.006,3,anomalous,False,knn,0.942431784660767
6_cardio,497,IForest,0.006,4,anomalous,False,knn,0.9194321533923304
6_cardio,500,IForest,0.006,0,clusters,True,knn,0.9212758112094395
6_cardio,493,IForest,0.006,1,clusters,True,knn,0.9100294985250736
6_cardio,500,IForest,0.006,2,clusters,True,knn,0.9666297935103245
6_cardio,500,IForest,0.006,3,clusters,True,knn,0.9360711651917404
6_cardio,499,IForest,0.006,4,clusters,True,knn,0.9093381268436578
6_cardio,500,IForest,0.006,0,clusters,False,knn,0.9479166666666667
6_cardio,499,IForest,0.006,1,clusters,False,knn,0.9089233038348082
6_cardio,499,IForest,0.006,2,clusters,False,knn,0.9485158554572272
6_cardio,499,IForest,0.006,3,clusters,False,knn,0.9259771386430677
6_cardio,499,IForest,0.006,4,clusters,False,knn,0.9339048672566371
6_cardio,500,IForest,0.008,0,random,True,knn,0.9143160029498526
6_cardio,492,IForest,0.008,1,random,True,knn,0.9296644542772862
6_cardio,437,IForest,0.008,2,random,True,knn,0.9470409292035398
6_cardio,500,IForest,0.008,3,random,True,knn,0.9395741150442478
6_cardio,500,IForest,0.008,4,random,True,knn,0.9327986725663717
6_cardio,500,IForest,0.008,0,random,False,knn,0.9338126843657817
6_cardio,499,IForest,0.008,1,random,False,knn,0.9280512536873157
6_cardio,498,IForest,0.008,2,random,False,knn,0.9545538348082596
6_cardio,500,IForest,0.008,3,random,False,knn,0.9421091445427728
6_cardio,500,IForest,0.008,4,random,False,knn,0.9078632005899705
6_cardio,0,IForest,0.008,0,uncertainty,True,knn,
6_cardio,500,IForest,0.008,1,uncertainty,True,knn,0.9065265486725664
6_cardio,30,IForest,0.008,2,uncertainty,True,knn,0.29383296460176994
6_cardio,489,IForest,0.008,3,uncertainty,True,knn,0.9341814159292035
6_cardio,2,IForest,0.008,4,uncertainty,True,knn,0.5
6_cardio,499,IForest,0.008,0,uncertainty,False,knn,0.9279129793510325
6_cardio,499,IForest,0.008,1,uncertainty,False,knn,0.9100294985250736
6_cardio,500,IForest,0.008,2,uncertainty,False,knn,0.95515302359882
6_cardio,498,IForest,0.008,3,uncertainty,False,knn,0.909476401179941
6_cardio,499,IForest,0.008,4,uncertainty,False,knn,0.9236264749262537
6_cardio,500,IForest,0.008,0,anomalous,True,knn,0.9194321533923304
6_cardio,0,IForest,0.008,1,anomalous,True,knn,
6_cardio,500,IForest,0.008,2,anomalous,True,knn,0.9517883480825958
6_cardio,500,IForest,0.008,3,anomalous,True,knn,0.9274059734513275
6_cardio,500,IForest,0.008,4,anomalous,True,knn,0.9314620206489675
6_cardio,496,IForest,0.008,0,anomalous,False,knn,0.9088311209439528
6_cardio,496,IForest,0.008,1,anomalous,False,knn,0.9292035398230089
6_cardio,496,IForest,0.008,2,anomalous,False,knn,0.9473174778761062
6_cardio,496,IForest,0.008,3,anomalous,False,knn,0.9423856932153392
6_cardio,496,IForest,0.008,4,anomalous,False,knn,0.9092459439528024
6_cardio,500,IForest,0.008,0,clusters,True,knn,0.9168510324483776
6_cardio,493,IForest,0.008,1,clusters,True,knn,0.9280973451327434
6_cardio,469,IForest,0.008,2,clusters,True,knn,0.9323838495575222
6_cardio,500,IForest,0.008,3,clusters,True,knn,0.9196165191740413
6_cardio,499,IForest,0.008,4,clusters,True,knn,0.9125645280235988
6_cardio,500,IForest,0.008,0,clusters,False,knn,0.9226124631268435
6_cardio,499,IForest,0.008,1,clusters,False,knn,0.9014564896755162
6_cardio,498,IForest,0.008,2,clusters,False,knn,0.9366703539823009
6_cardio,499,IForest,0.008,3,clusters,False,knn,0.9339970501474926
6_cardio,499,IForest,0.008,4,clusters,False,knn,0.9145925516224189
6_cardio,500,IForest,0.01,0,random,True,knn,0.9435379793510325
6_cardio,492,IForest,0.01,1,random,True,knn,0.9362094395280236
6_cardio,443,IForest,0.01,2,random,True,knn,0.9499907817109144
6_cardio,500,IForest,0.01,3,random,True,knn,0.9145464601769911
