dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
7_Cardiotocography,500,IForest,0.0,0,random,True,knn,0.6983216783216784
7_Cardiotocography,500,IForest,0.0,1,random,True,knn,0.7188111888111887
7_Cardiotocography,500,IForest,0.0,2,random,True,knn,0.7002680652680653
7_Cardiotocography,500,IForest,0.0,3,random,True,knn,0.6950000000000001
7_Cardiotocography,500,IForest,0.0,4,random,True,knn,0.6553379953379953
7_Cardiotocography,500,IForest,0.0,0,random,False,knn,0.6570396270396269
7_Cardiotocography,500,IForest,0.0,1,random,False,knn,0.733986013986014
7_Cardiotocography,500,IForest,0.0,2,random,False,knn,0.7692657342657343
7_Cardiotocography,500,IForest,0.0,3,random,False,knn,0.6618298368298368
7_Cardiotocography,500,IForest,0.0,4,random,False,knn,0.754102564102564
7_Cardiotocography,500,IForest,0.0,0,uncertainty,True,knn,0.6841724941724943
7_Cardiotocography,500,IForest,0.0,1,uncertainty,True,knn,0.7328438228438228
7_Cardiotocography,500,IForest,0.0,2,uncertainty,True,knn,0.768053613053613
7_Cardiotocography,500,IForest,0.0,3,uncertainty,True,knn,0.6489627039627038
7_Cardiotocography,500,IForest,0.0,4,uncertainty,True,knn,0.6993240093240094
7_Cardiotocography,500,IForest,0.0,0,uncertainty,False,knn,0.6781585081585081
7_Cardiotocography,500,IForest,0.0,1,uncertainty,False,knn,0.6813752913752913
7_Cardiotocography,500,IForest,0.0,2,uncertainty,False,knn,0.7116433566433567
7_Cardiotocography,500,IForest,0.0,3,uncertainty,False,knn,0.6985664335664337
7_Cardiotocography,500,IForest,0.0,4,uncertainty,False,knn,0.6536596736596737
7_Cardiotocography,500,IForest,0.0,0,anomalous,True,knn,0.71986013986014
7_Cardiotocography,500,IForest,0.0,1,anomalous,True,knn,0.7322610722610723
7_Cardiotocography,500,IForest,0.0,2,anomalous,True,knn,0.7384731934731936
7_Cardiotocography,500,IForest,0.0,3,anomalous,True,knn,0.7247435897435898
7_Cardiotocography,500,IForest,0.0,4,anomalous,True,knn,0.7095104895104895
7_Cardiotocography,500,IForest,0.0,0,anomalous,False,knn,0.6824475524475524
7_Cardiotocography,500,IForest,0.0,1,anomalous,False,knn,0.7023543123543123
7_Cardiotocography,500,IForest,0.0,2,anomalous,False,knn,0.760081585081585
7_Cardiotocography,500,IForest,0.0,3,anomalous,False,knn,0.6864219114219113
7_Cardiotocography,500,IForest,0.0,4,anomalous,False,knn,0.7091841491841492
7_Cardiotocography,500,IForest,0.0,0,clusters,True,knn,0.6683916083916085
7_Cardiotocography,500,IForest,0.0,1,clusters,True,knn,0.7011888111888112
7_Cardiotocography,500,IForest,0.0,2,clusters,True,knn,0.7770279720279721
7_Cardiotocography,500,IForest,0.0,3,clusters,True,knn,0.7514335664335665
7_Cardiotocography,500,IForest,0.0,4,clusters,True,knn,0.7013752913752913
7_Cardiotocography,500,IForest,0.0,0,clusters,False,knn,0.7027272727272726
7_Cardiotocography,500,IForest,0.0,1,clusters,False,knn,0.7111188811188811
7_Cardiotocography,500,IForest,0.0,2,clusters,False,knn,0.7315268065268066
7_Cardiotocography,500,IForest,0.0,3,clusters,False,knn,0.6863053613053613
7_Cardiotocography,500,IForest,0.0,4,clusters,False,knn,0.6593006993006992
7_Cardiotocography,500,IForest,0.004,0,random,True,knn,0.776013986013986
7_Cardiotocography,500,IForest,0.004,1,random,True,knn,0.7103496503496504
7_Cardiotocography,500,IForest,0.004,2,random,True,knn,0.7535314685314685
7_Cardiotocography,500,IForest,0.004,3,random,True,knn,0.6916899766899767
7_Cardiotocography,500,IForest,0.004,4,random,True,knn,0.7344289044289044
7_Cardiotocography,500,IForest,0.004,0,random,False,knn,0.6571794871794872
7_Cardiotocography,500,IForest,0.004,1,random,False,knn,0.6812121212121212
7_Cardiotocography,500,IForest,0.004,2,random,False,knn,0.7108508158508158
7_Cardiotocography,500,IForest,0.004,3,random,False,knn,0.6932750582750583
7_Cardiotocography,500,IForest,0.004,4,random,False,knn,0.6834498834498833
7_Cardiotocography,498,IForest,0.004,0,uncertainty,True,knn,0.7468298368298368
7_Cardiotocography,500,IForest,0.004,1,uncertainty,True,knn,0.7214219114219116
7_Cardiotocography,500,IForest,0.004,2,uncertainty,True,knn,0.7387296037296038
7_Cardiotocography,500,IForest,0.004,3,uncertainty,True,knn,0.6268414918414918
7_Cardiotocography,3,IForest,0.004,4,uncertainty,True,knn,0.2727622377622378
7_Cardiotocography,500,IForest,0.004,0,uncertainty,False,knn,0.7447319347319348
7_Cardiotocography,499,IForest,0.004,1,uncertainty,False,knn,0.67011655011655
7_Cardiotocography,499,IForest,0.004,2,uncertainty,False,knn,0.7464685314685315
7_Cardiotocography,500,IForest,0.004,3,uncertainty,False,knn,0.7070279720279721
7_Cardiotocography,499,IForest,0.004,4,uncertainty,False,knn,0.6833100233100233
7_Cardiotocography,500,IForest,0.004,0,anomalous,True,knn,0.6792307692307692
7_Cardiotocography,500,IForest,0.004,1,anomalous,True,knn,0.7097902097902097
7_Cardiotocography,500,IForest,0.004,2,anomalous,True,knn,0.7095221445221446
7_Cardiotocography,500,IForest,0.004,3,anomalous,True,knn,0.6881468531468531
7_Cardiotocography,500,IForest,0.004,4,anomalous,True,knn,0.712051282051282
7_Cardiotocography,498,IForest,0.004,0,anomalous,False,knn,0.7054079254079254
7_Cardiotocography,498,IForest,0.004,1,anomalous,False,knn,0.7156876456876458
7_Cardiotocography,498,IForest,0.004,2,anomalous,False,knn,0.7172377622377621
7_Cardiotocography,498,IForest,0.004,3,anomalous,False,knn,0.689079254079254
7_Cardiotocography,498,IForest,0.004,4,anomalous,False,knn,0.712051282051282
7_Cardiotocography,500,IForest,0.004,0,clusters,True,knn,0.6662937062937062
7_Cardiotocography,500,IForest,0.004,1,clusters,True,knn,0.7167365967365968
7_Cardiotocography,500,IForest,0.004,2,clusters,True,knn,0.7682400932400932
7_Cardiotocography,500,IForest,0.004,3,clusters,True,knn,0.6855361305361305
7_Cardiotocography,500,IForest,0.004,4,clusters,True,knn,0.656013986013986
7_Cardiotocography,500,IForest,0.004,0,clusters,False,knn,0.7688111888111889
7_Cardiotocography,500,IForest,0.004,1,clusters,False,knn,0.7274125874125874
7_Cardiotocography,500,IForest,0.004,2,clusters,False,knn,0.7394522144522144
7_Cardiotocography,500,IForest,0.004,3,clusters,False,knn,0.6496620046620046
7_Cardiotocography,500,IForest,0.004,4,clusters,False,knn,0.7083916083916084
7_Cardiotocography,498,IForest,0.006,0,random,True,knn,0.725
7_Cardiotocography,500,IForest,0.006,1,random,True,knn,0.7564568764568765
7_Cardiotocography,500,IForest,0.006,2,random,True,knn,0.7261188811188811
7_Cardiotocography,500,IForest,0.006,3,random,True,knn,0.6940675990675991
7_Cardiotocography,498,IForest,0.006,4,random,True,knn,0.7214219114219115
7_Cardiotocography,499,IForest,0.006,0,random,False,knn,0.6734965034965035
7_Cardiotocography,500,IForest,0.006,1,random,False,knn,0.7034498834498835
7_Cardiotocography,500,IForest,0.006,2,random,False,knn,0.7387995337995338
7_Cardiotocography,500,IForest,0.006,3,random,False,knn,0.6875407925407926
7_Cardiotocography,499,IForest,0.006,4,random,False,knn,0.6891608391608391
7_Cardiotocography,500,IForest,0.006,0,uncertainty,True,knn,0.7197902097902098
7_Cardiotocography,487,IForest,0.006,1,uncertainty,True,knn,0.7062004662004662
7_Cardiotocography,500,IForest,0.006,2,uncertainty,True,knn,0.7468648018648019
7_Cardiotocography,499,IForest,0.006,3,uncertainty,True,knn,0.6889160839160839
7_Cardiotocography,8,IForest,0.006,4,uncertainty,True,knn,0.8391841491841491
