dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
8_celeba,500,IForest,0.0,0,random,True,knn,0.718535043688418
8_celeba,500,IForest,0.0,1,random,True,knn,0.9235917456776352
8_celeba,500,IForest,0.0,2,random,True,knn,0.88733965421082
8_celeba,500,IForest,0.0,3,random,True,knn,0.49786205614426476
8_celeba,500,IForest,0.0,4,random,True,knn,0.7769102063580591
8_celeba,500,IForest,0.0,0,random,False,knn,0.7356385945343
8_celeba,500,IForest,0.0,1,random,False,knn,0.9083472764454359
8_celeba,500,IForest,0.0,2,random,False,knn,0.8499721137757947
8_celeba,500,IForest,0.0,3,random,False,knn,0.5329986986428705
8_celeba,500,IForest,0.0,4,random,False,knn,0.7823015430377394
8_celeba,500,IForest,0.0,0,uncertainty,True,knn,0.6837702175125487
8_celeba,500,IForest,0.0,1,uncertainty,True,knn,0.8737683584309351
8_celeba,500,IForest,0.0,2,uncertainty,True,knn,0.8373303588027515
8_celeba,500,IForest,0.0,3,uncertainty,True,knn,0.5538204127161181
8_celeba,500,IForest,0.0,4,uncertainty,True,knn,0.7376835843093512
8_celeba,500,IForest,0.0,0,uncertainty,False,knn,0.7488380739914482
8_celeba,500,IForest,0.0,1,uncertainty,False,knn,0.9081613682840677
8_celeba,500,IForest,0.0,2,uncertainty,False,knn,0.8641011340397844
8_celeba,500,IForest,0.0,3,uncertainty,False,knn,0.5034393009853132
8_celeba,500,IForest,0.0,4,uncertainty,False,knn,0.7863915225878417
8_celeba,500,IForest,0.0,0,anomalous,True,knn,0.7560884922848113
8_celeba,500,IForest,0.0,1,anomalous,True,knn,0.9228481130321621
8_celeba,500,IForest,0.0,2,anomalous,True,knn,0.8720951849786205
8_celeba,500,IForest,0.0,3,anomalous,True,knn,0.5335564231269753
8_celeba,500,IForest,0.0,4,anomalous,True,knn,0.74865216583008
8_celeba,500,IForest,0.0,0,anomalous,False,knn,0.7402862985685071
8_celeba,500,IForest,0.0,1,anomalous,False,knn,0.8964491541178657
8_celeba,500,IForest,0.0,2,anomalous,False,knn,0.8557352667782115
8_celeba,500,IForest,0.0,3,anomalous,False,knn,0.5408068414203383
8_celeba,500,IForest,0.0,4,anomalous,False,knn,0.7791411042944785
8_celeba,500,IForest,0.0,0,clusters,True,knn,0.7269009109499907
8_celeba,500,IForest,0.0,1,clusters,True,knn,0.9042572968953339
8_celeba,500,IForest,0.0,2,clusters,True,knn,0.8243167875069716
8_celeba,500,IForest,0.0,3,clusters,True,knn,0.488194831753114
8_celeba,500,IForest,0.0,4,clusters,True,knn,0.7763524818739542
8_celeba,500,IForest,0.0,0,clusters,False,knn,0.7676147982896449
8_celeba,500,IForest,0.0,1,clusters,False,knn,0.9046291132180703
8_celeba,500,IForest,0.0,2,clusters,False,knn,0.8782301543037739
8_celeba,500,IForest,0.0,3,clusters,False,knn,0.5486149841978063
8_celeba,500,IForest,0.0,4,clusters,False,knn,0.7798847369399516
8_celeba,500,IForest,0.004,0,random,True,knn,0.7633389105781744
8_celeba,500,IForest,0.004,1,random,True,knn,0.9133667968023796
8_celeba,500,IForest,0.004,2,random,True,knn,0.873024725785462
8_celeba,500,IForest,0.004,3,random,True,knn,0.5380182189998142
8_celeba,500,IForest,0.004,4,random,True,knn,0.7707752370329058
8_celeba,500,IForest,0.004,0,random,False,knn,0.7614798289644915
8_celeba,500,IForest,0.004,1,random,False,knn,0.9176426845138501
8_celeba,500,IForest,0.004,2,random,False,knn,0.8849228481130322
8_celeba,500,IForest,0.004,3,random,False,knn,0.4952593418851088
8_celeba,500,IForest,0.004,4,random,False,knn,0.78657743074921
8_celeba,500,IForest,0.004,0,uncertainty,True,knn,0.7194645844952593
8_celeba,500,IForest,0.004,1,uncertainty,True,knn,0.859267521844209
8_celeba,498,IForest,0.004,2,uncertainty,True,knn,0.8607547871351553
