dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
9_census,500,IForest,0.0,0,random,True,knn,0.569984180480088
9_census,500,IForest,0.0,1,random,True,knn,0.5541646605681271
9_census,500,IForest,0.0,2,random,True,knn,0.6353944562899787
9_census,500,IForest,0.0,3,random,True,knn,0.530091478093404
9_census,500,IForest,0.0,4,random,True,knn,0.6067817594057363
9_census,500,IForest,0.0,0,random,False,knn,0.5737671091546874
9_census,500,IForest,0.0,1,random,False,knn,0.6143476167549351
9_census,500,IForest,0.0,2,random,False,knn,0.7522525620744205
9_census,500,IForest,0.0,3,random,False,knn,0.6510076346378706
9_census,500,IForest,0.0,4,random,False,knn,0.6197124974207304
9_census,500,IForest,0.0,0,uncertainty,True,knn,0.558841736020359
9_census,500,IForest,0.0,1,uncertainty,True,knn,0.5957080954673636
9_census,500,IForest,0.0,2,uncertainty,True,knn,0.6639383726528647
9_census,500,IForest,0.0,3,uncertainty,True,knn,0.6696471559254419
9_census,500,IForest,0.0,4,uncertainty,True,knn,0.5535456358759199
9_census,500,IForest,0.0,0,uncertainty,False,knn,0.560973932182406
9_census,500,IForest,0.0,1,uncertainty,False,knn,0.6058876126281038
9_census,500,IForest,0.0,2,uncertainty,False,knn,0.6500447073388815
9_census,500,IForest,0.0,3,uncertainty,False,knn,0.63876470183644
9_census,500,IForest,0.0,4,uncertainty,False,knn,0.5881422381181649
9_census,500,IForest,0.0,0,anomalous,True,knn,0.5476305110392737
9_census,500,IForest,0.0,1,anomalous,True,knn,0.5857349198706927
9_census,500,IForest,0.0,2,anomalous,True,knn,0.6922071669303254
9_census,500,IForest,0.0,3,anomalous,True,knn,0.5903432148015683
9_census,500,IForest,0.0,4,anomalous,True,knn,0.5993534630992503
9_census,500,IForest,0.0,0,anomalous,False,knn,0.6336061627347135
9_census,500,IForest,0.0,1,anomalous,False,knn,0.5646192998142926
9_census,500,IForest,0.0,2,anomalous,False,knn,0.6361510420248986
9_census,500,IForest,0.0,3,anomalous,False,knn,0.6001100488341702
9_census,500,IForest,0.0,4,anomalous,False,knn,0.580920283375748
9_census,500,IForest,0.0,0,clusters,True,knn,0.5880046770754522
9_census,500,IForest,0.0,1,clusters,True,knn,0.6295481119746887
9_census,500,IForest,0.0,2,clusters,True,knn,0.6627003232684503
9_census,500,IForest,0.0,3,clusters,True,knn,0.6249398170438131
9_census,500,IForest,0.0,4,clusters,True,knn,0.5680583258821101
9_census,500,IForest,0.0,0,clusters,False,knn,0.5480431941674118
9_census,500,IForest,0.0,1,clusters,False,knn,0.603617855423344
9_census,500,IForest,0.0,2,clusters,False,knn,0.6521081229795722
9_census,500,IForest,0.0,3,clusters,False,knn,0.6379393355801637
9_census,500,IForest,0.0,4,clusters,False,knn,0.6615310544053924
9_census,500,IForest,0.004,0,random,True,knn,0.5132402503610978
9_census,500,IForest,0.004,1,random,True,knn,0.6452988513652933
9_census,500,IForest,0.004,2,random,True,knn,0.6493569021253182
9_census,500,IForest,0.004,3,random,True,knn,0.669647155925442
9_census,500,IForest,0.004,4,random,True,knn,0.6048559048077585
9_census,500,IForest,0.004,0,random,False,knn,0.5384827016988789
9_census,500,IForest,0.004,1,random,False,knn,0.6195061558566614
9_census,500,IForest,0.004,2,random,False,knn,0.6656578856867735
9_census,500,IForest,0.004,3,random,False,knn,0.6083981016576105
9_census,500,IForest,0.004,4,random,False,knn,0.5517573423206548
9_census,500,IForest,0.004,0,uncertainty,True,knn,0.5945388266043057
9_census,500,IForest,0.004,1,uncertainty,True,knn,0.595570534424651
9_census,499,IForest,0.004,2,uncertainty,True,knn,0.7019740009629273
9_census,500,IForest,0.004,3,uncertainty,True,knn,0.6450925098012243
9_census,499,IForest,0.004,4,uncertainty,True,knn,0.5853910172639109
9_census,500,IForest,0.004,0,uncertainty,False,knn,0.5783066235642066
9_census,500,IForest,0.004,1,uncertainty,False,knn,0.5961895591168582
9_census,500,IForest,0.004,2,uncertainty,False,knn,0.7052754659880323
9_census,500,IForest,0.004,3,uncertainty,False,knn,0.6107710296444047
9_census,500,IForest,0.004,4,uncertainty,False,knn,0.6239768897448242
9_census,500,IForest,0.004,0,anomalous,True,knn,0.6572666620812986
9_census,500,IForest,0.004,1,anomalous,True,knn,0.6159983492674874
9_census,500,IForest,0.004,2,anomalous,True,knn,0.6350505536831969
