dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
10_cover,500,IForest,0.0,0,random,True,rbf,0.9838383838383838
10_cover,500,IForest,0.0,1,random,True,rbf,0.8197979797979799
10_cover,500,IForest,0.0,2,random,True,rbf,0.8953535353535353
10_cover,500,IForest,0.0,3,random,True,rbf,0.787070707070707
10_cover,500,IForest,0.0,4,random,True,rbf,0.8953535353535353
10_cover,500,IForest,0.0,0,random,False,rbf,0.9745454545454545
10_cover,500,IForest,0.0,1,random,False,rbf,0.9066666666666666
10_cover,500,IForest,0.0,2,random,False,rbf,0.9115151515151515
10_cover,500,IForest,0.0,3,random,False,rbf,0.8484848484848484
10_cover,500,IForest,0.0,4,random,False,rbf,0.8161616161616162
10_cover,500,IForest,0.0,0,uncertainty,True,rbf,0.9644444444444444
10_cover,500,IForest,0.0,1,uncertainty,True,rbf,0.9191919191919192
10_cover,500,IForest,0.0,2,uncertainty,True,rbf,0.9054545454545454
10_cover,500,IForest,0.0,3,uncertainty,True,rbf,0.8844444444444444
10_cover,500,IForest,0.0,4,uncertainty,True,rbf,0.8149494949494949
10_cover,500,IForest,0.0,0,uncertainty,False,rbf,0.9587878787878789
10_cover,500,IForest,0.0,1,uncertainty,False,rbf,0.8985858585858586
10_cover,500,IForest,0.0,2,uncertainty,False,rbf,0.9563636363636363
10_cover,500,IForest,0.0,3,uncertainty,False,rbf,0.7987878787878788
10_cover,500,IForest,0.0,4,uncertainty,False,rbf,0.7612121212121212
10_cover,500,IForest,0.0,0,anomalous,True,rbf,0.9608080808080808
10_cover,500,IForest,0.0,1,anomalous,True,rbf,0.9022222222222223
10_cover,500,IForest,0.0,2,anomalous,True,rbf,0.905050505050505
10_cover,500,IForest,0.0,3,anomalous,True,rbf,0.8961616161616162
10_cover,500,IForest,0.0,4,anomalous,True,rbf,0.8658585858585858
10_cover,500,IForest,0.0,0,anomalous,False,rbf,0.9696969696969697
10_cover,500,IForest,0.0,1,anomalous,False,rbf,0.8731313131313131
10_cover,500,IForest,0.0,2,anomalous,False,rbf,0.9547474747474748
10_cover,500,IForest,0.0,3,anomalous,False,rbf,0.8674747474747475
10_cover,500,IForest,0.0,4,anomalous,False,rbf,0.8359595959595959
10_cover,500,IForest,0.0,0,clusters,True,rbf,0.9535353535353536
10_cover,500,IForest,0.0,1,clusters,True,rbf,0.8804040404040404
10_cover,500,IForest,0.0,2,clusters,True,rbf,0.9264646464646464
10_cover,500,IForest,0.0,3,clusters,True,rbf,0.8795959595959596
10_cover,500,IForest,0.0,4,clusters,True,rbf,0.844848484848485
10_cover,500,IForest,0.0,0,clusters,False,rbf,0.9321212121212121
10_cover,500,IForest,0.0,1,clusters,False,rbf,0.9054545454545455
10_cover,500,IForest,0.0,2,clusters,False,rbf,0.9042424242424242
10_cover,500,IForest,0.0,3,clusters,False,rbf,0.8747474747474747
10_cover,500,IForest,0.0,4,clusters,False,rbf,0.8634343434343434
10_cover,500,IForest,0.004,0,random,True,rbf,0.9797979797979798
10_cover,500,IForest,0.004,1,random,True,rbf,0.8557575757575757
10_cover,500,IForest,0.004,2,random,True,rbf,0.8896969696969697
10_cover,500,IForest,0.004,3,random,True,rbf,0.8505050505050505
10_cover,500,IForest,0.004,4,random,True,rbf,0.8533333333333333
10_cover,500,IForest,0.004,0,random,False,rbf,0.9797979797979799
10_cover,500,IForest,0.004,1,random,False,rbf,0.867070707070707
10_cover,500,IForest,0.004,2,random,False,rbf,0.9195959595959596
10_cover,500,IForest,0.004,3,random,False,rbf,0.8597979797979798
10_cover,500,IForest,0.004,4,random,False,rbf,0.8549494949494949
10_cover,500,IForest,0.004,0,uncertainty,True,rbf,0.9745454545454546
10_cover,500,IForest,0.004,1,uncertainty,True,rbf,0.9066666666666667
10_cover,500,IForest,0.004,2,uncertainty,True,rbf,0.8735353535353535
10_cover,500,IForest,0.004,3,uncertainty,True,rbf,0.8016161616161617
10_cover,368,IForest,0.004,4,uncertainty,True,rbf,0.8581818181818183
10_cover,499,IForest,0.004,0,uncertainty,False,rbf,0.9773737373737373
10_cover,500,IForest,0.004,1,uncertainty,False,rbf,0.9151515151515152
10_cover,500,IForest,0.004,2,uncertainty,False,rbf,0.9474747474747475
10_cover,500,IForest,0.004,3,uncertainty,False,rbf,0.7616161616161616
10_cover,500,IForest,0.004,4,uncertainty,False,rbf,0.8755555555555555
10_cover,500,IForest,0.004,0,anomalous,True,rbf,0.9777777777777777
10_cover,221,IForest,0.004,1,anomalous,True,rbf,0.6715151515151515
10_cover,500,IForest,0.004,2,anomalous,True,rbf,0.9232323232323232
10_cover,500,IForest,0.004,3,anomalous,True,rbf,0.8844444444444444
10_cover,226,IForest,0.004,4,anomalous,True,rbf,0.7208080808080808
10_cover,500,IForest,0.004,0,anomalous,False,rbf,0.9822222222222222
10_cover,499,IForest,0.004,1,anomalous,False,rbf,0.8262626262626263
10_cover,500,IForest,0.004,2,anomalous,False,rbf,0.9107070707070708
10_cover,499,IForest,0.004,3,anomalous,False,rbf,0.8844444444444444
10_cover,500,IForest,0.004,4,anomalous,False,rbf,0.8428282828282828
10_cover,500,IForest,0.004,0,clusters,True,rbf,0.9624242424242424
10_cover,500,IForest,0.004,1,clusters,True,rbf,0.8703030303030302
10_cover,500,IForest,0.004,2,clusters,True,rbf,0.9167676767676768
10_cover,500,IForest,0.004,3,clusters,True,rbf,0.814141414141414
10_cover,500,IForest,0.004,4,clusters,True,rbf,0.8795959595959596
10_cover,500,IForest,0.004,0,clusters,False,rbf,0.9632323232323232
10_cover,500,IForest,0.004,1,clusters,False,rbf,0.8703030303030304
10_cover,500,IForest,0.004,2,clusters,False,rbf,0.873939393939394
10_cover,500,IForest,0.004,3,clusters,False,rbf,0.8448484848484848
10_cover,500,IForest,0.004,4,clusters,False,rbf,0.8682828282828283
10_cover,500,IForest,0.006,0,random,True,rbf,0.9696969696969697
10_cover,500,IForest,0.006,1,random,True,rbf,0.8884848484848484
10_cover,500,IForest,0.006,2,random,True,rbf,0.9503030303030302
10_cover,500,IForest,0.006,3,random,True,rbf,0.8565656565656565
10_cover,500,IForest,0.006,4,random,True,rbf,0.8278787878787879
10_cover,500,IForest,0.006,0,random,False,rbf,0.941010101010101
10_cover,500,IForest,0.006,1,random,False,rbf,0.882020202020202
10_cover,500,IForest,0.006,2,random,False,rbf,0.924040404040404
10_cover,500,IForest,0.006,3,random,False,rbf,0.8181818181818181
10_cover,500,IForest,0.006,4,random,False,rbf,0.8602020202020202
10_cover,500,IForest,0.006,0,uncertainty,True,rbf,0.9696969696969697
10_cover,500,IForest,0.006,1,uncertainty,True,rbf,0.8080808080808081
10_cover,500,IForest,0.006,2,uncertainty,True,rbf,0.9256565656565656
10_cover,500,IForest,0.006,3,uncertainty,True,rbf,0.852929292929293
10_cover,500,IForest,0.006,4,uncertainty,True,rbf,0.7882828282828283
10_cover,500,IForest,0.006,0,uncertainty,False,rbf,0.9644444444444444
10_cover,500,IForest,0.006,1,uncertainty,False,rbf,0.8844444444444444
