dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
11_donors,500,IForest,0.0,0,random,True,0.7765038924274593
11_donors,500,IForest,0.0,1,random,True,0.7503184713375797
11_donors,500,IForest,0.0,2,random,True,0.786553432413305
11_donors,500,IForest,0.0,3,random,True,0.7675159235668789
11_donors,500,IForest,0.0,4,random,True,0.7465675866949751
11_donors,500,IForest,0.0,0,random,False,0.748832271762208
11_donors,500,IForest,0.0,1,random,False,0.726963906581741
11_donors,500,IForest,0.0,2,random,False,0.7941967445152158
11_donors,500,IForest,0.0,3,random,False,0.7380042462845011
11_donors,500,IForest,0.0,4,random,False,0.7690728945506016
11_donors,500,IForest,0.0,0,uncertainty,True,0.7615003538570417
11_donors,500,IForest,0.0,1,uncertainty,True,0.7291578202406228
11_donors,500,IForest,0.0,2,uncertainty,True,0.8048124557678697
11_donors,500,IForest,0.0,3,uncertainty,True,0.7726822363765039
11_donors,500,IForest,0.0,4,uncertainty,True,0.7670912951167728
11_donors,500,IForest,0.0,0,uncertainty,False,0.7711960368011324
11_donors,500,IForest,0.0,1,uncertainty,False,0.7331917905166313
11_donors,500,IForest,0.0,2,uncertainty,False,0.7820240622788394
11_donors,500,IForest,0.0,3,uncertainty,False,0.7541401273885351
11_donors,500,IForest,0.0,4,uncertainty,False,0.7636234961075725
11_donors,500,IForest,0.0,0,anomalous,True,0.7344656758669498
11_donors,500,IForest,0.0,1,anomalous,True,0.7096956829440906
11_donors,500,IForest,0.0,2,anomalous,True,0.8177636234961077
11_donors,500,IForest,0.0,3,anomalous,True,0.7494692144373674
11_donors,500,IForest,0.0,4,anomalous,True,0.7775654635527247
11_donors,500,IForest,0.0,0,anomalous,False,0.7336871903750884
11_donors,500,IForest,0.0,1,anomalous,False,0.7363057324840765
11_donors,500,IForest,0.0,2,anomalous,False,0.7820240622788392
11_donors,500,IForest,0.0,3,anomalous,False,0.7450106157112526
11_donors,500,IForest,0.0,4,anomalous,False,0.7673743807501769
11_donors,500,IForest,0.0,0,clusters,True,0.7426751592356688
11_donors,500,IForest,0.0,1,clusters,True,0.732342533616419
11_donors,500,IForest,0.0,2,clusters,True,0.8098372257607926
11_donors,500,IForest,0.0,3,clusters,True,0.7306440198159943
11_donors,500,IForest,0.0,4,clusters,True,0.7651096956829441
11_donors,500,IForest,0.0,0,clusters,False,0.7404104741684359
11_donors,500,IForest,0.0,1,clusters,False,0.7007784854918613
11_donors,500,IForest,0.0,2,clusters,False,0.8062278839348903
11_donors,500,IForest,0.0,3,clusters,False,0.7538570417551309
11_donors,500,IForest,0.0,4,clusters,False,0.7659589525831565
11_donors,500,IForest,0.004,0,random,True,0.7644019815994338
11_donors,500,IForest,0.004,1,random,True,0.7372965322009909
11_donors,500,IForest,0.004,2,random,True,0.816206652512385
11_donors,500,IForest,0.004,3,random,True,0.7273177636234961
11_donors,500,IForest,0.004,4,random,True,0.7446567586694974
11_donors,500,IForest,0.004,0,random,False,0.7307147912243452
11_donors,500,IForest,0.004,1,random,False,0.7362349610757254
11_donors,500,IForest,0.004,2,random,False,0.8095541401273885
11_donors,500,IForest,0.004,3,random,False,0.7381457891012031
11_donors,500,IForest,0.004,4,random,False,0.7611464968152866
11_donors,391,IForest,0.004,0,uncertainty,True,0.8848549186128805
11_donors,500,IForest,0.004,1,uncertainty,True,0.7254777070063695
11_donors,500,IForest,0.004,2,uncertainty,True,0.7938428874734608
11_donors,245,IForest,0.004,3,uncertainty,True,0.8043878273177636
11_donors,500,IForest,0.004,4,uncertainty,True,0.7748053786270346
11_donors,499,IForest,0.004,0,uncertainty,False,0.7557678697806086
11_donors,500,IForest,0.004,1,uncertainty,False,0.7051663128096249
11_donors,500,IForest,0.004,2,uncertainty,False,0.8063694267515924
11_donors,500,IForest,0.004,3,uncertainty,False,0.7340410474168436
