dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
12_fault,500,IForest,0.0,0,random,True,rbf,0.6211486450654929
12_fault,500,IForest,0.0,1,random,True,rbf,0.5743776884563853
12_fault,500,IForest,0.0,2,random,True,rbf,0.5102084106697778
12_fault,500,IForest,0.0,3,random,True,rbf,0.6183910484170334
12_fault,500,IForest,0.0,4,random,True,rbf,0.5848049353909246
12_fault,500,IForest,0.0,0,random,False,rbf,0.6237294726980256
12_fault,500,IForest,0.0,1,random,False,rbf,0.5861892673295255
12_fault,500,IForest,0.0,2,random,False,rbf,0.5036326032772975
12_fault,500,IForest,0.0,3,random,False,rbf,0.5915398348977392
12_fault,500,IForest,0.0,4,random,False,rbf,0.5857594880769299
12_fault,500,IForest,0.0,0,uncertainty,True,rbf,0.6241713952378426
12_fault,500,IForest,0.0,1,uncertainty,True,rbf,0.5956209012058388
12_fault,500,IForest,0.0,2,uncertainty,True,rbf,0.4690919375651835
12_fault,500,IForest,0.0,3,uncertainty,True,rbf,0.6024288062788354
12_fault,500,IForest,0.0,4,uncertainty,True,rbf,0.5734210107652331
12_fault,500,IForest,0.0,0,uncertainty,False,rbf,0.6318431705290697
12_fault,500,IForest,0.0,1,uncertainty,False,rbf,0.6162999788449334
12_fault,500,IForest,0.0,2,uncertainty,False,rbf,0.48632691661805516
12_fault,500,IForest,0.0,3,uncertainty,False,rbf,0.623588057485284
12_fault,500,IForest,0.0,4,uncertainty,False,rbf,0.565979035194711
12_fault,500,IForest,0.0,0,anomalous,True,rbf,0.5907974050308462
12_fault,500,IForest,0.0,1,anomalous,True,rbf,0.541798885833157
12_fault,500,IForest,0.0,2,anomalous,True,rbf,0.5150872355093599
12_fault,500,IForest,0.0,3,anomalous,True,rbf,0.6042672040444751
12_fault,500,IForest,0.0,4,anomalous,True,rbf,0.5865019179438228
12_fault,500,IForest,0.0,0,anomalous,False,rbf,0.6291386045853884
12_fault,500,IForest,0.0,1,anomalous,False,rbf,0.5912664833227558
12_fault,500,IForest,0.0,2,anomalous,False,rbf,0.510314472079334
12_fault,500,IForest,0.0,3,anomalous,False,rbf,0.6114970567958848
12_fault,500,IForest,0.0,4,anomalous,False,rbf,0.5555673401566174
12_fault,500,IForest,0.0,0,clusters,True,rbf,0.6055399409591486
12_fault,500,IForest,0.0,1,clusters,True,rbf,0.5634299414709824
12_fault,500,IForest,0.0,2,clusters,True,rbf,0.5570168460872178
12_fault,500,IForest,0.0,3,clusters,True,rbf,0.6211486450654928
12_fault,500,IForest,0.0,4,clusters,True,rbf,0.5734386876668257
12_fault,500,IForest,0.0,0,clusters,False,rbf,0.6161460819147621
12_fault,500,IForest,0.0,1,clusters,False,rbf,0.6148367534024398
12_fault,500,IForest,0.0,2,clusters,False,rbf,0.4910820031464885
12_fault,500,IForest,0.0,3,clusters,False,rbf,0.6258507008891481
12_fault,500,IForest,0.0,4,clusters,False,rbf,0.567340156617348
12_fault,500,IForest,0.004,0,random,True,rbf,0.6016510226087571
12_fault,500,IForest,0.004,1,random,True,rbf,0.6122805161836259
12_fault,296,IForest,0.004,2,random,True,rbf,0.4405260645913984
12_fault,318,IForest,0.004,3,random,True,rbf,0.671244984179173
12_fault,500,IForest,0.004,4,random,True,rbf,0.6125576708914462
12_fault,500,IForest,0.004,0,random,False,rbf,0.5937848014000107
12_fault,498,IForest,0.004,1,random,False,rbf,0.5672731119103025
12_fault,499,IForest,0.004,2,random,False,rbf,0.510190733768185
12_fault,499,IForest,0.004,3,random,False,rbf,0.6389139311661451
12_fault,498,IForest,0.004,4,random,False,rbf,0.5593325201958601
12_fault,500,IForest,0.004,0,uncertainty,True,rbf,0.6094995669159109
12_fault,36,IForest,0.004,1,uncertainty,True,rbf,0.46807347859812426
12_fault,500,IForest,0.004,2,uncertainty,True,rbf,0.523713563486592
12_fault,363,IForest,0.004,3,uncertainty,True,rbf,0.6378886708737692
12_fault,500,IForest,0.004,4,uncertainty,True,rbf,0.5949161231019426
12_fault,499,IForest,0.004,0,uncertainty,False,rbf,0.619893585052412
12_fault,499,IForest,0.004,1,uncertainty,False,rbf,0.5728792045694944
12_fault,499,IForest,0.004,2,uncertainty,False,rbf,0.4997260080253133
12_fault,500,IForest,0.004,3,uncertainty,False,rbf,0.6283784978169027
12_fault,499,IForest,0.004,4,uncertainty,False,rbf,0.5738275795018649
12_fault,499,IForest,0.004,0,anomalous,True,rbf,0.6139011154124905
12_fault,2,IForest,0.004,1,anomalous,True,rbf,0.5
12_fault,3,IForest,0.004,2,anomalous,True,rbf,0.5456064061091372
12_fault,500,IForest,0.004,3,anomalous,True,rbf,0.5993176715985222
12_fault,500,IForest,0.004,4,anomalous,True,rbf,0.5685245090240583
12_fault,499,IForest,0.004,0,anomalous,False,rbf,0.6087394601474254
12_fault,499,IForest,0.004,1,anomalous,False,rbf,0.5986178689796205
12_fault,499,IForest,0.004,2,anomalous,False,rbf,0.5183751392056
12_fault,499,IForest,0.004,3,anomalous,False,rbf,0.6169592193880258
12_fault,499,IForest,0.004,4,anomalous,False,rbf,0.5714588746884446
12_fault,2,IForest,0.004,0,clusters,True,rbf,0.5
12_fault,105,IForest,0.004,1,clusters,True,rbf,0.6030516183625978
12_fault,102,IForest,0.004,2,clusters,True,rbf,0.5886408230365381
12_fault,103,IForest,0.004,3,clusters,True,rbf,0.5913188736278305
12_fault,3,IForest,0.004,4,clusters,True,rbf,0.671527814604656
12_fault,499,IForest,0.004,0,clusters,False,rbf,0.6135829311838221
12_fault,499,IForest,0.004,1,clusters,False,rbf,0.591319370989352
12_fault,499,IForest,0.004,2,clusters,False,rbf,0.515652896360326
12_fault,499,IForest,0.004,3,clusters,False,rbf,0.6399215145569284
12_fault,499,IForest,0.004,4,clusters,False,rbf,0.5818528928249457
12_fault,326,IForest,0.006,0,random,True,rbf,0.6925279736967704
12_fault,271,IForest,0.006,1,random,True,rbf,0.6737536139905507
12_fault,310,IForest,0.006,2,random,True,rbf,0.4282936486892577
12_fault,402,IForest,0.006,3,random,True,rbf,0.6354139046507927
12_fault,96,IForest,0.006,4,random,True,rbf,0.6325502465927771
12_fault,499,IForest,0.006,0,random,False,rbf,0.6102596736843966
12_fault,498,IForest,0.006,1,random,False,rbf,0.5945102602073197
12_fault,499,IForest,0.006,2,random,False,rbf,0.5191705997772711
12_fault,499,IForest,0.006,3,random,False,rbf,0.6408407134397484
12_fault,498,IForest,0.006,4,random,False,rbf,0.5914160965865903
12_fault,75,IForest,0.006,0,uncertainty,True,rbf,0.6606034894203744
12_fault,500,IForest,0.006,1,uncertainty,True,rbf,0.6268069952753684
12_fault,500,IForest,0.006,2,uncertainty,True,rbf,0.5030669424263315
12_fault,500,IForest,0.006,3,uncertainty,True,rbf,0.624100687631472
12_fault,16,IForest,0.006,4,uncertainty,True,rbf,0.4379629138604585
12_fault,500,IForest,0.006,0,uncertainty,False,rbf,0.598310088207739
12_fault,498,IForest,0.006,1,uncertainty,False,rbf,0.5675904379098793
12_fault,499,IForest,0.006,2,uncertainty,False,rbf,0.4717257959024942
12_fault,498,IForest,0.006,3,uncertainty,False,rbf,0.6314719555956232
12_fault,499,IForest,0.006,4,uncertainty,False,rbf,0.5836736136889926
12_fault,1,IForest,0.006,0,anomalous,True,rbf,0.5
12_fault,2,IForest,0.006,1,anomalous,True,rbf,0.5
12_fault,3,IForest,0.006,2,anomalous,True,rbf,0.5715737745487971
12_fault,498,IForest,0.006,3,anomalous,True,rbf,0.6020575913453889
12_fault,499,IForest,0.006,4,anomalous,True,rbf,0.5647593289848155
12_fault,499,IForest,0.006,0,anomalous,False,rbf,0.6172597267151013
12_fault,498,IForest,0.006,1,anomalous,False,rbf,0.5879521895493971
12_fault,499,IForest,0.006,2,anomalous,False,rbf,0.5213095048699864
12_fault,498,IForest,0.006,3,anomalous,False,rbf,0.6050980184193314
12_fault,499,IForest,0.006,4,anomalous,False,rbf,0.6094818900143183
12_fault,500,IForest,0.006,0,clusters,True,rbf,0.6072192466104541
12_fault,284,IForest,0.006,1,clusters,True,rbf,0.6565651223468021
12_fault,500,IForest,0.006,2,clusters,True,rbf,0.4891728977744781
12_fault,290,IForest,0.006,3,clusters,True,rbf,0.6886390553463789
12_fault,105,IForest,0.006,4,clusters,True,rbf,0.6354315815523855
12_fault,500,IForest,0.006,0,clusters,False,rbf,0.636262395927242
12_fault,499,IForest,0.006,1,clusters,False,rbf,0.6083139411889147
12_fault,500,IForest,0.006,2,clusters,False,rbf,0.5469586890809779
12_fault,499,IForest,0.006,3,clusters,False,rbf,0.6016863764119424
12_fault,499,IForest,0.006,4,clusters,False,rbf,0.5799261105513425
12_fault,346,IForest,0.008,0,random,True,rbf,0.7003765180039243
12_fault,277,IForest,0.008,1,random,True,rbf,0.6691876454410831
12_fault,234,IForest,0.008,2,random,True,rbf,0.43089215322338303
12_fault,402,IForest,0.008,3,random,True,rbf,0.6305527567128034
12_fault,112,IForest,0.008,4,random,True,rbf,0.6455781230665889
12_fault,499,IForest,0.008,0,random,False,rbf,0.612628378497817
12_fault,498,IForest,0.008,1,random,False,rbf,0.6256082081658557
12_fault,498,IForest,0.008,2,random,False,rbf,0.5014406674798041
12_fault,499,IForest,0.008,3,random,False,rbf,0.6068657085786003
12_fault,498,IForest,0.008,4,random,False,rbf,0.5862190875183397
12_fault,44,IForest,0.008,0,uncertainty,True,rbf,0.4453165049230171
12_fault,287,IForest,0.008,1,uncertainty,True,rbf,0.6246209717227276
12_fault,92,IForest,0.008,2,uncertainty,True,rbf,0.6006964699227518
12_fault,361,IForest,0.008,3,uncertainty,True,rbf,0.6639090700182072
12_fault,183,IForest,0.008,4,uncertainty,True,rbf,0.4662813102119461
12_fault,500,IForest,0.008,0,uncertainty,False,rbf,0.601032331053013
12_fault,499,IForest,0.008,1,uncertainty,False,rbf,0.584849446442423
12_fault,497,IForest,0.008,2,uncertainty,False,rbf,0.5029078503119973
12_fault,500,IForest,0.008,3,uncertainty,False,rbf,0.6510402856587297
12_fault,498,IForest,0.008,4,uncertainty,False,rbf,0.5542062187339803
12_fault,478,IForest,0.008,0,anomalous,True,rbf,0.5938201552031959
12_fault,2,IForest,0.008,1,anomalous,True,rbf,0.5
12_fault,307,IForest,0.008,2,anomalous,True,rbf,0.4303441692740097
12_fault,498,IForest,0.008,3,anomalous,True,rbf,0.6157218362765374
12_fault,499,IForest,0.008,4,anomalous,True,rbf,0.5435116932704036
12_fault,499,IForest,0.008,0,anomalous,False,rbf,0.6110904880592529
12_fault,498,IForest,0.008,1,anomalous,False,rbf,0.5705874056836612
