dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
13_fraud,500,IForest,0.0,0,random,True,rbf,0.996
13_fraud,500,IForest,0.0,1,random,True,rbf,0.986
13_fraud,500,IForest,0.0,2,random,True,rbf,0.274
13_fraud,500,IForest,0.0,3,random,True,rbf,0.982
13_fraud,500,IForest,0.0,4,random,True,rbf,0.996
13_fraud,500,IForest,0.0,0,random,False,rbf,0.994
13_fraud,500,IForest,0.0,1,random,False,rbf,0.984
13_fraud,500,IForest,0.0,2,random,False,rbf,0.258
13_fraud,500,IForest,0.0,3,random,False,rbf,0.994
13_fraud,500,IForest,0.0,4,random,False,rbf,1.0
13_fraud,500,IForest,0.0,0,uncertainty,True,rbf,0.992
13_fraud,500,IForest,0.0,1,uncertainty,True,rbf,0.992
13_fraud,500,IForest,0.0,2,uncertainty,True,rbf,0.19399999999999995
13_fraud,500,IForest,0.0,3,uncertainty,True,rbf,0.992
13_fraud,500,IForest,0.0,4,uncertainty,True,rbf,1.0
13_fraud,500,IForest,0.0,0,uncertainty,False,rbf,0.994
13_fraud,500,IForest,0.0,1,uncertainty,False,rbf,0.99
13_fraud,500,IForest,0.0,2,uncertainty,False,rbf,0.128
13_fraud,500,IForest,0.0,3,uncertainty,False,rbf,0.996
13_fraud,500,IForest,0.0,4,uncertainty,False,rbf,1.0
13_fraud,500,IForest,0.0,0,anomalous,True,rbf,0.998
13_fraud,500,IForest,0.0,1,anomalous,True,rbf,0.99
13_fraud,500,IForest,0.0,2,anomalous,True,rbf,0.23199999999999998
13_fraud,500,IForest,0.0,3,anomalous,True,rbf,0.996
13_fraud,500,IForest,0.0,4,anomalous,True,rbf,0.998
13_fraud,500,IForest,0.0,0,anomalous,False,rbf,1.0
13_fraud,500,IForest,0.0,1,anomalous,False,rbf,0.99
13_fraud,500,IForest,0.0,2,anomalous,False,rbf,0.22399999999999998
13_fraud,500,IForest,0.0,3,anomalous,False,rbf,0.998
13_fraud,500,IForest,0.0,4,anomalous,False,rbf,1.0
13_fraud,500,IForest,0.0,0,clusters,True,rbf,0.992
13_fraud,500,IForest,0.0,1,clusters,True,rbf,0.984
13_fraud,500,IForest,0.0,2,clusters,True,rbf,0.122
13_fraud,500,IForest,0.0,3,clusters,True,rbf,0.998
13_fraud,500,IForest,0.0,4,clusters,True,rbf,1.0
13_fraud,500,IForest,0.0,0,clusters,False,rbf,0.998
13_fraud,500,IForest,0.0,1,clusters,False,rbf,0.99
13_fraud,500,IForest,0.0,2,clusters,False,rbf,0.252
13_fraud,500,IForest,0.0,3,clusters,False,rbf,0.994
13_fraud,500,IForest,0.0,4,clusters,False,rbf,1.0
13_fraud,500,IForest,0.004,0,random,True,rbf,0.998
13_fraud,500,IForest,0.004,1,random,True,rbf,0.994
13_fraud,500,IForest,0.004,2,random,True,rbf,0.17000000000000004
13_fraud,500,IForest,0.004,3,random,True,rbf,0.996
13_fraud,500,IForest,0.004,4,random,True,rbf,1.0
13_fraud,500,IForest,0.004,0,random,False,rbf,0.996
13_fraud,500,IForest,0.004,1,random,False,rbf,0.984
13_fraud,500,IForest,0.004,2,random,False,rbf,0.30400000000000005
13_fraud,500,IForest,0.004,3,random,False,rbf,0.986
13_fraud,500,IForest,0.004,4,random,False,rbf,1.0
13_fraud,500,IForest,0.004,0,uncertainty,True,rbf,0.996
13_fraud,500,IForest,0.004,1,uncertainty,True,rbf,0.99
