dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
14_glass,107,IForest,0.0,0,random,True,rbf,0.7718446601941746
14_glass,107,IForest,0.0,1,random,True,rbf,0.7862745098039216
14_glass,107,IForest,0.0,2,random,True,rbf,0.7451456310679611
14_glass,107,IForest,0.0,3,random,True,rbf,0.8058252427184466
14_glass,107,IForest,0.0,4,random,True,rbf,0.8131067961165048
14_glass,107,IForest,0.0,0,random,False,rbf,0.7475728155339805
14_glass,107,IForest,0.0,1,random,False,rbf,0.7490196078431373
14_glass,107,IForest,0.0,2,random,False,rbf,0.7208737864077669
14_glass,107,IForest,0.0,3,random,False,rbf,0.7233009708737863
14_glass,107,IForest,0.0,4,random,False,rbf,0.7961165048543688
14_glass,107,IForest,0.0,0,uncertainty,True,rbf,0.7402912621359223
14_glass,107,IForest,0.0,1,uncertainty,True,rbf,0.7823529411764706
14_glass,107,IForest,0.0,2,uncertainty,True,rbf,0.7281553398058251
14_glass,107,IForest,0.0,3,uncertainty,True,rbf,0.7281553398058251
14_glass,107,IForest,0.0,4,uncertainty,True,rbf,0.8155339805825241
14_glass,107,IForest,0.0,0,uncertainty,False,rbf,0.7864077669902911
14_glass,107,IForest,0.0,1,uncertainty,False,rbf,0.7627450980392156
14_glass,107,IForest,0.0,2,uncertainty,False,rbf,0.7597087378640777
14_glass,107,IForest,0.0,3,uncertainty,False,rbf,0.7815533980582524
14_glass,107,IForest,0.0,4,uncertainty,False,rbf,0.7888349514563107
14_glass,107,IForest,0.0,0,anomalous,True,rbf,0.7694174757281553
14_glass,107,IForest,0.0,1,anomalous,True,rbf,0.8039215686274509
14_glass,107,IForest,0.0,2,anomalous,True,rbf,0.7014563106796116
14_glass,107,IForest,0.0,3,anomalous,True,rbf,0.7985436893203883
14_glass,107,IForest,0.0,4,anomalous,True,rbf,0.8106796116504853
14_glass,107,IForest,0.0,0,anomalous,False,rbf,0.7888349514563107
14_glass,107,IForest,0.0,1,anomalous,False,rbf,0.7686274509803922
14_glass,107,IForest,0.0,2,anomalous,False,rbf,0.7233009708737863
14_glass,107,IForest,0.0,3,anomalous,False,rbf,0.7597087378640777
14_glass,107,IForest,0.0,4,anomalous,False,rbf,0.8009708737864076
