dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
17_InternetAds,500,IForest,0.0,0,random,True,0.6885488002509279
17_InternetAds,500,IForest,0.0,1,random,True,0.6651288619373725
17_InternetAds,500,IForest,0.0,2,random,True,0.7299388363218151
17_InternetAds,500,IForest,0.0,3,random,True,0.5984499973861677
17_InternetAds,500,IForest,0.0,4,random,True,0.6413821945736838
17_InternetAds,500,IForest,0.0,0,random,False,0.6900386847195358
17_InternetAds,500,IForest,0.0,1,random,False,0.7020753829264468
17_InternetAds,500,IForest,0.0,2,random,False,0.7029510167808041
17_InternetAds,500,IForest,0.0,3,random,False,0.6411730879815987
17_InternetAds,500,IForest,0.0,4,random,False,0.6709577081917508
17_InternetAds,500,IForest,0.0,0,uncertainty,True,0.6611819750117622
17_InternetAds,500,IForest,0.0,1,uncertainty,True,0.6669846829421298
17_InternetAds,500,IForest,0.0,2,uncertainty,True,0.7315724815724816
17_InternetAds,500,IForest,0.0,3,uncertainty,True,0.6531183020544723
17_InternetAds,500,IForest,0.0,4,uncertainty,True,0.6723953160123373
17_InternetAds,500,IForest,0.0,0,uncertainty,False,0.6505175388154111
17_InternetAds,500,IForest,0.0,1,uncertainty,False,0.6207067802812484
17_InternetAds,500,IForest,0.0,2,uncertainty,False,0.6631292801505568
17_InternetAds,500,IForest,0.0,3,uncertainty,False,0.6476161848502273
17_InternetAds,500,IForest,0.0,4,uncertainty,False,0.7123608134246433
17_InternetAds,500,IForest,0.0,0,anomalous,True,0.6486355794866434
17_InternetAds,500,IForest,0.0,1,anomalous,True,0.7008599508599509
17_InternetAds,500,IForest,0.0,2,anomalous,True,0.727142035652674
17_InternetAds,500,IForest,0.0,3,anomalous,True,0.5997046369386795
17_InternetAds,500,IForest,0.0,4,anomalous,True,0.6107872863192012
17_InternetAds,500,IForest,0.0,0,anomalous,False,0.6437215745726383
17_InternetAds,500,IForest,0.0,1,anomalous,False,0.6822625333263632
17_InternetAds,500,IForest,0.0,2,anomalous,False,0.7500914841340374
17_InternetAds,500,IForest,0.0,3,anomalous,False,0.6707747399236761
17_InternetAds,500,IForest,0.0,4,anomalous,False,0.6498379423911339
17_InternetAds,500,IForest,0.0,0,clusters,True,0.6521903915520937
17_InternetAds,500,IForest,0.0,1,clusters,True,0.6497725965811073
17_InternetAds,500,IForest,0.0,2,clusters,True,0.7075513618066811
17_InternetAds,500,IForest,0.0,3,clusters,True,0.6030634115740499
17_InternetAds,500,IForest,0.0,4,clusters,True,0.6266793873176852
17_InternetAds,500,IForest,0.0,0,clusters,False,0.676041612211825
17_InternetAds,500,IForest,0.0,1,clusters,False,0.5845444090124942
17_InternetAds,500,IForest,0.0,2,clusters,False,0.7607428511683831
17_InternetAds,500,IForest,0.0,3,clusters,False,0.6810209629358566
17_InternetAds,500,IForest,0.0,4,clusters,False,0.645237597365257
17_InternetAds,499,IForest,0.004,0,random,True,0.6751137017094464
17_InternetAds,499,IForest,0.004,1,random,True,0.653379685294579
17_InternetAds,499,IForest,0.004,2,random,True,0.7219013016885358
17_InternetAds,500,IForest,0.004,3,random,True,0.6445972084269956
17_InternetAds,500,IForest,0.004,4,random,True,0.6669454754561137
17_InternetAds,499,IForest,0.004,0,random,False,0.6148387265408541
17_InternetAds,499,IForest,0.004,1,random,False,0.636115322285535
17_InternetAds,499,IForest,0.004,2,random,False,0.7524177949709865
17_InternetAds,500,IForest,0.004,3,random,False,0.624353076480736
17_InternetAds,500,IForest,0.004,4,random,False,0.7045715928694652
17_InternetAds,499,IForest,0.004,0,uncertainty,True,0.6421140676459827
17_InternetAds,500,IForest,0.004,1,uncertainty,True,0.656882220712008
17_InternetAds,500,IForest,0.004,2,uncertainty,True,0.691267185948037
17_InternetAds,499,IForest,0.004,3,uncertainty,True,0.6122510324637984
17_InternetAds,500,IForest,0.004,4,uncertainty,True,0.6343509854148152
17_InternetAds,499,IForest,0.004,0,uncertainty,False,0.6607245543415756
17_InternetAds,500,IForest,0.004,1,uncertainty,False,0.610813424643212
17_InternetAds,499,IForest,0.004,2,uncertainty,False,0.66384808406085
17_InternetAds,499,IForest,0.004,3,uncertainty,False,0.6381802498823774
17_InternetAds,500,IForest,0.004,4,uncertainty,False,0.6631815567985782
17_InternetAds,500,IForest,0.004,0,anomalous,True,0.6534319619426002
17_InternetAds,500,IForest,0.004,1,anomalous,True,0.6195959015107951
17_InternetAds,500,IForest,0.004,2,anomalous,True,0.7100606409117047
17_InternetAds,500,IForest,0.004,3,anomalous,True,0.6360499764755085
17_InternetAds,500,IForest,0.004,4,anomalous,True,0.6606330702075383
17_InternetAds,498,IForest,0.004,0,anomalous,False,0.6808379946677818
17_InternetAds,498,IForest,0.004,1,anomalous,False,0.7277954937529405
17_InternetAds,498,IForest,0.004,2,anomalous,False,0.6944168539913221
17_InternetAds,498,IForest,0.004,3,anomalous,False,0.6350567201631032
17_InternetAds,498,IForest,0.004,4,anomalous,False,0.6900778922055517
17_InternetAds,500,IForest,0.004,0,clusters,True,0.6770740760102463
17_InternetAds,499,IForest,0.004,1,clusters,True,0.6361022531235297
17_InternetAds,494,IForest,0.004,2,clusters,True,0.6899602697475038
