dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
1_ALOI,500,IForest,0.0,0,random,True,0.5451546391752577
1_ALOI,500,IForest,0.0,1,random,True,0.5370446735395189
1_ALOI,500,IForest,0.0,2,random,True,0.4413745704467354
1_ALOI,500,IForest,0.0,3,random,True,0.42632302405498285
1_ALOI,500,IForest,0.0,4,random,True,0.4948453608247423
1_ALOI,500,IForest,0.0,0,random,False,0.5404810996563574
1_ALOI,500,IForest,0.0,1,random,False,0.5284536082474227
1_ALOI,500,IForest,0.0,2,random,False,0.4336769759450172
1_ALOI,500,IForest,0.0,3,random,False,0.3927147766323024
1_ALOI,500,IForest,0.0,4,random,False,0.5043298969072165
1_ALOI,500,IForest,0.0,0,uncertainty,True,0.5378694158075601
1_ALOI,500,IForest,0.0,1,uncertainty,True,0.5557388316151203
1_ALOI,500,IForest,0.0,2,uncertainty,True,0.423573883161512
1_ALOI,500,IForest,0.0,3,uncertainty,True,0.4543642611683849
1_ALOI,500,IForest,0.0,4,uncertainty,True,0.5491408934707903
1_ALOI,500,IForest,0.0,0,uncertainty,False,0.5179381443298969
1_ALOI,500,IForest,0.0,1,uncertainty,False,0.5657731958762886
1_ALOI,500,IForest,0.0,2,uncertainty,False,0.43635738831615123
1_ALOI,500,IForest,0.0,3,uncertainty,False,0.43656357388316147
1_ALOI,500,IForest,0.0,4,uncertainty,False,0.5248109965635739
1_ALOI,500,IForest,0.0,0,anomalous,True,0.5245360824742269
1_ALOI,500,IForest,0.0,1,anomalous,True,0.5403436426116839
1_ALOI,500,IForest,0.0,2,anomalous,True,0.458213058419244
1_ALOI,500,IForest,0.0,3,anomalous,True,0.4023367697594502
1_ALOI,500,IForest,0.0,4,anomalous,True,0.514914089347079
1_ALOI,500,IForest,0.0,0,anomalous,False,0.52
1_ALOI,500,IForest,0.0,1,anomalous,False,0.5330584192439862
1_ALOI,500,IForest,0.0,2,anomalous,False,0.42625429553264604
1_ALOI,500,IForest,0.0,3,anomalous,False,0.4452233676975945
1_ALOI,500,IForest,0.0,4,anomalous,False,0.49855670103092786
1_ALOI,500,IForest,0.0,0,clusters,True,0.5384192439862543
1_ALOI,500,IForest,0.0,1,clusters,True,0.5414432989690722
1_ALOI,500,IForest,0.0,2,clusters,True,0.4731271477663231
1_ALOI,500,IForest,0.0,3,clusters,True,0.49140893470790376
1_ALOI,500,IForest,0.0,4,clusters,True,0.512508591065292
1_ALOI,500,IForest,0.0,0,clusters,False,0.5373883161512027
1_ALOI,500,IForest,0.0,1,clusters,False,0.5356701030927835
1_ALOI,500,IForest,0.0,2,clusters,False,0.46955326460481095
1_ALOI,500,IForest,0.0,3,clusters,False,0.4097594501718213
1_ALOI,500,IForest,0.0,4,clusters,False,0.48659793814432994
1_ALOI,500,IForest,0.004,0,random,True,0.5219243986254296
1_ALOI,500,IForest,0.004,1,random,True,0.5189003436426116
1_ALOI,500,IForest,0.004,2,random,True,0.40378006872852235
1_ALOI,500,IForest,0.004,3,random,True,0.4762886597938144
