dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
20_letter,500,IForest,0.0,0,random,True,rbf,0.6558910516541715
20_letter,500,IForest,0.0,1,random,True,rbf,0.609909188034188
20_letter,500,IForest,0.0,2,random,True,rbf,0.6591925166792764
20_letter,500,IForest,0.0,3,random,True,rbf,0.5579475892427264
20_letter,500,IForest,0.0,4,random,True,rbf,0.6424100694683266
20_letter,500,IForest,0.0,0,random,False,rbf,0.6457803150147878
20_letter,500,IForest,0.0,1,random,False,rbf,0.5889423076923077
20_letter,500,IForest,0.0,2,random,False,rbf,0.6686842286264529
20_letter,500,IForest,0.0,3,random,False,rbf,0.5758305247953779
20_letter,500,IForest,0.0,4,random,False,rbf,0.6353256757686223
20_letter,500,IForest,0.0,0,uncertainty,True,rbf,0.6137285920627279
20_letter,500,IForest,0.0,1,uncertainty,True,rbf,0.6622596153846154
20_letter,500,IForest,0.0,2,uncertainty,True,rbf,0.6446798266730862
20_letter,500,IForest,0.0,3,uncertainty,True,rbf,0.5805076002476098
20_letter,500,IForest,0.0,4,uncertainty,True,rbf,0.6430978746818901
20_letter,500,IForest,0.0,0,uncertainty,False,rbf,0.6188871311644543
20_letter,500,IForest,0.0,1,uncertainty,False,rbf,0.6340144230769231
20_letter,500,IForest,0.0,2,uncertainty,False,rbf,0.6875988719994497
20_letter,500,IForest,0.0,3,uncertainty,False,rbf,0.5591856386271408
20_letter,500,IForest,0.0,4,uncertainty,False,rbf,0.620193961070225
20_letter,500,IForest,0.0,0,anomalous,True,rbf,0.6076759061833689
20_letter,500,IForest,0.0,1,anomalous,True,rbf,0.6533119658119658
20_letter,500,IForest,0.0,2,anomalous,True,rbf,0.6688217896691657
20_letter,500,IForest,0.0,3,anomalous,True,rbf,0.5979090721507669
20_letter,500,IForest,0.0,4,anomalous,True,rbf,0.6716417910447761
20_letter,500,IForest,0.0,0,anomalous,False,rbf,0.6568539789531604
20_letter,500,IForest,0.0,1,anomalous,False,rbf,0.6685363247863247
20_letter,500,IForest,0.0,2,anomalous,False,rbf,0.6779008184882042
20_letter,500,IForest,0.0,3,anomalous,False,rbf,0.5922002888781897
20_letter,500,IForest,0.0,4,anomalous,False,rbf,0.59577687598872
20_letter,500,IForest,0.0,0,clusters,True,rbf,0.6248022560011005
20_letter,500,IForest,0.0,1,clusters,True,rbf,0.624465811965812
20_letter,500,IForest,0.0,2,clusters,True,rbf,0.6782447210949859
20_letter,500,IForest,0.0,3,clusters,True,rbf,0.6018295618680789
20_letter,500,IForest,0.0,4,clusters,True,rbf,0.6227388403604099
20_letter,500,IForest,0.0,0,clusters,False,rbf,0.6580232478162185
20_letter,500,IForest,0.0,1,clusters,False,rbf,0.6127804487179488
20_letter,500,IForest,0.0,2,clusters,False,rbf,0.6768691106678588
20_letter,500,IForest,0.0,3,clusters,False,rbf,0.5420592888094091
20_letter,500,IForest,0.0,4,clusters,False,rbf,0.6186807896003852
20_letter,500,IForest,0.004,0,random,True,rbf,0.6308549418804594
20_letter,500,IForest,0.004,1,random,True,rbf,0.6326121794871795
20_letter,500,IForest,0.004,2,random,True,rbf,0.6745993534630992
20_letter,500,IForest,0.004,3,random,True,rbf,0.5578788087213701
20_letter,500,IForest,0.004,4,random,True,rbf,0.6401403122635669
20_letter,500,IForest,0.004,0,random,False,rbf,0.6469495838778458
20_letter,500,IForest,0.004,1,random,False,rbf,0.6387553418803419
20_letter,500,IForest,0.004,2,random,False,rbf,0.653827636013481
20_letter,500,IForest,0.004,3,random,False,rbf,0.5710158883004333
