dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
21_Lymphography,74,IForest,0.0,0,random,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,random,True,rbf,1.0
21_Lymphography,74,IForest,0.0,2,random,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,3,random,True,rbf,1.0
21_Lymphography,74,IForest,0.0,4,random,True,rbf,1.0
21_Lymphography,74,IForest,0.0,0,random,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,random,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.0,2,random,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,3,random,False,rbf,1.0
21_Lymphography,74,IForest,0.0,4,random,False,rbf,1.0
21_Lymphography,74,IForest,0.0,0,uncertainty,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,uncertainty,True,rbf,1.0
21_Lymphography,74,IForest,0.0,2,uncertainty,True,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.0,3,uncertainty,True,rbf,1.0
21_Lymphography,74,IForest,0.0,4,uncertainty,True,rbf,1.0
21_Lymphography,74,IForest,0.0,0,uncertainty,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,uncertainty,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.0,2,uncertainty,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.0,3,uncertainty,False,rbf,1.0
21_Lymphography,74,IForest,0.0,4,uncertainty,False,rbf,1.0
21_Lymphography,74,IForest,0.0,0,anomalous,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.0,2,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.0,3,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.0,4,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.0,0,anomalous,False,rbf,0.9906103286384976
21_Lymphography,74,IForest,0.0,1,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.0,2,anomalous,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,3,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.0,4,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.0,0,clusters,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,1,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.0,2,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.0,3,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.0,4,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.0,0,clusters,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.0,1,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.0,2,clusters,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.0,3,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.0,4,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.004,0,random,True,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,1,random,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,2,random,True,rbf,1.0
21_Lymphography,74,IForest,0.004,3,random,True,rbf,1.0
21_Lymphography,74,IForest,0.004,4,random,True,rbf,1.0
21_Lymphography,74,IForest,0.004,0,random,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,1,random,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,2,random,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,3,random,False,rbf,1.0
21_Lymphography,74,IForest,0.004,4,random,False,rbf,1.0
21_Lymphography,74,IForest,0.004,0,uncertainty,True,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,1,uncertainty,True,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,2,uncertainty,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,3,uncertainty,True,rbf,1.0
21_Lymphography,74,IForest,0.004,4,uncertainty,True,rbf,1.0
21_Lymphography,74,IForest,0.004,0,uncertainty,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,1,uncertainty,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,2,uncertainty,False,rbf,0.9906103286384977
21_Lymphography,74,IForest,0.004,3,uncertainty,False,rbf,1.0
21_Lymphography,74,IForest,0.004,4,uncertainty,False,rbf,1.0
21_Lymphography,74,IForest,0.004,0,anomalous,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,1,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.004,2,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.004,3,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.004,4,anomalous,True,rbf,1.0
21_Lymphography,74,IForest,0.004,0,anomalous,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,1,anomalous,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,2,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.004,3,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.004,4,anomalous,False,rbf,1.0
21_Lymphography,74,IForest,0.004,0,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.004,1,clusters,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,2,clusters,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,3,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.004,4,clusters,True,rbf,1.0
21_Lymphography,74,IForest,0.004,0,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.004,1,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.004,2,clusters,False,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.004,3,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.004,4,clusters,False,rbf,1.0
21_Lymphography,74,IForest,0.006,0,random,True,rbf,0.9953051643192489
21_Lymphography,74,IForest,0.006,1,random,True,rbf,1.0
