dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
22_magic.gamma,500,IForest,0.0,0,random,True,0.7075617283950617
22_magic.gamma,500,IForest,0.0,1,random,True,0.7458964646464646
22_magic.gamma,500,IForest,0.0,2,random,True,0.7485970819304152
22_magic.gamma,500,IForest,0.0,3,random,True,0.758557800224467
22_magic.gamma,500,IForest,0.0,4,random,True,0.7406004489337823
22_magic.gamma,500,IForest,0.0,0,random,False,0.7309904601571269
22_magic.gamma,500,IForest,0.0,1,random,False,0.7357603815937149
22_magic.gamma,500,IForest,0.0,2,random,False,0.7102097362514029
22_magic.gamma,500,IForest,0.0,3,random,False,0.7396534792368126
22_magic.gamma,500,IForest,0.0,4,random,False,0.7372159090909091
22_magic.gamma,500,IForest,0.0,0,uncertainty,True,0.7282021604938271
22_magic.gamma,500,IForest,0.0,1,uncertainty,True,0.7219942480359147
22_magic.gamma,500,IForest,0.0,2,uncertainty,True,0.7428977272727272
22_magic.gamma,500,IForest,0.0,3,uncertainty,True,0.7292192760942761
22_magic.gamma,500,IForest,0.0,4,uncertainty,True,0.7280618686868685
22_magic.gamma,500,IForest,0.0,0,uncertainty,False,0.6974081088664421
22_magic.gamma,500,IForest,0.0,1,uncertainty,False,0.7304643658810325
22_magic.gamma,500,IForest,0.0,2,uncertainty,False,0.7789527216610549
22_magic.gamma,500,IForest,0.0,3,uncertainty,False,0.7523148148148148
22_magic.gamma,500,IForest,0.0,4,uncertainty,False,0.7280267957351291
22_magic.gamma,500,IForest,0.0,0,anomalous,True,0.7476325757575758
22_magic.gamma,500,IForest,0.0,1,anomalous,True,0.7348134118967453
22_magic.gamma,500,IForest,0.0,2,anomalous,True,0.725273569023569
22_magic.gamma,500,IForest,0.0,3,anomalous,True,0.7470363355780023
22_magic.gamma,500,IForest,0.0,4,anomalous,True,0.7218188832772167
22_magic.gamma,500,IForest,0.0,0,anomalous,False,0.721783810325477
22_magic.gamma,500,IForest,0.0,1,anomalous,False,0.7372334455667788
22_magic.gamma,500,IForest,0.0,2,anomalous,False,0.7469135802469136
22_magic.gamma,500,IForest,0.0,3,anomalous,False,0.7562079124579124
22_magic.gamma,500,IForest,0.0,4,anomalous,False,0.7143834175084175
22_magic.gamma,500,IForest,0.0,0,clusters,True,0.7171541806958475
22_magic.gamma,500,IForest,0.0,1,clusters,True,0.7344451459034792
22_magic.gamma,500,IForest,0.0,2,clusters,True,0.7454405162738496
22_magic.gamma,500,IForest,0.0,3,clusters,True,0.7758136924803591
22_magic.gamma,500,IForest,0.0,4,clusters,True,0.7352342873176206
22_magic.gamma,500,IForest,0.0,0,clusters,False,0.7179433221099889
