dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
23_mammography,500,IForest,0.0,0,random,True,rbf,0.8410485220301172
23_mammography,500,IForest,0.0,1,random,True,rbf,0.9040300546448088
23_mammography,500,IForest,0.0,2,random,True,rbf,0.8422569250790111
23_mammography,500,IForest,0.0,3,random,True,rbf,0.795129206172151
23_mammography,500,IForest,0.0,4,random,True,rbf,0.9035136642498606
23_mammography,500,IForest,0.0,0,random,False,rbf,0.8748838073991448
23_mammography,500,IForest,0.0,1,random,False,rbf,0.913422131147541
23_mammography,500,IForest,0.0,2,random,False,rbf,0.8175311396170293
23_mammography,500,IForest,0.0,3,random,False,rbf,0.826547685443391
23_mammography,500,IForest,0.0,4,random,False,rbf,0.884179215467559
23_mammography,500,IForest,0.0,0,uncertainty,True,rbf,0.859267521844209
23_mammography,500,IForest,0.0,1,uncertainty,True,rbf,0.9026639344262295
23_mammography,500,IForest,0.0,2,uncertainty,True,rbf,0.8483918944041644
23_mammography,500,IForest,0.0,3,uncertainty,True,rbf,0.8259899609592861
23_mammography,500,IForest,0.0,4,uncertainty,True,rbf,0.8955196133110244
23_mammography,500,IForest,0.0,0,uncertainty,False,rbf,0.8598252463283138
23_mammography,500,IForest,0.0,1,uncertainty,False,rbf,0.8985655737704918
23_mammography,500,IForest,0.0,2,uncertainty,False,rbf,0.8316601598810189
23_mammography,500,IForest,0.0,3,uncertainty,False,rbf,0.8038668897564603
23_mammography,500,IForest,0.0,4,uncertainty,False,rbf,0.9010968581520729
23_mammography,500,IForest,0.0,0,anomalous,True,rbf,0.8774865216583009
23_mammography,500,IForest,0.0,1,anomalous,True,rbf,0.9021516393442622
23_mammography,500,IForest,0.0,2,anomalous,True,rbf,0.8138129763896635
23_mammography,500,IForest,0.0,3,anomalous,True,rbf,0.8051682468860383
23_mammography,500,IForest,0.0,4,anomalous,True,rbf,0.881576501208403
23_mammography,500,IForest,0.0,0,anomalous,False,rbf,0.8614984197806284
23_mammography,500,IForest,0.0,1,anomalous,False,rbf,0.9067622950819673
23_mammography,500,IForest,0.0,2,anomalous,False,rbf,0.8171593232942926
23_mammography,500,IForest,0.0,3,anomalous,False,rbf,0.7878787878787878
23_mammography,500,IForest,0.0,4,anomalous,False,rbf,0.8960773377951292
23_mammography,500,IForest,0.0,0,clusters,True,rbf,0.8763710726900911
23_mammography,500,IForest,0.0,1,clusters,True,rbf,0.9127390710382514
23_mammography,500,IForest,0.0,2,clusters,True,rbf,0.8169734151329244
23_mammography,500,IForest,0.0,3,clusters,True,rbf,0.8354712771890687
23_mammography,500,IForest,0.0,4,clusters,True,rbf,0.9035136642498606
23_mammography,500,IForest,0.0,0,clusters,False,rbf,0.8657743074920988
23_mammography,500,IForest,0.0,1,clusters,False,rbf,0.9031762295081966
23_mammography,500,IForest,0.0,2,clusters,False,rbf,0.8221788436512363
23_mammography,500,IForest,0.0,3,clusters,False,rbf,0.8204127161182375
23_mammography,500,IForest,0.0,4,clusters,False,rbf,0.9046291132180703
23_mammography,500,IForest,0.004,0,random,True,rbf,0.8680052054285183
23_mammography,500,IForest,0.004,1,random,True,rbf,0.9014685792349727
23_mammography,500,IForest,0.004,2,random,True,rbf,0.8175311396170293
23_mammography,500,IForest,0.004,3,random,True,rbf,0.8176240936977133
23_mammography,500,IForest,0.004,4,random,True,rbf,0.8693065625580962
23_mammography,500,IForest,0.004,0,random,False,rbf,0.8806469604015617
23_mammography,500,IForest,0.004,1,random,False,rbf,0.8951502732240437
23_mammography,500,IForest,0.004,2,random,False,rbf,0.8344487823015432
23_mammography,500,IForest,0.004,3,random,False,rbf,0.8087005019520357
23_mammography,500,IForest,0.004,4,random,False,rbf,0.9161554192229039
23_mammography,500,IForest,0.004,0,uncertainty,True,rbf,0.8661461238148355
23_mammography,500,IForest,0.004,1,uncertainty,True,rbf,0.9035177595628415
23_mammography,500,IForest,0.004,2,uncertainty,True,rbf,0.8381669455289087
23_mammography,500,IForest,0.004,3,uncertainty,True,rbf,0.8168804610522401
23_mammography,500,IForest,0.004,4,uncertainty,True,rbf,0.9007250418293363
23_mammography,500,IForest,0.004,0,uncertainty,False,rbf,0.880275144078825
23_mammography,500,IForest,0.004,1,uncertainty,False,rbf,0.923155737704918
23_mammography,500,IForest,0.004,2,uncertainty,False,rbf,0.8450455474995353
23_mammography,500,IForest,0.004,3,uncertainty,False,rbf,0.8064696040156163
23_mammography,499,IForest,0.004,4,uncertainty,False,rbf,0.9025841234430192
23_mammography,500,IForest,0.004,0,anomalous,True,rbf,0.8683770217512549
23_mammography,500,IForest,0.004,1,anomalous,True,rbf,0.8818306010928962
23_mammography,41,IForest,0.004,2,anomalous,True,rbf,0.6567205800334635
23_mammography,500,IForest,0.004,3,anomalous,True,rbf,0.8258040527979178
23_mammography,500,IForest,0.004,4,anomalous,True,rbf,0.9012827663134412
23_mammography,498,IForest,0.004,0,anomalous,False,rbf,0.8484848484848484
23_mammography,499,IForest,0.004,1,anomalous,False,rbf,0.8905396174863387
23_mammography,499,IForest,0.004,2,anomalous,False,rbf,0.825153374233129
23_mammography,498,IForest,0.004,3,anomalous,False,rbf,0.8261758691206544
23_mammography,500,IForest,0.004,4,anomalous,False,rbf,0.888083286856293
