dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
25_musk,500,IForest,0.0,0,random,True,rbf,0.9989690721649485
25_musk,500,IForest,0.0,1,random,True,rbf,0.9998711340206186
25_musk,500,IForest,0.0,2,random,True,rbf,1.0
25_musk,500,IForest,0.0,3,random,True,rbf,1.0
25_musk,500,IForest,0.0,4,random,True,rbf,1.0
25_musk,500,IForest,0.0,0,random,False,rbf,0.998840206185567
25_musk,500,IForest,0.0,1,random,False,rbf,1.0
25_musk,500,IForest,0.0,2,random,False,rbf,1.0
25_musk,500,IForest,0.0,3,random,False,rbf,1.0
25_musk,500,IForest,0.0,4,random,False,rbf,1.0
25_musk,500,IForest,0.0,0,uncertainty,True,rbf,1.0
25_musk,500,IForest,0.0,1,uncertainty,True,rbf,0.9990979381443299
25_musk,500,IForest,0.0,2,uncertainty,True,rbf,0.9994845360824742
25_musk,500,IForest,0.0,3,uncertainty,True,rbf,1.0
25_musk,500,IForest,0.0,4,uncertainty,True,rbf,0.9979381443298969
25_musk,500,IForest,0.0,0,uncertainty,False,rbf,0.9996134020618557
25_musk,500,IForest,0.0,1,uncertainty,False,rbf,0.9996134020618557
25_musk,500,IForest,0.0,2,uncertainty,False,rbf,0.9996134020618557
25_musk,500,IForest,0.0,3,uncertainty,False,rbf,1.0
25_musk,500,IForest,0.0,4,uncertainty,False,rbf,1.0
25_musk,500,IForest,0.0,0,anomalous,True,rbf,0.9987113402061856
25_musk,500,IForest,0.0,1,anomalous,True,rbf,1.0
25_musk,500,IForest,0.0,2,anomalous,True,rbf,1.0
25_musk,500,IForest,0.0,3,anomalous,True,rbf,1.0
25_musk,500,IForest,0.0,4,anomalous,True,rbf,0.9997422680412371
25_musk,500,IForest,0.0,0,anomalous,False,rbf,0.9967783505154639
25_musk,500,IForest,0.0,1,anomalous,False,rbf,1.0
25_musk,500,IForest,0.0,2,anomalous,False,rbf,1.0
25_musk,500,IForest,0.0,3,anomalous,False,rbf,1.0
