dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
26_optdigits,500,IForest,0.0,0,random,True,0.6218400940623163
26_optdigits,500,IForest,0.0,1,random,True,0.7628865979381443
26_optdigits,500,IForest,0.0,2,random,True,0.661522633744856
26_optdigits,500,IForest,0.0,3,random,True,0.7272192827748383
26_optdigits,500,IForest,0.0,4,random,True,0.6928277483833039
26_optdigits,500,IForest,0.0,0,random,False,0.7538212815990593
26_optdigits,500,IForest,0.0,1,random,False,0.7433676975945017
26_optdigits,500,IForest,0.0,2,random,False,0.6773956496178718
26_optdigits,500,IForest,0.0,3,random,False,0.6862139917695473
26_optdigits,500,IForest,0.0,4,random,False,0.7411816578483245
26_optdigits,500,IForest,0.0,0,uncertainty,True,0.7239858906525574
26_optdigits,500,IForest,0.0,1,uncertainty,True,0.6920962199312715
26_optdigits,500,IForest,0.0,2,uncertainty,True,0.618018812463257
26_optdigits,500,IForest,0.0,3,uncertainty,True,0.7865961199294533
26_optdigits,500,IForest,0.0,4,uncertainty,True,0.6313932980599647
26_optdigits,500,IForest,0.0,0,uncertainty,False,0.6938565549676661
26_optdigits,500,IForest,0.0,1,uncertainty,False,0.7458419243986254
26_optdigits,500,IForest,0.0,2,uncertainty,False,0.7407407407407407
26_optdigits,500,IForest,0.0,3,uncertainty,False,0.725896531452087
26_optdigits,500,IForest,0.0,4,uncertainty,False,0.7154614932392711
26_optdigits,500,IForest,0.0,0,anomalous,True,0.6820987654320988
26_optdigits,500,IForest,0.0,1,anomalous,True,0.7692096219931271
26_optdigits,500,IForest,0.0,2,anomalous,True,0.6360964138741917
26_optdigits,500,IForest,0.0,3,anomalous,True,0.7451499118165785
26_optdigits,500,IForest,0.0,4,anomalous,True,0.7620517342739564
26_optdigits,500,IForest,0.0,0,anomalous,False,0.6719576719576719
26_optdigits,500,IForest,0.0,1,anomalous,False,0.7488659793814433
26_optdigits,500,IForest,0.0,2,anomalous,False,0.6847442680776015
26_optdigits,500,IForest,0.0,3,anomalous,False,0.6887125220458554
26_optdigits,500,IForest,0.0,4,anomalous,False,0.6981187536743092
26_optdigits,500,IForest,0.0,0,clusters,True,0.6550558495002939
26_optdigits,500,IForest,0.0,1,clusters,True,0.7208247422680412
26_optdigits,500,IForest,0.0,2,clusters,True,0.65108759553204
26_optdigits,500,IForest,0.0,3,clusters,True,0.6982657260435038
26_optdigits,500,IForest,0.0,4,clusters,True,0.6575543797766019
26_optdigits,500,IForest,0.0,0,clusters,False,0.7006172839506173
26_optdigits,500,IForest,0.0,1,clusters,False,0.7609621993127147
26_optdigits,500,IForest,0.0,2,clusters,False,0.6574074074074073
26_optdigits,500,IForest,0.0,3,clusters,False,0.7720458553791887
26_optdigits,500,IForest,0.0,4,clusters,False,0.7231040564373897
26_optdigits,500,IForest,0.004,0,random,True,0.6910640799529688
26_optdigits,500,IForest,0.004,1,random,True,0.7338831615120275
26_optdigits,500,IForest,0.004,2,random,True,0.7026748971193415
26_optdigits,500,IForest,0.004,3,random,True,0.8120223398001176
26_optdigits,500,IForest,0.004,4,random,True,0.7652851263962375
26_optdigits,500,IForest,0.004,0,random,False,0.6660787771898884
26_optdigits,500,IForest,0.004,1,random,False,0.6882474226804124
26_optdigits,500,IForest,0.004,2,random,False,0.6446208112874778
26_optdigits,500,IForest,0.004,3,random,False,0.8012933568489125
26_optdigits,500,IForest,0.004,4,random,False,0.7904174015285126
26_optdigits,500,IForest,0.004,0,uncertainty,True,0.7172251616696061
26_optdigits,500,IForest,0.004,1,uncertainty,True,0.6949828178694157
26_optdigits,500,IForest,0.004,2,uncertainty,True,0.6872427983539094
26_optdigits,500,IForest,0.004,3,uncertainty,True,0.7696942974720753
26_optdigits,500,IForest,0.004,4,uncertainty,True,0.6929747207524986
