dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
27_PageBlocks,500,IForest,0.0,0,random,True,rbf,0.8794326241134752
27_PageBlocks,500,IForest,0.0,1,random,True,rbf,0.9242256637168142
27_PageBlocks,500,IForest,0.0,2,random,True,rbf,0.8861490770748204
27_PageBlocks,500,IForest,0.0,3,random,True,rbf,0.9018364567188013
27_PageBlocks,500,IForest,0.0,4,random,True,rbf,0.8386642243201353
27_PageBlocks,500,IForest,0.0,0,random,False,rbf,0.8906580245174016
27_PageBlocks,500,IForest,0.0,1,random,False,rbf,0.9307245575221239
27_PageBlocks,500,IForest,0.0,2,random,False,rbf,0.9016955521112207
27_PageBlocks,500,IForest,0.0,3,random,False,rbf,0.9031515663895542
27_PageBlocks,500,IForest,0.0,4,random,False,rbf,0.8639331172796016
27_PageBlocks,500,IForest,0.0,0,uncertainty,True,rbf,0.8860081724672396
27_PageBlocks,500,IForest,0.0,1,uncertainty,True,rbf,0.9022861356932154
27_PageBlocks,500,IForest,0.0,2,uncertainty,True,rbf,0.8993941101874031
27_PageBlocks,500,IForest,0.0,3,uncertainty,True,rbf,0.8870884411253581
27_PageBlocks,500,IForest,0.0,4,uncertainty,True,rbf,0.851956225635245
27_PageBlocks,500,IForest,0.0,0,uncertainty,False,rbf,0.8636513080644403
27_PageBlocks,500,IForest,0.0,1,uncertainty,False,rbf,0.9233960176991151
27_PageBlocks,500,IForest,0.0,2,uncertainty,False,rbf,0.8924897844159505
27_PageBlocks,500,IForest,0.0,3,uncertainty,False,rbf,0.8924428162134235
27_PageBlocks,500,IForest,0.0,4,uncertainty,False,rbf,0.8766615001643887
27_PageBlocks,500,IForest,0.0,0,anomalous,True,rbf,0.868911746747452
27_PageBlocks,500,IForest,0.0,1,anomalous,True,rbf,0.9237186578171092
27_PageBlocks,500,IForest,0.0,2,anomalous,True,rbf,0.9016955521112208
27_PageBlocks,500,IForest,0.0,3,anomalous,True,rbf,0.8943215443144991
27_PageBlocks,500,IForest,0.0,4,anomalous,True,rbf,0.8696632379878823
27_PageBlocks,500,IForest,0.0,0,anomalous,False,rbf,0.8724343619369688
27_PageBlocks,500,IForest,0.0,1,anomalous,False,rbf,0.9215984513274336
27_PageBlocks,500,IForest,0.0,2,anomalous,False,rbf,0.9007561880606829
27_PageBlocks,500,IForest,0.0,3,anomalous,False,rbf,0.8999577286177258
27_PageBlocks,500,IForest,0.0,4,anomalous,False,rbf,0.8658118453806772
27_PageBlocks,500,IForest,0.0,0,clusters,True,rbf,0.8799023061387441
27_PageBlocks,500,IForest,0.0,1,clusters,True,rbf,0.917957227138643
27_PageBlocks,500,IForest,0.0,2,clusters,True,rbf,0.9016955521112207
27_PageBlocks,500,IForest,0.0,3,clusters,True,rbf,0.9020712977314358
27_PageBlocks,500,IForest,0.0,4,clusters,True,rbf,0.8542106993565356
27_PageBlocks,500,IForest,0.0,0,clusters,False,rbf,0.8567000140904608
27_PageBlocks,500,IForest,0.0,1,clusters,False,rbf,0.9228429203539823
27_PageBlocks,500,IForest,0.0,2,clusters,False,rbf,0.9085998778826734
27_PageBlocks,500,IForest,0.0,3,clusters,False,rbf,0.9093983373256306
27_PageBlocks,500,IForest,0.0,4,clusters,False,rbf,0.853647080926213
27_PageBlocks,500,IForest,0.004,0,random,True,rbf,0.8744070264430981
27_PageBlocks,476,IForest,0.004,1,random,True,rbf,0.9320151179941003
27_PageBlocks,500,IForest,0.004,2,random,True,rbf,0.8923488798083699
27_PageBlocks,500,IForest,0.004,3,random,True,rbf,0.8980320323141233
27_PageBlocks,500,IForest,0.004,4,random,True,rbf,0.8531773989009441
27_PageBlocks,500,IForest,0.004,0,random,False,rbf,0.8808886383918086
27_PageBlocks,499,IForest,0.004,1,random,False,rbf,0.9321073008849557
27_PageBlocks,500,IForest,0.004,2,random,False,rbf,0.9050302944906298
27_PageBlocks,500,IForest,0.004,3,random,False,rbf,0.9052651355032643
27_PageBlocks,500,IForest,0.004,4,random,False,rbf,0.8347658635104035
27_PageBlocks,258,IForest,0.004,0,uncertainty,True,rbf,0.9194965008689118
27_PageBlocks,228,IForest,0.004,1,uncertainty,True,rbf,0.9397123893805309
27_PageBlocks,272,IForest,0.004,2,uncertainty,True,rbf,0.9351369123103659
27_PageBlocks,500,IForest,0.004,3,uncertainty,True,rbf,0.8864778544925086
27_PageBlocks,500,IForest,0.004,4,uncertainty,True,rbf,0.8485745150533088
27_PageBlocks,499,IForest,0.004,0,uncertainty,False,rbf,0.8868066319101968
27_PageBlocks,499,IForest,0.004,1,uncertainty,False,rbf,0.9203078908554572
27_PageBlocks,499,IForest,0.004,2,uncertainty,False,rbf,0.8990183645671881
27_PageBlocks,500,IForest,0.004,3,uncertainty,False,rbf,0.8968578272509511
27_PageBlocks,499,IForest,0.004,4,uncertainty,False,rbf,0.863369498849279
27_PageBlocks,500,IForest,0.004,0,anomalous,True,rbf,0.8772251185947113
27_PageBlocks,499,IForest,0.004,1,anomalous,True,rbf,0.9195704277286136
27_PageBlocks,500,IForest,0.004,2,anomalous,True,rbf,0.9038560894274577
27_PageBlocks,500,IForest,0.004,3,anomalous,True,rbf,0.8974684138838006
27_PageBlocks,380,IForest,0.004,4,anomalous,True,rbf,0.7966276830585693
27_PageBlocks,498,IForest,0.004,0,anomalous,False,rbf,0.8755342633037433
27_PageBlocks,498,IForest,0.004,1,anomalous,False,rbf,0.912011430678466
27_PageBlocks,498,IForest,0.004,2,anomalous,False,rbf,0.8921610069982623
27_PageBlocks,498,IForest,0.004,3,anomalous,False,rbf,0.910055892161007
27_PageBlocks,499,IForest,0.004,4,anomalous,False,rbf,0.8722934573293879
27_PageBlocks,499,IForest,0.004,0,clusters,True,rbf,0.883753698745949
27_PageBlocks,500,IForest,0.004,1,clusters,True,rbf,0.9274520648967551
27_PageBlocks,498,IForest,0.004,2,clusters,True,rbf,0.900286506035414
27_PageBlocks,500,IForest,0.004,3,clusters,True,rbf,0.8999577286177257
27_PageBlocks,500,IForest,0.004,4,clusters,True,rbf,0.8801841153539054
27_PageBlocks,499,IForest,0.004,0,clusters,False,rbf,0.8669860504438496
27_PageBlocks,500,IForest,0.004,1,clusters,False,rbf,0.9168510324483776
27_PageBlocks,499,IForest,0.004,2,clusters,False,rbf,0.8820628434549809
27_PageBlocks,500,IForest,0.004,3,clusters,False,rbf,0.8944624489220798
27_PageBlocks,500,IForest,0.004,4,clusters,False,rbf,0.8559015546475036
27_PageBlocks,500,IForest,0.006,0,random,True,rbf,0.8771781503921845
27_PageBlocks,476,IForest,0.006,1,random,True,rbf,0.9264841445427728
27_PageBlocks,500,IForest,0.006,2,random,True,rbf,0.8934291484664881
27_PageBlocks,500,IForest,0.006,3,random,True,rbf,0.9028227889718661
27_PageBlocks,500,IForest,0.006,4,random,True,rbf,0.8501244657366962
27_PageBlocks,500,IForest,0.006,0,random,False,rbf,0.8702738246207318
27_PageBlocks,499,IForest,0.006,1,random,False,rbf,0.9244100294985251
27_PageBlocks,500,IForest,0.006,2,random,False,rbf,0.9011319336808981
27_PageBlocks,500,IForest,0.006,3,random,False,rbf,0.8968578272509512
27_PageBlocks,500,IForest,0.006,4,random,False,rbf,0.8592832652294398
27_PageBlocks,500,IForest,0.006,0,uncertainty,True,rbf,0.8838946033535297
27_PageBlocks,449,IForest,0.006,1,uncertainty,True,rbf,0.9293879056047198
27_PageBlocks,500,IForest,0.006,2,uncertainty,True,rbf,0.8764266591517542
27_PageBlocks,173,IForest,0.006,3,uncertainty,True,rbf,0.9465032173218731
27_PageBlocks,465,IForest,0.006,4,uncertainty,True,rbf,0.8959184632004134
27_PageBlocks,498,IForest,0.006,0,uncertainty,False,rbf,0.8755812315062703
27_PageBlocks,499,IForest,0.006,1,uncertainty,False,rbf,0.9234882005899704
27_PageBlocks,499,IForest,0.006,2,uncertainty,False,rbf,0.9017425203137477
27_PageBlocks,499,IForest,0.006,3,uncertainty,False,rbf,0.9022122023390164
27_PageBlocks,498,IForest,0.006,4,uncertainty,False,rbf,0.862101357381053
27_PageBlocks,500,IForest,0.006,0,anomalous,True,rbf,0.8538349537363206
27_PageBlocks,498,IForest,0.006,1,anomalous,True,rbf,0.9107208702064895
27_PageBlocks,500,IForest,0.006,2,anomalous,True,rbf,0.9062984359588558
27_PageBlocks,498,IForest,0.006,3,anomalous,True,rbf,0.8869005683152505
27_PageBlocks,499,IForest,0.006,4,anomalous,True,rbf,0.8630876896341177
27_PageBlocks,497,IForest,0.006,0,anomalous,False,rbf,0.8796674651261097
27_PageBlocks,498,IForest,0.006,1,anomalous,False,rbf,0.9245483038348082
27_PageBlocks,497,IForest,0.006,2,anomalous,False,rbf,0.9012258700859518
27_PageBlocks,498,IForest,0.006,3,anomalous,False,rbf,0.902400075149124
27_PageBlocks,499,IForest,0.006,4,anomalous,False,rbf,0.8552909680146541
