dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
28_pendigits,500,IForest,0.0,0,random,True,rbf,0.9734151329243353
28_pendigits,500,IForest,0.0,1,random,True,rbf,0.9622609289617486
28_pendigits,500,IForest,0.0,2,random,True,rbf,0.9596579289830824
28_pendigits,500,IForest,0.0,3,random,True,rbf,0.8951477969882877
28_pendigits,500,IForest,0.0,4,random,True,rbf,0.9579847555307678
28_pendigits,500,IForest,0.0,0,random,False,rbf,0.9550102249488752
28_pendigits,500,IForest,0.0,1,random,False,rbf,0.962431693989071
28_pendigits,500,IForest,0.0,2,random,False,rbf,0.9451570923963561
28_pendigits,500,IForest,0.0,3,random,False,rbf,0.9228481130321621
28_pendigits,500,IForest,0.0,4,random,False,rbf,0.9447852760736197
28_pendigits,500,IForest,0.0,0,uncertainty,True,rbf,0.934560327198364
28_pendigits,500,IForest,0.0,1,uncertainty,True,rbf,0.9661885245901639
28_pendigits,500,IForest,0.0,2,uncertainty,True,rbf,0.9749023982152816
28_pendigits,500,IForest,0.0,3,uncertainty,True,rbf,0.9224762967094255
28_pendigits,500,IForest,0.0,4,uncertainty,True,rbf,0.9509202453987731
28_pendigits,500,IForest,0.0,0,uncertainty,False,rbf,0.9698828778583379
28_pendigits,500,IForest,0.0,1,uncertainty,False,rbf,0.9571379781420765
28_pendigits,500,IForest,0.0,2,uncertainty,False,rbf,0.9815950920245399
28_pendigits,500,IForest,0.0,3,uncertainty,False,rbf,0.9048150213794386
28_pendigits,500,IForest,0.0,4,uncertainty,False,rbf,0.9527793270124558
28_pendigits,500,IForest,0.0,0,anomalous,True,rbf,0.9485034393009852
28_pendigits,500,IForest,0.0,1,anomalous,True,rbf,0.9417691256830601
28_pendigits,500,IForest,0.0,2,anomalous,True,rbf,0.9512920617215096
28_pendigits,500,IForest,0.0,3,anomalous,True,rbf,0.9459007250418294
28_pendigits,500,IForest,0.0,4,anomalous,True,rbf,0.9581706636921361
28_pendigits,500,IForest,0.0,0,anomalous,False,rbf,0.9670942554378137
28_pendigits,500,IForest,0.0,1,anomalous,False,rbf,0.9668715846994536
28_pendigits,500,IForest,0.0,2,anomalous,False,rbf,0.9693251533742332
28_pendigits,500,IForest,0.0,3,anomalous,False,rbf,0.919501766127533
28_pendigits,500,IForest,0.0,4,anomalous,False,rbf,0.9466443576873025
28_pendigits,500,IForest,0.0,0,clusters,True,rbf,0.9786205614426473
28_pendigits,500,IForest,0.0,1,clusters,True,rbf,0.9737021857923497
28_pendigits,500,IForest,0.0,2,clusters,True,rbf,0.9696969696969697
28_pendigits,500,IForest,0.0,3,clusters,True,rbf,0.9473879903327755
28_pendigits,500,IForest,0.0,4,clusters,True,rbf,0.9388362149098346
28_pendigits,500,IForest,0.0,0,clusters,False,rbf,0.9765755716675962
28_pendigits,500,IForest,0.0,1,clusters,False,rbf,0.9737021857923498
28_pendigits,500,IForest,0.0,2,clusters,False,rbf,0.9542665923034022
28_pendigits,500,IForest,0.0,3,clusters,False,rbf,0.899795501022495
28_pendigits,500,IForest,0.0,4,clusters,False,rbf,0.9416248373303588
28_pendigits,500,IForest,0.004,0,random,True,rbf,0.9780628369585425
28_pendigits,500,IForest,0.004,1,random,True,rbf,0.9740437158469945
28_pendigits,500,IForest,0.004,2,random,True,rbf,0.9570552147239264
28_pendigits,500,IForest,0.004,3,random,True,rbf,0.9299126231641569
28_pendigits,500,IForest,0.004,4,random,True,rbf,0.9306562558096301
28_pendigits,500,IForest,0.004,0,random,False,rbf,0.9728574084402305
28_pendigits,500,IForest,0.004,1,random,False,rbf,0.9748975409836066
28_pendigits,500,IForest,0.004,2,random,False,rbf,0.9520356943669827
28_pendigits,500,IForest,0.004,3,random,False,rbf,0.8826919501766127
28_pendigits,500,IForest,0.004,4,random,False,rbf,0.9663506227923406
28_pendigits,500,IForest,0.004,0,uncertainty,True,rbf,0.9815950920245399
28_pendigits,291,IForest,0.004,1,uncertainty,True,rbf,0.9810450819672131
28_pendigits,500,IForest,0.004,2,uncertainty,True,rbf,0.9730433166015988
28_pendigits,500,IForest,0.004,3,uncertainty,True,rbf,0.9109499907045919
28_pendigits,500,IForest,0.004,4,uncertainty,True,rbf,0.9531511433351925
28_pendigits,500,IForest,0.004,0,uncertainty,False,rbf,0.9763896635062279
28_pendigits,500,IForest,0.004,1,uncertainty,False,rbf,0.9689207650273225
28_pendigits,500,IForest,0.004,2,uncertainty,False,rbf,0.9669083472764455
28_pendigits,500,IForest,0.004,3,uncertainty,False,rbf,0.9230340211935304
28_pendigits,500,IForest,0.004,4,uncertainty,False,rbf,0.9646774493400261
28_pendigits,257,IForest,0.004,0,anomalous,True,rbf,0.8765569808514594
28_pendigits,164,IForest,0.004,1,anomalous,True,rbf,0.9979508196721312
28_pendigits,96,IForest,0.004,2,anomalous,True,rbf,0.9711842349879161
28_pendigits,500,IForest,0.004,3,anomalous,True,rbf,0.9191299498047965
28_pendigits,500,IForest,0.004,4,anomalous,True,rbf,0.9568693065625581
28_pendigits,499,IForest,0.004,0,anomalous,False,rbf,0.9730433166015988
28_pendigits,499,IForest,0.004,1,anomalous,False,rbf,0.9648224043715847
28_pendigits,499,IForest,0.004,2,anomalous,False,rbf,0.9395798475553077
28_pendigits,500,IForest,0.004,3,anomalous,False,rbf,0.9676519799219186
28_pendigits,499,IForest,0.004,4,anomalous,False,rbf,0.9369771332961516
