dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
29_Pima,384,IForest,0.0,0,random,True,rbf,0.6747761194029851
29_Pima,384,IForest,0.0,1,random,True,rbf,0.6267761194029852
29_Pima,384,IForest,0.0,2,random,True,rbf,0.6777014925373135
29_Pima,384,IForest,0.0,3,random,True,rbf,0.7005373134328358
29_Pima,384,IForest,0.0,4,random,True,rbf,0.6944477611940298
29_Pima,384,IForest,0.0,0,random,False,rbf,0.6706268656716418
29_Pima,384,IForest,0.0,1,random,False,rbf,0.6244179104477612
29_Pima,384,IForest,0.0,2,random,False,rbf,0.7024477611940297
29_Pima,384,IForest,0.0,3,random,False,rbf,0.6936417910447761
29_Pima,384,IForest,0.0,4,random,False,rbf,0.6846865671641791
29_Pima,384,IForest,0.0,0,uncertainty,True,rbf,0.6602089552238806
29_Pima,384,IForest,0.0,1,uncertainty,True,rbf,0.6544477611940298
29_Pima,384,IForest,0.0,2,uncertainty,True,rbf,0.7018208955223879
29_Pima,384,IForest,0.0,3,uncertainty,True,rbf,0.7096716417910448
29_Pima,384,IForest,0.0,4,uncertainty,True,rbf,0.6962985074626865
29_Pima,384,IForest,0.0,0,uncertainty,False,rbf,0.6725373134328358
29_Pima,384,IForest,0.0,1,uncertainty,False,rbf,0.6382388059701493
29_Pima,384,IForest,0.0,2,uncertainty,False,rbf,0.6773731343283582
29_Pima,384,IForest,0.0,3,uncertainty,False,rbf,0.7201194029850746
29_Pima,384,IForest,0.0,4,uncertainty,False,rbf,0.6864776119402984
29_Pima,384,IForest,0.0,0,anomalous,True,rbf,0.6500597014925372
29_Pima,384,IForest,0.0,1,anomalous,True,rbf,0.6406268656716418
29_Pima,384,IForest,0.0,2,anomalous,True,rbf,0.6838507462686567
29_Pima,384,IForest,0.0,3,anomalous,True,rbf,0.6883283582089552
29_Pima,384,IForest,0.0,4,anomalous,True,rbf,0.6784477611940298
29_Pima,384,IForest,0.0,0,anomalous,False,rbf,0.663641791044776
29_Pima,384,IForest,0.0,1,anomalous,False,rbf,0.624776119402985
29_Pima,384,IForest,0.0,2,anomalous,False,rbf,0.6979104477611939
29_Pima,384,IForest,0.0,3,anomalous,False,rbf,0.7092238805970149
29_Pima,384,IForest,0.0,4,anomalous,False,rbf,0.6912238805970149
29_Pima,384,IForest,0.0,0,clusters,True,rbf,0.6713731343283582
29_Pima,384,IForest,0.0,1,clusters,True,rbf,0.6431641791044775
29_Pima,384,IForest,0.0,2,clusters,True,rbf,0.6854029850746268
