dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
2_annthyroid,500,IForest,0.0,0,random,True,0.8189831299982487
2_annthyroid,500,IForest,0.0,1,random,True,0.8524312649582628
2_annthyroid,500,IForest,0.0,2,random,True,0.8569260405113537
2_annthyroid,500,IForest,0.0,3,random,True,0.7493432957795809
2_annthyroid,500,IForest,0.0,4,random,True,0.8025217442064094
2_annthyroid,500,IForest,0.0,0,random,False,0.8111026793532192
2_annthyroid,500,IForest,0.0,1,random,False,0.8592609888506216
2_annthyroid,500,IForest,0.0,2,random,False,0.8441421983538614
2_annthyroid,500,IForest,0.0,3,random,False,0.7093573054696165
2_annthyroid,500,IForest,0.0,4,random,False,0.8286147918977292
2_annthyroid,500,IForest,0.0,0,uncertainty,True,0.7961590099819043
2_annthyroid,500,IForest,0.0,1,uncertainty,True,0.8541824762127138
2_annthyroid,500,IForest,0.0,2,uncertainty,True,0.8367287373766855
2_annthyroid,500,IForest,0.0,3,uncertainty,True,0.770708073083883
2_annthyroid,500,IForest,0.0,4,uncertainty,True,0.8095265892242134
2_annthyroid,500,IForest,0.0,0,uncertainty,False,0.7581577257603176
2_annthyroid,500,IForest,0.0,1,uncertainty,False,0.8288482867316562
2_annthyroid,500,IForest,0.0,2,uncertainty,False,0.834685657579826
2_annthyroid,500,IForest,0.0,3,uncertainty,False,0.7460743681046057
2_annthyroid,500,IForest,0.0,4,uncertainty,False,0.7923647189305937
2_annthyroid,500,IForest,0.0,0,anomalous,True,0.8022882493724827
2_annthyroid,500,IForest,0.0,1,anomalous,True,0.839180433132917
2_annthyroid,500,IForest,0.0,2,anomalous,True,0.8217266942968887
2_annthyroid,500,IForest,0.0,3,anomalous,True,0.7536629502072266
2_annthyroid,500,IForest,0.0,4,anomalous,True,0.8379545852548013
2_annthyroid,500,IForest,0.0,0,anomalous,False,0.826338217266943
2_annthyroid,500,IForest,0.0,1,anomalous,False,0.8680754188313584
2_annthyroid,500,IForest,0.0,2,anomalous,False,0.8782908178156559
2_annthyroid,500,IForest,0.0,3,anomalous,False,0.7313641935672174
2_annthyroid,500,IForest,0.0,4,anomalous,False,0.815830949740237
2_annthyroid,500,IForest,0.0,0,clusters,True,0.7910221236355146
2_annthyroid,500,IForest,0.0,1,clusters,True,0.8321755881151129
2_annthyroid,500,IForest,0.0,2,clusters,True,0.8495125795341779
2_annthyroid,500,IForest,0.0,3,clusters,True,0.7252933278851205
2_annthyroid,500,IForest,0.0,4,clusters,True,0.8458350358998308
