dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
30_satellite,500,IForest,0.0,0,random,True,0.6793434006958323
30_satellite,500,IForest,0.0,1,random,True,0.7278481012658228
30_satellite,500,IForest,0.0,2,random,True,0.7415056628914057
30_satellite,500,IForest,0.0,3,random,True,0.727237397290695
30_satellite,500,IForest,0.0,4,random,True,0.6881153305203939
30_satellite,500,IForest,0.0,0,random,False,0.7174106151454586
30_satellite,500,IForest,0.0,1,random,False,0.7214819749796433
30_satellite,500,IForest,0.0,2,random,False,0.7062884003257087
30_satellite,500,IForest,0.0,3,random,False,0.6704234214227551
30_satellite,500,IForest,0.0,4,random,False,0.6636131467910282
30_satellite,500,IForest,0.0,0,uncertainty,True,0.6883003923310387
30_satellite,500,IForest,0.0,1,uncertainty,True,0.701939447775557
30_satellite,500,IForest,0.0,2,uncertainty,True,0.720112517580872
30_satellite,500,IForest,0.0,3,uncertainty,True,0.6773447331408691
30_satellite,500,IForest,0.0,4,uncertainty,True,0.6445332741135539
30_satellite,500,IForest,0.0,0,uncertainty,False,0.7015508179732031
30_satellite,500,IForest,0.0,1,uncertainty,False,0.7176697016803613
30_satellite,500,IForest,0.0,2,uncertainty,False,0.6944629506255089
30_satellite,500,IForest,0.0,3,uncertainty,False,0.7109704641350212
30_satellite,500,IForest,0.0,4,uncertainty,False,0.6580983048338146
30_satellite,500,IForest,0.0,0,anomalous,True,0.6736064845658449
30_satellite,500,IForest,0.0,1,anomalous,True,0.7429121326523058
30_satellite,500,IForest,0.0,2,anomalous,True,0.6979791250277593
30_satellite,500,IForest,0.0,3,anomalous,True,0.6901325042564217
30_satellite,500,IForest,0.0,4,anomalous,True,0.6432563476201052
30_satellite,500,IForest,0.0,0,anomalous,False,0.6633355540750611
30_satellite,500,IForest,0.0,1,anomalous,False,0.7313457694870087
30_satellite,500,IForest,0.0,2,anomalous,False,0.6774927825893848
30_satellite,500,IForest,0.0,3,anomalous,False,0.6784551040047376
30_satellite,500,IForest,0.0,4,anomalous,False,0.6336146272855133
30_satellite,500,IForest,0.0,0,clusters,True,0.7427455770227255
30_satellite,500,IForest,0.0,1,clusters,True,0.7365830187282552
30_satellite,500,IForest,0.0,2,clusters,True,0.6706825079576578
30_satellite,500,IForest,0.0,3,clusters,True,0.6887630468576506
30_satellite,500,IForest,0.0,4,clusters,True,0.6525834628766009
30_satellite,500,IForest,0.0,0,clusters,False,0.674698349248649
30_satellite,500,IForest,0.0,1,clusters,False,0.7391553778962174
30_satellite,500,IForest,0.0,2,clusters,False,0.6801021541194759
30_satellite,500,IForest,0.0,3,clusters,False,0.6806758457324746
30_satellite,500,IForest,0.0,4,clusters,False,0.6708860759493671
30_satellite,500,IForest,0.004,0,random,True,0.7026982011992006
30_satellite,310,IForest,0.004,1,random,True,0.7684691687023465
30_satellite,271,IForest,0.004,2,random,True,0.6834332667110816
30_satellite,500,IForest,0.004,3,random,True,0.675475608853357
30_satellite,500,IForest,0.004,4,random,True,0.6676660004441484
30_satellite,500,IForest,0.004,0,random,False,0.737822932859575
30_satellite,499,IForest,0.004,1,random,False,0.7280146568954031
30_satellite,499,IForest,0.004,2,random,False,0.6839884521430158
30_satellite,500,IForest,0.004,3,random,False,0.6949441113331853
30_satellite,500,IForest,0.004,4,random,False,0.6507143385890888
30_satellite,500,IForest,0.004,0,uncertainty,True,0.6834887852542749
30_satellite,500,IForest,0.004,1,uncertainty,True,0.708398104967059
30_satellite,216,IForest,0.004,2,uncertainty,True,0.7770005181730697
30_satellite,500,IForest,0.004,3,uncertainty,True,0.7159301206603006
30_satellite,261,IForest,0.004,4,uncertainty,True,0.7126545266118883
30_satellite,498,IForest,0.004,0,uncertainty,False,0.7146346879857872
30_satellite,498,IForest,0.004,1,uncertainty,False,0.7284588052409505
30_satellite,498,IForest,0.004,2,uncertainty,False,0.7056962025316456
30_satellite,498,IForest,0.004,3,uncertainty,False,0.6983677548301133
30_satellite,498,IForest,0.004,4,uncertainty,False,0.7003294100229476
30_satellite,446,IForest,0.004,0,anomalous,True,0.7265526685913095
30_satellite,500,IForest,0.004,1,anomalous,True,0.7361018580205789
30_satellite,500,IForest,0.004,2,anomalous,True,0.6969612850692131
30_satellite,500,IForest,0.004,3,anomalous,True,0.6927233696054482
30_satellite,441,IForest,0.004,4,anomalous,True,0.719686875416389
30_satellite,499,IForest,0.004,0,anomalous,False,0.7060848323339997
30_satellite,499,IForest,0.004,1,anomalous,False,0.7121178473610186
30_satellite,498,IForest,0.004,2,anomalous,False,0.7175586645939744
30_satellite,498,IForest,0.004,3,anomalous,False,0.7006440151010437
30_satellite,498,IForest,0.004,4,anomalous,False,0.6499925975275742
30_satellite,220,IForest,0.004,0,clusters,True,0.7395902731512326
30_satellite,500,IForest,0.004,1,clusters,True,0.7387482419127988
30_satellite,500,IForest,0.004,2,clusters,True,0.689947442445777
30_satellite,500,IForest,0.004,3,clusters,True,0.7216115182470946
30_satellite,500,IForest,0.004,4,clusters,True,0.6547856984232734
30_satellite,499,IForest,0.004,0,clusters,False,0.7439484787919165
30_satellite,498,IForest,0.004,1,clusters,False,0.7058257457990968
30_satellite,500,IForest,0.004,2,clusters,False,0.7105078096084092
