dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
33_skin,500,IForest,0.0,0,random,True,rbf,0.724375121100562
33_skin,500,IForest,0.0,1,random,True,rbf,0.6894497190466964
33_skin,500,IForest,0.0,2,random,True,rbf,0.6498256151908545
33_skin,500,IForest,0.0,3,random,True,rbf,0.6726651811664406
33_skin,500,IForest,0.0,4,random,True,rbf,0.6972485952334819
33_skin,500,IForest,0.0,0,random,False,rbf,0.7220742104243364
33_skin,500,IForest,0.0,1,random,False,rbf,0.6892801782600271
33_skin,500,IForest,0.0,2,random,False,rbf,0.6542094555318736
33_skin,500,IForest,0.0,3,random,False,rbf,0.6517147839565975
33_skin,500,IForest,0.0,4,random,False,rbf,0.7346202286378609
33_skin,500,IForest,0.0,0,uncertainty,True,rbf,0.6964735516372796
33_skin,500,IForest,0.0,1,uncertainty,True,rbf,0.7106423173803526
33_skin,500,IForest,0.0,2,uncertainty,True,rbf,0.6555415617128463
33_skin,500,IForest,0.0,3,uncertainty,True,rbf,0.6740215074597946
33_skin,500,IForest,0.0,4,uncertainty,True,rbf,0.7078570044565008
33_skin,500,IForest,0.0,0,uncertainty,False,rbf,0.7003245495059096
33_skin,500,IForest,0.0,1,uncertainty,False,rbf,0.6736097655493121
33_skin,500,IForest,0.0,2,uncertainty,False,rbf,0.6342278628172835
33_skin,500,IForest,0.0,3,uncertainty,False,rbf,0.6927194342181747
33_skin,500,IForest,0.0,4,uncertainty,False,rbf,0.7063795776012401
33_skin,500,IForest,0.0,0,anomalous,True,rbf,0.7206694439062198
33_skin,500,IForest,0.0,1,anomalous,True,rbf,0.6672640961054059
33_skin,500,IForest,0.0,2,anomalous,True,rbf,0.6445214105793451
33_skin,500,IForest,0.0,3,anomalous,True,rbf,0.6760317767874443
33_skin,500,IForest,0.0,4,anomalous,True,rbf,0.7009058322030614
33_skin,500,IForest,0.0,0,anomalous,False,rbf,0.7111509397403603
33_skin,500,IForest,0.0,1,anomalous,False,rbf,0.6950203448944003
33_skin,500,IForest,0.0,2,anomalous,False,rbf,0.6480333268746368
33_skin,500,IForest,0.0,3,anomalous,False,rbf,0.6355357488858748
33_skin,500,IForest,0.0,4,anomalous,False,rbf,0.6885777950009689
33_skin,500,IForest,0.0,0,clusters,True,rbf,0.7150019376089904
33_skin,500,IForest,0.0,1,clusters,True,rbf,0.7024801395078473
33_skin,500,IForest,0.0,2,clusters,True,rbf,0.6079732609959311
33_skin,500,IForest,0.0,3,clusters,True,rbf,0.679180391397016
33_skin,500,IForest,0.0,4,clusters,True,rbf,0.7229945746948265
33_skin,500,IForest,0.0,0,clusters,False,rbf,0.6794710327455918
33_skin,500,IForest,0.0,1,clusters,False,rbf,0.680754698701802
33_skin,500,IForest,0.0,2,clusters,False,rbf,0.6348818058515792
33_skin,500,IForest,0.0,3,clusters,False,rbf,0.6687173028482851
33_skin,500,IForest,0.0,4,clusters,False,rbf,0.7230914551443519
33_skin,136,IForest,0.004,0,random,True,rbf,0.9007217593489634
33_skin,500,IForest,0.004,1,random,True,rbf,0.6952867661305948
33_skin,500,IForest,0.004,2,random,True,rbf,0.658447975198605
33_skin,356,IForest,0.004,3,random,True,rbf,0.9167796938577795
33_skin,500,IForest,0.004,4,random,True,rbf,0.6892075179228832
33_skin,499,IForest,0.004,0,random,False,rbf,0.6869792675838016
33_skin,500,IForest,0.004,1,random,False,rbf,0.657479170703352
33_skin,500,IForest,0.004,2,random,False,rbf,0.6429228831621778
33_skin,499,IForest,0.004,3,random,False,rbf,0.6392898663049797
33_skin,500,IForest,0.004,4,random,False,rbf,0.7086804882774655
33_skin,500,IForest,0.004,0,uncertainty,True,rbf,0.6473067235031971
33_skin,500,IForest,0.004,1,uncertainty,True,rbf,0.6654475876768068
33_skin,500,IForest,0.004,2,uncertainty,True,rbf,0.6284876961829102
33_skin,500,IForest,0.004,3,uncertainty,True,rbf,0.6421236194535942
33_skin,500,IForest,0.004,4,uncertainty,True,rbf,0.7145417554737453
33_skin,500,IForest,0.004,0,uncertainty,False,rbf,0.6988955628754117
33_skin,500,IForest,0.004,1,uncertainty,False,rbf,0.6729800426273979
33_skin,500,IForest,0.004,2,uncertainty,False,rbf,0.6527562487889944
33_skin,500,IForest,0.004,3,uncertainty,False,rbf,0.6720354582445263
33_skin,500,IForest,0.004,4,uncertainty,False,rbf,0.6890379771362138
33_skin,500,IForest,0.004,0,anomalous,True,rbf,0.6865433055609378
33_skin,500,IForest,0.004,1,anomalous,True,rbf,0.6677484983530324
33_skin,500,IForest,0.004,2,anomalous,True,rbf,0.6512303817089711
33_skin,500,IForest,0.004,3,anomalous,True,rbf,0.669225925208293
33_skin,500,IForest,0.004,4,anomalous,True,rbf,0.6947297035458245
33_skin,500,IForest,0.004,0,anomalous,False,rbf,0.722340631660531
33_skin,500,IForest,0.004,1,anomalous,False,rbf,0.7018988568106956
33_skin,500,IForest,0.004,2,anomalous,False,rbf,0.583559387715559
33_skin,500,IForest,0.004,3,anomalous,False,rbf,0.6926952141057935
33_skin,500,IForest,0.004,4,anomalous,False,rbf,0.6905638442162371
33_skin,500,IForest,0.004,0,clusters,True,rbf,0.6907576051152877
33_skin,500,IForest,0.004,1,clusters,True,rbf,0.7111751598527417
33_skin,500,IForest,0.004,2,clusters,True,rbf,0.6793741522960667
33_skin,500,IForest,0.004,3,clusters,True,rbf,0.6693470257701997
33_skin,500,IForest,0.004,4,clusters,True,rbf,0.7053138926564619
33_skin,500,IForest,0.004,0,clusters,False,rbf,0.7089226894012788
33_skin,500,IForest,0.004,1,clusters,False,rbf,0.668789963185429
33_skin,500,IForest,0.004,2,clusters,False,rbf,0.6526835884518504
33_skin,500,IForest,0.004,3,clusters,False,rbf,0.6763224181360201
33_skin,500,IForest,0.004,4,clusters,False,rbf,0.723624297616741
33_skin,265,IForest,0.006,0,random,True,rbf,0.9264677388103081
33_skin,500,IForest,0.006,1,random,True,rbf,0.7205725634566944
33_skin,500,IForest,0.006,2,random,True,rbf,0.6619356713815152
33_skin,376,IForest,0.006,3,random,True,rbf,0.9103855841891106
33_skin,500,IForest,0.006,4,random,True,rbf,0.6550571594652199
33_skin,499,IForest,0.006,0,random,False,rbf,0.7114658012013175
33_skin,500,IForest,0.006,1,random,False,rbf,0.6803671769037007
33_skin,500,IForest,0.006,2,random,False,rbf,0.6652053865529935
33_skin,499,IForest,0.006,3,random,False,rbf,0.661984111606278
33_skin,500,IForest,0.006,4,random,False,rbf,0.752785312923852
33_skin,500,IForest,0.006,0,uncertainty,True,rbf,0.7048537105212168
33_skin,500,IForest,0.006,1,uncertainty,True,rbf,0.6623958535167604
33_skin,500,IForest,0.006,2,uncertainty,True,rbf,0.6551540399147452
33_skin,500,IForest,0.006,3,uncertainty,True,rbf,0.6717690370083317
33_skin,500,IForest,0.006,4,uncertainty,True,rbf,0.6832251501646966
33_skin,500,IForest,0.006,0,uncertainty,False,rbf,0.7122892850222825
33_skin,500,IForest,0.006,1,uncertainty,False,rbf,0.6916053090486339
33_skin,500,IForest,0.006,2,uncertainty,False,rbf,0.6580362332881224
33_skin,500,IForest,0.006,3,uncertainty,False,rbf,0.6589323774462313
33_skin,500,IForest,0.006,4,uncertainty,False,rbf,0.7412807595427242
33_skin,500,IForest,0.006,0,anomalous,True,rbf,0.694245301298198
33_skin,500,IForest,0.006,1,anomalous,True,rbf,0.6695892268940127
33_skin,500,IForest,0.006,2,anomalous,True,rbf,0.6748449912807596
33_skin,500,IForest,0.006,3,anomalous,True,rbf,0.6493412129432281
33_skin,500,IForest,0.006,4,anomalous,True,rbf,0.7148566169347026
33_skin,500,IForest,0.006,0,anomalous,False,rbf,0.7065733385002907
33_skin,500,IForest,0.006,1,anomalous,False,rbf,0.6755958147645805
33_skin,500,IForest,0.006,2,anomalous,False,rbf,0.6444245301298198
33_skin,500,IForest,0.006,3,anomalous,False,rbf,0.6571400891300135
33_skin,500,IForest,0.006,4,anomalous,False,rbf,0.7096735128850997
33_skin,416,IForest,0.006,0,clusters,True,rbf,0.8321788413098237
33_skin,500,IForest,0.006,1,clusters,True,rbf,0.6990893237744624
33_skin,368,IForest,0.006,2,clusters,True,rbf,0.8897500484402248
33_skin,371,IForest,0.006,3,clusters,True,rbf,0.9255715946521991
33_skin,395,IForest,0.006,4,clusters,True,rbf,0.8638345281922108
33_skin,499,IForest,0.006,0,clusters,False,rbf,0.6952867661305948
33_skin,500,IForest,0.006,1,clusters,False,rbf,0.7205483433443132
33_skin,499,IForest,0.006,2,clusters,False,rbf,0.6165956210036815
33_skin,499,IForest,0.006,3,clusters,False,rbf,0.6939788800620035
33_skin,499,IForest,0.006,4,clusters,False,rbf,0.7030129819802364
33_skin,154,IForest,0.008,0,random,True,rbf,0.9194923464444874
33_skin,500,IForest,0.008,1,random,True,rbf,0.6880449525285798
33_skin,500,IForest,0.008,2,random,True,rbf,0.6299409029257895
33_skin,365,IForest,0.008,3,random,True,rbf,0.91440612284441
33_skin,500,IForest,0.008,4,random,True,rbf,0.686107343538074
