dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
35_SpamBase,500,IForest,0.0,0,random,True,0.625068865924306
35_SpamBase,500,IForest,0.0,1,random,True,0.6662166666666667
35_SpamBase,500,IForest,0.0,2,random,True,0.6013122088849563
35_SpamBase,500,IForest,0.0,3,random,True,0.6202106879914524
35_SpamBase,500,IForest,0.0,4,random,True,0.6832918746556704
35_SpamBase,500,IForest,0.0,0,random,False,0.6139000651096012
35_SpamBase,500,IForest,0.0,1,random,False,0.6521333333333332
35_SpamBase,500,IForest,0.0,2,random,False,0.6597272074659009
35_SpamBase,500,IForest,0.0,3,random,False,0.632890365448505
35_SpamBase,500,IForest,0.0,4,random,False,0.6403278852735438
35_SpamBase,500,IForest,0.0,0,uncertainty,True,0.6349354747157716
35_SpamBase,500,IForest,0.0,1,uncertainty,True,0.6221000000000001
35_SpamBase,500,IForest,0.0,2,uncertainty,True,0.6477403629442895
35_SpamBase,500,IForest,0.0,3,uncertainty,True,0.6296098432361141
35_SpamBase,500,IForest,0.0,4,uncertainty,True,0.6550192824588056
35_SpamBase,500,IForest,0.0,0,uncertainty,False,0.6458538539875456
35_SpamBase,500,IForest,0.0,1,uncertainty,False,0.6518666666666667
35_SpamBase,500,IForest,0.0,2,uncertainty,False,0.6243509908345715
35_SpamBase,500,IForest,0.0,3,uncertainty,False,0.6347935691747776
35_SpamBase,500,IForest,0.0,4,uncertainty,False,0.6675904439139217
35_SpamBase,500,IForest,0.0,0,anomalous,True,0.6085076545518289
35_SpamBase,500,IForest,0.0,1,anomalous,True,0.6517333333333333
35_SpamBase,500,IForest,0.0,2,anomalous,True,0.657506803118583
35_SpamBase,500,IForest,0.0,3,anomalous,True,0.6343678525517956
35_SpamBase,500,IForest,0.0,4,anomalous,True,0.6369388470592163
35_SpamBase,500,IForest,0.0,0,anomalous,False,0.6446434831967145
35_SpamBase,500,IForest,0.0,1,anomalous,False,0.6213166666666667
35_SpamBase,500,IForest,0.0,2,anomalous,False,0.5942503213743134
35_SpamBase,500,IForest,0.0,3,anomalous,False,0.6429740062438437
35_SpamBase,500,IForest,0.0,4,anomalous,False,0.6475650678642382
35_SpamBase,500,IForest,0.0,0,clusters,True,0.6400607689610844
35_SpamBase,500,IForest,0.0,1,clusters,True,0.6318
35_SpamBase,500,IForest,0.0,2,clusters,True,0.6159702165311608
35_SpamBase,500,IForest,0.0,3,clusters,True,0.6177565568707324
35_SpamBase,500,IForest,0.0,4,clusters,True,0.6293761164627123
35_SpamBase,500,IForest,0.0,0,clusters,False,0.6476068047880599
35_SpamBase,500,IForest,0.0,1,clusters,False,0.6406166666666666
35_SpamBase,500,IForest,0.0,2,clusters,False,0.6081236748526686
35_SpamBase,500,IForest,0.0,3,clusters,False,0.6649359755588574
35_SpamBase,500,IForest,0.0,4,clusters,False,0.6741347935691748
35_SpamBase,500,IForest,0.004,0,random,True,0.6109283961334913
35_SpamBase,390,IForest,0.004,1,random,True,0.6771166666666667
35_SpamBase,500,IForest,0.004,2,random,True,0.6438504816441009
35_SpamBase,107,IForest,0.004,3,random,True,0.594784553999232
35_SpamBase,500,IForest,0.004,4,random,True,0.6754954172857645
35_SpamBase,500,IForest,0.004,0,random,False,0.6438087447202792
35_SpamBase,499,IForest,0.004,1,random,False,0.6256999999999999
35_SpamBase,498,IForest,0.004,2,random,False,0.6176730830230889
35_SpamBase,499,IForest,0.004,3,random,False,0.5866708960082807
35_SpamBase,500,IForest,0.004,4,random,False,0.6516970233225929
35_SpamBase,500,IForest,0.004,0,uncertainty,True,0.6094425616454364
35_SpamBase,495,IForest,0.004,1,uncertainty,True,0.6166
35_SpamBase,94,IForest,0.004,2,uncertainty,True,0.7195362193024926
35_SpamBase,499,IForest,0.004,3,uncertainty,True,0.6432578173258318
35_SpamBase,500,IForest,0.004,4,uncertainty,True,0.5915207265563699
35_SpamBase,498,IForest,0.004,0,uncertainty,False,0.5998597639359589
35_SpamBase,498,IForest,0.004,1,uncertainty,False,0.61245
35_SpamBase,498,IForest,0.004,2,uncertainty,False,0.6059867443529943
35_SpamBase,500,IForest,0.004,3,uncertainty,False,0.6503113574517103
35_SpamBase,499,IForest,0.004,4,uncertainty,False,0.6313043623432779
35_SpamBase,500,IForest,0.004,0,anomalous,True,0.5815789913020251
35_SpamBase,500,IForest,0.004,1,anomalous,True,0.6359333333333332
35_SpamBase,500,IForest,0.004,2,anomalous,True,0.6517804971702367
35_SpamBase,500,IForest,0.004,3,anomalous,True,0.6538589959765605
35_SpamBase,500,IForest,0.004,4,anomalous,True,0.6385665870882652
35_SpamBase,500,IForest,0.004,0,anomalous,False,0.6059450074291725
35_SpamBase,500,IForest,0.004,1,anomalous,False,0.6127166666666667
35_SpamBase,500,IForest,0.004,2,anomalous,False,0.6065877560560278
35_SpamBase,500,IForest,0.004,3,anomalous,False,0.5850765455182891
35_SpamBase,500,IForest,0.004,4,anomalous,False,0.6151605202090186
35_SpamBase,500,IForest,0.004,0,clusters,True,0.6517304128616506
35_SpamBase,500,IForest,0.004,1,clusters,True,0.6604833333333333
35_SpamBase,499,IForest,0.004,2,clusters,True,0.6307784771031235
35_SpamBase,500,IForest,0.004,3,clusters,True,0.6104025108933371
35_SpamBase,499,IForest,0.004,4,clusters,True,0.5903437453045961
35_SpamBase,500,IForest,0.004,0,clusters,False,0.591545768710663
35_SpamBase,500,IForest,0.004,1,clusters,False,0.6107666666666667
35_SpamBase,499,IForest,0.004,2,clusters,False,0.6627155712115396
35_SpamBase,500,IForest,0.004,3,clusters,False,0.6444514933471343
35_SpamBase,499,IForest,0.004,4,clusters,False,0.6960132890365449
35_SpamBase,488,IForest,0.006,0,random,True,0.6575568874271691
35_SpamBase,417,IForest,0.006,1,random,True,0.6355333333333333
35_SpamBase,500,IForest,0.006,2,random,True,0.6162707223826775
35_SpamBase,111,IForest,0.006,3,random,True,0.6367051202858145
35_SpamBase,500,IForest,0.006,4,random,True,0.619259086128316
35_SpamBase,499,IForest,0.006,0,random,False,0.6221973655653683
35_SpamBase,499,IForest,0.006,1,random,False,0.6073
35_SpamBase,497,IForest,0.006,2,random,False,0.648057563565335
35_SpamBase,499,IForest,0.006,3,random,False,0.6325982069817526
35_SpamBase,500,IForest,0.006,4,random,False,0.6738843720262443
35_SpamBase,63,IForest,0.006,0,uncertainty,True,0.6896442344613433
35_SpamBase,491,IForest,0.006,1,uncertainty,True,0.6533833333333334
35_SpamBase,500,IForest,0.006,2,uncertainty,True,0.6096262041102523
35_SpamBase,69,IForest,0.006,3,uncertainty,True,0.6181572313394215
35_SpamBase,147,IForest,0.006,4,uncertainty,True,0.714844989064926
35_SpamBase,499,IForest,0.006,0,uncertainty,False,0.6307617823335949
35_SpamBase,498,IForest,0.006,1,uncertainty,False,0.6364000000000001
35_SpamBase,498,IForest,0.006,2,uncertainty,False,0.6024307584433797
35_SpamBase,497,IForest,0.006,3,uncertainty,False,0.6164961017713151
35_SpamBase,500,IForest,0.006,4,uncertainty,False,0.6629492979849413
35_SpamBase,500,IForest,0.006,0,anomalous,True,0.6086579074775873
35_SpamBase,499,IForest,0.006,1,anomalous,True,0.6297166666666667
35_SpamBase,499,IForest,0.006,2,anomalous,True,0.6021970316699778
35_SpamBase,500,IForest,0.006,3,anomalous,True,0.6149351408203809
35_SpamBase,499,IForest,0.006,4,anomalous,True,0.6783335281056445
35_SpamBase,499,IForest,0.006,0,anomalous,False,0.6863887544032454
35_SpamBase,500,IForest,0.006,1,anomalous,False,0.6590666666666667
35_SpamBase,499,IForest,0.006,2,anomalous,False,0.6290589158416667
35_SpamBase,500,IForest,0.006,3,anomalous,False,0.6100101838094125
35_SpamBase,499,IForest,0.006,4,anomalous,False,0.6715304095226966
35_SpamBase,500,IForest,0.006,0,clusters,True,0.6040000667790781
35_SpamBase,500,IForest,0.006,1,clusters,True,0.5837
35_SpamBase,498,IForest,0.006,2,clusters,True,0.6301774654000902
35_SpamBase,200,IForest,0.006,3,clusters,True,0.46524983722599716
