dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
36_speech,500,IForest,0.0,0,random,True,rbf,0.42327235772357724
36_speech,500,IForest,0.0,1,random,True,rbf,0.6417741570491061
36_speech,500,IForest,0.0,2,random,True,rbf,0.5299796747967479
36_speech,500,IForest,0.0,3,random,True,rbf,0.5193089430894309
36_speech,500,IForest,0.0,4,random,True,rbf,0.5729166666666666
36_speech,500,IForest,0.0,0,random,False,rbf,0.43216463414634143
36_speech,500,IForest,0.0,1,random,False,rbf,0.6033039149128762
36_speech,500,IForest,0.0,2,random,False,rbf,0.5919715447154471
36_speech,500,IForest,0.0,3,random,False,rbf,0.556910569105691
36_speech,500,IForest,0.0,4,random,False,rbf,0.5975609756097561
36_speech,500,IForest,0.0,0,uncertainty,True,rbf,0.37627032520325204
36_speech,500,IForest,0.0,1,uncertainty,True,rbf,0.6644037112468885
36_speech,500,IForest,0.0,2,uncertainty,True,rbf,0.5848577235772358
36_speech,500,IForest,0.0,3,uncertainty,True,rbf,0.49593495934959353
36_speech,500,IForest,0.0,4,uncertainty,True,rbf,0.5477642276422764
36_speech,500,IForest,0.0,0,uncertainty,False,rbf,0.5111788617886179
36_speech,500,IForest,0.0,1,uncertainty,False,rbf,0.636795655125594
36_speech,500,IForest,0.0,2,uncertainty,False,rbf,0.5203252032520325
36_speech,500,IForest,0.0,3,uncertainty,False,rbf,0.5409044715447154
36_speech,500,IForest,0.0,4,uncertainty,False,rbf,0.5619918699186992
36_speech,500,IForest,0.0,0,anomalous,True,rbf,0.4578252032520325
36_speech,500,IForest,0.0,1,anomalous,True,rbf,0.5582711020592894
36_speech,500,IForest,0.0,2,anomalous,True,rbf,0.5246443089430894
36_speech,500,IForest,0.0,3,anomalous,True,rbf,0.5797764227642277
36_speech,500,IForest,0.0,4,anomalous,True,rbf,0.6237296747967479
36_speech,500,IForest,0.0,0,anomalous,False,rbf,0.510670731707317
36_speech,500,IForest,0.0,1,anomalous,False,rbf,0.6723240552161123
36_speech,500,IForest,0.0,2,anomalous,False,rbf,0.5505589430894309
36_speech,500,IForest,0.0,3,anomalous,False,rbf,0.6135670731707317
36_speech,500,IForest,0.0,4,anomalous,False,rbf,0.4809451219512195
36_speech,500,IForest,0.0,0,clusters,True,rbf,0.41641260162601623
36_speech,500,IForest,0.0,1,clusters,True,rbf,0.6193708983933016
36_speech,500,IForest,0.0,2,clusters,True,rbf,0.5294715447154472
36_speech,500,IForest,0.0,3,clusters,True,rbf,0.4794207317073171
36_speech,500,IForest,0.0,4,clusters,True,rbf,0.5846036585365854
36_speech,500,IForest,0.0,0,clusters,False,rbf,0.3955792682926829
36_speech,500,IForest,0.0,1,clusters,False,rbf,0.656030776193709
36_speech,500,IForest,0.0,2,clusters,False,rbf,0.5096544715447154
36_speech,500,IForest,0.0,3,clusters,False,rbf,0.5307418699186992
36_speech,500,IForest,0.0,4,clusters,False,rbf,0.5109247967479674
36_speech,500,IForest,0.004,0,random,True,rbf,0.41793699186991873
36_speech,500,IForest,0.004,1,random,True,rbf,0.6632722335369994
36_speech,500,IForest,0.004,2,random,True,rbf,0.5442073170731707
36_speech,500,IForest,0.004,3,random,True,rbf,0.580030487804878
36_speech,500,IForest,0.004,4,random,True,rbf,0.5215955284552846
36_speech,500,IForest,0.004,0,random,False,rbf,0.421239837398374
36_speech,500,IForest,0.004,1,random,False,rbf,0.5297578637700837
36_speech,500,IForest,0.004,2,random,False,rbf,0.48526422764227645
36_speech,500,IForest,0.004,3,random,False,rbf,0.5348069105691058
36_speech,500,IForest,0.004,4,random,False,rbf,0.608739837398374
36_speech,500,IForest,0.004,0,uncertainty,True,rbf,0.4072662601626016
36_speech,500,IForest,0.004,1,uncertainty,True,rbf,0.685449196650826
36_speech,500,IForest,0.004,2,uncertainty,True,rbf,0.5142276422764228
36_speech,500,IForest,0.004,3,uncertainty,True,rbf,0.5503048780487805
