dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
38_thyroid,500,IForest,0.0,0,random,True,rbf,0.9836065573770492
38_thyroid,500,IForest,0.0,1,random,True,rbf,0.9815195071868583
38_thyroid,500,IForest,0.0,2,random,True,rbf,0.9779713114754097
38_thyroid,500,IForest,0.0,3,random,True,rbf,0.9754098360655739
38_thyroid,500,IForest,0.0,4,random,True,rbf,0.9779713114754099
38_thyroid,500,IForest,0.0,0,random,False,rbf,0.9851434426229508
38_thyroid,500,IForest,0.0,1,random,False,rbf,0.9815195071868583
38_thyroid,500,IForest,0.0,2,random,False,rbf,0.975068306010929
38_thyroid,500,IForest,0.0,3,random,False,rbf,0.9890710382513661
38_thyroid,500,IForest,0.0,4,random,False,rbf,0.9748975409836065
38_thyroid,500,IForest,0.0,0,uncertainty,True,rbf,0.9824112021857924
38_thyroid,500,IForest,0.0,1,uncertainty,True,rbf,0.9793081661664824
38_thyroid,500,IForest,0.0,2,uncertainty,True,rbf,0.973360655737705
38_thyroid,500,IForest,0.0,3,uncertainty,True,rbf,0.983094262295082
38_thyroid,500,IForest,0.0,4,uncertainty,True,rbf,0.972165300546448
38_thyroid,500,IForest,0.0,0,uncertainty,False,rbf,0.98650956284153
38_thyroid,500,IForest,0.0,1,uncertainty,False,rbf,0.985152424577476
38_thyroid,500,IForest,0.0,2,uncertainty,False,rbf,0.9824112021857924
38_thyroid,500,IForest,0.0,3,uncertainty,False,rbf,0.9889002732240437
38_thyroid,500,IForest,0.0,4,uncertainty,False,rbf,0.9745560109289617
38_thyroid,500,IForest,0.0,0,anomalous,True,rbf,0.984801912568306
38_thyroid,500,IForest,0.0,1,anomalous,True,rbf,0.9819933659769389
38_thyroid,500,IForest,0.0,2,anomalous,True,rbf,0.9796789617486339
38_thyroid,500,IForest,0.0,3,anomalous,True,rbf,0.9837773224043714
38_thyroid,500,IForest,0.0,4,anomalous,True,rbf,0.9709699453551912
38_thyroid,500,IForest,0.0,0,anomalous,False,rbf,0.9846311475409836
38_thyroid,500,IForest,0.0,1,anomalous,False,rbf,0.9821513189069657
38_thyroid,500,IForest,0.0,2,anomalous,False,rbf,0.9807035519125683
38_thyroid,500,IForest,0.0,3,anomalous,False,rbf,0.9721653005464481
38_thyroid,500,IForest,0.0,4,anomalous,False,rbf,0.9673838797814208
38_thyroid,500,IForest,0.0,0,clusters,True,rbf,0.9827527322404371
38_thyroid,500,IForest,0.0,1,clusters,True,rbf,0.9804138366766704
38_thyroid,500,IForest,0.0,2,clusters,True,rbf,0.9766051912568305
38_thyroid,500,IForest,0.0,3,clusters,True,rbf,0.976775956284153
38_thyroid,500,IForest,0.0,4,clusters,True,rbf,0.9711407103825136
38_thyroid,500,IForest,0.0,0,clusters,False,rbf,0.9834357923497269
38_thyroid,500,IForest,0.0,1,clusters,False,rbf,0.9884694361080397
38_thyroid,500,IForest,0.0,2,clusters,False,rbf,0.98224043715847
38_thyroid,500,IForest,0.0,3,clusters,False,rbf,0.9803620218579235
38_thyroid,500,IForest,0.0,4,clusters,False,rbf,0.9789959016393441
38_thyroid,500,IForest,0.004,0,random,True,rbf,0.9817281420765028
38_thyroid,500,IForest,0.004,1,random,True,rbf,0.9826251776970463
38_thyroid,500,IForest,0.004,2,random,True,rbf,0.9827527322404371
38_thyroid,500,IForest,0.004,3,random,True,rbf,0.9815573770491803
38_thyroid,500,IForest,0.004,4,random,True,rbf,0.9731898907103825
38_thyroid,500,IForest,0.004,0,random,False,rbf,0.9866803278688525
38_thyroid,500,IForest,0.004,1,random,False,rbf,0.9830990364871268
38_thyroid,500,IForest,0.004,2,random,False,rbf,0.9805327868852459
38_thyroid,500,IForest,0.004,3,random,False,rbf,0.9827527322404371
38_thyroid,500,IForest,0.004,4,random,False,rbf,0.9755806010928962
38_thyroid,500,IForest,0.004,0,uncertainty,True,rbf,0.9899248633879781
38_thyroid,500,IForest,0.004,1,uncertainty,True,rbf,0.9812036013268046
38_thyroid,500,IForest,0.004,2,uncertainty,True,rbf,0.9774590163934427
38_thyroid,500,IForest,0.004,3,uncertainty,True,rbf,0.9769467213114754
38_thyroid,145,IForest,0.004,4,uncertainty,True,rbf,0.975922131147541
38_thyroid,500,IForest,0.004,0,uncertainty,False,rbf,0.988558743169399
38_thyroid,499,IForest,0.004,1,uncertainty,False,rbf,0.9819933659769389
38_thyroid,500,IForest,0.004,2,uncertainty,False,rbf,0.9846311475409837
38_thyroid,500,IForest,0.004,3,uncertainty,False,rbf,0.9778005464480873
38_thyroid,500,IForest,0.004,4,uncertainty,False,rbf,0.9762636612021858
38_thyroid,500,IForest,0.004,0,anomalous,True,rbf,0.9858265027322404
38_thyroid,500,IForest,0.004,1,anomalous,True,rbf,0.9862580950876638
38_thyroid,500,IForest,0.004,2,anomalous,True,rbf,0.9832650273224044
38_thyroid,496,IForest,0.004,3,anomalous,True,rbf,0.9892418032786885
38_thyroid,500,IForest,0.004,4,anomalous,True,rbf,0.9680669398907105
38_thyroid,498,IForest,0.004,0,anomalous,False,rbf,0.9871926229508197
38_thyroid,499,IForest,0.004,1,anomalous,False,rbf,0.9842047069973148
38_thyroid,499,IForest,0.004,2,anomalous,False,rbf,0.9849726775956285
38_thyroid,499,IForest,0.004,3,anomalous,False,rbf,0.9841188524590164
38_thyroid,498,IForest,0.004,4,anomalous,False,rbf,0.9766051912568305
38_thyroid,498,IForest,0.004,0,clusters,True,rbf,0.9924863387978142
38_thyroid,500,IForest,0.004,1,clusters,True,rbf,0.9800979308166167
38_thyroid,498,IForest,0.004,2,clusters,True,rbf,0.9912909836065573
38_thyroid,496,IForest,0.004,3,clusters,True,rbf,0.9885587431693988
38_thyroid,494,IForest,0.004,4,clusters,True,rbf,0.9795081967213114
38_thyroid,499,IForest,0.004,0,clusters,False,rbf,0.9912909836065574
38_thyroid,500,IForest,0.004,1,clusters,False,rbf,0.9872058126678249
38_thyroid,499,IForest,0.004,2,clusters,False,rbf,0.98650956284153
38_thyroid,499,IForest,0.004,3,clusters,False,rbf,0.9803620218579235
38_thyroid,499,IForest,0.004,4,clusters,False,rbf,0.9728483606557378
38_thyroid,500,IForest,0.006,0,random,True,rbf,0.9834357923497268
38_thyroid,500,IForest,0.006,1,random,True,rbf,0.9843626599273416
38_thyroid,500,IForest,0.006,2,random,True,rbf,0.978825136612022
38_thyroid,500,IForest,0.006,3,random,True,rbf,0.981386612021858
38_thyroid,500,IForest,0.006,4,random,True,rbf,0.9738729508196721
38_thyroid,500,IForest,0.006,0,random,False,rbf,0.9839480874316942
38_thyroid,500,IForest,0.006,1,random,False,rbf,0.9834149423471805
38_thyroid,500,IForest,0.006,2,random,False,rbf,0.9808743169398907
38_thyroid,500,IForest,0.006,3,random,False,rbf,0.9805327868852458
38_thyroid,500,IForest,0.006,4,random,False,rbf,0.9726775956284153
38_thyroid,500,IForest,0.006,0,uncertainty,True,rbf,0.9907786885245902
38_thyroid,219,IForest,0.006,1,uncertainty,True,rbf,0.9864160480176907
38_thyroid,500,IForest,0.006,2,uncertainty,True,rbf,0.9832650273224043
38_thyroid,500,IForest,0.006,3,uncertainty,True,rbf,0.9786543715846995
38_thyroid,500,IForest,0.006,4,uncertainty,True,rbf,0.975068306010929
38_thyroid,500,IForest,0.006,0,uncertainty,False,rbf,0.9769467213114753
38_thyroid,500,IForest,0.006,1,uncertainty,False,rbf,0.9868899068077712
38_thyroid,500,IForest,0.006,2,uncertainty,False,rbf,0.9791666666666666
