dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
39_vertebral,120,IForest,0.0,0,random,True,rbf,0.38539682539682535
39_vertebral,120,IForest,0.0,1,random,True,rbf,0.3841269841269841
39_vertebral,120,IForest,0.0,2,random,True,rbf,0.32380952380952377
39_vertebral,120,IForest,0.0,3,random,True,rbf,0.3225396825396825
39_vertebral,120,IForest,0.0,4,random,True,rbf,0.4361904761904762
39_vertebral,120,IForest,0.0,0,random,False,rbf,0.4355555555555555
39_vertebral,120,IForest,0.0,1,random,False,rbf,0.37079365079365084
39_vertebral,120,IForest,0.0,2,random,False,rbf,0.3453968253968254
39_vertebral,120,IForest,0.0,3,random,False,rbf,0.35428571428571426
39_vertebral,120,IForest,0.0,4,random,False,rbf,0.47809523809523813
39_vertebral,120,IForest,0.0,0,uncertainty,True,rbf,0.3695238095238096
39_vertebral,120,IForest,0.0,1,uncertainty,True,rbf,0.3828571428571428
39_vertebral,120,IForest,0.0,2,uncertainty,True,rbf,0.35555555555555557
39_vertebral,120,IForest,0.0,3,uncertainty,True,rbf,0.3263492063492064
39_vertebral,120,IForest,0.0,4,uncertainty,True,rbf,0.45714285714285713
39_vertebral,120,IForest,0.0,0,uncertainty,False,rbf,0.37650793650793657
39_vertebral,120,IForest,0.0,1,uncertainty,False,rbf,0.3574603174603175
39_vertebral,120,IForest,0.0,2,uncertainty,False,rbf,0.33142857142857146
39_vertebral,120,IForest,0.0,3,uncertainty,False,rbf,0.3066666666666667
39_vertebral,120,IForest,0.0,4,uncertainty,False,rbf,0.46539682539682536
39_vertebral,120,IForest,0.0,0,anomalous,True,rbf,0.41015873015873017
39_vertebral,120,IForest,0.0,1,anomalous,True,rbf,0.41777777777777775
39_vertebral,120,IForest,0.0,2,anomalous,True,rbf,0.3523809523809524
39_vertebral,120,IForest,0.0,3,anomalous,True,rbf,0.28761904761904766
39_vertebral,120,IForest,0.0,4,anomalous,True,rbf,0.42349206349206353
39_vertebral,120,IForest,0.0,0,anomalous,False,rbf,0.4107936507936507
39_vertebral,120,IForest,0.0,1,anomalous,False,rbf,0.3726984126984127
39_vertebral,120,IForest,0.0,2,anomalous,False,rbf,0.3358730158730159
39_vertebral,120,IForest,0.0,3,anomalous,False,rbf,0.3358730158730158
39_vertebral,120,IForest,0.0,4,anomalous,False,rbf,0.4628571428571429
39_vertebral,120,IForest,0.0,0,clusters,True,rbf,0.37142857142857144
39_vertebral,120,IForest,0.0,1,clusters,True,rbf,0.40190476190476193
39_vertebral,120,IForest,0.0,2,clusters,True,rbf,0.2920634920634921
39_vertebral,120,IForest,0.0,3,clusters,True,rbf,0.3542857142857143
39_vertebral,120,IForest,0.0,4,clusters,True,rbf,0.4685714285714285
39_vertebral,120,IForest,0.0,0,clusters,False,rbf,0.3834920634920635
39_vertebral,120,IForest,0.0,1,clusters,False,rbf,0.3815873015873016
39_vertebral,120,IForest,0.0,2,clusters,False,rbf,0.34285714285714286
39_vertebral,120,IForest,0.0,3,clusters,False,rbf,0.30666666666666664
39_vertebral,120,IForest,0.0,4,clusters,False,rbf,0.460952380952381
39_vertebral,120,IForest,0.004,0,random,True,rbf,0.3663492063492063
39_vertebral,120,IForest,0.004,1,random,True,rbf,0.4177777777777778
39_vertebral,120,IForest,0.004,2,random,True,rbf,0.41015873015873017
39_vertebral,120,IForest,0.004,3,random,True,rbf,0.379047619047619
39_vertebral,120,IForest,0.004,4,random,True,rbf,0.4482539682539683
39_vertebral,120,IForest,0.004,0,random,False,rbf,0.37142857142857144
39_vertebral,120,IForest,0.004,1,random,False,rbf,0.3847619047619048
39_vertebral,120,IForest,0.004,2,random,False,rbf,0.30920634920634915
39_vertebral,120,IForest,0.004,3,random,False,rbf,0.3314285714285714
39_vertebral,120,IForest,0.004,4,random,False,rbf,0.4406349206349207
39_vertebral,120,IForest,0.004,0,uncertainty,True,rbf,0.35682539682539677
39_vertebral,120,IForest,0.004,1,uncertainty,True,rbf,0.3549206349206349
39_vertebral,120,IForest,0.004,2,uncertainty,True,rbf,0.3028571428571428
39_vertebral,120,IForest,0.004,3,uncertainty,True,rbf,0.3288888888888889
39_vertebral,120,IForest,0.004,4,uncertainty,True,rbf,0.44253968253968257
39_vertebral,120,IForest,0.004,0,uncertainty,False,rbf,0.38920634920634917
39_vertebral,120,IForest,0.004,1,uncertainty,False,rbf,0.40253968253968253
