dataset,num_samples,model,fraction,rep,query_strategy,propagation,roc_auc
3_backdoor,500,IForest,0.0,0,random,True,0.7078210382513661
3_backdoor,500,IForest,0.0,1,random,True,0.7225068306010929
3_backdoor,500,IForest,0.0,2,random,True,0.8425546448087432
3_backdoor,500,IForest,0.0,3,random,True,0.5763319672131147
3_backdoor,500,IForest,0.0,4,random,True,0.6454918032786885
3_backdoor,500,IForest,0.0,0,random,False,0.7059426229508197
3_backdoor,500,IForest,0.0,1,random,False,0.6290983606557377
3_backdoor,500,IForest,0.0,2,random,False,0.7612704918032787
3_backdoor,500,IForest,0.0,3,random,False,0.5648907103825137
3_backdoor,500,IForest,0.0,4,random,False,0.6717896174863388
3_backdoor,500,IForest,0.0,0,uncertainty,True,0.7120901639344263
3_backdoor,500,IForest,0.0,1,uncertainty,True,0.6834016393442623
3_backdoor,500,IForest,0.0,2,uncertainty,True,0.7286543715846994
3_backdoor,500,IForest,0.0,3,uncertainty,True,0.5836748633879781
3_backdoor,500,IForest,0.0,4,uncertainty,True,0.6977459016393442
3_backdoor,500,IForest,0.0,0,uncertainty,False,0.7276297814207651
3_backdoor,500,IForest,0.0,1,uncertainty,False,0.6683743169398908
3_backdoor,500,IForest,0.0,2,uncertainty,False,0.7988387978142076
3_backdoor,500,IForest,0.0,3,uncertainty,False,0.6048497267759564
3_backdoor,500,IForest,0.0,4,uncertainty,False,0.6547131147540983
3_backdoor,500,IForest,0.0,0,anomalous,True,0.6524931693989071
3_backdoor,500,IForest,0.0,1,anomalous,True,0.6717896174863388
3_backdoor,500,IForest,0.0,2,anomalous,True,0.7042349726775956
3_backdoor,500,IForest,0.0,3,anomalous,True,0.5879439890710382
3_backdoor,500,IForest,0.0,4,anomalous,True,0.65625
3_backdoor,500,IForest,0.0,0,anomalous,False,0.6483948087431693
3_backdoor,500,IForest,0.0,1,anomalous,False,0.6391734972677596
3_backdoor,500,IForest,0.0,2,anomalous,False,0.8319672131147542
3_backdoor,500,IForest,0.0,3,anomalous,False,0.6099726775956283
3_backdoor,500,IForest,0.0,4,anomalous,False,0.6420765027322404
3_backdoor,500,IForest,0.0,0,clusters,True,0.7035519125683061
3_backdoor,500,IForest,0.0,1,clusters,True,0.6630806010928962
3_backdoor,500,IForest,0.0,2,clusters,True,0.7607581967213114
3_backdoor,500,IForest,0.0,3,clusters,True,0.6166325136612021
3_backdoor,500,IForest,0.0,4,clusters,True,0.6922814207650273
3_backdoor,500,IForest,0.0,0,clusters,False,0.6818647540983607
3_backdoor,500,IForest,0.0,1,clusters,False,0.6936475409836065
3_backdoor,500,IForest,0.0,2,clusters,False,0.7079918032786885
3_backdoor,500,IForest,0.0,3,clusters,False,0.5835040983606556
3_backdoor,500,IForest,0.0,4,clusters,False,0.6499316939890711
3_backdoor,500,IForest,0.004,0,random,True,0.730191256830601
3_backdoor,500,IForest,0.004,1,random,True,0.6736680327868853
3_backdoor,500,IForest,0.004,2,random,True,0.8205259562841529
3_backdoor,500,IForest,0.004,3,random,True,0.6154371584699453
3_backdoor,500,IForest,0.004,4,random,True,0.6711065573770492
3_backdoor,500,IForest,0.004,0,random,False,0.6900614754098361
3_backdoor,500,IForest,0.004,1,random,False,0.6837431693989071
3_backdoor,500,IForest,0.004,2,random,False,0.8526297814207651
3_backdoor,500,IForest,0.004,3,random,False,0.6198770491803279
3_backdoor,500,IForest,0.004,4,random,False,0.6818647540983608
3_backdoor,500,IForest,0.004,0,uncertainty,True,0.6471994535519126
