dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
40_vowels,500,IForest,0.0,0,random,True,rbf,0.7077091706247717
40_vowels,500,IForest,0.0,1,random,True,rbf,0.8178053830227743
40_vowels,500,IForest,0.0,2,random,True,rbf,0.8368042869321641
40_vowels,500,IForest,0.0,3,random,True,rbf,0.5804408720009744
40_vowels,500,IForest,0.0,4,random,True,rbf,0.8019729630982828
40_vowels,500,IForest,0.0,0,random,False,rbf,0.7285348922177566
40_vowels,500,IForest,0.0,1,random,False,rbf,0.7654366094263793
40_vowels,500,IForest,0.0,2,random,False,rbf,0.8280355620509073
40_vowels,500,IForest,0.0,3,random,False,rbf,0.6358543417366948
40_vowels,500,IForest,0.0,4,random,False,rbf,0.7886980879308245
40_vowels,500,IForest,0.0,0,uncertainty,True,rbf,0.7513092193399099
40_vowels,500,IForest,0.0,1,uncertainty,True,rbf,0.7791986359761296
40_vowels,500,IForest,0.0,2,uncertainty,True,rbf,0.8710266715381805
40_vowels,500,IForest,0.0,3,uncertainty,True,rbf,0.6116185604676653
40_vowels,500,IForest,0.0,4,uncertainty,True,rbf,0.7744489099987821
40_vowels,500,IForest,0.0,0,uncertainty,False,rbf,0.7550846425526732
40_vowels,500,IForest,0.0,1,uncertainty,False,rbf,0.7189136524174887
40_vowels,500,IForest,0.0,2,uncertainty,False,rbf,0.8380221653878943
40_vowels,500,IForest,0.0,3,uncertainty,False,rbf,0.6873706004140787
40_vowels,500,IForest,0.0,4,uncertainty,False,rbf,0.7666544878821093
40_vowels,500,IForest,0.0,0,anomalous,True,rbf,0.7371818292534404
40_vowels,500,IForest,0.0,1,anomalous,True,rbf,0.8102545365972476
40_vowels,500,IForest,0.0,2,anomalous,True,rbf,0.8199975642430886
40_vowels,500,IForest,0.0,3,anomalous,True,rbf,0.6792108147606868
40_vowels,500,IForest,0.0,4,anomalous,True,rbf,0.6821337230544392
40_vowels,500,IForest,0.0,0,anomalous,False,rbf,0.7487516745828766
40_vowels,500,IForest,0.0,1,anomalous,False,rbf,0.8372914383144563
40_vowels,500,IForest,0.0,2,anomalous,False,rbf,0.8442333455121178
40_vowels,500,IForest,0.0,3,anomalous,False,rbf,0.6518085495067593
40_vowels,500,IForest,0.0,4,anomalous,False,rbf,0.7633662160516381
40_vowels,500,IForest,0.0,0,clusters,True,rbf,0.7299963463646328
40_vowels,500,IForest,0.0,1,clusters,True,rbf,0.8115942028985508
40_vowels,500,IForest,0.0,2,clusters,True,rbf,0.8336378029472659
40_vowels,500,IForest,0.0,3,clusters,True,rbf,0.6128364389233955
40_vowels,500,IForest,0.0,4,clusters,True,rbf,0.8097673852149555
40_vowels,500,IForest,0.0,0,clusters,False,rbf,0.7692120326391425
40_vowels,500,IForest,0.0,1,clusters,False,rbf,0.7812690293508708
40_vowels,500,IForest,0.0,2,clusters,False,rbf,0.81439532334673
40_vowels,500,IForest,0.0,3,clusters,False,rbf,0.6610644257703081
40_vowels,500,IForest,0.0,4,clusters,False,rbf,0.7957617829740592
40_vowels,500,IForest,0.004,0,random,True,rbf,0.7640969431250761
40_vowels,500,IForest,0.004,1,random,True,rbf,0.7854098161003532
40_vowels,500,IForest,0.004,2,random,True,rbf,0.8235294117647058
40_vowels,500,IForest,0.004,3,random,True,rbf,0.6522957008890513
40_vowels,500,IForest,0.004,4,random,True,rbf,0.7594690049933017
40_vowels,500,IForest,0.004,0,random,False,rbf,0.7828522713433199
40_vowels,500,IForest,0.004,1,random,False,rbf,0.8168310802581902
40_vowels,500,IForest,0.004,2,random,False,rbf,0.8061137498477653
40_vowels,500,IForest,0.004,3,random,False,rbf,0.6186822555109001
40_vowels,500,IForest,0.004,4,random,False,rbf,0.7806600901230056
40_vowels,500,IForest,0.004,0,uncertainty,True,rbf,0.7701863354037266
40_vowels,184,IForest,0.004,1,uncertainty,True,rbf,0.7377907684813056
40_vowels,500,IForest,0.004,2,uncertainty,True,rbf,0.8424065278285227
40_vowels,500,IForest,0.004,3,uncertainty,True,rbf,0.6387772500304469
40_vowels,500,IForest,0.004,4,uncertainty,True,rbf,0.7253684082328584
40_vowels,499,IForest,0.004,0,uncertainty,False,rbf,0.7619047619047619
40_vowels,500,IForest,0.004,1,uncertainty,False,rbf,0.8381439532334672
40_vowels,500,IForest,0.004,2,uncertainty,False,rbf,0.8214590183899646
40_vowels,500,IForest,0.004,3,uncertainty,False,rbf,0.6751918158567775
40_vowels,500,IForest,0.004,4,uncertainty,False,rbf,0.7081963220070637
40_vowels,308,IForest,0.004,0,anomalous,True,rbf,0.7347460723419803
40_vowels,255,IForest,0.004,1,anomalous,True,rbf,0.7403483132383388
40_vowels,183,IForest,0.004,2,anomalous,True,rbf,0.6075995615637559
40_vowels,209,IForest,0.004,3,anomalous,True,rbf,0.7338935574229691
40_vowels,250,IForest,0.004,4,anomalous,True,rbf,0.6468152478382658
40_vowels,498,IForest,0.004,0,anomalous,False,rbf,0.7701863354037267
40_vowels,500,IForest,0.004,1,anomalous,False,rbf,0.8017293874071367
40_vowels,500,IForest,0.004,2,anomalous,False,rbf,0.8609182803556206
40_vowels,498,IForest,0.004,3,anomalous,False,rbf,0.7136767750578492
40_vowels,498,IForest,0.004,4,anomalous,False,rbf,0.7285348922177567
40_vowels,500,IForest,0.004,0,clusters,True,rbf,0.7281695286810377
40_vowels,500,IForest,0.004,1,clusters,True,rbf,0.7580075508464255
40_vowels,500,IForest,0.004,2,clusters,True,rbf,0.8379003775423213
40_vowels,500,IForest,0.004,3,clusters,True,rbf,0.6432834003166484
40_vowels,500,IForest,0.004,4,clusters,True,rbf,0.7513092193399099
40_vowels,500,IForest,0.004,0,clusters,False,rbf,0.7667762757276825
40_vowels,500,IForest,0.004,1,clusters,False,rbf,0.7983193277310924
40_vowels,500,IForest,0.004,2,clusters,False,rbf,0.8393618316891974
40_vowels,500,IForest,0.004,3,clusters,False,rbf,0.7058823529411765
40_vowels,500,IForest,0.004,4,clusters,False,rbf,0.7368164657167214
40_vowels,500,IForest,0.006,0,random,True,rbf,0.7226890756302521
40_vowels,500,IForest,0.006,1,random,True,rbf,0.8539763731579588
40_vowels,251,IForest,0.006,2,random,True,rbf,0.844355133357691
40_vowels,500,IForest,0.006,3,random,True,rbf,0.6794543904518329
40_vowels,468,IForest,0.006,4,random,True,rbf,0.7958835708196322
40_vowels,500,IForest,0.006,0,random,False,rbf,0.7352332237242722
40_vowels,500,IForest,0.006,1,random,False,rbf,0.7858969674826453
40_vowels,499,IForest,0.006,2,random,False,rbf,0.8609182803556206
40_vowels,500,IForest,0.006,3,random,False,rbf,0.6257459505541346
40_vowels,499,IForest,0.006,4,random,False,rbf,0.7843137254901961
40_vowels,500,IForest,0.006,0,uncertainty,True,rbf,0.7327974668128121
40_vowels,500,IForest,0.006,1,uncertainty,True,rbf,0.8056265984654731
40_vowels,384,IForest,0.006,2,uncertainty,True,rbf,0.8489830714894653
40_vowels,500,IForest,0.006,3,uncertainty,True,rbf,0.6793326026062598
40_vowels,306,IForest,0.006,4,uncertainty,True,rbf,0.7912556326878577
40_vowels,500,IForest,0.006,0,uncertainty,False,rbf,0.6692242114236998
40_vowels,499,IForest,0.006,1,uncertainty,False,rbf,0.8153696261113141
40_vowels,500,IForest,0.006,2,uncertainty,False,rbf,0.8488612836438924
40_vowels,500,IForest,0.006,3,uncertainty,False,rbf,0.6532700036536354
40_vowels,500,IForest,0.006,4,uncertainty,False,rbf,0.7677505784922665
40_vowels,500,IForest,0.006,0,anomalous,True,rbf,0.7195225916453538
40_vowels,356,IForest,0.006,1,anomalous,True,rbf,0.8715138229204725
40_vowels,500,IForest,0.006,2,anomalous,True,rbf,0.8392400438436244
40_vowels,337,IForest,0.006,3,anomalous,True,rbf,0.7548410668615272
40_vowels,267,IForest,0.006,4,anomalous,True,rbf,0.6239191328705396
40_vowels,497,IForest,0.006,0,anomalous,False,rbf,0.7190354402630618
40_vowels,499,IForest,0.006,1,anomalous,False,rbf,0.7978321763488003
40_vowels,499,IForest,0.006,2,anomalous,False,rbf,0.8164657167214712
40_vowels,497,IForest,0.006,3,anomalous,False,rbf,0.6487638533674339
40_vowels,500,IForest,0.006,4,anomalous,False,rbf,0.7763975155279503
40_vowels,500,IForest,0.006,0,clusters,True,rbf,0.732432103276093
40_vowels,500,IForest,0.006,1,clusters,True,rbf,0.7715260017050297
40_vowels,500,IForest,0.006,2,clusters,True,rbf,0.8371696504688833
40_vowels,500,IForest,0.006,3,clusters,True,rbf,0.6829862379734503
40_vowels,500,IForest,0.006,4,clusters,True,rbf,0.7457069784435513
40_vowels,500,IForest,0.006,0,clusters,False,rbf,0.7452198270612593
40_vowels,500,IForest,0.006,1,clusters,False,rbf,0.834855681402996
40_vowels,500,IForest,0.006,2,clusters,False,rbf,0.8055048106199001
40_vowels,500,IForest,0.006,3,clusters,False,rbf,0.64011691633175
40_vowels,500,IForest,0.006,4,clusters,False,rbf,0.7435147972232371
40_vowels,500,IForest,0.008,0,random,True,rbf,0.773231031543052
40_vowels,500,IForest,0.008,1,random,True,rbf,0.8207282913165267
40_vowels,316,IForest,0.008,2,random,True,rbf,0.7852880282547802
40_vowels,327,IForest,0.008,3,random,True,rbf,0.6315917671416392
40_vowels,468,IForest,0.008,4,random,True,rbf,0.7438801607599561
40_vowels,500,IForest,0.008,0,random,False,rbf,0.7711606381683108
40_vowels,500,IForest,0.008,1,random,False,rbf,0.7770064547558153
